abad	a b a t̚
abdi	a b d i
abdis	a b d ɪ s
abi	a b i
abiseka	a b i s e k a
abonemen	a b o n ə m ɛ n
absolusi	a b s o l u s i
abstain	a p̚ s t a i n
abu	a b u
aceh	a t͡ʃ e h
aci	a t͡ʃ i
acik	a t͡ʃ i k
ada	a d a
adalah	a d a l a h
adat	a d a t
adempauze	a d ə m p a u̯ z ə
adikara	a d i k a r a
adil	a d i l
administrator	a t̚ m i n ɪ s t r a t ɔ r
administratur	a t̚ m i n ɪ s t r a t ʊ r
adpis	a t̚ p ɪ s
advis	a t̚ f i s
advis	a t̚ v i s
afdeling	a f d e l i ŋ
agape	a ɡ a p e
agen	a ɡ ɛ n
agresi	a ɡ r ɛ s i
agustus	a ɡ ʊ s t ʊ s
ahli	a h l i
aikido	a i k i d o
air	a ʔ ɪ r
ajar	a d͡ʒ a r
akademi	a k a d e m i
akademis	a k a d e m i s
akan	a k a n
akeo	a k e o
aksa	a k̚ s a
aksara	a k s a r a
akta	a k̚ t a
akte	a k̚ t ə
aktif	a k̚ t ɪ f
aktif	a k̚ t ɪ p
aktivasi	a k̚ t i f a s i
aktivasi	a k̚ t i p a s i
aktivasi	a k̚ t i v a s i
aktivis	a k̚ t i f ɪ s
aktivis	a k̚ t i p ɪ s
aktivis	a k̚ t i v ɪ s
aktivisme	a k̚ t i f ɪ s m ə
aktivisme	a k̚ t i p ɪ s m ə
aktivisme	a k̚ t i v ɪ s m ə
aktivitas	a k̚ t i f i t a s
aktivitas	a k̚ t i p i t a s
aktivitas	a k̚ t i v i t a s
aku	a k u
akur	a k u r
akut	a k u t
alas	a l a s
aliah	a l i a h
aliansi	a l i a n s i
allah	a l l a h
alpa	a l p a
alpukat	a l p u k a t
am	a m
amah	a m a h
aman	a m a n
amar	a m a r
amerta	a m ə r t a
amin	a m ɪ n
ampul	a m p ʊ l
amra	a m r a
anak	a n a k
analisis	a n a l i s ɪ s
ancala	a n t͡ʃ a l a
ancaman	a n t͡ʃ a m a n
anda	a n d a
andaka	n a n d a k a
aneka	a n ɛ k a
anfal	a n f a l
angciu	a ŋ t͡ʃ i u
anggara	a ŋ ɡ a r a
anghun	a ŋ h u n
angka	a ŋ k a
angkak	a ŋ k a k
angkasa	a ŋ k a s a
angkasawan	a ŋ k a s a w a n
angkusa	a ŋ k u s a
anglo	a ŋ l o
anglung	a ŋ l u ŋ
angpao	a ŋ p a o
angpau	a ŋ p a u
angsa	a ŋ s a
aniaya	a n i a j a
animasi	a n i m a s i
antarbangsa	a n t a r b a ŋ s a
antariksawan	a n t a r ɪ k s a w a n
antik	a n t i k
anumerta	a n u m ə r t a
apak	a p a k
apanase	a p a n a s ə
aparat	a p a r a t
apek	a p ə k
apek	a p ɛ k
api	a p i
aplaus	a p l a u s
apologi	a p o l o ɡ i
apologia	a p o l o ɡ i a
apotek	a p o t e k
april	a p̚ r ɪ l
apsara	a p s a r a
arak	a r a k
