a	ɒ
aba	ɒ b ɒ
abakusszal	ɒ b ɒ k u sː ɒ l
abakusszá	ɒ b ɒ k u sː aː
abakusz	ɒ b ɒ k u s
abakusza	ɒ b ɒ k u s ɒ
abakuszai	ɒ b ɒ k u s ɒʲ i
abakuszaid	ɒ b ɒ k u s ɒʲ i d
abakuszaik	ɒ b ɒ k u s ɒʲ i k
abakuszaim	ɒ b ɒ k u s ɒʲ i m
abakuszaink	ɒ b ɒ k u s ɒʲ i ŋ k
abakuszaitok	ɒ b ɒ k u s ɒʲ i t o k
abakuszba	ɒ b ɒ k u z b ɒ
abakuszban	ɒ b ɒ k u z b ɒ n
abakuszból	ɒ b ɒ k u z b oː l
abakuszhoz	ɒ b ɒ k u s h o z
abakuszig	ɒ b ɒ k u s i ɡ
abakuszként	ɒ b ɒ k u s k eː n t
abakusznak	ɒ b ɒ k u s n ɒ k
abakusznál	ɒ b ɒ k u s n aː l
abakuszod	ɒ b ɒ k u s o d
abakuszok	ɒ b ɒ k u s o k
abakuszokat	ɒ b ɒ k u s o k ɒ t
abakuszokba	ɒ b ɒ k u s o ɡ b ɒ
abakuszokban	ɒ b ɒ k u s o ɡ b ɒ n
abakuszokból	ɒ b ɒ k u s o ɡ b oː l
abakuszokhoz	ɒ b ɒ k u s o k h o z
abakuszokig	ɒ b ɒ k u s o k i ɡ
abakuszokkal	ɒ b ɒ k u s o kː ɒ l
abakuszokká	ɒ b ɒ k u s o kː aː
abakuszokként	ɒ b ɒ k u s o kː eː n t
abakuszoknak	ɒ b ɒ k u s o k n ɒ k
abakuszoknál	ɒ b ɒ k u s o k n aː l
abakuszokon	ɒ b ɒ k u s o k o n
abakuszokra	ɒ b ɒ k u s o k r ɒ
abakuszokról	ɒ b ɒ k u s o k r oː l
abakuszoktól	ɒ b ɒ k u s o k t oː l
abakuszokért	ɒ b ɒ k u s o k eː r t
abakuszom	ɒ b ɒ k u s o m
abakuszon	ɒ b ɒ k u s o n
abakuszotok	ɒ b ɒ k u s o t o k
abakuszra	ɒ b ɒ k u s r ɒ
abakuszról	ɒ b ɒ k u s r oː l
abakuszt	ɒ b ɒ k u s t
abakusztól	ɒ b ɒ k u s t oː l
abakuszuk	ɒ b ɒ k u s u k
abakuszunk	ɒ b ɒ k u s u ŋ k
abakuszért	ɒ b ɒ k u s eː r t
abba	ɒ bː ɒ
abbahagy	ɒ bː ɒ h ɒ ɟ
abbamarad	ɒ bː ɒ m ɒ r ɒ d
abban	ɒ bː ɒ n
abból	ɒ bː oː l
aberráció	ɒ b ɛ rː aː t͡s iʲ oː
aberrációk	ɒ b ɛ rː aː t͡s iʲ oː k
abház	ɒ p h aː z
abházok	ɒ p h aː z o k
abigél	ɒ b i ɡ eː l
abiogén	ɒ b iʲ o ɡ eː n
ablak	ɒ b l ɒ k
ablaka	ɒ b l ɒ k ɒ
ablakai	ɒ b l ɒ k ɒʲ i
ablakaid	ɒ b l ɒ k ɒʲ i d
ablakaik	ɒ b l ɒ k ɒʲ i k
ablakaim	ɒ b l ɒ k ɒʲ i m
ablakaink	ɒ b l ɒ k ɒʲ i ŋ k
ablakaitok	ɒ b l ɒ k ɒʲ i t o k
ablakba	ɒ b l ɒ ɡ b ɒ
ablakban	ɒ b l ɒ ɡ b ɒ n
ablakból	ɒ b l ɒ ɡ b oː l
ablakcsa	ɒ b l ɒ k t͡ʃ ɒ
ablakdeszka	ɒ b l ɒ ɡ d ɛ s k ɒ
ablakdeszkák	ɒ b l ɒ ɡ d ɛ s k aː k
ablakdeszkákat	ɒ b l ɒ ɡ d ɛ s k aː k ɒ t
ablakdeszkát	ɒ b l ɒ ɡ d ɛ s k aː t
ablakhoz	ɒ b l ɒ k h o z
ablakig	ɒ b l ɒ k i ɡ
ablakkal	ɒ b l ɒ kː ɒ l
ablakká	ɒ b l ɒ kː aː
ablakként	ɒ b l ɒ kː eː n t
ablaknak	ɒ b l ɒ k n ɒ k
ablaknál	ɒ b l ɒ k n aː l
ablakod	ɒ b l ɒ k o d
ablakok	ɒ b l ɒ k o k
ablakokat	ɒ b l ɒ k o k ɒ t
ablakokba	ɒ b l ɒ k o ɡ b ɒ
ablakokban	ɒ b l ɒ k o ɡ b ɒ n
ablakokból	ɒ b l ɒ k o ɡ b oː l
ablakokhoz	ɒ b l ɒ k o k h o z
ablakokig	ɒ b l ɒ k o k i ɡ
ablakokkal	ɒ b l ɒ k o kː ɒ l
ablakokká	ɒ b l ɒ k o kː aː
ablakokként	ɒ b l ɒ k o kː eː n t
ablakoknak	ɒ b l ɒ k o k n ɒ k
ablakoknál	ɒ b l ɒ k o k n aː l
ablakokon	ɒ b l ɒ k o k o n
ablakokra	ɒ b l ɒ k o k r ɒ
ablakokról	ɒ b l ɒ k o k r oː l
ablakoktól	ɒ b l ɒ k o k t oː l
