אבא	a b a
אברהם	a v r ɔ h ɔ m
אדום	ɔ ð eː m
אדוני	a d ɛ ɪ n o j
אדוני	a d o n u j
אויב	o j e v
אחד	e χ uː d
אחד	e̞ ħ äː ð
אלוהים	e l o h i m
אנוכי	ɔ n o j x i
אסתר	e s t e j r
אסתר	e s t ə r
אפיקורוס	e p i k o ʁ o s
אקורד	a k o ʁ d
ארכיטקטורה	ʔ ä ʁ x i t e̞ k t u r ä
אשר	a ʃ ɛ ʁ
בית	b aː j i θ
בנימין	b i n j a m i n
ברז	b e ʁ e z
ברזים	b ʁ a z i m
בשר	b ɔ s ɔ r
בשר	b a s a ʁ
ג׳ירף	d ʒ i ʁ a f
ג׳ירפה	d ʒ i ʁ a f a
דברים	d v ɔ r ɪ m
דגש	d ä ɡ e̞ ʃ
דגש	d ɔ ɣ e ʃ
דוד	d̪ u d̪
דוד	d eː ð
דוד	d ɔː v ə d
דולר	d o̞ l ä ʁ
דחליל	d a χ l i l
דמוקרטיה	d e̞ m o̞ k ʁ ä t j ä
דפק	d a f a k
החדיר	h ɛ χ d i ʁ
הלכה	a l a χ a
הלכה	a l χ a
הסביר	h i s b i ʁ
העולם	h a ʕ ɔ l a m
הצטחק	h i t͡s t a χ ɛ k
וריד	v ʁ i d
זהיר	z a h i ʁ
זהיר	z a i ʁ
זונה	z o n a
חזיר	χ a z i ʁ
חיים	x a j i m
חיים	x a j ɪ m
חסד	ħ ɛ s ɛ ð
חפרפרת	x ä f ä ɣ p e̞ ʁ e̞ t
חרת	χ a ʁ a t
חשב	ħ a ʃ a v
חשבון	ħ e ʃ b o n
חשוב	χ ɔ ʃ ə v
חתול	x ɔ s l̩
חתול	ħ ɔ θ eː l
יד	j ɔː ð
ידע	j e d̪ a ŋ
ידע	j a d̪ a ŋ
יוחנן	j eː ħ ɔː n ɔː n
יצחק	j i t s x ɔ k
ירושה	j ɛ ʁ u ʃ a
יריחו	j ɛ ʁ i χ o
ישראל	j ɪ s ʁ ɔ ə l
כאן	k a n
כוהן	k u h e n
להתראות	l e h i t ʁ a o t
לחייך	l ɛ χ a j ɛ χ
מדפסת	m a t p e s e t
מושג	m u s a ɡ
מושלם	m u ʃ l ä m
מזגן	m a z ɡ a n
מזחלת	m i z χ e l e t
מזרק	m a z ʁ e k
מזרקה	m i z ʁ a k a
מצותיו	m i t s v ɔ t a v
מרגמה	m a ʁ ɡ e m a
משהו	m a ʃ ɛ u
משהו	m a ʃ u
משטרה	m i ʃ t a ʁ a
משיח	m aː ʃ iː a ħ
משיח	m ɔː ʃ iː a ħ
משיח	m ɔ ʃ i ə χ
משיח	m a ʃ i a χ
נורא	n o ʁ a
נחש	n a χ a ʃ
נחש	n a χ a ʃ
סדין	s a d i n
סניף	s n i f
ספריה	s i f ʁ i j ä
עברית	ŋ i v r i t
עולם	ŋ o l a m
עור	ʕ o r
עצם	ŋ e t s e m
עשה	ŋ a s a
פיצה	p i t͡s ä
פרדיגמה	p a ʁ a d i ɡ m a
פרה	p a ʁ a
פרחים	p ʁ a χ i m
צבע	t͡s e̞ v ä
צייד	t s a j a d
קול	ʔ oː l
קליד	k l i d
רבקה	ʁ i f k a
רבקה	ʁ i f k a
רבקה	r i f k ɔ
רבקה	r i f k ɔ
רבקה	ʁ i f k ɔ
רבקה	ʁ i f k ɔ
רבקה	r i β k aː
רבקה	r i b k aː
רבקה	r i b ʔ a
רומח	ʁ ɔ m a χ
רעיון	ʁ a a j o n
שבועה	ʃ v u ʔ a
שבת	ʃ a b a t
שומר	ʃ o j m ə r
שומר	ʃ u m e r
שחיטה	ʃ χ i t a
שלג	ʃ e l e ɡ
שלטון	ʃ i l t o n
שלטוני	ʃ i l t o n i
שקר	ʃ e k e ʁ
שקר	ʃ e ʔ e r
תזוזה	d͡z u z a
תזוזה	t z u z a
תחת	t a x ə s
תצליל	t a t͡s l i l
