aba	a b a
abac	a b a k
abace	a b a t͡ʃ e
abandonabil	a b a n d o n a b i l
abaxial	a b a k s j a l
abătut	a b ə t u t
abdomen	a b d o m e n
abdominal	a b d o m i n a l
aberant	a b e r a n t
aberativ	a b e r a t i v
abilita	a b i l i t a
abominabil	a b o m i n a b i l
abordaj	a b o r d a ʒ
abreviere	a b r e v i e r e
abrupt	a b r u p t
absent	a b s e n t
absent	a p s e n t
absolut	a b s o l u t
absolut	a p s o l u t
absolutist	a b s o l u t i s t
absorbit	a b s o r b i t
abstract	a b s t r a k t
absurd	a b s u r d
abundent	a b u n d e n t
academic	a k a d e m i k
academică	a k a d e m i k ə
acaju	a k a ʒ u
acarinată	a k a r i n a t ə
acătării	a k ə t ə r i j
accesibil	a k t͡ʃ e s i b i l
accidental	a k t͡ʃ i d e n t a l
acea	a t͡ʃ e̯ a
aceasta	a t͡ʃ e̯ a s t a
această	a t͡ʃ e̯ a s t ə
aceeași	a t͡ʃ e e̯ a ʃʲ
aceeași	a t͡ʃ e j a ʃʲ
acei	a t͡ʃ e j
acel	a t ʃ e l
acele	a t͡ʃ e l e
acele	a t͡ʃ e l e
aceleași	a t͡ʃ e l e̯ a ʃʲ
acelei	a t͡ʃ e l e j
acelor	a t͡ʃ e l o r
acelor	a t͡ʃ e l o r
acelui	a t͡ʃ e l u j
aceră	a t͡ʃ e r ə
acest	a t͡ʃ e s t
acetilsalicilic	a t͡ʃ e t i l s a l i t͡ʃ i l i k
achiziționare	a k i z i t͡s i o n a r e
acolo	a k o l o
acoperit	a k o p e r i t
acre	a k r e
acri	a k r i
acri	a k r i
acrișor	a k r i ʃ o r
acru	a k r u
activ	a k t i v
activa	a k t i v a
actor	a k t o r
actuar	a k t u a r
acuzat	a k u z a t
acvatic	a k v a t i k
acvilidă	a k v i l i d ə
adaptabil	a d a p t a b i l
adăpostit	a d ə p o s t i t
adânc	a d ɨ ŋ k
adânci	a d ɨ n t͡ʃʲ
adânci	a d ɨ n t͡ʃ i
adevărat	a d e v ə r a t
adictiv	a d i k t i v
adicție	a d i k t͜s iʲ e
administratoare	a d m i n i s t r a t o̯ a r e
administrator	a d m i n i s t r a t o r
admisibil	a d m i s i b i l
adnota	a d n o t a
adora	a d o r a
adorabil	a d o r a b i l
adormit	a d o r m i t
aducătoare	a d u k ə t o̯ a r e
adult	a d u l t
adulte	a d u l t e
adunător	a d u n ə t o r
adverbial	a d v e r b i a l
afemeiat	a f e m e j a t
aferim	a f e r i m
afla	a f l a
afront	a f r o n t
afund	a f u n d
afurisit	a f u r i s i t
agățat	a ɡ ə t͡s a t
agente	a d͡ʒ e n t e
ager	a d͡ʒ e r
agita	a d͡ʒ i t a
aglomerat	a ɡ l o m e r a t
agrafă	a ɡ r a f ə
agresiv	a ɡ r e s i v
agricol	a ɡ r i k o l
agricultor	a ɡ r i k u l t o r
agrimensor	a ɡ r i m e n s o r
agronom	a ɡ r o n o m
agronomă	a ɡ r o n o m ə
