alle	ɑ̂ lː ə̌
automat	æ ʉ t ʊ m aː t
campingvogn	k æ m p i ŋ v ɔ ŋ n
cd	s êː d ěː
diabetes	d ɪ ɑ b eː t eː s
diabetes	d ɪ ɑ b eː t eː s
dyreplageri	d yʷː ɾ ə p l a ɡ ə ɾ iː
einhyrning	æ ɪ̯ n h yʷː ɳ ɪ ŋ
fe	f eː
fiktiv	f i k t iː ʋ
føniks	f øʷː n ɪ k s
føniks	f øʷː n ɪ k s
gapahuk	ɡ aː p ɑ h ʉʷː k
gjort	j ʊ ʈ
gnom	ɡ n uː m
gnom	ɡ n uː m
havfru	h aː ʋ f ɾ ʉʷː
havfrue	h aː ʋ f ɾ ʉʷː ə
hevn	h ɛ v n
hvi	ʋ i
hårsår	h oː ʂ oː ɾ
hårsår	h oː ʂ oː ɾ
jesus	j eː s ʉ s
johan	j ʊ h ɑ nː
kik	ç iː k
kikke	ç ɪ kː ə
kirsten	² ç ɪ ʂ ʈⁿ ɳ̩
kjartan	ç ɑː ɻ t a n
kode	k uː d ə
lian	l ɪ aː n
lian	l ɪ aː n
ligning	l ɪ ŋ n ɪ ŋ
likning	l ɪ ŋ n ɪ ŋ
likning	l ɪ ŋ n ɪ ŋ
livsforsikring	l ɪ f s f ɔ ʂ ɪ k ɾ ɪ ŋ
livsforsikring	l ɪ f s f ɔ ʂ ɪ k ɾ ɪ ŋ
ludder	l u d dˀ ɐ r
magnus	m ɑ ŋː n ʉ s
maja	m ɑ jː a
neshorn	n eː s h uː ɳ
niks	n ɪ k s
niks	n ɪ k s
nymfe	n ʏ ɱ f ə
opphavsrett	ʊ p h ɑ f s ɾ ɛ t
pensum	pʰ ɛ n s ɔ m
primitiv	p ɾ i m i t iː ʋ
regn	ɾ ɛ ŋ n
regn	ɾ æ ɪ̯ n
rein	ɾ æ ɪ̯ n
reingjøre	ɾ æ ɪ̯ n j øʷː ɾ ə
slott	ʂ l ɔ t
slått	ʂ l ɔ t
smaragd	s m ɑ ɾ ɑ ɡ d
softis	s ɔ f t iː s
softis	s ɔ f t iː s
spille	s p ɪ l l ə
spilleautomat	s p ɪ l l ə æ ʉ t ʊ m aː t
syv	s yː v
tavle	t ɑ ʋ l ə
uten	ʉː t ə n
uten	ʉː t n̩
