abl	a b l̩
addysg	a ð ɪ s k
addysg	aː ð ɪ s k
addysgu	a ð ə s k i
adwaenost	a d w e i̯ n ɔ s t
aethost	e i̯ θ ɔ s t
aillt	a i̯ ɬ t
alltud	a ɬ t ɪ d
amobr	a m ɔ b r̩
anabl	a n a b l̩
aradr	a r a d r̩
asgwrn	a s k ʊ r n
awdl	a u̯ d l̩
awst	a u̯ s t
bedr	b ɛ d r̩
beidr	b e i̯ d r̩
belffast	b ɛ l f a s t
bobl	b ɔ b l̩
braster	b r a s d ɛ r
brasterog	b r a s t eː r ɔ ɡ
brasterog	b r a s t ɛ r ɔ ɡ
caerwysg	kʰ a i̯ r w ɪ s k
caerwysg	kʰ a i̯ r ʊ i̯ s k
carest	kʰ a r ɛ s t
carest	kʰ aː r ɛ s t
casgen	kʰ a s k ɛ n
casglu	kʰ a s k l i
castanwydd	kʰ a s t a n w ɪ ð
castanwydd	kʰ a s t a n ʊ i̯ ð
castanwydden	k a s t a n w iː ð ɛ n
castanwydden	k a s t a n w ɪ ð ɛ n
castell	kʰ a s t ɛ ɬ
cefn	kʰ ɛ v n̩
cenedl	kʰ eː n ɛ d l̩
cenedl	kʰ ɛ n ɛ d l̩
cest	kʰ eː s t
cest	kʰ ɛ s t
cestyll	kʰ ɛ s t ɪ ɬ
chastell	χ a s t ɛ ɬ
chdi	χ t iː
chefn	χ ɛ v n̩
chestyll	χ ɛ s t ɪ ɬ
chwedl	χ w ɛ d l̩
cledr	k lʰ ɛ d r̩
clustdlws	k lʰ ɪ s t l ʊ s
croesgad	k r ɔ i̯ s k a d
croestorri	k r ɔ i̯ s t ɔ r i
crwydr	k rʰ ʊ i̯ d r̩
cyfrwngddarostyngedigaeth	k ə v r ʊ ŋ ð a r ɔ s t ə ŋ ɛ d iː ɡ a i̯ θ
cyfrwngddarostyngedigaeth	k ə v r ʊ ŋ ð a r ɔ s t ə ŋ ɛ d iː ɡ ɛ θ
cyfrwngddarostyngedigaeth	k ə v r ʊ ŋ ð a r ɔ s t ə ŋ ɛ d ɪ ɡ a i̯ θ
cyfrwngddarostyngedigaeth	k ə v r ʊ ŋ ð a r ɔ s t ə ŋ ɛ d ɪ ɡ ɛ θ
cymysgedd	kʰ ə m ə s k ɛ ð
cysgu	kʰ ə s k i
cyswllt	kʰ ə s ʊ ɬ t
cysylltair	kʰ ə s ə ɬ t a i̯ r
cysylltiad	kʰ ə s ə ɬ t j a d
cysylltnod	kʰ ə s ə ɬ t n ɔ d
cysylltu	kʰ ə s ə ɬ t i
dadl	d a d l̩
deigr	d e i̯ ɡ r̩
dest	d eː s t
dest	d ɛ s t
disgwyl	d ɪ s k ʊ i̯ l
disgwyl	d ɪ s k ʊ l
disgwyl	d ɪ ʃ k ʊ i̯ l
disgwyl	d ɪ ʃ k ʊ l
disgybl	d ɪ s k ɪ b l̩
disgyn	d ɪ s k ɪ n
disgyn	d ɪ ʃ k ɪ n
dwfn	d ʊ v n̩
dysgu	d ə s k i
dysgwr	d ə s k ʊ r
edn	ɛ d n̩
eistedd	e i̯ s t ɛ ð
eistedd	ɪ s t ɛ
eistedd	ɪ ʃ t ɛ
eisteddfodau	e i̯ s t ɛ ð v oː d a i̯
eisteddfodau	e i̯ s t ɛ ð v ɔ d a i̯
eisteddfodau	s t ɛ ð v oː d ɛ
eisteddfodau	s t ɛ ð v ɔ d ɛ
eisteddle	e i̯ s t ɛ ð l ɛ
elltydd	ɛ ɬ t ɪ ð
enghraifft	ɛ ŋ r ɛ f t
enghraifft	ɛ ŋ̊ r a i̯ f t
enghraifft	ɛ ŋ̊ r ɛ f t
esgaladur	ɛ s k a l a d ɪ r
esgaladur	ɛ s k a l aː d ɪ r
esgid	ɛ s k ɪ d
esgyrn	ɛ s k ɪ r n
est	eː s t
est	ɛ s t
estron	ɛ s t r ɔ n
estrys	ɛ s t r ɪ s
gaeafgysgu	ɡ e i̯ a v ɡ ə s k i
gafr	ɡ a v r̩
gastell	ɡ a s t ɛ ɬ
gefn	ɡ ɛ v n̩
geifr	ɡ e i̯ v r̩
gestyll	ɡ ɛ s t ɪ ɬ
glasgoch	ɡ l a s k ɔ χ
glaswellt	ɡ l a s w ɛ ɬ t
golosg	ɡ oː l ɔ s k
golosg	ɡ ɔ l ɔ s k
gostyngaidd	ɡ ɔ s t ə ŋ a i̯ ð
gwallt	ɡ w a ɬ t
gwastraff	ɡ w a s t r a f
gwellt	ɡ w ɛ ɬ t
gwisg	ɡ w ɪ s k
gwisg	ɡ w ɪ ʃ k
gwisgo	ɡ w ɪ s k ɔ
gwisgo	ɡ w ɪ ʃ k ɔ
gwyllt	ɡ w ɪ ɬ t
gwystl	ɡ w ɪ s t l̩
gwystl	ɡ ʊ i̯ s t l̩
gwystl	ɡ ʊ i̯ s t ɪ l
heisteddfod	h e i̯ s t ɛ ð v ɔ d
heisteddfodau	h e i̯ s t ɛ ð v oː d a i̯
heisteddfodau	h e i̯ s t ɛ ð v oː d ɛ
heisteddfodau	h e i̯ s t ɛ ð v ɔ d a i̯
heisteddfodau	h e i̯ s t ɛ ð v ɔ d ɛ
henghraifft	h ɛ ŋ r ɛ f t
henghraifft	h ɛ ŋ̊ r a i̯ f t
henghraifft	h ɛ ŋ̊ r ɛ f t
hoffest	h ɔ f ɛ s t
huddygl	h ɪ ð ɪ ɡ l̩
hysbys	h ə s p ɪ s
hysgi	h ə s k i
leidr	l e i̯ d r̩
lestr	l ɛ s t r̩
lifft	l ɪ f t
llawysgrif	ɬ a u̯ ə s k r ɪ v
lledr	ɬ ɛ d r̩
lleidr	ɬ e i̯ d r̩
llestr	ɬ ɛ s t r̩
lloegr	ɬ ɔ i̯ ɡ r̩
llosg	ɬ ɔ s k
llosgi	ɬ ɔ s k i
llost	ɬ ɔ s t
llwybr	ɬ ʊ i̯ b r̩
llyfr	ɬ ɪ v r̩
loegr	l ɔ i̯ ɡ r̩
lyfr	l ɪ v r̩
maestref	m e i s t r ɛ v
masnachdy	m a s n a χ t i
melyster	m ɛ l ə s t ɛ r
mhobl	m̥ʰ ɔ b l̩
mollt	m ɔ ɬ t
nabl	n a b l̩
neidr	n e i̯ d r̩
nest	n eː s t
nest	n ɛ s t
nghastell	ŋ̊ʰ a s t ɛ ɬ
nghefn	ŋ̊ʰ ɛ v n̩
nghestyll	ŋ̊ʰ ɛ s t ɪ ɬ
ngwystl	ŋ w ɪ s t l̩
ngwystl	ŋ ʊ i̯ s t l̩
ngwystl	ŋ ʊ i̯ s t ɪ l
nheigr	n̥ e i̯ ɡ r̩
ocr	ɔ k r̩
odl	ɔ d l̩
pasg	pʰ a s k
pedr	pʰ ɛ d r̩
pedrongl	pʰ ɛ d r ɔ ŋ l̩
pedrsill	pʰ ɛ d r̩ s ɪ ɬ
phobl	f ɔ b l̩
plastig	p lʰ a s t ɪ ɡ
pobl	pʰ ɔ b l̩
post	pʰ ɔ s t
pysgod	pʰ ə s k ɔ d
pysgodyn	p ə s k oː d ɪ n
pysgodyn	p ə s k ɔ d ɪ n
rhestr	r̥ʰ ɛ s t r̩
rhestr	r̥ʰ ɛ s t ɛ r
rhisgl	r̥ ɪ s k l̩
rhisgl	r̥ ɪ s k ɪ l
rhisgl	r̥ ɪ ʃ k ɪ l
rhwystro	r̥ʰ ʊ i̯ s t r ɔ
salamandr	s a l a m a n d r̩
sawdl	s a u̯ d l̩
sbectol	s p ɛ k t ɔ l
sbwriel	s p ʊ r j ɛ l
sgandinafaidd	s k a n d ɪ n a v a i̯ ð
sgandinafia	s k a n d ɪ n a v j a
sgarff	s k a r f
sgert	s k ɛ r t
sgiwen	s k i u̯ ɛ n
sgrech	s k r eː χ
sgrechian	s k r eː χ a n
sgrechian	s k r eː χ ɛ n
sgrechian	s k r ɛ χ a n
sgrechian	s k r ɛ χ j a n
sgrechian	s k r ɛ χ ɛ n
sgwrs	s k ʊ r s
sgwrsio	s k ʊ r s j o
sgwrsio	s k ʊ r ʃ o
sgwâr	s k w aː r
sgôr	s k oː r
siwgr	ʃ ʊ ɡ r̩
stafell	s t a v ɛ ɬ
stafell	s t aː v ɛ ɬ
stopi	s t ɔ p i
stopiem	s t ɔ p j ɛ m
stopio	s t ɔ p j ɔ
stori	s t oː r i
stori	s t ɔ r i
stryd	s t r iː d
stŵr	s t uː r
teigr	tʰ e i̯ ɡ r̩
terfysgwr	tʰ ɛ r v ə s k ʊ r
theigr	θ e i̯ ɡ r̩
tyst	tʰ ɪ s t
wfft	ʊ f t
wybr	ʊ i̯ b r̩
wysg	ʊ i̯ s k
wystl	w ɪ s t l̩
wystl	ʊ i̯ s t l̩
wystl	ʊ i̯ s t ɪ l
ymherodr	ə m h ɛ r ɔ d r̩
ysboncio	ə s p ɔ ŋ k j ɔ
ysbrydol	ə s p r ə d ɔ l
ysbrydoli	ə s p r ə d oː l i
ysbrydoli	ə s p r ə d ɔ l i
ysbyty	ə s p ə t i
ysgaw	ə s k a u̯
