abot	a b ʊ t̪
agay	a ɡ a ɪ
alimpulo	a j i m p u j o
alimpulo	a l̪ i m p o
alimpulo	a l̪ i m p u d ʒ o
alimpulo	a l̪ i m p u l̪ o
alimpulos	a j i m p u j o s̪
alimpulos	a l̪ i m p o s̪
alimpulos	a l̪ i m p u d ʒ o s̪
alimpulos	a l̪ i m p u l̪ o s̪
alingagngag	a l i ŋ a ɡ ŋ a ɡ
amba	a m b a ʔ
anak	a n a k
anay	a n̪ a ɪ
atop	a t ʊ p
ba	b a
ba	b a ʔ
baba	b a b a
baba	b a ʔ b a ʔ
baga	b a ɡ a
baga	b a ɡ a ʔ
bahad	b a h a d
baho	b a h o
baho	b a h o ʔ
balay	b a j a ɪ
balay	b a l̪ a ɪ
balay	b a ɪ
balaya	b a j a
balaya	b a j a j a
balaya	b a j a ɪ ə
balaya	b a l̪ a d ʒ a
balaya	b a l̪ a j a
balaya	b a l̪ a ɪ ə
balaya	b a ɪ ə
bali	b a l̪ i
bali	b a l̪ i ʔ
balon	b a j o n̪
balon	b a l̪ o n̪
balon	b a ʊ̯ n̪
balungbong	b a l̪ u ŋ b o ŋ
bangka	b a ŋ k a ʔ
bao	b a ʔ o ʔ
bawon	b a w o n̪
bawon	b a ʊ̯ n̪
bayaw	b a j a ʊ
bibihan	b i b i h a n̪
bildo	b i l̪ d̪ o
binali	b i n̪ a l̪ i
binali	b i n̪ a l̪ i ʔ
botelya	b o t ɛ l j a
bugoy	b u ɡ ɔ ɪ
bulod	b u d̪
bulod	b u j o d̪
bulod	b u l̪ o d̪
bunot	b u n̪ o t̪
busog	b u s̪ ɡ o ɡ
busog	b u s̪ ɡ o ʔ ɡ
da	d æ
da	d ɑ
dalag	d̪ a j a ɡ
dalag	d̪ a l̪ a ɡ
dalag	d̪ a ɡ
day	d̪ a ɪ
duganganan	d̪ u ɡ ʌ ŋ a n a n
duha	d̪ u h a
dulon	d̪ u j o n̪
dulon	d̪ u l̪ o n̪
dulon	d̪ u n̪
duruha	d u r u h a
duruha	d ʊ r u h a
exag	ɪ k s ɑ d ʒ
exag	ɪ ɡ z ɑ d ʒ
galay	ɡ a j a ɪ
galay	ɡ a l̪ a ɪ
galay	ɡ a ɪ
gikalag	ɡ i k a j a ɡ
gikalag	ɡ i k a l̪ a ɡ
gikalag	ɡ i k a ɡ
gisa	ɡ i s a
gisa	ɡ i s a ʔ
guwatsi	ɡ u w a t̪ s̪ i
guwatsinanggo	ɡ u w a t ʃ i n̪ a ŋ ɡ o
guwatsinanggo	ɡ u w a t̪ s̪ i n̪ a ŋ ɡ o
harina	h a ɾ i n a
hiring	h i ɾ̪ i ŋ
hita	h i t̪ a ʔ
hiusa	h i uː s̪ a
hopia	h o p j a ʔ
hopya	h o p j a ʔ
hulga	h u l ɡ a ʔ
iban	i b a n
igtagurha	iː ɡ t̪ a ɡ u ɾ̪ h a
ihi	ʔ i h i ʔ
ija	i d͡ʒ a
ikaduha	i k a d̪ u h a
ikalima	i k a l̪ i m a
ikanapulo	i k a n a p u l ʊ ʔ
ikapito	i k a p i t̪ o
ikasiyam	i k a s̪ i j ʌ m
ikatulo	i k a t̪ ɔ l ʊ
ikaunom	i k a u n ʊ m
ikaupat	i k a u p a t̪
ikawalo	i k a w ʌ l o
inadlawan	i n̪ a d̪ l̪ a w a n̪
inday	i n̪ d̪ a ɪ
inga	i ŋ a ʔ
inunom	i n u n ʊ m
ipos	i p o s̪
ispat	i s̪ p a t̪
itik	i t̪ i k
itikan	i t̪ i k a n̪
kaduha	k a d̪ u h a
kalag	k a l̪ a ɡ
kalag	k a ɡ
kalagkalag	k a j a ɡ k a j a ɡ
kalagkalag	k a l̪ a ɡ k a l̪ a ɡ
kalagkalag	k a ɡ k a ɡ
kalatkat	k a l̪ a t̪ k a t̪
kalayo	k a j a j o
kalayo	k a j o
kalayo	k a l̪ a d ʒ o
kalayo	k a l̪ a j o
kalima	k a l̪ i m a
kapito	k a p i t̪ o
kaputol	k a p u t̪ o l̪
kasiyam	k a s̪ i j ʌ m
katkat	k a t̪ k a t̪
katulo	k a t̪ ɔ l ʊ
kaunom	k a u n ʊ m
kaupat	k a ɔ p a t̪
kausa	k a ɔ s a
kayat	k a d ʒ a t̪
kayat	k a j a t̪
kinaunahan	k i n ʌ u n a h ʌ n
kinaunahan	k ɪ n a ʊ n a h a n
kinhas	k i n̪ h a s̪
kinhason	k i n̪ a s̪ o n̪
kinhason	k i n̪ h a s̪ o n̪
kulukabildo	k u l̪ u k a b i l̪ d̪ o
kuting	k u j i ŋ
labnot	l̪ a b n̪ o t̪
lagay	j a ɡ a ɪ
lagay	l̪ a ɡ a ɪ
lala	j a j a
lala	l̪ a
lala	l̪ a l̪ a
lanot	l̪ a n̪ o t̪
lapa	l̪ a p a ʔ
layat	l̪ a d ʒ a t̪
layat	l̪ a j a t̪
layo	j a j o
layo	l̪ a d ʒ o
layo	l̪ a j o
lomboy	j o m b ɔ ɪ
lomboy	l̪ o m b ɔ ɪ
lunga	l̪ u ŋ a
lungag	l̪ u ŋ a ʔ ɡ
lusay	l u s a j
luta	l u t̪ a
luta	l u t̪ a ʔ
luto	l̪ u t̪ o
makaduha	m ʌ k a d̪ u h a
makalima	m ʌ k a l̪ i m a
makanapulo	m ʌ k a n a p u l ʊ ʔ
makapito	m ʌ k a p i t̪ o
makasiyam	m ʌ k a s̪ i j ʌ m
makatulo	m ʌ k a t̪ ɔ l ʊ
makaunom	m ʌ k a u n ʊ m
makaupat	m ʌ k a ɔ p a t̪
makausa	m ʌ k a u s̪ a
masareal	m a s̪ a ɾ̪ j a l̪
maya	m a j a
maya	m a j a ʔ
milo	m i l̪ o ʔ
napulo	n a p u l ʊ ʔ
nga	ŋ a
ngilo	ŋ i l̪ o
nimo	n i m o
niya	n i j a
otap	o t̪ a p
pagdugang	p ʌ ɡ d̪ u ɡ a ŋ
pagkuha	p ʌ ɡ k u h a ʔ
pagpuno	p ʌ ɡ p u n ɔ ʔ
pangitik	p a ŋ i t̪ i k
paso	p a s̪ o
paso	p a s̪ o ʔ
patay	p a t a ɪ
patis	p a t̪ i s̪
pato	p a t̪ u
pato	p a t̪ ɔ
patuka	p a t ɔ k a ʔ
patuka	p a t ɔ k ʌ ʔ
pinito	p i n ɪ t ʊ
