ా	a
ఎ	e
ఇ	i
ి	i
మ	m ə
న	n
న	n a
ొ	o
ఓ	oː
ో	oː
ర	r
ర	r a
త	t
త	t a
అ	ɐ
డ	ɖ
ఱ	ɽ
డ	ɖ a
ఱ	ɽ a
ఆట	aː ʈ a
ఈత	iː t a
కై	k a i
కీ	k iː
నగ	n a ɡ a
ఓల	oː l a
రే	r eː
సీ	s iː
గో	ɡ oː
ఆలు	aː l u
ఆమె	aː m e
ఆవు	aː ʋ u
బడి	b a ɖ i
బండ	b a ɳ ɖ a
దండ	d a ɳ ɖ a
దిశ	d i ʃ a
ధీర	d ʱ iː r a
ఈనె	iː n e
కసి	k a s i
లేఖ	l eː kʰ a
నమః	n a m a h
పంచ	p a ɲ t ʃ a
పంగ	p a ŋ ɡ a
పూజ	p uː d ʒ a
పూస	p uː s a
పూట	p uː ʈ a
రేఖ	r eː k ʱ a
రూక	r uː k a
చలి	t ʃ a l i
ఉండ	u ɳ ɖ a
గంట	ɡ a ɳ ʈ a
డేగ	ɖ eː ɡ a
ఘంట	ɡ ʱ a ɳ ʈ a
అష్ట	a ʃ ʈ a
అట్ట	a ʈː a
ఆలము	aː l a m u
బట్ట	b a ʈː a
బూతు	b uː t u
దండి	d a ɳ ɖ i
దండు	d a ɳ ɖ u
ధనము	d ʱ a n a m u
జీవి	d ʒ iː ʋ i
జ్యా	d͡ʒ j aː
కంచి	k a ɲ c i
కట్ట	k a ʈː a
కాకి	k aː k i
కామి	k aː m i
కారు	k aː r u
కాసు	k aː s u
కేళి	k eː ɭ i
కోతి	k oː t i
కోటి	k oː ʈ i
కోడి	k oː ɖ i
కృషి	k r i ʂ i
లెంక	l e ŋ k a
మచ్చ	m a ʈ s ʈ s a
మంచి	m a ɲ t͡ʃ i
మట్ట	m a ʈː a
మేలు	m eː l u
నిశ్	n i ʃ
నూనె	n uː n e
ఒంటి	o ɳ ʈ i
పైడి	p a j ɖ i
పడమర	p a ɖ a m a r a
పటము	p a ʈ a m u
పడతి	p a ɖ a t i
పచ్చ	p a ʈ s ʈ s a
పండు	p a ɳ ɖ u
పావడ	p aː ʋ a ɖ a
పిడక	p i ɖ a k a
పిడత	p i ɖ a t a
పీచు	p iː ʈ s u
పూవు	p uː ʋ u
రావు	r aː ʋ u
రేగు	r eː ɡ u
రేడు	r eː ɖ u
సంచి	s a ɲ t ʃ i
తావి	t aː ʋ i
తావు	t aː ʋ u
తోడు	t oː ɖ u
చరిత	t ʃ a r i t a
చర్య	t ʃ a r j a
చర్చ	t ʃ a r t ʃ a
చెవి	t ʃ e ʋ i
చాకు	t͡ʃ aː k u
చేటు	t͡ʃ eː ʈ u
గడియ	ɡ a ɖ i j a
గచ్చ	ɡ a ʈː s a
గాలి	ɡ aː l i
వేదన	ʋ eː d a n a
గీరు	ɡ iː r u
గోము	ɡ oː m u
గోరు	ɡ oː r u
గోగు	ɡ oː ɡ u
గోవు	ɡ oː ʋ u
టూకీ	ʈ uː k iː
ఠాణా	ʈ ʱ aː ɳ aː
అనంతం	a n a n t aⁿ
అనఘము	a n a ɡ ʱ a m u
ఔషధము	a u ʂ a d ʱ a m u
అశుచి	a ʃ u t͡ʃ i
ఆలయము	aː l a j a m u
ఆసనము	aː s a n a m u
బెరడు	b e r ʌ ɖ u
బేరము	b eː r a m u
బుట్ట	b u ʈː a
బూడిద	b uː ɖ i d a
దండుగ	d a ɳ ɖ u ɡ a
దిండు	d i ɳ ɖ u
దిట్ట	d i ʈː a
జామాత	d ʒ aː m aː t a
ధూపము	d ʱ uː p a m u
జాలము	d͡ʒ aː l a m u
ఎరుపు	e r u p u
ఏనుగు	eː n u ɡ u
ఏడాది	eː ɖ aː d i
హేమము	h eː m a m u
కమిటీ	k a m i ʈ iː
కసింద	k a s i n d a
కాలము	k aː l a m u
కామము	k aː m a m u
కేశము	k eː ʃ a m u
కోడలు	k oː ɖ a l u
లడ్డు	l a ɖː u
లోహము	l oː h a m u
మక్కా	m a k k ā
మంజరి	m a ɲ d͡ʒ a r i
మంచము	m a ɲ t͡ʃ a m u
మాఘము	m aː ɡ ʱ a m u
నమూనా	n a m uː n aː
నృపతి	n r i p a t i
ఓర్పు	oː r p u
ఓండ్ర	oː ɳ ɖ r a
పక్షి	p a k ʂ i
పెంకు	p e ŋ k u
పెట్ట	p e ʈː a
ప్రేమ	p r eː m a
ఫాలము	p ʱ aː l a m u
రేణుక	r eː ɳ u k a
రోదసి	r oː d a s i
రోగము	r oː ɡ a m u
సజాతి	s a d ʒ aː t i
సంహిత	s a m h i t a
సరసము	s a r a s a m u
సరళము	s a r a ɭ a m u
సంఘము	s a ŋ ɡ ʱ a m u
సుదతి	s u d a t i
సీసము	s ī s a m u
తాపము	t aː p a m u
తిండి	t i ɳ ɖ i
చమరము	t ʃ a m a r a m u
చరణము	t ʃ a r a ɳ a m u
చటాకు	t ʃ a ʈ aː k u
చెంబు	t ʃ ɛ m b u
చెండు	t͡ʃ e ɳ ɖ u
ఉదకము	u d a k a m u
శైలము	ʃ a j l a m u
వచనము	ʋ a t ʃ a n a m u
గంటము	ɡ a ɳ ʈ a m u
గచ్చు	ɡ a ʈː s u
శాకము	ʃ aː k a m u
వెండి	ʋ e ɳ ɖ i
వేదము	ʋ eː d a m u
గిట్ట	ɡ i ʈː a
వీసము	ʋ iː s a m u
వృకము	ʋ r i k a m u
గుండీ	ɡ u ɳ ɖ iː
గుట్ట	ɡ u ʈː a
గూటము	ɡ uː ʈ a m u
అయోనిజ	a j oː n i d ʒ a
ఔరసుడు	a u r a s u ɖ u
ఆలాపము	aː l aː p a m u
ఆముదము	aː m u d a m u
ఆషాఢము	aː ʂ aː ɖ ʱ a m u
బండారు	b a ɳ ɖ aː r u
బూటకము	b uː ʈ a k a m u
దాసుడు	d aː s u ɖ u
దాశరథి	d aː ʃ a r a t ʱ i
దేవిడీ	d eː ʋ i ɖ iː
దిష్టి	d i ʂ ʈ i
ధేనువు	d ʱ eː n u ʋ u
జిరాఫీ	d ʒ i r aː pʰ iː
హరిణము	h a r i ɳ a m u
హర్షము	h a r ʂ a m u
ఇత్తడి	i tː a ɖ i
