a	aː
ab	aː ɓ
abanel	aː ɓ aː n eː l
abaʼq	aː ɓ aː ʔ q
abir	aː ɓ iː ɻ
abix	aː ɓ iː ʃ
abixbal	aː ɓ iː ʃ ɓ aː l
abixik	aː ɓ iː ʃ iː kʰ
abixinik	aː ɓ iː ʃ iː n iː kʰ
abäj	aː ɓ a x
abäjirik	aː ɓ a x iː ɻ iː kʰ
achajil	aː t͡ʃʰ aː x iː l
achalal	aː t͡ʃʰ aː l aː l
achalaxik	aː t͡ʃʰ aː l aː ʃ iː kʰ
achalkaʼn	aː t͡ʃʰ aː l k aː ʔ n
achaq	aː t͡ʃʰ aː qʰ
achel	aː t͡ʃʰ eː l
achi	aː t͡ʃʰ iː
achik’	aː t͡ʃʰ iː
achik’aj	aː t͡ʃʰ iː kʼ aː x
achik’axik	aː t͡ʃʰ iː kʼ aː ʃ iː kʰ
achik’ik	aː t͡ʃʰ iː kʼ iː kʰ
achixaj	aː t͡ʃʰ iː ʃ aː x
achixam	aː t͡ʃʰ iː ʃ aː m
achi’l	aː t͡ʃ iː ʔ l
achi’laj	aː t͡ʃʰ iː ʔ l aː x
achi’lik	aː t͡ʃʰ iː ʔ l iː kʰ
achoch	aː t͡ʃʰ oː t͡ʃʰ
ach’	a t͡ʃʼ
chi	t͡ʃʰ iː
ch’aqabaj	t͡ʃʼ aː qʰ aː ɓ aː ʔ
ch’aqaba’	t͡ʃʼ aː qʰ aː ɓ aː ʔ
ch’aqach’oj	t͡ʃʼ aː qʰ aː t͡ʃʼ oː x
ch’aqalik	t͡ʃʼ aː kʰ aː l iː kʰ
ch’aqisaj	t͡ʃʼ aː qʰ iː s aː x
ch’aqi’k	t͡ʃʼ aː qʰ iː ʔ kʰ
ilawächij	iː l aː ʋ a t͡ʃʰ iː x
jaʼ	x aː ʔ
klawux	kʰ l aː ʋ uː ʃ
klawuxij	kʰ l aː ʋ uː ʃ iː x
klawuxim	kʰ l aː ʋ uː ʃ iː m
kowirik	kʰ oː ʋ iː ɻ iː kʰ
kowirisaj	kʰ oː ʋ iː ɻ iː s aː x
libaj	l iː ɓ aː x
nojim	n oː x iː m
nojimal	n oː x iː m aː l
q'osibal	qʼ oː s iː ɓ aː l
q’osibal	qʼ oː s iː ɓ aː l
rumal	ɻ uː m aː l
räx	ɻ a ʃ
räxarik	ɻ a ʃ aː ɻ iː kʰ
saq	s aː qʰ
saqil	s aː qʰ iː l
suk’	s uː kʼ
suk’umal	s uː kʼ uː m aː l
tew	tʰ eː ʋ
tewal	tʰ eː ʋ aː l
tzay	t͡sʰ aː j
tzayaba’	t͡sʰ aː j aː ɓ aː ʔ
tzayalik	t͡sʰ aː j aː l iː kʰ
tzayej	t͡sʰ aː j eː x
wabäj	ʋ aː ɓ a x
wäch	ʋ a t͡ʃʰ
wächibal	ʋ a t͡ʃʰ iː ɓ aː l
wächij	ʋ a t͡ʃʰ iː x
