а	ʔ aː
абадз	aː b aː d͡z
абакъэ	aː b aː q a
абан	aː b aː n
абас	aː b aː s
абдзах	aː b d͡z aː x
абрагъу	aː b r aː ʁʷ
абрадж	aː b r aː d͡ʒ
абрамыжъу	aː b r aː m ə ʐʷ
абрикос	ə b rʲ ɪ k o s
абхъаз	aː b χ aː z
абыкъу	aː b ə qʷ
абэгъоплъ	aː b a ʁʷ a p ɬ
абэдзэкъуай	aː b a d͡z a qʷ aː j
абэуйэй	a b a w j a j
агурджашъу	aː ɡʷ ə r d͡ʒ aː ʂʷ
агъо	aː ʁʷ a
агъунэр	aː ʁʷ ə n a r
аддэ	aː d d a
аджал	aː d͡ʒ aː l
аджар	aː d͡ʒ aː r
адрабгъу	aː d ə r aː b ʁʷ
ады	ʔ aː d ə
адыгагъ	aː d ə ɣ aː ʁ
адыгэ	aː d ə ɣ a
адыгэбзэ	aː d ə ɣ a b z a
адыгэкъэб	aː d ə ɣ a q a b
адыгэхэ	aː d ə ɣ a x a
адырабгъу	aː d ə r aː b ʁʷ
адэ	aː d a
адэбз	aː d a b z
адэкӏо	aː d a kʷ ʼ a
адэм	ʔ aː d a m
адэхъу	aː d a χʷ
ае	aː j a
азыфагу	aː z ə f aː ɡʷ
азэ	aː z a
азэнадж	aː z a n aː d͡ʒ
азэнаджапӏ	aː z a n aː d͡ʒ aː pˤ
ай	aː j
акул	aː kʷ ə l
акъужъ	aː qʷ ə ʐ
акъуш	aː qʷ ə ʃ
акъыл	ʔ aː q ə l
акъылыгъу	aː q ə l ə ʁʷ
ал	aː l
алахь	aː lˤ aː ħ
алашэ	aː l aː ʃ a
алъмэкъ	aː ɬ m a q
алыркъэб	aː l ə r q a b
алырэгъу	aː l ə r a ʁʷ
алырэгъушӏ	aː l ə r a ʁʷ ʃ ʼ
алэдышъ	aː l a d ə ʂ
амал	aː m aː l
амдэз	aː m d a z
амру	aː m r u
амылкъан	aː m ə l q aː n
амырми	aː m a r m i
амырмэ	aː m a r m a
амышӏэр	aː m ə ʃ ʼ a r
амыщ	aː m ə ɕ
амэ	aː m a
амэрми	aː m a r m i
амэрмэ	aː m a r m a
анай	aː n aː j
анахь	aː n aː ħ
анджэрэф	aː n d͡ʒ a r a f
анезе	a n a j z a j
анезечъыг	a n a j z a j t͡ʃʷ ə ɡ
антыр	aː n t ə r
анэ	ʔ aː n a
анэбзыу	a n a b z ə w
анэбзэ	aː n a b z a
анэдэлъфыбзэ	aː n a d a ɬ f ə b z a
анэдэлъфыбзэ	aː n a d a ɬ xʷ ə b z a
анэл	aː n a l
анэу	aː n a w
анэхь	aː n a ħ
анэш	ʔ aː n a ʃ
анэшыпхъу	ʔ aː n a ʃ ə p χʷ
апкь	aː p kʲ
апкӏмыжъ	aː p kʲ m ə ʐʷ
апкӏмыжъ	aː p t͡ʃ m ə ʐʷ
