abad	ɑbɑd
abadanlıq	ɑbɑdɑnɫɯχ
abadlıq	ɑbɑdɫɯχ
abajur	ɑbɑʒur
abdal	ɑbdɑɫ
abidə	ɑːbidæ
ac	ɑd͡z
ac	ɑd͡ʒ
ad	ɑd
ada	ɑdɑ
addım	ɑdːɯm
adlanmaq	ɑdɫɑmːɑχ
afət	ɑːfæt
aktyor	ɑktyor
aldanmaq	ɑɫdɑnmɑχ
aldanmaq	ɑɫːɑnmɑχ
aldatmaq	ɑɫdɑtmɑχ
aldatmaq	ɑɫːɑtmɑχ
almaniya	ɑɫmɑnijɑ
almaq	ɑɫmɑχ
almaz	ɑɫmɑz
alqış	ɑɫɡɯʃ
alqış	ɑɫɣɯʃ
alqışlamaq	ɑɫɡɯʃɫɑmɑχ
alqışlamaq	ɑɫɣɯʃɫɑmɑχ
altmış	ɑɫtmɯʃ
altmışıncı	ɑltmɯʃɯnd͡ʒɯ
altıncı	ɑltɯnd͡ʒɯ
altında	ɑɫtɯndɑ
alver	ɑlver
alət	ɑːlæt
alış	ɑɫɯʃ
amma	ɑmbɑ
amma	ɑmːɑ
ancaq	ɑnd͡zɑχ
ancaq	ɑnd͡ʒɑχ
and	and
anlamaq	ɑnɫɑmɑχ
anlayış	ɑnɫɑjɯʃ
anqut	ɑŋɡut
anqutboğaz	ɑŋɡutboɣɑz
aparmaq	ɑpɑrmɑχ
arabir	ɑrɑbir
arasında	ɑrɑsɯndɑ
artmaq	ɑrtmɑχ
artıq	ɑrtɯχ
arxaik	ɑrχɑik
arxasında	ɑrχɑsɯndɑ
arxiv	ɑɾxiv
arğac	ɑrɣɑd͡z
arğac	ɑrɣɑd͡ʒ
arıq	ɑrɯɣ
ata	ɑtɑ
atelye	ɑtelje
atmaq	ɑtmɑχ
atqı	ɑtɡɯ
atım	ɑtɯm
avqust	ɑvɟust
avtomatik	aftomatik
avtoqraf	ɑftoɡraf
avtoş	ɑftoʃ
axsamaq	ɑχsɑmɑχ
axtarmaq	ɑχtɑrmɑχ
axtarış	ɑχtɑrɯʃ
axşam	aχʃam
axır	ɑχɯr
ayaq	ɑjɑχ
ayaqqabı	ɑjɑkːɑbɯ
ayaqqabı	ɑjɑχkɑbɯ
ayaqyalın	ɑjɑɣjɑɫɯn
ayaqyolu	ɑjɑɣjolu
ayaz	ɑjɑz
aydın	ɑjdɯn
aydınlıq	ɑjdɯnɫɯχ
aylanmaq	ɑjɫɑmːɑχ
aylanmaq	ɑjɫɑnmɑχ
aylıq	ɑjɫɯχ
ayran	ɑjrɑn
ayıq	ɑjɯχ
ayıqlıq	ɑjɯɣɫɯχ
ayırmaq	ɑjɯrmɑχ
az	ɑz
azad	ɑzɑd
azadlıq	ɑzɑdɫɯχ
azlıq	ɑzdɯχ
azlıq	ɑzɫɯχ
azmaq	ɑzmɑχ
azyaşlı	ɑzjɑʃɫɯ
azərbaycan	ɑːzærbɑjd͡zɑn
azərbaycan	ɑːzæɾbɑjd͡ʒɑn
açar	ɑt͡sɑr
açar	ɑt͡ʃɑr
açmaq	ɑt͡smɑχ
