abl	a b l̩
addysg	a ð ɨ̞ s k
addysgu	a ð ə s k ɨ
adwaenost	a d w e ɨ̯ n ɔ s t
aethost	e ɨ̯ θ ɔ s t
aillt	a i̯ ɬ t
alltud	a ɬ t ɨ̞ d
amobr	a m ɔ b r̩
anabl	a n a b l̩
aradr	a r a d r̩
asgwrn	a s k ʊ r n
awdl	a u̯ d l̩
awst	a u̯ s t
basged	b a s k a d
basged	b a s k ɛ d
bedr	b ɛ d r̩
beidr	b e i̯ d r̩
belffast	b ɛ l f a s t
bobl	b ɔ b l̩ˠ
braster	b r a s d ɛ r
brasterog	b r a s t ɛ r ɔ ɡ
brwmstan	b r ʊ m s t a n
caerwysg	kʰ a ɨ̯ r uː ɨ̯ s k
caerwysg	kʰ a ɨ̯ r w ɨ̯ː s k
carest	kʰ a r ɛ s t
casgen	kʰ a s k ɛ n
casglu	kʰ a s k l ɨ
castanwydd	kʰ a s t a n w ɨ̞ ð
castanwydden	k a s t a n w ɨ̞ ð a n
castanwydden	k a s t a n w ɨ̞ ð ɛ n
castell	kʰ a s t a ɬ
castell	kʰ a s t ɛ ɬ
cenedl	kʰ ɛ n ɛ d l̩ˠ
cest	kʰ ɛ s t
cestyll	kʰ ɛ s t ɨ̞ ɬ
chastell	χ a s t a ɬ
chastell	χ a s t ɛ ɬ
chdi	χ t iː
chestyll	χ ɛ s t ɨ̞ ɬ
chwedl	χ w ɛ d l̩ˠ
cledr	k lˠʰ ɛ d r̩
clustdlws	k lʰ ɨ̞ s t l ʊ s
croesgad	k r ɔ ɨ̯ s k a d
croestorri	k r ɔ ɨ̯ s t ɔ r ɪ
crwydr	k rʰ ʊ ɨ̯ d r̩
cyfrwngddarostyngedigaeth	kʰ ə v r ʊ ŋ ð a r ɔ s t ə ŋ ɛ d ɪ ɡ a ɨ̯ θ
cyfrwngddarostyngedigaeth	kʰ ə v r ʊ ŋ ð a r ɔ s t ə ŋ ɛ d ɪ ɡ ɛ θ
cymysgedd	kʰ ə m ə s k a ð
cymysgedd	kʰ ə m ə s k ɛ ð
cysgu	kʰ ə s k ɨ
cyswllt	kʰ ə s ʊ ɬ t
cysylltair	kʰ ə s ə ɬ t a i̯ r
cysylltiad	kʰ ə s ə ɬ t j a d
cysylltnod	kʰ ə s ə ɬ t n ɔ d
cysylltu	kʰ ə s ə ɬ t ɨ
dadl	d a d l̩
deigr	d e i̯ ɡ r̩
dest	d ɛ s t
disgwyl	d ɪ s k ʊ ɨ̯ lˠ
disgybl	d ɪ s k ɨ̞ b l̩ˠ
disgybl	d ɪ s k ɪ b l̩ˠ
disgyn	d ɪ s k ɪ n
dwfn	d ɨ̞ v n̩
dwfn	d ʊ v n̩
dysgu	d ə s k ɨ̞
dysgwr	d ə s k ʊ r
edn	ɛ d n̩
eistedd	e i̯ s t ɛ ð
eistedd	ɪ s t a
eistedd	ɪ s t ɛ
eisteddfodau	e i̯ s t ɛ ð v ɔ d a ɨ̯
eisteddfodau	s t ɛ ð v ɔ d a
eisteddfodau	s t ɛ ð v ɔ d ɛ
eisteddle	e i̯ s t ɛ ð l ɛ
elltydd	ɛ ɬ t ɨ̞ ð
enghraifft	ɛ ŋ̊ r a i̯ f t
enghraifft	ɛ ŋ̊ r ɛ f t
esgaladur	ɛ s k a l a d ɨ̞ r
esgid	ɛ s k ɪ d
esgyrn	ɛ s k ɨ̞ r n
est	ɛ s t
estron	ɛ s t r ɔ n
estrys	ɛ s t r ɨ̞ s
gaeafgysgu	ɡ e ɨ̯ a v ɡ ə s k ɨ
gafr	ɡ a v r
gafr	ɡ a v r̩
gastell	ɡ a s t a ɬ
gastell	ɡ a s t ɛ ɬ
geifr	ɡ e i̯ v r
geifr	ɡ e i̯ v r̩
gestyll	ɡ ɛ s t ɨ̞ ɬ
glasgoch	ɡ l a s k ɔ χ
glaswellt	ɡ l a s w ɛ ɬ t
golosg	ɡ ɔ l ɔ s k
gostyngaidd	ɡ ɔ s t ə ŋ a i̯ ð
gwallt	ɡ w aː ɬ t
gwastraff	ɡ w a s t r a f
gwellt	ɡ w eː ɬ t
gwisg	ɡ w iː s k
gwisgo	ɡ w ɪ s k ɔ
gwyllt	ɡ w ɨː ɬ t
gwystl	ɡ w ɨ̞ s t l̩ˠ
heisteddfod	h e i̯ s t ɛ ð v ɔ d
heisteddfodau	h e i̯ s t ɛ ð v ɔ d a
heisteddfodau	h e i̯ s t ɛ ð v ɔ d a ɨ̯
heisteddfodau	h e i̯ s t ɛ ð v ɔ d ɛ
henghraifft	h ɛ ŋ̊ r a i̯ f t
henghraifft	h ɛ ŋ̊ r ɛ f t
hoffest	h ɔ f ɛ s t
huddygl	h ɨ̞ ð ɨ̞ ɡ l̩
hysbys	h ə s p ɨ̞ s
hysgi	h ə s k i
