চ	s ɔ
ছ	s ɔ́
ꠀ	a
ꠀꠀꠠ	a á ɽ
ꠀꠁꠌ꠆ꠍꠣ	a i t͡ʃː á
ꠀꠁꠌꠍꠣ	a ɪ t ɕ t ɕ á
ꠀꠁꠎ	a i z
ꠀꠁꠎꠇꠣꠁꠟ	a i z x a i l
ꠀꠄꠚꠟ	a e̯ f ɔ́ l
ꠀꠅꠞ	á ɔ ɾ
ꠀꠇꠔꠣ	a x t̪ a
ꠀꠇꠞꠣ	a x ɾ a
ꠀꠉꠘ	a ɡ ɔ n
ꠀꠋꠉꠥꠞ	a ŋ ɡ u ɾ
ꠀꠋꠉꠦꠎ	a ŋ ɡ e z
ꠀꠋꠑꠤ	a ŋ ʈ í
ꠀꠍꠦ	a s é
ꠀꠐ	a ʈ
ꠀꠑꠥ	a ʈ ú
ꠀꠗꠤ	a d̪ í
ꠀꠘꠗꠣꠁꠞ	a n d̪ á ɪ ɾ
ꠀꠙꠘꠦ	a ɸ n e
ꠀꠝ	a m
ꠀꠝꠌꠂꠟ	á m s ɔ i l
ꠀꠝꠤ	a m i
ꠀꠡꠤꠘ	a ʃ i n
ꠁ	i
ꠁꠌ꠆ꠍꠣ	i t͡ʃ t͡ʃ a
ꠁꠐ	i ʈ
ꠁꠐꠣꠘꠤ	i ʈ a n i
ꠁꠟꠤꠡꠣ	i l i ʃ a
ꠃ	u
ꠃꠇꠂꠘ	u k ɔ i n
ꠃꠐ	u ʈ
ꠃꠘ꠆ꠖꠥꠞ	u n d̪ u ɾ
ꠃꠘ꠆ꠗꠣꠟ	u n d̪ á l
ꠃꠘ꠆ꠗꠣꠟꠙꠥꠟꠤ	u n d̪ á l ɸ u l i
ꠃꠘ꠆ꠘꠤꠡ	u nː i ʃ
ꠃꠘꠖꠥꠞ	u n d̪ u ɾ
ꠃꠜꠣꠘꠤ	ú b á n i
ꠃꠞꠤ	u ɾ i
ꠄ	ɛ
ꠄꠇ	e x
ꠄꠇꠂꠡ	e x ɔ i ʃ
ꠄꠇꠟꠣ	e x l a
ꠅ	ɔ
ꠅꠄ	ɔ́ e̯
ꠅꠟꠂꠖ	ɔ́ l ɔ i d̪
ꠇ	x ɔ
ꠇꠂ	x ɔ i
ꠇꠌꠥꠀ	x ɔ s u a
ꠇꠟꠣ	x ɔ l a
ꠇꠣꠁꠟ	x a i l
ꠇꠣꠇꠂ	x a x ɔ i
ꠇꠣꠑꠟ	x a ʈ ɔ́ l
ꠇꠣꠔꠤ	x a t̪ i
ꠇꠣꠟꠤ	x a l i
ꠇꠤꠀꠘꠧ	k i a n ɔ
ꠇꠤꠔꠣ	k i t̪ a
ꠇꠥꠀꠁ	k u a i
ꠇꠥꠁꠀꠞ	k u í a ɾ
ꠇꠥꠔ꠆ꠔꠣ	k u t̪ː a
ꠇꠥꠘꠈꠣꠘꠧ	k u n x á n ɔ
ꠇꠥꠘꠣꠘꠧ	k u n a n ɔ
ꠈ	x ɔ́
ꠈꠛꠤꠍ	x ɔ b i s
ꠈꠣꠘꠧ	x á n ɔ
ꠈꠣꠝꠌꠠꠣ	x á m s ɔ ɽ a
ꠈꠣꠟꠤ	x á l i
ꠈꠦꠎꠥꠞ	x é z u ɾ
ꠈꠦꠠ	x é ɽ
ꠉ	ɡ ɔ
ꠉꠙ	ɡ ɔ ɸ
ꠉꠣꠅ	ɡ a ʊ
ꠉꠣꠜꠤꠘ	ɡ a b í n
ꠉꠣꠠꠤꠀ	ɡ a ɽ i a
ꠉꠥꠟ꠆ꠟꠤ	ɡ u lː i
ꠉꠥꠠꠣ	ɡ u ɽ a
ꠊ	ɡ ɔ́
ꠊꠞ	ɡ ɔ́ ɾ
ꠊꠠꠤ	ɡ ɔ́ ɽ i
ꠊꠣꠘꠥꠀ	ɡ á n u a
ꠊꠥꠠꠣ	ɡ ú ɽ a
ꠌꠂꠔ	s ɔ i t̪
ꠌꠃꠈ	s ɔ ʊ k
ꠌꠇꠞ	s ɔ x ɔ ɾ
ꠌꠣ	s a
ꠌꠣꠁꠞ	s a i ɾ
ꠌꠣꠃꠟ	s a u l
ꠌꠣꠐꠤꠀꠘꠤ	s a ʈ i a n i
ꠌꠣꠘꠌꠠꠣ	s a n t͡ʃ ɔ ɽ a
ꠌꠣꠛꠤ	s a b i
ꠌꠤꠞꠂꠘ	s i ɾ ɔ i n
ꠌꠥꠞꠤ	s u r i
ꠍ	s ɔ́
ꠍꠄ	s ɔ e̯
ꠍꠣꠔ꠆ꠔꠤ	s á t̪ː i
ꠍꠤꠟꠐ	s í l ɔ ʈ
ꠍꠤꠟꠐꠤ	s í l ɔ ʈ i
ꠍꠥꠞꠤ	s ú ɾ i
ꠍꠦꠙ	s é ɸ
ꠎ	z ɔ
ꠎꠂꠑ	z ɔ i ʈ
ꠎꠣꠟ	z a l
ꠎꠦꠛ	z e b
ꠏ	z ɔ́
ꠏꠣꠟ	z á l
ꠐꠟꠣ	ʈ ɔ l a
ꠑꠤꠇ	ʈ í k
ꠑꠥꠐ	ʈ ú ʈ
ꠒꠣꠛ	ɖ a b
ꠒꠣꠟ	ɖ a l
ꠓꠣꠟ	ɖ á l
ꠓꠥꠙꠤ	ɖ ú ɸ i
ꠓꠥꠟ	ɖ ú l
ꠔꠣꠟ	t̪ a l
ꠔꠤꠘ	t̪ i n
ꠕꠣꠟ	t̪ á l
ꠕꠥꠔꠣ	t̪ ú t̪ a
ꠖꠡ	d̪ ɔ ʃ
ꠖꠣꠘ	d̪ a n
ꠖꠥꠁ	d̪ u i
ꠖꠦꠈꠞꠣ	d̪ e x ɾ a
ꠗꠞꠣ	d̪ ɔ́ ɾ a
ꠗꠟꠣ	d̪ ɔ́ l a
ꠗꠣꠘ	d̪ á n
ꠗꠥꠞꠥꠝꠌꠣꠘ꠆ꠖꠤ	d̪ ú ɾ u m s a n d̪ i
ꠘꠃꠈ	n ɔ u k
ꠘꠄ	n ɔ e̯
