آكو	aː k o
الزب	ə zˤː ɑ b
بالعاني	b ə l ʕ aː n i
بتات	b t aː t
بخشة	b o χ ʃ a
بزار	b zˤ ɑː r
بزع	b zˤ ɑ ʕ
بزع	b ɑ zˤː ɑ ʕ
بزول	b a zː uː l
بلبوش	b a l b uː ʃ
بلبوشة	b a l b uː ʃ a
بنة	b a nː a
بنين	b n iː n
بوخة	b oː χ ɑ
بيباص	b iː b ɑː sˤ
تزدان	t ə z d aː n
تعفلق	t ʕ a f l ə ɡ
تل	t a lː
تينة	t iː n a
جبارة	ʒ u bː aː r a
جبوجي	ʒ a bː uː ʒ i
جلابية	ʒ ə lː aː b i jː a
جلجلان	ʒ ə l ʒ l aː n
جنازة	z n aː z a
حار	ħ ɑː rː
حرارات	ħ r ɑː r ɑː t
حكاك	ħ k aː k
حكة	ħ u kː ɑ
حوت	ħ uː t
حيط	ħ eː tˤ
خانب	χ ɑː n ə b
خرارة	χ ə rː ɑ r ɑ
خربوشة	χ ɑ r b uː ʃ a
خطم	χ tˤ ɑ m
خطم	χ ɑ tˤː ə m
خنانات	χ n aː n aː t
خنانة	χ n aː n a
خوى	χ w e
دبدحة	d a b ə d ħ a
دلاعة	d ə lː aː ʕ a
دلزة	d ə l z a
دمالة	d ə mː aː l a
دوب	d uː b
دوى	d w e
راجى	r ɑː ʒ aː
رشادة	r ʃ aː d a
رشتة	r ə ʃ t a
رواشن	r w aː ʃ ə n
روشن	r oː ʃ ə n
زازة	zˤ ɑː zˤ ɑ
زامل	z aː m ə l
زب	z ə bː
زبرة	zˤ u b r a
زبوب	z b uː b
زربوط	zˤ ɑ r b uː tˤ
زرقينة	zˤ ə r ɡ iː n a
زغرط	zˤ a ɣ rˤ ə tˤ
زقرلو	z ə ɡ r ə lː u
زك	zˤ u kː
زلبح	z a l b a ħ
زلمومية	z a l m uː m i jː a
زمالة	z m aː l a
زوز	z oː z
زوز	zˤ oː zˤ
زيط	zˤ ɑ jː ə tˤ
سباسي	s b aː s i
سبس	s a bː ə s
سبسي	s ə b s i
ستيرسو	s t iː r s u
سفناري	s f ə nː aː r i
سفنارية	s f ə nː aː r i j j a
سكنجبير	s k ə n ʒ b iː r
شاهي	ʃ aː h i
شبح	ʃ b a ħ
شبو	ʃ əː u
شخاشير	ʃ χ ɑː ʃ iː r
شخشير	ʃ ɑ χ ʃ iː r
شرتع	ʃ a r t a ʕ
شرشور	ʃ a r ʃ uː r
شرمولة	ʃ a r m uː l a
شرين	ʃ a r j ə n
شعبوط	ʃ ɑ ʕ b uː tˤ
شكشوكة	ʃ a k ʃ uː k a
شكون	ʃ k uː n
شلافطي	ʃ l ɑː f tˤ i
شلال	ʃ l aː l
شليوني	ʃ a l i oː n i
شواشيو	ʃ w aː ʃ iː w
شوشاو	ʃ a w ʃ aː w
شيبيبوك	ʃ iː b iː b uː k
شيشة	ʃ iː ʃ a
شيشمة	ʃ iː ʃ m a
صخف	sˤ ɑ χː ə f
صنورة	sˤ ɑ nː uː r a
صيد	sˤ eː d
طب	tˤ a bː
طيز	tˤ iː zˤ
عفج	ʕ a fː ə j
عوينة	ʕ w eː n a
غثيث	ɣ t iː t
غثيث	ɣ ə θ iː θ
فترش	f a t r ə ʃ
فرعة	f ɑ r ʕ ɑ
فركس	f a r k ə s
فطز	f a tˤː ə zˤ
فقاع	f ə ɡː ɑː ʕ
فقس	f a ɡː ə sˤ
فقس	f ɡ u sˤ
فقس	f ɡ ɑ sˤ
فكرونة	f ɑ k r uː n a
فليتشة	f l eː t ʃ a
فيسع	f iː s ɑ ʕ
فيسع	f iː sː ɑ ʕ
قرجومة	ɡ ɑ r ʒ uː m a
قرقابة	ɡ ə r ɡ aː b a
قرقب	ɡ u r ɡ u bː
قرقطون	ɡ ɑ r ɡ tˤ uː n
قزة	ɡ ɑ zˤː ɑ
قصيبة	ɡ sˤ eː b a
قصيبة	ɡ ə sˤ sˤ eː b a
قطوس	ɡ ɑ tˤː uː s
قطوسة	ɡ ɑ tˤː uː s a
قعمز	ɡ a ʕ m ə z
قلالية	ɡ ə lː aː l i jː a
قلعاوية	ɡ ə l ʕ aː w i jː a
قلفاط	ɡ ʊ l f ɑː tˤ
قنقيط	ɡ ə n ɡ iː tˤ
قنين	ɡ n a jː ə n
كاشيك	k aː ʃ iː k
كاغط	k ɑː ɣ ə tˤ
كراهب	k r aː h ə b
كرهبة	k a r a h b a
كلوط	k ɑ lˤː uː tˤ
كواغط	k w ɑː ɣ ə tˤ
كوش	k w ə ʃ
كوشة	k uː ʃ a
كيب	k iː b
لاقبي	l aː ɡ b i
مالقي	m aː l ɡ i
مالقيات	m aː l ɡ i jː aː t
مداس	m d aː s
مربوعة	m ɑ r b uː ʕ a
مرش	m u r ə ʃ
مزط	m a zˤː ə tˤ
معدنوس	m a ʕ d n uː s
مغارف	m ɣ aː r ə f
مغرف	m o ɣ r ə f
مندار	m ə n d ɑː r
مي	m e
ميبون	m iː b uː n
نغنغ	n a ɣ n a ɣ
نمنم	n ə m n ə m
نو	n ɑ wː
نونة	n uː n a
هلبا	h a l b a
واعر	w ɑː ʕ ə r
وصيف	w sˤ iː f
