aa	aː
aama	aː m a
aare	aː ɾ ɛ
afai	a f a i̯
aiyɨ	a i̯ j ɯ
aizɨde	a i̯ z ɯ d ɛ
akatate	a k a t a t ɛ
ana	a n a
arɨ	a ɾ ɯ
aɨ	a ɯ̯
aɨfɨ	a ɯ̯ ɸ ɯ
bite	b i t ɛ
biyama	b i d͡ʒ a m a
dakaño	d a k a ɲ ɔ
dayu	d a j u
eede	ɛː d ɛ
ei	ɛ i̯
eikaño	ɛ i̯ k a ɲ ɔ
eiño	ɛ i̯ ɲ ɔ
ekade	ɛ k a d ɛ
enaize	ɛ n a i̯ θ ɛ
enaizeño	ɛ n a i̯ θ ɛ ɲ ɔ
eo	ɛ ɔ
evu	ɛ β u
evuño	ɛ β u ɲ ɔ
feeko	ɸ ɛː k ɔ
feeɨ	ɸ ɛː ɯ
foo	ɸ ɔː
fuirɨ	f u i̯ ɾ ɯ
fɨvui	ɸ ɯ β u i̯
guite	ɡ u i̯ t ɛ
iraɨ	i ɾ a ɯ̯
ite	i t ɛ
izo	i θ ɔ
izoide	i θ ɔ i d ɛ
jaa	h aː
jaaide	h aː i d ɛ
jae	h a ɛ
jai	h a i̯
jaie	h a i̯ j ɛ
jaife	h a i̯ ɸ ɛ
jaive	h a i̯ β ɛ
jaka	h a k a
jamade	h a m a d ɛ
jebegɨ	h ɛ b ɛ ɡ ɯ
jerei	h ɛ r ɛ i̯
jino	h i n ɔ
jirode	h i ɾ ɔ d ɛ
jito	h i t ɔ
jitoma	h i t ɔ m a
jitɨramo	h i t ɯ ɾ a m ɔ
jiza	h i θ a
jofo	h ɔ ɸ ɔ
jokode	h ɔ k ɔ d ɛ
jɨfai	h ɯ ɸ a i̯
jɨfaiño	h ɯ ɸ a i̯ ɲ ɔ
jɨgadɨma	h ɯ ɡ a d ɯ m a
jɨguida	h ɯ ɡ u w i d a
kome	k ɔ m ɛ
komekɨ	k ɔ m ɛ k ɯ
komoma	k ɔ m ɔ m a
komoño	k ɔ m ɔ ɲ ɔ
komuide	k ɔ m u i̯ d ɛ
maika	m a i̯ k a
mena	m ɛ n a
menakaño	m ɛ n a k a ɲ ɔ
mirɨño	m i ɾ ɯ ɲ ɔ
moifo	m ɔ i̯ ɸ ɔ
mona	m ɔ n a
moo	m ɔː
mookama	m ɔː k a m a
mooma	m ɔː m a
mute	m u t ɛ
naiyɨ	n a i̯ j ɯ
nare	n a ɾ ɛ
naɨo	n a ɯ̯ ɰ ɔ
naɨona	n a ɯ̯ ɰ ɔ n a
nokae	n ɔ k a ɛ
nokɨ	n ɔ k ɯ
nɨeze	n ɯ ɛ θ ɛ
ofaiño	ɔ f a i̯ ɲ ɔ
oima	ɔ i̯ m a
oiño	ɔ i̯ ɲ ɔ
oma	ɔ m a
oogo	ɔː ɡ ɔ
riide	ɾ iː d ɛ
rokade	ɾ ɔ k a d ɛ
rokode	ɾ ɔ k ɔ d ɛ
rɨte	ɾ ɯ t ɛ
rɨño	ɾ ɯ ɲ ɔ
uizɨ	u i̯ θ ɯ
urue	u ɾ u w ɛ
uzu	u θ u
uzuma	u θ u m a
uzutɨaɨ	u θ u t ɯ ɰ a ɯ̯
uzuño	u θ u ɲ ɔ
yoema	j ɔ ɛ m a
yofuete	j ɔ ɸ u w ɛ t ɛ
zedade	θ ɛ d a d ɛ
ñaɨte	ɲ a ɯ̯ t ɛ
ɨbaide	ɯ b a i̯ d ɛ
ɨkare	ɯ k a ɾ ɛ
ɨko	ɯ k ɔ
ɨni	ɯ n i
ɨnɨde	ɯ n ɯ d ɛ
ɨɨ	ɯː
ɨɨima	ɯː ɰ i m a
ɨɨio	ɯː i ɔ
