acis	a t͡sʲ i sʲ
acs	a t͡sʲ sʲ
aforizms	a f ɔ r i z m s
akmiņs	a k mʲ i nʲ sʲ
apdūmeigs	a b d uː mʲ æ i̯ k s
ar	a r
bet	b æ t
bolūds	b o l uː tʲ sʲ
broilers	b r ɔ i̯ l æ r s
bruoļ	b r u o̯ lʲ
bruoļs	b r u o̯ lʲ sʲ
byut	b ɨ u̯ t
ceļš	t͡sʲ ɛ lʲ ʃ
cik	t͡sʲ i k
daudz	d a u̯ d z
dina	d i n a
div	dʲ i v
diveji	dʲ i vʲ æ j i
divejis	dʲ i vʲ æ j i sʲ
divi	dʲ i vʲ i
dorbs	d ɔ r b s
dreizs	d r æ i̯ sː
dreiži	d r æ i̯ ʒ i
dreižuok	d r æ i̯ ʒ u̯ ɔ k
dzeive	d z æ i̯ v æ
dāls	d aː l s
egle	æ ɡ lʲ æ
eiss	æ i̯ sʲː
eiši	æ i̯ ʃ i
ezs	ɛ sʲː
gobols	ɡ ɔ b ɔ l s
gryuts	ɡ r ɨ u̯ t s
gryuši	ɡ r ɨ u̯ ʃ i
guļbs	ɡ u lʲ pʲ sʲ
ir	i r
irā	i r aː
iudiņs	i̯ e u d ĕ nʲ sʲ
jis	j ɪ s
jārs	j aː r s
kaids	k a i̯ t s
kur	k u r
kurms	k u r mʲ sʲ
kūks	k uː k s
labi	l a bʲ i
laiva	l a i̯ v a
lase	l a sʲ æ
lieni	lʲ i̯ ɛ nʲ i
lobs	l ɔ p s
lobuok	l ɔ b u̯ ɔ k
luocs	l u o̯ t͡sʲ sʲ
lāns	l aː n s
līpa	lʲ iː p a
meita	mʲ æ i̯ t a
mes	mʲ æ s
mežs	mʲ ɛ ʃː
miļti	mʲ i lʲ tʲ i
mola	m ɔ l a
moza	m ɔ z a
mozs	m ɔ sː
muot	m u o̯ t
muote	m u o̯ t æ
nikas	nʲ i k a s
nui	n u i̯
ocu	ɔ t͡s u
peile	pʲ ɛ i̯ lʲ æ
persona	p ɛ r s ɔ n a
pierts	pʲ i ɛ̯ r t s
plyks	p l ɨ k s
puika	p u i̯ k a
puiss	p u i̯ sː
pyrmais	p ɨ r m a i̯ s
pyrmuo	p ɨ r m u̯ ɔ
rats	r a t s
reit	r ɛ i̯ tʲ
rups	r u p s
saldats	s a l d a t s
saule	s a u̯ lʲ æ
sausa	s a u̯ s a
sauss	s a u̯ sː
seši	s ɛ ʃ i
sirdis	sʲ i r dʲ i sʲ
sirds	sʲ i r tʲ sʲ
slikts	sʲ lʲ i k t s
slikši	sʲ lʲ i kʲ ʃ i
slikšuok	sʲ lʲ i kʲ ʃ u̯ ɔ k
smalki	s m a lʲ kʲ i
smalči	s m a lʲ t͡ʃ i
smolks	s m ɔ l k s
smolkuok	s m ɔ l k u̯ ɔ k
sovaids	s ɔ v a i̯ t s
sovaiži	s ɔ v a i̯ ʒ i
sābrys	s aː b r ɨ s
sīva	s iː v a
taisns	t a i̯ s n s
taišni	t a i̯ ʃ nʲ i
tivi	tʲ i vʲ i
truss	t r u sʲː
tuols	t u o̯ l s
tyvs	t ɨ v s
tēt	tʲ æː t
tēte	tʲ æː t æ
uops	u o̯ pʲ sʲ
ustoba	u s t ɔ b a
vacs	v a t͡s s
vadzs	v a dʲ sʲː
varbyut	v a r b ɨ u̯ t
vecs	vʲ ɛ tʲ sʲ
viejs	vʲ i ɛ̯ j s
vieli	vʲ i̯ ɛ lʲ i
vieļuok	vʲ i̯ ɛ lʲ u̯ ɔ k
viņ	vʲ i nʲ
voi	v ɔ i̯
vonogs	v ɔ n ɔ k s
vāls	v aː l s
vīna	vʲ iː n a
vīns	vʲ iː n s
začs	z a t͡ʃ sʲ
zeme	zʲ æ mʲ æ
zivs	zʲ i vʲ sʲ
zuts	z u t sʲ
zyrgs	z ɨ r k s
zyvu	z ɨ v u
ūga	uː ɡ a
ūss	uː sʲː
ūtris	uː tʲ rʲ i sʲ
