'y	ɪ
aba	ʔ ɐ b a
aba	ʔ ɐ b a ʔ
abalos	ʔ ɐ b ɐ l o s
abandonado	ʔ ɐ b ɐ n d o n ɐ d o
abaniko	ʔ ɐ b ɐ n ɪ x o
abejuela	ʔ ɐ b ɛ d͡ʒ ʊ ɛ l ɐ
abelgas	ʔ ɐ b ɛ l ɡ ɐ s
abellera	ʔ ɐ b ɛ l l ɛ ɾ ɐ
abing	ʔ ɐ b ɪ ŋ
abisuhan	ʔ ɐ b ɪ s ʊ h ɐ n
abo	ʔ ɐ b o
abrazado	ʔ ɐ b ɾ ɐ s ɐ d o
abrenica	ʔ ɐ b ɾ ɛ n ɪ x ɐ
abueg	ʔ ɐ b w ɛ ɡ
abulencia	ʔ ɐ b ʊ l ɛ n ʃ ɐ
abusado	ʔ ɐ b ʊ s ɐ d o
abyad	ʔ ɐ b j ɐ d
abyador	ʔ ɐ b j ɐ d o ɾ
acierto	ʔ ɐ ʃ ɛ ɾ t o
acorda	ʔ ɐ x o ɾ d ɐ
acuzar	ʔ ɐ x ʊ s ɐ ɾ
adajar	ʔ ɐ d ɐ d͡ʒ ɐ ɾ
adik	ʔ a d ɪ k
adlawan	ʔ ɐ d l ɐ w ɐ n
adres	ʔ ɐ d ɾ ɛ s
adrias	ʔ ɐ d ɾ ɪ ɐ s
agapay	ʔ ɐ ɰ ɐ p a ɪ̯
agila	ʔ a ɰ ɪ l ɐ
agiw	ʔ a ɰ ɪ ʊ̯
agrabyado	ʔ ɐ ɡ ɾ ɐ b j a d o
aguas	ʔ ɐ ɰ ʊ ɐ s
aguda	ʔ ɐ ɰ ʊ d ɐ
aguilera	ʔ ɐ ɰ ɪ l ɛ ɾ ɐ
aguirre	ʔ ɐ ɰ ɪ ɾ ɛ
agustin	ʔ ɐ ɰ ʊ s t ɪ n
agwat	ʔ ɐ ɡ w ɐ t
aksayado	ʔ ɐ k s ɐ j a d o
alambre	ʔ ɐ l a m b ɾ ɛ
alcaide	ʔ ɐ l k a ɪ̯ d ɛ
aldover	ʔ ɐ l d o b ɛ ɾ
alegre	ʔ ɐ l ɛ ɡ ɾ ɛ
alila	ʔ ɐ l i l ɐ ʔ
alimasag	ʔ ɐ l ɪ m a s ɐ ɡ
alipin	ʔ ɐ l ɪ p ɪ n
alis	ʔ a l ɪ s
alkansya	a l k a n s i a
alkansya	a l k a n sʲ a
alkansya	a l k a n ɕ a
almaden	ʔ ɐ l m ɐ d ɛ n
almarez	ʔ ɐ l m ɐ ɾ ɛ s
almario	ʔ ɐ l m ɐ ɾ ɪ o
almendrala	ʔ ɐ l m ɛ n d ɾ ɐ l ɐ
almirol	ʔ ɐ l m ɪ ɾ o l
alonte	ʔ ɐ l o n t ɛ
alonto	ʔ ɐ l o n t o
alperes	ʔ ɐ l p ɛ ɾ ɛ s
altapresyon	ʔ ɐ l t ɐ p ɾ ɛ ʃ o n
alviar	ʔ ɐ l b j ɐ ɾ
amante	ʔ ɐ m ɐ n t ɛ
ambag	ʔ ɐ m b a ɡ
amerikana	ʔ ɐ m ɛ ɾ ɪ x a n ɐ
amin	ʔ a m ɪ n
aminado	ʔ ɐ m ɪ n ɐ d o
amon	ʔ ɐ m o n
amoranto	ʔ ɐ m o ɾ ɐ n t o
ampaw	ʔ ɐ m p a ʊ̯
amurao	ʔ ɐ m ʊ ɾ a ʊ̯
analisis	ʔ ɐ n ɐ l i s ɪ s
anatomiya	ʔ ɐ n ɐ t o m i ɐ
anay	ʔ a n a ɪ̯
anayin	ʔ ɐ n ɐ j ɪ n
andal	ʔ ɐ n d ɐ l
anggo	ʔ ɐ ŋ ɡ o
anghel	ʔ ɐ ŋ h ɛ l
angkla	ʔ ɐ ŋ k l ɐ
ango	ʔ ɐ ŋ o
angot	ʔ ɐ ŋ o t
anim	ʔ a n ɪ m
anis	ʔ ɐ n i s
antipona	ʔ ɐ n t i p o n ɐ
antok	ʔ ɐ n t o k
antukin	ʔ ɐ n t ʊ x i n
antukin	ʔ ɐ n t ʊ x ɪ n
anyayahan	ʔ ɐ ɲ ɐ j ɐ h ɐ n
apela	ʔ ɐ p ɛ l a
apilado	ʔ ɐ p ɪ l ɐ d o
apostasiya	ʔ ɐ p o s t ɐ s ɪ ɐ
aranda	ʔ ɐ ɾ ɐ n d ɐ
aray	ʔ ɐ ɾ a ɪ̯
arañas	ʔ ɐ ɾ ɐ ɲ ɐ s
arce	ʔ ɐ ɾ s ɛ
arcega	ʔ ɐ ɾ s ɛ ɰ ɐ
arceo	ʔ ɐ ɾ s ɛ o
arcilla	ʔ ɐ ɾ s ɪ l l ɐ
arcillas	ʔ ɐ ɾ s ɪ l l ɐ s
arcinas	ʔ ɐ ɾ s ɪ n ɐ s
arenas	ʔ ɐ ɾ ɛ n ɐ s
arevalo	ʔ ɐ ɾ ɛ b ɐ l o
argente	ʔ ɐ ɾ ɡ ɛ n t ɛ
arkila	ʔ ɐ ɾ k ɪ l a
arquiza	ʔ ɐ ɾ k ɪ s ɐ
arriola	ʔ ɐ ɾ ɪ o l ɐ
arrogante	ʔ ɐ ɾ o ɰ ɐ n t ɛ
artiaga	ʔ ɐ ɾ t͡ʃ ɐ ɰ ɐ
arzadon	ʔ ɐ ɾ s ɐ d o n
asilo	ʔ ɐ s ɪ l o
asinta	ʔ ɐ s ɪ n t a
asul	ʔ ɐ s ʊ l
