'kay	ʔ kʰ e ɪ̯
'll	l̩
'll	ə l
'll	ɫ̩
'll	ɯ
'll	ʊ
abode	ʔ ə b o ʊː d̥̚
accend	æ k s ɛ n d
accommodate	ə kʰ ɑ m ə d e ɪ t
accommodator	ə k ɑ m ə d e ɪ t ɚ
accordable	ə kʰ ɔ r ɾ ə b ɫ̩
accordantly	ə kʰ ɔ ɹ ɾ ɨ̞ n ʔ ɫ i
accreditation	ə k ɹ ɛ d ɨ t e ɪ ʃ ə n
accreditation	ə k ɹ ɛ d ɨ ɾ e ɪ ʃ ə n
acidophilus	æ s ɪ d ɑ f ɪ l ə s
acknowledge	ə k n ɑː l ə d ʒ
acknowledge	ə ɡ n ɑː l ə d ʒ
acknowledge	ɨ k n ɑː l ɨ d ʒ
acknowledge	ɨ ɡ n ɑː l ɨ d ʒ
adam	æ ɾ m̩
adam	æ ɾ ə m
added	a d ə d
added	a d ɪ d
added	æ ɾ ə d
added	æ ɾ ɪ d
additive	æ ɾ ə t ɪ v
additive	æ ɾ ə ɾ ɪ v
adelaide	æ d ɜ l æ ɪ̯ d
aelita	a ɪ̯ l i ɾ ə
aerose	i ɹ ə ʊ z
agglutinin	ə ɡ l uː ʔ n̩ ɪ n
aha	ɑ h ɑ
aha	ə h ɑ
alacrity	ə l æ k ɹ ɨ t i
alder	ɑ l d ɚ
alders	ɔ l d ɚ z
alienation	e ɪ l i ə n e ɪ ʃ ə n
alignment	ə ɫ a ɪ n m ə n t
allergic	ə l ɜː d ʒ ɪ k
allergic	ə l ɝ d ʒ ɪ k
allergies	æ l ə d ʒ i z
allergies	æ l ɚ d ʒ i z
allergy	æ l ə d ʒ i
allergy	æ l ɚ d ʒ i
alliteration	ə l ɪ ɾ ə ɹ e ɪ ʃ ə n
almanac	ɔ l m ə n æ k
alpha	æ ɫ f ə
am	ɛ̃ ə̃ː m
am	ẽ ə̃ː m
amazing	ə m e ɪ̯ z ɪ ŋ
amity	æ m ɪ ɾ i
amphibious	æ m f ɪ b i ə s
analects	æ n ə l ɛ k t s
andrew	eᵊ n d ʒ ɹ ʊ̈ u
andrew	æ n d ʒ ɹ ʊ̈ u
angst	e ɪ ŋ k s t
angsts	e ɪ ŋ k s t s
anselm	æ n s ɛ l m
antarctica	æ ɾ̃ ɑ ɹ ɾ ɪ k ə
anthropomorphic	æ̃ n̪ θ ɹ̠ ə p ə m ɔ ɹ̠ f ɪ̈ k
antre	æ n ɾ ɚ
app	ʔ æ ʔ p̚
appear	ə pʰ i ɹ
apple	æ p ɫ̩
appled	æ p ɫ̩ d
arbitration	ɑ ɹ b ə t̠͡ɹ̠ e ɪ ʃ n̩
aristotle	æ r ɪ s t ɑ ɾ ɫ̩
aristotle	ɛ r ɪ s t ɑ ɾ ɫ̩
arlon	ɑ ɹ ɫ ɔː n
arlon	ɑː ɫ ɔː n
article	ɑː ɹ ɾ ɨ k ɫ
artina	ɑ ɹ tʰ i n ə
artisanal	ä ɹ t ə z æ n ə l
asked	æ s k̚ t
asked	æ s t
assertion	ə s ɝ ʃ n̩
atend	ə tʰ ɛ n d
attack	ə tʰ æ k
attar	æ t̬ ɑː ɹ
attar	æ t̬ ə ɹ
attend	ə tʰ ɛ n d
attic	æ ɾ ɪ k
attitude	æ ɾ ɪ t u d
attraction	ə t ɹ æ k ʃ ɪ̈ n
attraction	ə t͡ʃ ɹ æ k ʃ ɪ̈ n
attrition	ə t ɹ ɪ ʃ ə n
aula	ɔː l a
authenticity	ɑ θ ə n t ɪ s ɪ ɾ i
authenticity	ɑ θ ɛ n t ɪ s ɪ ɾ i
auto	ɑ ɾ o ʊ
auto	ɔ ɾ o ʊ
automate	ɒ ɾ o ʊ m e ɪ t
automatic	ɔ ɾ ə m æ ɾ ɪ k
autumn	ɔ ɾ m̩
autumn	ɔ ɾ ɪ̈ m
availability	ə v e ɪ l ə b ɪ l ɪ t ɪ
avocado	æ v ə k ɑ ɾ o ʊ
avocado	ɑ v ə k ɑ ɾ o ʊ
awara	æ w ɑ ɹ ʌ
awara	ɑ w ʌ ɹ ʌ
ayuh	ˀe ɪ ʌˀ
baa	b æ
baa	b æ̰ˀ æ̰ˀ æ̰ˀ æ̰ˀ
baa	b æ̰ː
baa	b ɑ
back	b a k
back	b æ k
bacterial	b æ k t ɪ ə ɹ i ə ɫ
badder	b æ ɾ ɚ
baedeker	b e ɪ d ə k ə ɹ
bail	b e ə̯ ɫ
bail	b e ɪ̯ ə ɫ
balancelle	b æ l ə n s e ɫ
baldric	b ɔː ɫ d ɹ ɪ k
bale	b e ə̯ ɫ
bale	b e ɪ̯ ə ɫ
balt	b ɑ l t
balt	b ɔː l t
bar	b ɑ ɹ
bar	b ɑ ˞
bard	b ɑ ɹ d
barn	b aː n
barn	b ɐː n
barn	b ɑ ɹ n
barn	b ɑː n
barn	b ɒ ə n
barrel	b æ ɹ ə ɫ
barrel	b ɛ ɚ ɹ ə ɫ
barter	b ɑ ɹ ɾ ɚ
basal	b e ɪ z ə ɫ
bashful	b æ ʃ f ə ɫ
bashful	b æ ʃ f ʊ ɫ
bashkortostan	b ɑ ʃ k ɔ ɹ t o ə̯ s t ɛ ə n
bath	b a θ ⁓ b æ θ
bath	b æ θ ⁓ b ɛ ə θ ⁓ b e ə θ
bath	b ɑː t̪ʰ
bath	b ɑː θ
batter	b æ ɾ ɚ
battle	b æ t ɫ̩
battle	b æ ɾ ɫ̩
batty	b æ ɾ i
baulk	b ɔ ɫ k
bautzen	b a ʊ t s ə n
beagle	b iː ɡ ə ɫ
beared	b ɛ ɚ̯ d
beared	b ɛː d
