ՠ	æ
ա	ɑ
աբրահամ	ɑ pʰ ɾ ɑ h ɑ m
աբրամ	ɑ pʰ ɾ ɑ m
ագրիպպաս	ɑ kʰ ɾ i bː ɑ s
ադամ	ɑ tʰ ɑ m
ազատ	ɑ z ɑ d
ալանի	ɑ l ɑ n i
ախտ	ɑ χ t
ած	ɑ d z
ածեր	ɑ d z ɛ ɾ
ածք	ɑ d z kʰ
ակնածու	ɑ ɡ n ɑ d z u
ակոս	ɑ ɡ o s
ակուշկա	ɑ k u ʃ k ɑ
ակռա	ɑ ɡ r ɑ
ահարոն	ɑ h ɑ ɾ o n
աղ	ɑ ʁ
աղաղակ	ɑ ʁ ɑ ʁ ɑ ɡ
աղորի	ɑ ʁ o ɾ i
աղջիկ	ɑ χ t͡ʃʰ i ɡ
աղվես	ɑ ʁ v ɛ s
աճառյան	ɑ d͡ʒ ɑ r j ɑ n
աճեմյան	ɑ d͡ʒ ɛ m j ɑ n
ամազոն	ɑ m ɑ z o n
ամառ	ɑ m ɑ r
ամբար	ɑ m pʰ ɑ ɾ
ամենայն	ɑ m ɛ n ɑ j n
ամիկ	ɑ m i ɡ
ամուրի	ɑ m u ɾ i
ամոք	ɑ m o kʰ
ամրածածուկ	ɑ m ɾ ɑ d z ɑ d z u ɡ
այգեստան	ɑ ɪ̯ kʰ ɛ s d ɑ n
այն	ɑ j n
այվազյան	ɑ ɪ̯ v ɑ z ɪ̯ ɑ n
այց	ɑ j t sʰ
անակ	ɑ n ɑ ɡ
անասուն	ɑ n ɑ s u n
անդադար	ɑ n tʰ ɑ tʰ ɑ ɾ
անդեորդ	ɑ n tʰ ɛ o ɾ tʰ
անդրանիկ	ɑ n tʰ ɾ ɑ n i ɡ
անդրի	ɑ n tʰ ɾ i
անկանել	ɑ n ɡ ɑ n ɛ l
անկողին	ɑ n ɡ o ʁ i n
անհերքելի	ɑ n h ɛ ɾ kʰ ɛ l i
անհույս	ɑ n h u ɪ̯ s
անձրուկ	ɑ n t͡sʰ ɾ u ɡ
անմահ	ɑ n m ɑ h
անուշաբույր	ɑ n u ʃ ɑ pʰ u j ɾ
անուշապուր	ɑ n u ʃ ɑ b u ɾ
անպատրաստ	ɑ n b ɑ d ɾ ɑ s d
անտեր	ɑ n d ɛ ɾ
աշխատանք	ɑ ʃ χ ɑ d ɑ n kʰ
աշխատասեր	ɑ ʃ χ ɑ d ɑ s ɛ ɾ
աշխարհային	ɑ ʃ χ ɑ ɾ ɑ j i n
աշտարակ	ɑ ʃ d ɑ ɾ ɑ ɡ
աչ	ɑ t ʃʰ
ապիրատ	ɑ b i ɾ ɑ d
առանցք	ɑ r ɑ n t sʰ kʰ
առաքինաբար	ɑ r ɑ kʰ i n ɑ pʰ ɑ ɾ
առլյուծ	ɑ r l j u t͡s
առտու	ɑ ɾ d u
ասպազեն	ɑ s b ɑ z ɛ n
ասպազենք	ɑ s b ɑ z ɛ n kʰ
ասսամ	ɑ sː ɑ m
ասվի	ɑ s v i
աստեղաբանություն	ɑ s d ɛ ʁ ɑ pʰ ɑ n u tʰ j u n
աստղաբան	ɑ s d ʁ ɑ pʰ ɑ n
աստվածաշունչ	ɑ s d v ɑ d z ɑ ʃ u n t ʃʰ
ատեն	ɑ d ɛ n
ար	ɑ ɾ
արա	ɑ ɾ ɑ
արածել	ɑ ɾ ɑ d z ɛ l
արամ	ɑ ɾ ɑ m
արարիչ	ɑ ɾ ɑ ɾ i t ʃʰ
արգասիք	ɑ ɾ kʰ ɑ s i kʰ
արդար	ɑ ɾ tʰ ɑ ɾ
արեգ	ɑ ɾ ɛ kʰ
արեւային	ɑ ɾ ɛ v ɑ j i n
արիստակես	ɑ ɾ i s d ɑ ɡ ɛ s
արծրունի	ɑ ɾ d z ɾ u n i
արկ	ɑ ɾ ɡ
արկել	ɑ ɾ ɡ ɛ l
արոտ	ɑ ɾ o d
արտասունք	ɑ ɾ d ɑ s u n kʰ
արտավան	ɑ ɾ d ɑ v ɑ n
արտաքին	ɑ ɾ d ɑ kʰ i n
արտոսր	ɑ ɾ d o s ə ɾ
արցունք	ɑ ɾ t͡sʰ u ŋ kʰ
արքունիք	ɑ ɾ kʰ u n i kʰ
ափափա	ɑ pʰ ɑ pʰ ɑ
բագրատունյաց	pʰ ɑ kʰ ɾ ɑ d u n ɪ̯ ɑ t sʰ
բազմել	pʰ ɑ z m ɛ l
բաղձալ	ɑ ʁ v ɛ s
բաղձանք	pʰ ɑ ʁ t sʰ ɑ n kʰ
բանջար	pʰ ɑ n t͡ʃʰ ɑ ɾ
բաջի	b ɑ d͡ʒ i
բառ	pʰ ɑ r
բառագիրք	pʰ ɑ r ɑ kʰ i ɾ kʰ
բառգիրք	pʰ ɑ r kʰ i ɾ kʰ
բառնալ	pʰ ɑ r n ɑ l
բարեկամ	pʰ ɑ ɾ ɛ ɡ ɑ m
բարեկամական	pʰ ɑ ɾ ɛ ɡ ɑ m ɑ ɡ ɑ n
բարեսեր	pʰ ɑ ɾ ɛ s ɛ ɾ
բարի	pʰ ɑ ɾ i
բարիք	pʰ ɑ ɾ i kʰ
բարձրունք	b ɑ ɾ t͡sʰ ə ɾ u ŋ kʰ
բարտի	pʰ ɑ ɾ d i
բեկտել	pʰ ɛ ɡ d ɛ l
բերք	pʰ ɛ ɾ kʰ
բյորեկ	b j o ɾ ɛ ɡ
բյուր	pʰ ʏ ɾ
բոկոտ	pʰ o ɡ o t
բոկոտն	pʰ o ɡ o d ə n
բոցեղեն	pʰ o t sʰ ɛ ʁ ɛ n
բունկալ	pʰ u n ɡ ɑ l
բռի	pʰ ə ɾ i
բրիտվա	b ɾ i t v ɑ
գան	kʰ ɑ n
գանձարան	kʰ ɑ n t sʰ ɑ ɾ ɑ n
գասպարյան	kʰ ɑ s b ɑ ɾ j ɑ n
գաստնիցա	ɡ ɑ s t n i t͡sʰ ɑ
գաֆէսճեան	kʰ ɑ f ɛ s d ʒ j ɑ n
գելարան	kʰ ɛ l ɑ ɾ ɑ n
գեղմնավոր	kʰ ɛ ʁ m n ɑ v o ɾ
գեղջուկ	kʰ ɛ ʁ t ʃʰ u ɡ
գերան	kʰ ɛ ɾ ɑ n
գերեզմանոց	kʰ ɛ ɾ ɛ z m ɑ n o t sʰ
գերծել	kʰ ɛ ɾ d z ɛ l
գեւորգյան	kʰ ɛ v o ɾ kʰ j ɑ n
գթալ	kʰ ə tʰ ɑ l
գինեմոլ	kʰ i n ɛ m o l
գյոթվերան	ɡ j o tʰ v ɛ ɾ ɑ n
գյուտ	kʰ j u d
գոհ	kʰ o h
գոհանալ	kʰ o h ɑ n ɑ l
գովասան	kʰ o v ɑ s ɑ n
գուբ	kʰ u pʰ
գուժում	kʰ u ʒ u m
գուշակել	kʰ u ʃ ɑ ɡ ɛ l
գրաբար	kʰ ə ɾ ɑ pʰ ɑ ɾ
գրախանութ	kʰ ə ɾ ɑ χ ɑ n u tʰ
գրիգորյան	kʰ ɾ i kʰ ɔ ɾ j ɑ n
գրիչ	kʰ ə ɾ i t ʃʰ
դաժան	tʰ ɑ ʒ ɑ n
դալարի	tʰ ɑ l ɑ ɾ i
դաշնակ	tʰ ɑ ʃ n ɑ ɡ
դաշնակից	tʰ ɑ ʃ n ɑ ɡ i t sʰ
դաշնակցական	tʰ ɑ ʃ n ɑ ɡ t sʰ ɑ ɡ ɑ n
դաշնակցություն	tʰ ɑ ʃ n ɑ ɡ t sʰ u tʰ ɪ̯ u n
դաշտավայր	tʰ ɑ ʃ d ɑ v ɑ ɪ̯ r
դառ	tʰ ɑ r
դառնալ	tʰ ɑ r n ɑ l
դավաճանում	tʰ ɑ v ɑ d ʒ ɑ n u m
դատավոր	tʰ ɑ d ɑ v o ɾ
դատարան	tʰ ɑ d ɑ ɾ ɑ n
դարձ	tʰ ɑ ɾ t sʰ
դարձվոր	tʰ ɑ ɾ t sʰ v o ɾ
դերբայ	tʰ ɛ ɾ pʰ ɑ ɪ̯
դողալ	tʰ o ʁ ɑ l
դուզնաքյա	tʰ u z n ɑ kʰ j ɑ
դույզն	tʰ u ɪ̯ z n
դույն	tʰ u j n
դուն	tʰ u n
դուք	tʰ u kʰ
եզերք	j ɛ z ɛ ɾ kʰ
եզնիկ	j ɛ z n i ɡ
եկ	j ɛ ɡ
եղեռն	j ɛ ʁ ɛ r n
եղերական	j ɛ ʁ ɛ ɾ ɑ ɡ ɑ n
եղեք	j ɛ ʁ ɛ kʰ
եղիր	j ɛ ʁ i ɾ
եղծել	j ɛ χ d z ɛ l
եղնիկ	j ɛ ʁ n i ɡ
եմ	ɛ m
եմեն	j ɛ m ɛ n
են	ɛ n
ենք	ɛ ŋ kʰ
եռալ	j ɛ r ɑ l
ես	ɛ s
երգ	j ɛ ɾ kʰ
երգիծել	j ɛ ɾ kʰ i d z ɛ l
երեսուն	j ɛ ɾ ɛ s u n
երեւալ	j ɛ ɾ ɛ v ɑ l
երեւում	j ɛ ɾ ɛ v u m
երի	j ɛ ɾ i
երկայն	j ɛ ɾ ɡ ɑ j n
երկայնաբան	j ɛ ɾ ɡ ɑ j n ɑ pʰ ɑ n
երկայնաբանություն	j ɛ ɾ ɡ ɑ j n ɑ pʰ ɑ n u tʰ j u n
երկայնանալ	j ɛ ɾ ɡ ɑ j n ɑ n ɑ l
երկայնել	j ɛ ɾ ɡ ɑ j n ɛ l
երկայնք	j ɛ ɾ ɡ ɑ j n kʰ
երկանաքար	j ɛ ɾ ɡ ɑ n ɑ kʰ ɑ ɾ
երկնչել	j ɛ ɾ ɡ ə n t ʃʰ ɛ l
երկուք	j ɛ ɾ ɡ u kʰ
երկրորդ	j ɛ ɾ ɡ ɾ o ɾ tʰ
եք	ɛ kʰ
զ	z
զառանցանք	z ɑ ɾ ɑ n t sʰ ɑ n kʰ
զավակ	z ɑ v ɑ ɡ
զատել	z ɑ d ɛ l
զարդարանք	z ɑ ɾ tʰ ɑ ɾ ɑ n kʰ
զարմանք	z ɑ ɾ m ɑ n kʰ
զբոսանք	z pʰ o s ɑ n kʰ
զգածվել	z kʰ ɑ d z v ɛ l
զգենալ	z kʰ ɛ n ɑ l
զեղծել	z ɛ χ d z ɛ l
զենել	z ɛ n ɛ l
զեռալ	z ɛ r ɑ l
զիլճյան	z i l d͡ʒ j ɑ n
զմյուռնիա	z m j u r n j ɑ
զոոխորիա	z o o χ o ɾ j ɑ
զով	z o v
զորավար	z o ɾ ɑ v ɑ ɾ
է	ɛ
էրե	ɛ ɾ ɛ
էրզրում	ɛ ɾ z ə ɾ u m
էրնջակ	ɛ ɾ ə n d͡ʒ ɑ k
էրունջէկ	ɛ ɾ u n d͡ʒ ɛ k
ը	ə
ըլլալ	ə l l ɑ l
ըղձալ	ə ʁ t sʰ ɑ l
ըմբշամարտություն	ə m pʰ ʃ ɑ m ɑ ɾ d u tʰ j u n
