a	ʌ
abaci	ʌ b ʌ ħ i
abamabbiime	ʌ b ʌ m ʌ bː iː m e
abamabe	ʌ b ʌ m ʌ b e
abamabsiise	ʌ b ʌ m ʌ b s iː s e
abba	ʌ b b ʌ
abbaasite	ʌ bː aː s i t e
abbiime	a bː iː m e
abe	a b e
absiise	ʌ b s iː s e
ada	ʌ d ʌ
adda	ʌ d d ʌ
af	ʌ f
affara	ʌ f f ʌ ɾ ʌ
afur	ʌ f u ɾ
agabu	ʌ ɡ ʌ b u
agboyta	ʌ ɡ b o j t ʌ
agiira	ʌ ɡ iː ɾ ʌ
agiirannu	ʌ ɡ iː ɾ ʌ n n u
agur	ʌ ɡ u ɾ
ah	ʌ h
akat	ʌ k ʌ t
aki	ʌ k i
akke	ʌ k k e
akkite	ʌ kː i t e
ala	ʌ l ʌ
alaysamalayse	ʌ l ʌ j s ʌ m ʌ l ʌ j s e
alayse	ʌ l ʌ j s e
alaysite	ʌ l ʌ j s i t e
albo	ʌ l b o
ale	ʌ l e
alemu	ʌ l e m u
alfi	ʌ l f i
ali	ʌ l i
alimu	ʌ l i m u
alo	ʌ l o
alwa	ʌ l w ʌ
alwaggaso	ʌ l w ʌ ɡː ʌ s o
ama	ʌ m ʌ
amaate	ʌ m aː t e
amaatite	ʌ m aː t i t e
amah	ʌ m ʌ h
amcar	ʌ m ħ ʌ ɾ
amcarto	ʌ m ħ ʌ ɾ t o
amcartu	ʌ m ħ ʌ ɾ t u
amo	ʌ m o
angu	ʌ n ɡ u
anna	ʌ n n ʌ
anu	ʌ n u
argiqe	ʌ ɾ ɡ i ʕ e
argiqite	ʌ ɾ ɡ i ʕ i t e
arho	ʌ ɾ h o
aro	ʌ ɾ o
aru	ʌ ɾ u
asaaku	ʌ s aː k u
ase	ʌ s e
asise	ʌ s i s e
atu	ʌ t u
awka	ʌ w k ʌ
awki	ʌ w k i
awkitte	ʌ w k i t t e
awkoyta	ʌ w k o j t ʌ
axa	ʌ ɖ ʌ
axkoxxa	ʌ ɖ k o ɖ ɖ ʌ
aynabenta	ʌ j n ʌ b e n t ʌ
ayro	ʌ j ɾ o
ayti	ʌ j t i
baa	b aː
baabur	b aː b u ɾ
baahe	b aː h e
baaladi	b aː l ʌ d i
baaxo	b aː ɖ o
babba	b ʌ b b ʌ
bacaara	b ʌ ħ aː ɾ ʌ
bacra	b ʌ ħ ɾ ʌ
badiila	b ʌ d iː l ʌ
bahsiise	b ʌ h s iː s e
bakal	b ʌ k ʌ l
bakaltu	b ʌ k ʌ l t u
baklo	b ʌ kʰ l o
ballu	b ʌ l l u
balqinaan	b ʌ l ʕ i n aː n
baqala	b ʌ ʕ ʌ l ʌ
bar	b ʌ ɾ
bara	b ʌ ɾ ʌ
baritto	b ʌ ɾ i t t o
