ав	a w̜
авах	a w̜ ɐ χ
авга	a w̜ ə ɢ
авдар	a w̜ t ɐ r
авс	a f s
автобус	a w̜ tʰʷ p ʊ s
авьяас	a w̜ʲ j aː s
ад	ɑ t
адал	a t ɐ ɮ
адгуус	a t ʁ o̙ s
адил	a tʲ ɪ ɮ
адуу	a t o̙
адуус	a t o̙ s
ажил	ä t͜ɕ ɪ ɬ
ажилтан	ä t͜ɕ ɪ̆ ɬ tʰ ŋ̍
аз	a t͡s
айлчлах	æ e̯ ɮ t͡ɕʰ ɮ ɐ χ
аймаг	a j m a k ~ a j m a x ~ a j m a ɣ
айраг	a e̯ r ə k
албадах	a ɮ p ɐ t ɐ χ
албадлага	a ɮ p ɐ t ɮ ɐ q
алдах	a ɮ t ɐ χ
алт	a ɬ t
алтан	a ɬ t ɐ ɴ
алтгана	a ɬ t ʁ ɐ n
алх	a ɮ χ
амжих	a m t͡ɕ ɐ χ
амьсгалах	a mʲ s ɢ ɐ ɮ ɐ χ
анх	a ɴ χ
арал	a ɾ ɐ ɮ
арвай	a r w̜ æ e
арьс	æ rʲ s
атаа	aʰ t a
атаархах	aʰ t a r χ ɐ χ
ац	aʰ t͡s
байдал	p æ e t ɐ ɮ
байна	p æ e n
байх	p æ e χ
байц	p æ eʰ t͡s
байшин	p æ e ʃ ɐ ɴ
баяр	p a i r
баярлалаа	p a i r ɮ a
богино	p ɞ ɟ ɪ n
бол	p ɔ̙ ɮ
болд	p ɔ̙ ɮ t
боломж	p ɔ̙ ɮ ɞ̙ m t͡ɕ
болох	p ɔ̙ ɮ ɞ̙ χ
боов	p ɔ̙ː w̜
боомт	p ɔ̙ː m t
боорцог	p ɔ̙ː r̥ t͡s ɞ̙ k
борной	p ɔ̙ r n ɞ e
боть	p ɞʰ tʲ
бохь	p ɞ ç
бумба	p o̙ m p
буу	p o̙ː
бууз	p o̙ː t͡s
бууралтах	p o̙ː r ɵ̙ ɬ t ɵ̙ χ
бух	p o̙ χ
бэрс	p i r s
бэх	p i ç
бяруу	pʲ a ɾ o̙
бясалгал	pʲ a s ɐ ɮ ʁ ɐ ɮ
бясалгах	pʲ a s ɐ ɮ ʁ ɐ χ
бүйлс	p u e ɮ s
бүр	p u r
бүхэн	p u ç ɪ ŋ
бөднө	p ʊ t ʊ̈ n
гадил	ɢ æ tʲ ɪ ɮ
гадна	ɢ a t ɐ n
гайхалтай	ɢ æ e χ ɐ ɬ t æ e
гал	ɢ a ɮ
галт	ɢ a ɬ t
галуу	ɢ a ɮ o̙
ган	ɢ a ɴ
ганц	ɢ a n̥ t͡s
гар	ɢ a r
гарах	ɢ a r ɐ χ
гарчиг	ɢ a r̥ t͡ɕʰ ɪ k
гатлах	ɢ aʰ t ɮ ɐ χ
гоймон	ɢ ɞ e m ɞ̙ ɴ
гудамж	ɢ o̙ t ɵ̙ m t͡ɕ
