あか	ʔ a k a
あちさん	ʔ a t͡ɕ i s a ŋ̍
あんまー	ʔ a n m aː
あーさ	ʔ aː s a
いぇーご	j e̞ː ɡ o̞
いぇーま	j e̞ː m a
うちなー	ʔ u t͡ɕ i n aː
うとぅ	ʔ u t u
かくしまじま	k a k u ɕ i m a d͡ʑ i m a
が	ɡ a
くり	k u ɾ i
くれー	k u ɾ eː
くゎんふぁー	kʷ a m̩ ɸ aː
ぐゎち	ɡʷ a t͡ɕ i
さんさなー	s a ŋ̍ s a n aː
しけー	ɕ i k eː
しーじゃ	ɕ iː d͡ʑ a
そーゆー	s oː j uː
たーりー	t aː ɾ iː
っやー	ʔ j aː
っんじゆん	ʔ n d͡ʑ i j u ŋ̍
っんまりびー	ʔ m̩ m a ɾ i b iː
てぃー	t iː
とぅくぬしま	t u k u n u ɕ i m a
どぅー	d uː
なさき	n a s a k i
ななちぶし	n a n a t͡ɕ i b u ɕ i
ぬ	n u
はちぐゎち	h a t͡ɕ i ɡʷ a t͡ɕ i
ふぃなゆん	ɸ i n a j u ŋ
まぎさん	m a ɡ i s a ŋ
まちゅん	m a t͡ɕ u ŋ̍
まーすん	m aː s u ŋ̍
めんそーれー	m e̞ n s o̞ː ɾ e̞ː
や	j a
やまとぅ	j a m a t u
やー	j aː
ゆ	j u
るーちゅー	ɾ uː t͡ɕ uː
わったー	w a t t aː
わん	w a ŋ̍
んかい	ŋ k a i
