=an	a n
=as	a ʃ
a=	a
anihi	áꜜ nʲ ì ç ì
anokay	à n òꜛ k á j
anutari	à n ùꜛ t á r í
aoka	à òꜛ k á
aokay	àꜛ ó̞ k á j
arawan	àꜛ ɾ á ɰᵝ á n
asinuma	à ɕ ìꜛ n ú m á
aynu	ʔ á jꜜ n ù
ci=	t͡ɕ i
ciokay	t͡ɕ ìꜛ ó̞ k á j
ciutari	t͡ɕ ì ùꜛ t á r í
coka	t͡ʃ ó̞ꜜ k à
e=	e̞
eani	èꜛ á nʲ í
eci=	è̞ꜛ t͡ɕ í
ecioka	è̞ t͡ɕ ì ò̞ꜛ k á
eciokay	è̞ t͡ɕ ì ò̞ꜛ k á j
eciutari	è t͡ɕ ì ùꜛ t á r í
en=	e̞ n
hemanta	h è̞ꜛ m á n t á
henpak	h è̞ mꜛ p á k
henpara	h è̞ mꜛ p á ɾ á
hunak	h ùꜛ n á k
hunna	h ù nꜛ n á̠
i=	i
inan	ìꜛ n á̠ n
iwan	ìꜛ ɰᵝ á n
k=	k
kam	k a̠ m
kamuy	k àꜛ m ú j
kani	k áꜜ nʲ ì
ku=	k u
kuani	k ùꜛ á nʲ í
makanak	m à̠ꜛ k á̠ n á̠ k
mosir	m ò̞ꜛ ɕ í ɾ
nea	n é̞ꜜ à
nekon	n éꜜ k o̞ n
nen	n e̞ n
nep	n e̞ p
nerok	n é̞ꜜ r ò̞ k
neya	n éꜜ j à
neyan	n éꜜ j à n
neyokay	n è̞ j ò ˕ꜛ k á j
no	n o̞
oka	ò̞ꜛ k á
okay	ò̞ꜛ k á j
pe	p e̞
re	ɾ e̞
sinepesan	ɕ ìꜛ n é p é s á n
sinuma	ɕ ìꜛ n ú m á
tan	t a n
tanokay	t à n ò̞ꜛ k á j
taoka	t à ò̞ꜛ k á
toan	t ò̞ꜛ á n
tonokay	t ò n ò̞ꜛ k á j
tooka	t ò ò̞ꜛ k á
tupesan	t ùꜛ p é s á n
un=	u n
wan	ɰᵝ a n
アイヌ	ʔ á jꜜ n ù
カムィ	k àꜛ m ú j
セ゚	t s e
ツ゚	t u̜
ツ゚ㇷ゚	t u̜ p
ト゚	t u̜
ト゚ㇷ゚	t u̜ p
フチ	ɸ u̜ t ʃ i
モシㇼ	m ò̞ꜛ ɕ í ɾ
レ	ɾ e̞
レㇷ゚	ɾ e̞ p
ㇰ	k
ㇱ	s
ㇱ	ɕ
ㇲ	s
ㇳ	t
ㇴ	n
ㇵ	h
ㇵ	x
ㇶ	h
ㇶ	ç
ㇷ	h
ㇷ	x
ㇷ゚	p
ㇸ	h
ㇸ	x
ㇹ	h
ㇹ	x
ㇺ	m
ㇻ	ɾ
ㇼ	ɾ
ㇽ	ɾ
ㇾ	ɾ
ㇿ	ɾ
