ଃ	h
ଅ	ɔ
ଅଙ୍ଗାରକ	ɔ ŋ ɡ a ɾ ɔ k ɔ
ଅଟା	ɔ ʈ a
ଅଠର	ɔ ʈʰ ɔ ɾ ɔ
ଅଣ୍ଡା	ɔ ɳ ɖ a
ଅଦା	ɔ d a
ଅଧିକାର	ɔ dʱ i k a ɾ ɔ
ଅଫିମ	ɔ pʰ i m ɔ
ଅମୃତଭଣ୍ଡା	ɔ m ɾ u t ɔ bʱ ɔ ɳ ɖ a
ଅମ୍ଳଜାନ	ɔ m ɭ ɔ d͡ʒ a n ɔ
ଆ	a
ଆଈ	a i
ଆଉ	a u
ଆକାଶ	a k a s ɔ
ଆଖୁ	a kʰ u
ଆଙ୍ଗୁଠି	a ŋ ɡ u ʈʰ i
ଆଙ୍ଗୁଳି	a ŋ ɡ u ɭ i
ଆଠ	a ʈʰ ɔ
ଆଣ୍ଠୁ	a ɳ ʈʰ u
ଆଥ	a tʰ ɔ
ଆରବୀ	a ɾ ɔ b i
ଆରମ୍ଭ	a ɾ ɔ m bʱ ɔ
ଆଳୁ	a ɭ u
ଇ	i
ଇଟା	i ʈ a
ଇଣ୍ଟରନେଟ	i ɳ ʈ ɔ ɾ ɔ n e ʈ ɔ
ଇନ୍ଦ୍ର	i n d ɾ ɔ
ଈ	i
ଉ	u
ଉଇକିପିଡ଼ିଆ	u i k i p i ɽ i a
ଉଣେଇଶ	u ɳ e i s ɔ
ଉପଦେଶ	u p ɔ d e s ɔ
ଊ	u
ଋ	ɾ u
ଌ	l u
ଏ	e
ଏକ	e k ɔ
ଏଗାର	e ɡ a ɾ ɔ
ଐ	ɔ i̯
ଓ	o
ଓଡ଼ିଆ	o ɽ i a
ଔ	ɔ u̯
ଔଷଧ	ɔ u̯ s ɔ dʱ ɔ
କ	k ɔ
କଙ୍କାଳ	k ɔ ŋ k a ɭ ɔ
କଦଳୀ	k ɔ d ɔ ɭ i
କମ୍ପ୍ୟୁଟର	k ɔ m p j u ʈ ɔ ɾ ɔ
କଲିକତା	k ɔ l i k ɔ t a
କଳିଙ୍ଗ	k ɔ ɭ i ŋ ɡ ɔ
କ଼	q ɔ
କାଚ	k a t͡ʃ ɔ
କାନ	k a n ɔ
କିବୋର୍ଡ଼	k i b o ɾ ɽ ɔ
