ꠀ	a
ꠀꠀꠠ	á ɽ
ꠀꠁꠌ꠆ꠍꠣ	a i t͡ʃː á
ꠀꠁꠌꠍꠣ	a ɪ t ɕ t ɕ á
ꠀꠁꠎ	a i z
ꠀꠁꠎꠇꠣꠁꠟ	a i z x a i l
ꠀꠄꠚꠟ	a e̯ f ɔ́ l
ꠀꠅꠞ	á ɔ ɾ
ꠀꠇꠞꠣ	a x ɾ a
ꠀꠈꠔꠣ	a x t̪ a
ꠀꠉꠘ	a ɡ ɔ n
ꠀꠋꠉꠥꠞ	a ŋ ɡ u ɾ
ꠀꠋꠉꠦꠎ	a ŋ ɡ e z
ꠀꠋꠑꠤ	a ŋ ʈ í
ꠀꠍꠦ	a s é
ꠀꠐ	a ʈ
ꠀꠑꠥ	a ʈ ú
ꠀꠗꠤ	a d̪ í
ꠀꠘꠗꠣꠁꠞ	a n d̪ á ɪ ɾ
ꠀꠙꠘꠦ	a ɸ n e
ꠀꠝ	a m
ꠀꠝꠌꠂꠟ	á m s ɔ i l
ꠀꠝꠤ	a m i
ꠀꠡꠤꠘ	a ʃ i n
ꠁ	i
ꠁꠌ꠆ꠍꠣ	i t͡ʃ t͡ʃ a
ꠁꠐ	i ʈ
ꠁꠐꠣꠘꠤ	i ʈ a n i
ꠁꠟꠤꠡꠣ	i l i ʃ a
ꠃ	u
ꠃꠇꠂꠘ	u k ɔ i n
ꠃꠐ	u ʈ
ꠃꠘ꠆ꠖꠥꠞ	u n d̪ u ɾ
ꠃꠘ꠆ꠗꠣꠟ	u n d̪ á l
ꠃꠘ꠆ꠗꠣꠟꠙꠥꠟꠤ	u n d̪ á l ɸ u l i
ꠃꠘ꠆ꠘꠤꠡ	u nː i ʃ
ꠃꠘꠖꠥꠞ	u n d̪ u ɾ
ꠃꠜꠣꠘꠤ	ú b á n i
ꠃꠞꠤ	u ɾ i
ꠄ	ɛ
ꠄꠇ	e x
ꠄꠇꠂꠡ	e x ɔ i ʃ
ꠄꠇꠟꠣ	e x l a
ꠅ	ɔ
ꠅꠄ	ɔ́ e̯
ꠅꠟꠂꠖ	ɔ́ l ɔ i d̪
ꠇ	x ɔ
ꠇꠂ	x ɔ i
ꠇꠌꠥꠀ	x ɔ s u a
