аал	aː ɫ
аар	aː r
аарыг	aː r ɯ ɣ
аарыыр	aː r ɯː r
аас	aː s
ава	a β a
авырал	a β ɯ r a ɫ
агаар	a ɣ aː r
агаарлаар	a ɣ aː r l aː r
адаар	a d aː r
адыг	a d ɯ ɣ
ажар	ǎ ʒ a r
ажык	a ʒ ɯ q
ажыл	a ʒ ɯ ɫ
аза	a z a
азия	a z ɪ j a
азы	a z ɯ
ай	a j
айыыл	a j ɯː ɫ
ак	a q
акша	a q ʃ a
акша	a ʃ q a
акша	a ʃ x a
акы	a q ɯ
алды	a ɫ d ɯ
алдыгы	a ɫ d ɯ ʁ ɯ
алдын	a ɫ d ɯ n
амдыызында	a m d ɯː z ɯ n d a
амы	a m ɯ
амыдыраар	a m ɯ d ɯ r aː r
амыр	a m ɯ r
амыраар	a m ɯ r aː r
амытан	a m ɯ t a n
анаа	a n aː
аныяк	a n ɯ j a q
апаар	a p aː r
апрель	a p r e̞ lʲ
арага	a r a ɣ a
арга	a r ɣ a
ары	a r ɯ
арыг	a r ɯ ʁ
арын	a r ɯ n
ат	a t
ача	a t͡ʃ a
ашак	a ʃ a q
аът	ă t
аэропорт	a e̞ r ɔ p ɔ r t
аң	a ŋ
аңгы	a ŋ ɡ ɯ
аңнаар	a ŋ n aː r
баар	p aː r
багай	p a ʁ a j
бажың	p a ʒ ɯ ŋ
база	p a z a
бай	p a j
байы	b a j ɯ
байырлыг	p a j ɯ r l ɯ ɣ
байыыр	p a j ɯː r
балыг	p a l ɯ ʁ
балык	p a ɫ ɯ q
барыын	p a ɾ ɯː n
баш	p ǎ ʃ
баштай	p a ʃ t a j
баштайгы	p a ʃ t a j ɡ ɯ
бе	b e̞
белен	p ɛ l ɛ n
берге	p ɛ r ɣ ɛ
беш	p ɛ ʃ
бешки	p ɛ ʃ k ɪ
бижек	p ɪ ʒ e̞ q
бижиир	p ɪ ʒ ɪː ɾ
биле	p ɪ l ɛ
билир	p ɪ l ɪ r
бир	p ɪ r
бирги	p ɪ r ɣ ɪ
бичии	p ɪ t͡ʃ ɪː
бо	p ɔ
бодаар	p ɔ d aː r
бодум	b o d u m
бойдус	p ɔ j d ʊ s
бок	p ɔ q
болгаш	p ɔ l ɡ a ʃ
болур	p ɔ l ʊ r
боо	p ɔː
боолаар	b oː l aː ɾ
боостаа	p ɔː s t aː
будук	p ʊ d ʊ q
булут	p ʊ ɫ ʊ t
бурган	p ʊ r ɢ a n
бурунгаар	p ʊ r ʊ ŋ ɢ aː r
буруу	p ʊ r ʊː
буряттаар	b u ɾʲ ɑˑ tː ɑː ɾ
бут	p ʊ t
быштак	p ɯ ʃ t a q
бээр	p e̞ː r
бүгү	p ʏ ɣ ʏ
бүзүрел	p ʏ z ʏ r ɛ l
бүзүрээр	p ʏ z ʏ r ɛː r
бүле	b ʏ l ɛ
бүрү	p ʏ r ʏ
бүүрек	p ʏː r e q
бөгүн	b ø ɡ y n
бөрү	p ø r ʏ
дааш	t aː ʃ
даг	t a ɣ
дагаа	t a ʁ aː
дазыл	t a z ɯ ɫ
дайзын	t a j z ɯ n
дайын	t a j ɯ n
дайынчы	t a j ɯ n d͡ʒ ɯ
далай	t a l a j
даш	t a ʃ
делгем	t ɛ l ɡ ɛ m
делегей	t e̞ l e̞ ɣ e̞ j
диис	t ɪː s
дилги	t ɪ l ɡ ɪ
дириг	t ɪ r ɪ ɣ
дискек	t ɪ s k e̞ q
диш	t ɪ ʃ
довурак	t ɔ w ʊ r a k
доктаадыр	t ɔ q t aː d ɯ r
доктаал	t ɔ q t aː ɫ
доктаамал	t ɔ q t aː m a ɫ
доктаар	t ɔ q t aː r
долганзымза	d o l ɢ a n z ɯ m z a
доозар	t ɔː z a r
доозун	t ɔː z ʊ n
дораан	t ɔ r aː n
доржу	d̥ o̞ ɾ ʒ u
дош	t ɔ ʃ
дугаар	t ʊ ʁ aː r
дугайында	t ʊ ʁ a j ɯ n d a
дугуй	t ʊ ɣ ʊ j
дуза	t ʊ z a
дузалаар	t ʊ z a l aː r
думчук	t ʊ m t͡ʃ ʊ q
дус	t ʊ s
дуңма	t ʊ ŋ m a
дыка	t ɯ q a
дыл	t ɯ ɫ
дыштаныр	t ɯ ʃ t a n ɯ r
дыңнаар	t ɯ ŋ n aː r
дээр	t e̞ː r
дээш	t ɛː ʃ
дүжер	t ʏ ʒ ɛ r
дүк	t ʏ k
дүлгүүр	t ʏ l ɡ ʏː r
дүмбей	t ʏ m b ɛ j
дүн	t ʏ n
дүрзү	t ʏ r z ʏ
дүш	t ʏ ʃ
дүш	t ʏ̌ ʃ
дүүн	d yː n
дүүнгү	d yː n ɡ y
дөрт	t ø r t
дөрткү	t ø r t k ʏ
дөө	t øː
идегел	ɪ d ɛ ɣ ɛ l
идегээр	ɪ d ɛ ɣ ɛː r
ижер	ɪ ʒ e̞ r
ижин	ɪ ʒ ɪ n
изиг	ɪ z ɪ ɣ
ийе	ɪ j ɛ
ийи	ɪ j ɪ
ийиги	ɪ j ɪ ɣ ɪ
ийин	ɪ j ɪ n
ине	ɪ n e̞
ирги	ɪ r ɡ ɪ
июнь	ɪ j ʊ nʲ
каар	q aː r
кадай	q a d a j
кадар	q ǎ d a r
кады	q a d ɯ
кадыг	q a d ɯ ʁ
кадык	q a d ɯ q
кажан	q a ʒ a n
казыыр	q a z ɯː r
кайда	q a j d a
кайнаар	q a j n aː r
кайы	q a j ɯ
кайыын	q a j ɯː n
калга	q a ɫ ɡ a
калыр	q a ɫ ɯ r
кандыг	q a n d ɯ ɣ
канчаар	q a n t͡ʃ aː r
кара	q a r a
карак	q a r a q
кат	q a t
каттырар	q a tː ɯ r a r
каш	q ǎ ʃ
каң	q a ŋ
кедер	k ɛ d ɛ r
кежээ	k e̞ ʒ e̞ː
кезик	k ɛ z ɪ k
келир	k ɛ l ɪ r
кеш	k ɛ ʃ
кижи	k ɪ̌ ʒ ɪ
кирер	k ɪ r ɛ r
кичээл	k ɪ t͡ʃ e̞ː l
кичээлдээр	k ɪ t͡ʃ ɛː l d ɛː r
кичээнгей	k ɪ t͡ʃ ɛː ŋ ɡ ɛ j
кол	q ɔ ɫ
копьё	q ɔ pʲ ɔ
коргар	q ɔ r ʁ a r
кошкак	q ɔ ʃ q a q
