ach	ɑ x
achten	a x t ə n
afleggen	a f l e ɡː ə n
afwaschen	a f w a s k ə n
afwolteren	a f w œ l t ə r ə n
andenken	a n d e ŋ k ə n
andrucken	a n d r ʏ kː ə n
aneval	aː n ə f a l
angan	a n ɣ ɒː n
anleggen	a n l e ɡː ə n
asche	a s k ə
assel	a sː ə l
avent	ɒː v ə n t
aventure	aː v ə n t yː r ə
aventure	æː v ə n t yː r ə
beden	b eː ð ə n
bedriven	b ə d r iː v ə n
beschriven	b ə s k r iː v ə n
bescriven	b ə s k r iː v ə n
binden	b ɪ n d ə n
bok	b oː k
bruken	b r uː k ə n
buk	b uː k
dach	d a x
dake	d ɒː k ə
denken	d e ŋ k ə n
di	d iː
drelle	d r ɛ lː ə
drepen	d r eː p ə n
drinken	d r ɪ ŋ k ə n
du	d uː
dunker	d ʊ ŋ k ə r
ek	e k
ek	ɛ k
en	ə n
en	ɛ n
et	ə t
et	ɛ t
eteninne	ɪ ɛ t ə n ɪ nː ə
eventure	æː v ə n t yː r ə
ewich	ɛː w ɪ x
gesank	ɣ ə s a ŋ k
gesankbok	ɣ ə s a n k b oː k
geven	ɣ ɪ ɛ v ə n
gewolt	ɣ ə w ɔ l t
gewolt	ɣ ə w ɔː l t
gi	ʝ iː
gige	ɣ iː ɣ ə
gik	ʝ ɪ k
got	ɣ oː t
got	ɣ ɔ t
he	h eː
helpen	h ɛ l p ə n
hemmel	h e mː ə l
hemmel	h ɛ mː ə l
hi	h i ə
hi	h i ɛ
hi	h iː
hie	h i ə
hie	h i ɛ
ik	ɪ k
it	ə t
it	ɪ t
iver	iː v ə r
jacht	j a x t
jachteren	j a x t ə r ə n
jagen	j aː ɣ ə n
je	j eː
ju	j uː w
juk	j ʏ k
juw	j uː
juwe	j uː w ə
kleine	k l ɛ ɪ n ə
koke	k oː k ə
koke	k ʏ œ k ə
kokene	k ʏ œ k ə n ə
kolt	k ɔ l t
kolt	k ɔː l t
krossen	k r ɔ sː ə n
kuke	k u ɔ k ə
leven	l ɪ ɛ v ə n
levent	l ɪ ɛ v ə n t
lif	l iː f
lopen	l ɔː p ə n
lute	l uː t ə
mage	m aː ɣ ə
mi	m iː
mure	m uː r ə
mure	m yː r ə
nacht	n a x t
nemen	n ɪ ə m ə n
nemen	n ɪ ɛ m ə n
nen	n ɛː n
o	œː j
olt	ɔ l t
olt	ɔː l t
ore	ɔː r ə
os	œ s
over	ʊ ɒ v ə r
over	ʏ œ v ə r
over	ʏ ə v ə r
ridder	r ɪ dː ə r
riden	r iː ð ə n
rider	r iː ð ə r
sank	s a ŋ k
sankbok	s a n k b oː k
schacht	s k a x t
scheme	s k ɪ ə m ə
schone	s k œː n ə
schriven	s k r iː v ə n
se	s eː
si	s i ə
si	s i ɛ
si	s iː
sie	s i ə
sie	s i ɛ
sin	s iː n
sniden	s n iː ð ə n
snorren	s n ɔ rː ə n
spien	s p iː ə n
spigen	s p iː ɣ ə n
spiggen	s p ɪ ɣː ə n
spiggen	s p ɪ ʝː ə n
spoden	s p øː ð ə n
sten	s t ɛː n
stigen	s t iː ɣ ə n
su	s yː
sugen	s uː ɣ ə n
supen	s uː p ə n
tellen	t e l l ə n
tellen	t ɛ l l ə n
u	uː
uns	ʊ n s
us	uː s
us	ʊ s
usik	yː z ɪ k
valsch	f a l s k
varwe	f a r w ə
vechten	f ɛ x t ə n
versch	f e r s k
vlegen	f l eː ɣ ə n
vogen	f øː ɣ ə n
vorgeten	f ɔ r ɣ ɪ ɛ t ə n
vorstan	f ɔ r s t ɒː n
vorsupen	f ɔ r s uː p ə n
vorswinden	f ɔ r s w ɪ n d ə n
vortellen	f ɔ r t e lː ə n
vortellen	f ɔ r t ɛ lː ə n
vri	f r iː
vrie	f r iː j ə
vrig	f r iː x
vrisch	f r ɪ s k
waren	w ɒː r ə n
wat	w a t
water	w aː t ə r
we	w eː
werden	w æ r d ə n
werden	w ɛː r d ə n
wes	w ɛ s
wesen	w ɪ ɛ z ə n
weten	w ɪ ə t ə n
wi	w i ə
wi	w i ɛ
wi	w iː
wie	w i ə
wie	w i ɛ
wolt	w ɔ l t
wolt	w ɔː l t
wolteren	w œ l t ə r ə n
writen	w r iː t ə n
