'tain	t ɛ̃
a	a
a	ɑ
a	ɔ
aa	a a
aalandaise	a a l ɑ̃ d ɛ z
aalénien	a l e n j ɛ̃
aaron	a a ʁ ɔ̃
aaronaise	a a ʁ ɔ n ɛ z
aastaise	a a s t ɛ z
ababouiné	a b a b w i n e
abaca	a b a k a
abaca	a b ɑ k ɑ
abacost	a b a k ɔ s t
abactérienne	a b a k t e ʁ j ɛ n
abacule	a b a k y l
abader	a b a d e
abainvilloise	a b ɛ̃ v i j w a z
abaissable	a b ɛ s a b l
abaissable	a b ɛː s a b
abaissable	a b ɛː s a b l
abaissables	a b ɛ s a b l
abaissables	a b ɛː s a b
abaissables	a b ɛː s a b l
abaissant	a b ɛ s ɑ̃
abaissant	a b ɛː s ɑ̃
abaissants	a b ɛ s ɑ̃
abaissants	a b ɛː s ɑ̃
abaisse	a b ɛ s
abaisse	a b ɛː s
abaissement	a b ɛ s m ɑ̃
abaissements	a b ɛ s m ɑ̃
abaisser	a b e s e
abaisser	a b ɛ s e
abaisser	a b ɛː s e
abaisseur	a b ɛ s œ ʁ
abaisseurs	a b ɛ s œ ʁ
abaisseurs	a b ɛː s œ ʁ
abaissé	a b e s e
abajoue	a b a ʒ u
abalone	a b a l ɔ n
abalourdir	a b a l u ʁ d i ʁ
abancourtoise	a b ɑ̃ k u ʁ t w a z
abandon	a b ɑ̃ d ɔ̃
abandonner	a b ɑ̃ d ɔ n e
abandonneur	a b ɑ̃ d ɔ n œ ʁ
abandouner	a b ɑ̃ d u n e
abaque	a b a k
abasie	a b a z i
abasourdir	a b a s u ʁ d i ʁ
abasourdir	a b a z u ʁ d i ʁ
abasourdira	a b a z u ʁ d i ʁ a
abasourdirai	a b a z u ʁ d i ʁ e
abasourdiraient	a b a z u ʁ d i ʁ ɛ
abasourdirais	a b a z u ʁ d i ʁ ɛ
abasourdirait	a b a z u ʁ d i ʁ ɛ
abasourdiras	a b a z u ʁ d i ʁ ɑ
abasourdirent	a b a z u ʁ d i ʁ
abasourdirez	a b a z u ʁ d i ʁ e
