'ch	χ
'i	iː
'i	i̯
'ma	m a
'n	n
'na	n a
'r	r
'th	θ
'y	ə
ab	a b
abad	a b a d
abadaeth	a b a d a ɨ̯ θ
abadaeth	a b a d ɛ θ
abadaethau	a b a d e ɨ̯ θ a
abadaethau	a b a d e ɨ̯ θ a ɨ̯
abadaethau	a b a d e ɨ̯ θ ɛ
abadau	a b a d a
abadau	a b a d a ɨ̯
abadau	a b a d ɛ
abades	a b a d ɛ s
abadesau	a b a d ɛ s a
abadesau	a b a d ɛ s a ɨ̯
abadesau	a b a d ɛ s ɛ
abatai	a b a t a ɨ̯
abathocroalaidd	a b a θ ɔ k r ɔ a l a i̯ ð
abatir	a b a t ɪ r
abatiroedd	a b a t ɪ r ɔ ɨ̯ ð
abaty	a b a t ɨ
aber	a b ɛ r
aberaeron	a b ɛ r e ɨ̯ r ɔ n
aberafan	a b ɛ r a v a n
aberdaugleddau	a b ɛ r d a ɨ̯ ɡ l ɛ ð a
aberdaugleddau	a b ɛ r d a ɨ̯ ɡ l ɛ ð a ɨ̯
aberdaugleddau	a b ɛ r d a ɨ̯ ɡ l ɛ ð ɛ
aberdâr	a b ɛ r d aː r
abergofiant	a b ɛ r ɡ ɔ v j a n t
abergwaun	a b ɛ r ɡ w a ɨ̯ n
aberhonddu	a b ɛ r h ɔ n ð ɨ
abermaw	a b ɛ r m a u̯
abertawe	a b ɛ r t a u̯ ɛ
aberteifi	a b ɛ r t e i̯ v i
aberth	a b ɛ r θ
aberthged	a b ɛ r θ ɡ ɛ d
aberthu	a b ɛ r θ ɨ̞
aberystwyth	a b ɛ r ə s t w ɨ̞ θ
abl	a b l
abladol	a b l a d ɔ l
absen	a b s ɛ n
absennol	a b s ɛ n ɔ l
absennu	a b s ɛ n ɨ
absenoldeb	a b s ɛ n ɔ l d a b
absenoldeb	a b s ɛ n ɔ l d ɛ b
abwyd	a b ʊ ɨ̯ d
abwydyn	a b ʊ ɨ̯ d ɨ̞ n
ac	a k
academaidd	a k a d ɛ m a i̯ ð
academaidd	a k a d ɛ m ɛ ð
academi	a k a d ɛ m i
academydd	a k a d ɛ m ɨ̞ ð
academyddion	a k a d ɛ m ə ð j ɔ n
academïau	a k a d ɛ m iː a
academïau	a k a d ɛ m iː a ɨ̯
academïau	a k a d ɛ m iː ɛ
acen	a k ɛ n
acen ddisgynedig	a k ɛ n ð ɪ s ɡ ə n ɛ d ɪ ɡ
acen ddyrchafedig	a k ɛ n ð ə r χ a v ɛ d ɪ ɡ
acen grom	a k ɛ n ɡ r ɔ m
aceniad	a k ɛ n j a d
acennu	a k ɛ n ɨ
acer	a k a r
acer	a k ɛ r
ach	a χ
ach	aː χ
acha	a χ a
achan	a χ a n
achles	a χ l ɛ s
achlesu	a χ l ɛ s ɨ̞
achlod	a χ l ɔ d
achlysur	a χ l ə s ɨ̞ r
achlysurol	a χ l ə s ɨ̞ r ɔ l
achos	a χ ɔ s
achos	χ ɔ s
achosaf	a χ ɔ s a v
achosi	a χ ɔ s i
achres	a χ r ɛ s
achub	a χ ɨ̞ b
achubiaeth	a χ ɨ̞ b j a ɨ̯ θ
achubiaeth	a χ ɨ̞ b j ɛ θ
achubol	a χ ɨ̞ b ɔ l
achubwr	a χ ɨ̞ b ʊ r
achwyn	a χ w ɨ̞ n
achwyn	a χ ʊ ɨ̯ n
achwyniad	a χ ʊ ɨ̯ n j a d
