ab	a b
abadiá	a β a ð j ɔ
abat	a β a t
abauquir	a β a w k i
acadèmia	a k a d ɛ m j o
acièr	a s j ɛ
administracion	a m m i n i s t ɾ a s j u
administracion	a d m i n i s t ʁ a s j ũᵑ
administracion	a d m i n i s t ʁ a s j ẽᵑ
agricultura	a ɣ ɾ i k y l t y ɾ o
agut	a ɣ y t
airal	a j r a l
aisit	a j z i t
ala	a l o̞
alfabet	a l f a β e t
alumar	a l y m a
aluqueta	a l y k e t o
amaisar	a m a j z a
amiga	a m i ɣ o
analisar	a n a l i z a
anchoiada	ä n t͡ʃ u j ä ð ɔ̝
aont	a u n t
api	a p i
aranha	a r a ɲ o
arbe	a r b e
argent	a ɾ d͡ʒ e n
argent	a ʁ d͡z ɛ̃ⁿ
ària	a r j o
arpar	a r p a
artista	a ɾ t i s t o
ase	a z e
assostar	a s u s t a
atac	a t a k
atacar	a t a k a
atòm	a t ɔ n
atòme	a t ɔ m e
auca	a w k o
aucèl	a w s ɛ l
aude	a w d e
aurelha	a w ɾ e ʎ o
australian	a w s t ɾ a l j a
àustria	a w s t r j o
auton	a w t u
autor	a w t u
autora	a w t u ɾ o
avairon	a β a j r u
avelana	a β e l a n o
avelanièr	a β e l a n j ɛ
badau	b a ð a w
bagatge	b a ɣ a d ʒ e
banh	b a n
beç	b e s
bèll	b ɛ l l
benvengut	b e m b e ŋ ɡ y t
bèstia	b ɛ s t j o
bèstias	b ɛ s t j o s
bolon	b u l u
bolon	b u l ũᵑ
bolons	b u l u s
bordèu	b u ɾ ð ɛ w
botanica	b u t a n i k o
braç	b ɾ a s
breçar	b ɾ e s a
cabra	k a β r o
cabriolar	k a β ɾ j u l a
caçar	k a s a
cagaraula	k a ɣ a r a w l o
caissal	k a j s a w
caissau	k a j s a w
cambiar	k a m b j a
canha	k a ɲ o
cantaire	k a n t a j ɾ e
capèl	k a p ɛ l
capèu	k a p ɛ w
carrièra	k a r r j ɛ r o
casse	k a s e
castèl	k a s t ɛ l
castèu	k a s t ɛ w
caulet	k a w l e t
causa	k a w z o
cavala	k a β a l o
cavilha	k a β i ʎ o
cerièra	s e ɾ j ɛ ɾ o
chipre	t͡ʃ i p r e
cò	k ɔ
coide	k u j ð e
còire	k ɔ j r e
conilh	k u n i l
còrb	k ɔ ɾ p
cotèl	k u t ɛ l
còu	k ɔ w
crompaira	k r u m p a j ɾ o
crompaire	k r u m p a j ɾ e
crompar	k r u m p a
damatge	d a m a t ʒ e
destruccion	d e s t ɾ y t͡s j u
destruccion	d e s t ɾ y t͡s i w
destruccion	d e s t ʁ y s j ũᵑ
destruccion	d e s t ʁ y s j ẽᵑ
det	d e t
dijòus	d i d ʒ ɔ w s
