agaan	ɑ̀ k ɑ̀ː n
aho	ʔ a h o
akałii	ʔ ɑ̀ kʰ ɑ̀ ɬ ìː
atsá	ʔ ɑ̀ t͡sʰ ɑ́
ayęęzhii	ʔ ɑ̀ j ẽ̀ː ʒ ìː
basdéél	p ɑ̀ s t éː l
beeldléí	p èː l tˡ ɛ́ ɪ́
begay	b ɪ ɡ e ɪ
bikéyah	p ɪ̀ kʰ ɛ́ j à h
bilagáana	p ɪ̀ l ɑ̀ k ɑ̂ː n ɑ̀
bináká	p ɪ̀ n ɑ́ kʰ ɑ́
bitsilly	b ɪ t s ɪ l i
bizaad	p ɪ̀ z àː t
bił	p ɪ ɬ
bááh	p ɑ́ː h
béeso	p êː s ò
béégashii	p éː k ɑ̀ ʃ ìː
béésh	p éː ʃ
béíyózhin	p ɛ́ ɪ́ j ó ʒ ɪ̀ n
chidí	t͡ʃʰ ɪ̀ t ɪ́
daadánígíí	t ɑ̀ː t ɑ́ n ɪ́ k íː
dah	t ɑ̀ h
damóo	t ɑ̀ m ôː
diimáás	t ìː m áː s
dijool	t ɪ̀ t͡ʃ òː l
dimáás	t ɪ̀ m ɑ́ː s
dinilbá	t ɪ̀ n ɪ̀ l p ɑ́
diyin	t ɪ̀ j ɪ̀ n
doo	t òː
dooda	t oː t a
dził	t s ɪ ɬ
dééh	t éː h
dóola	t ôː l ɑ̀
gad	k à t
golchóón	k ò l t͡ʃ óː n
géeso	k êː s o
gídí	k ɪ́ t ɪ́
gíinisi	k îː n ɪ̀ s ɪ̀
haiłmáás	h ɑ̀ ɪ̀ ɬ m ɑ́ː s
hataał	h ɑ̀ tʰ ɑ̀ː ɬ
hooghan	h òː ɣ ɑ̀ n
hwéeldi	hʷ êː l t ɪ̀
héítii	h é ɪ́ tʰ ìː
iimáás	ìː m ɑ́ː s
iithiyópya	ìː θ ɪ̀ j ó pʰ j ɑ̀
iiłmáás	ìː ɬ m ɑ́ː s
ilí	ʔ ɪ̀ l ɪ́
jish	t͡ʃ ɪ̀ ʃ
jooł	t͡ʃ òː ɬ
jélii	t͡ʃ ɛ́ l ìː
jíbitoo	d͡ʒ ɪ́ p ɪ̀ t òː
jíísas	d͡ʒ íː s ɑ̀ s
jóojah	t͡ʃ ôː t͡ʃ ɑ̀ h
káábin	kʰ ɑ́ː p ɪ̀ n
késhmish	kʰ ɛ́ ʃ m ɪ̀ ʃ
laanaa	l àː n àː
maakiimaakii	m ɑ̀ː k ìː m ɑ̀ː k ìː
mandagíiya	m ɑ̀ n t ɑ̀ k îː j ɑ̀
máaz	m ɑ̂ː z
mágí	m ɑ́ k ɪ́
mágítsoh	m á k í t sʰ ò h
méhigo	m ɛ́ h ɪ̀ k ò
mííl	m íː l
mókiwii	m ó kʰ ɪ̀ w ìː
mósí	m ó s ɪ́
naabeehó	n ɑ̀ː p èː h ó
naadiin	n ɑ̀ː t ìː n
naaki	n ɑ̀ː kʰ ɪ̀
naashgalí	n ɑ̀ː ʃ k ɑ̀ l ɪ́
ndíyíliitsoh	ǹ̩ t ɪ́ j ɪ́ l ìː t͡s o h
neeznáá	n èː z n ɑ́ː
nidíyílii	n ɪ̀ t ɪ́ j ɪ́ l ìː
niimas	n ìː m ɑ̀ s
nił	n ɪ̀ ɬ
niłchiis	n ɪ̀ ɬ t͡ʃʰ ìː s
niłtsínii	n ɪ̀ ɬ t͡s ɪ́ n ìː
námboo	n ɑ́ m p òː
náshdóí	n ɑ́ ʃ t ó ɪ́
náshdóítsoh	n ɑ́ ʃ t ó ɪ́ t͡sʰ ò x
názbąs	n ɑ́ z p ɑ̃̀ s
níléíjí	n ɪ́ l ɛ́ ɪ́ t͡ʃ ɪ́
nímasii	n ɪ́ m ɑ̀ s ìː
nímaz	n ɪ́ m ɑ̀ z
oozéí	òː z ɛ́ ɪ́
peshlakai	p ɛ ʃ l ə k a ɪ
shinaagóó	ʃ ɪ̀ n ɑ̀ː k óː
siláo	s ɪ̀ l ɑ́ ò
sis	s ɪ̀ s
soodin	s òː t ɪ̀ n
sooléí	s òː l ɛ́ ɪ́
spéshelígíí	s p ɛ́ ʃ ɛ̀ l ɪ́ k íː
sxih	s x ɪ̀ h
sáál	s ɑ́ː l
séetin	s êː tʰ ɪ̀ n
séwes	s ɛ́ w ɛ̀ s
toadlena	t o ʊ d l i n ə
tseebíí	t͡sʰ èː p íː
tsin	t sʰ ɪ n
tsindáo	t͡sʰ ɪ́ n t ɑ́ ò
tso	t s o ʊ
tsosie	t s o ʊ s i
tsé	t͡sʰ ɛ́
tábąąsdísí	tʰ ɑ́ p ɑ̃̀ː s t ɪ́ s ɪ́
tádiin	tʰ ɑ́ t ìː n
táiwáán	tʰ ɑ́ ɪ̀ w ɑ́ː n
táláwosh	tʰ ɑ́ l ɑ́ ɣ ò ʃ
tééh	tʰ éː h
tłóotoo	t͡ɬʰ ôː tʰ òː
uskilith	ə s k ɪ l ɪ θ
wikiibíídiiya	w ɪ̀ kʰ ìː p íː t ìː j ɑ̀
wáán	w ɑ́ː n
wááshindoon	w ɑ́ː ʃ ɪ̀ n t òː n
yas	j ɑ̀ s
yidiiłmáás	j ɪ̀ t ìː ɬ m ɑ́ː s
yidiłmáás	j ɪ̀ t ɪ̀ ɬ m ɑ́ː s
yigááł	j ɪ̀ k ɑ́ː ɬ
yiniiłmas	j ɪ̀ n ìː ɬ m ɑ̀ s
yiniłmas	j ɪ̀ n ɪ̀ ɬ m ɑ̀ s
yił	j ɪ̀ ɬ
yoowéinis	j òː w ɛ́ ɪ̀ n ɪ̀ s
yáhashjool	j ɑ́ h ɑ̀ ʃ t͡ʃ òː l
yázhí	j ɑ́ ʒ ɪ́
yáál	j ɑ́ː l
yáázh	j ɑ́ː ʒ
yíłmáás	j ɪ́ ɬ m ɑ́ː s
zas	z ɑ̀ s
ádahooníłígíí	ʔ ɑ́ t ɑ̀ h òː n ɪ́ ɬ ɪ́ k íː
ádin	ɑ́ t ɪ̀ n
álánééz	ʔ ɑ́ l ɑ́ n éː z
álázhoozh	ʔ ɑ́ l ɑ́ ʒ òː ʒ
éidí	ʔ é ɪ̀ t ɪ́
ínsadoobíídiiya	ʔ ɪ́ n s ɑ̀ t òː p íː t ìː j ɑ̀
óola	ʔ ôː l à
óóswiya	ʔ óː s w ɪ̀ j ɑ̀
łibá	ɬ ɪ̀ p ɑ́
łikan	ɬ ɪ̀ kʰ ɑ̀ n
ńdízídígíí	ń̩ t í z í t í k íː
