aba	a b a
abaci	a b a t͡s i
abak	a b a k
abakë	a b a k ə
abanoz	a b a n ɔ z
abat	a b a t
abazhur	a b a ʒ u ɾ
abdhellë	a v ð ɛ ɫ
abdikoj	a b d i k ɔ j
abdikoj	a b d i q ɔ j
abe	a b ɛ
abece	a b ɛ t͡s ɛ
abetare	a b ɛ t a ɾ ɛ
abetare	a b ɛ t ɑ ɾ ɛ
abis	a b i s
abisinas	a b i s i n a s
abisini	a b i s i n i
abonim	a b ɔ n i m
abonohem	a b ɔ n o h ɛ m
abonoj	a b o n ɔ j
abonuar	a b ɔ n u a r
abrogim	a b ɾ ɔ ɡ i m
abrogoj	a b ɾ ɔ ɡ ɔ j
absolut	a p s o l u t
absolutisht	a p s o l u t i ʃ t
absolutizëm	a p s ɔ l u t i z ə m
absorbim	a b s ɔ r b i m
absorboj	a b s ɔ ɾ b ɔ j
abstenim	a b s t ɛ n i m
abstenoj	a b s t ɛ n ɔ j
abstrakt	a p s t ɾ a k t
absurditet	a b s u ɾ d i t ɛ t
abuzohem	a b u z ɔ h ɛ m
abuzoj	a b u z ɔ j
abë	a b ə
abëcë	a b ə t͡s ə
acar	a t͡s a ɾ
aciditet	a t͡s i d i t ɛ t
aderoj	a d ɛ ɹ ɔ j
adhuroj	a ð u ɾ ɔ j
admirohem	a d m i ɾ ɔ h ɛ m
admiroj	a d m i ɾ ɔ j
adresë	a d ɾ ɛː s
afërsi	a f ə ɾ s i
agjëroj	a ɟ ə ɾ ɔ j
ajo	a j ɔ
aktiv	a k t i f
ama	a m a
analogji	a n a l ɔ ɟ i
anason	a n a s ɔ n
anmik	a n m i k
antonim	a n t ɔ n i m
apë	aː p
armik	a ɾ m i k
arrati	a r a t i
arratisem	a r a t iː s ɛ m
arrij	a r i j
arsye	a ɾ s y ɛ
arësyetoj	a ɾ ə s y ɛ t ɔ j
asgjësoj	a s d͡ʒ ɘ s ɔ j
asgjësoj	a s ɟ ə s ɔ j
atdhe	a t ð ɛ
atë	aː t
atë	aː t ə
avdes	a v d ɛ s
avdeshanë	a v d ɛ s h ɑ n
avlëmend	a v l ə m ɛ n d
avulloj	a v u ɫ o j
baba	b a b a
baba	b ɑ b a
bac	b a t͡s
bacë	b aː t͡s ə
bagazh	b a ɡ ɑ ʒ
bagëm	b a ɡ ə m
bakër	b a k ə ɾ
bakër	b ɑ q ə ɾ
balladër	b a ɫ a d ə r
bamje	b a m j ɛ
barkë	b aː ɾ k
bashki	b a ʃ k i
be	b ɛ
bekoj	b ɛ k o j
beqar	b ɛ c ɕ a ɹ
berisha	b e ɹ i ʃ a
berisha	b e ɾ i ʃ a
bibliotekë	b i b l i j o t e k
bibliotekë	b i b l i j o t ɛ k ə
biograf	b i ɔ ɡ ɹ a f
biografi	b i j o ɡ r a f i
biokimi	b i j o kʰ i m i
biokimi	b i j o qʰ i m i
biolog	b i j o l o ɡ
biologji	b i j ɔ l ɔ ɟ ʑ i
biologjik	b i j ɔ l ɔ ɟ ʑ i k
bisedoj	b i s ɛ d ɔ j
bjond	b j ɔ n t
buf	b u f
bukuri	b u k u ɾ i
burg	b u ɹ ɡ
burrë	b uː r
butë	b uː t
buzëqesh	b ʊ s c ɕ ɛ ʃ
buzëqeshje	b u s c ɕ ɛ ʃ j ɜ
bythë	b yː θ
bâhna	b ã h n a
bëhem	b ə h ɛ m
bëra	b ə ɾ a
bôna	b õː n a
camërdhok	t͡s a m ə ɾ ð ɔ k
cigare	t s i ɡ a ɾ ɛ
cili	t s i l i
copëtoj	t͡s ɔ p ə t ɔ j
cupe	t s u p ɛ
cupesh	t s u p ɛ ʃ
cupet	t s u p ɛ t
cupeve	t s u p ɛ v ɛ
cupevet	t s u p ɛ v ɛ t
cupi	t s u p i
cupin	t s u p i n
cupit	t s u p i t
daj	d a j
dajë	d a j ə
dashuri	d a ʃ u ɾ i
dasma	d a s m a
degjôj	d e d͡ʑ ɔ j
degjôj	d e d͡ʒ ɔ j
delfin	d ɛ l f i n
demi	d ɛ m i
deri	d ɛ ɻ i
derë	d ɛː ɾ
derëzi	d ɛ ɾ ə z i
deve	d ɛ v ɛ
dhampir	ð a m p i ɹ
dhemb	ð ɛ m b
dhunoj	ð u n ɔ j
dhuratë	ð u ɽ a t
dhuroj	ð u ɹ ɔ j
dhuroj	ð u ɾ ɔ j
diku	d i k u
dikush	d i k u ʃ
dikë	d iː k
dimër	d i m ə ɾ
diqysh	d i c ɕ y ʃ
disa	d i s a
disi	d i s i
diçka	d i t ʃ k a
djeg	d j ɛ ɡ
dobët	d ɔ b ə t
domosdoshëm	d ɔ m ɔ z d ɔː ʃ ə m
dragua	d ɾ a ɡ u a
dua	d u a
duke	d u k ɛ
duroj	d u ɹ ɔ j
duroj	d u ɾ ɔ j
dygjuhësh	d y ɟ uː h ə ʃ
dyllë	d yː ɫ
dërgoj	d ə ɹ ɡ ɔ j
dëshiroj	d ə ʃ i ɾ ɔ j
dëshirë	d ə ʃ i ɹ
e	ɛ
efektivisht	ɛ f ɛ k t i v i ʃ t
ejakulacion	ɛ j a k u l a t s i j ɔ n
emtë	ɛ m t ə
emën	ɛ̃ m ə n
emër	ɛ m ə ɹ
energji	e n e ɾ ɟ i
energji	ɛ n ɛ ɾ ɟ ʑ i
energjik	ɛ n ɛ ɹ ɟ ʑ i k
enver	ɛ n v ɛ r
epsh	ɛ p ʃ
erotik	ɛ ɾ ɔ t i k
erë	ɛː ɹ
evropa	e v ɾ ɔ p a
evropë	e v ɾ ɔ p ə
faqe	f a c ɛ
fat	f a t
fatkeq	f a t k ɛ c ɕ
femën	f ɛ m ə n
feniks	f ɛ n i k s
fier	f i ɛ ɾ
fillim	f ɪ ɫ i m
filloj	f i ɫ ɔ j
finok	f i n ɔ k
fjalë	f j aː l
fol	f ɔ l
folje	f ɔ l j ɛ
frymëmarrje	f ɾ yː mː a r j ɛ
fund	f u n d
fuqishëm	f u c ɕ i ʃ ə m
futem	f u t ɛ m
fërgesë	f ə ɹ ɡ ɛ s
fërgoj	f ə ɾ ɡ ɔ j
gabel	ɡ a b ɛ l
gaboj	ɡ a b ɔ j
gaforre	ɡ a f ɔ r ɛ
gaforrja	ɡ a f ɔ r j a
gargull	ɡ a ɾ ɡ u ɫ
garuzhdë	ɡ a ɾ uː ʒ d
gjak	ɟ͡ʝ a k
gjallë	ɟ aː ɫ
gjedh	ɟ ɛ ð
gjej	ɟ j ɛ j
gjelbër	ɟ ʑ ɛ l b ə ɹ
gjellë	ɟ ɛː ɫ
gjenetik	ɟ ʑ ɛ n ɛ t i k
gjenocid	ɟ ʑ ɛ n ɔ t s i t
gjeolog	ɟ ʑ ɛ ɔ l ɔ k
gjeologji	ɟ ʑ ɛ ɔ l ɔ ɟ ʑ i
gjeologjik	ɟ ʑ ɛ ɔ l ɔ ɟ ʑ i k
gjeologjikisht	ɟ ʑ ɛ ɔ l ɔ ɟ ʑ i k i ʃ t
gjer	ɟ ɛ ɾ
gjerb	ɟ ɛ ɾ b
gjerb	ɟ ʝ ɛ ɻ b
gjini	ɟ ʝ i n i
gjithashtu	ɟ ʑ ɪ θ a ʃ t u
gjithësi	ɟ ʑ i θ s i
gjoks	ɟ ɔ k s
gjuha	ɟ u h a
gjuhësor	ɟ ʑ u h ə s ɔ ɹ
gjuhësore	ɟ u h ə s ɔ ɾ ɛ
gjykatës	ɟ y k a t ə s
godas	ɡ ɔ d a s
gojë	ɡ ɔː j
grazhd	ɡ ɾ a ʒ d
grua	ɡ ɾ u a
grusht	ɡ ɾ u ʃ t
grykë	ɡ ɾ yː k
guall	ɡ u a ɫ
gur	ɡ u ɹ
gur	ɡ u ɾ
guximshëm	ɡ ʊ d z i m ʃ ə m
gërlas	ɡ ə ɾ l a s
gëzuar	ɡ a z u a ɹ
halla	h a ɫ̪ a
hallë	h a ɫ ə
han	h ɑ n
hanë	h ãː n
haps	h a p s
harabel	h a ɾ a b ɛ l
hardhje	h a ɾ ð j e
hardhucë	h a ɾ ð u t s ə
hardhël	h a ɾ ð ə l
harraq	h a r a c ɕ
has	h a s
herë	h ɛː ɾ ə
hidrogjen	ʰi d r ɔ ɟ ɛ n
homonim	h ɔ m ɔ n i m
homoseksual	h ɔ m ɔ s ɛ k s ʊ a l
humb	ʰu m b
hurbë	h uː ɾ b
hyidhor	h y j ð ɔ r
hyjdhor	h y j ð ɔ r
hënë	h ə̃ː n
idealist	i d ɛ j a l i s t
idealizëm	i d ɛ j a l i z ə m
ijë	iː j
ikur	i k u ɹ
inteligjencë	i n t ɛ l i ɟ ʑ ɛ n t s
inteligjent	i n t ɛ l i ɟ ʑ ɛ n t
iriq	i ɾ i c
iriq	ɪ ɾ i t͡ʃ
jak	j a k
janë	j a n
jashtëzakonshëm	j a ʃ t ə z a k ɔ n ʃ ə m
jastëk	j a s t ə k
jem	j ɛ m
jesh	j ɛ ʃ
jetoj	j ɛ t ɔ j
