aha	ʔ a ɦ a
ahu	ʔ a ɦ u
akhanabee	ʔ a kʰ a n a b e ʔ e
akho	ʔ a kʰ o
akhoko	ʔ a kʰ o k o
akhwa	ʔ a kʷʰ a
akhwako	ʔ a kʷʰ a k o
akhwitiko	ʔ a kʷʰ i t i k o
aku	ʔ a k u
akwaza	ʔ a kʷ a d z a
akwia	ʔ a kʷ i ʔ a
aphukwa	ʔ a pʰ u kʷ a
asatchiko	ʔ a s a t ʃʰ i k o
ase	ʔ a s e
aso	ʔ a s o
asuko	ʔ a s u k o
athama	ʔ a tʰ a m a
ati	ʔ a t i
atibii	ʔ a t i b i ʔ i
atiko	ʔ a t i k o
awanika	ʔ a w a n i k a
awanikako	ʔ a w a n i k a k o
awati	ʔ a w a t i
bami	b a m i
basluko	b a ɬ u k o
bee	b e ʔ e
beena	b e ʔ e n a
beggahuko	b e k xʼ a ɦ u k o
beggawuko	b e k xʼ a u k o
bii	b i ʔ i
binxo	b i ǁ̃ o
bisoko	b i s o k o
bone	b o n e
botcho	b o t͡ʃʰ o
bothâno	b o tʰ aː n o
bôko	b oː k o
ccama	ǀ̃ˀ a m a
ccamazziko	ǀ̃ˀ a m a t sʼ i k o
ccara	ǀ̃ˀ a ɺ a
ccoso	ǀ̃ˀ o s o
ccutugguko	ǀ̃ˀ u t u k xʼ u k o
cheta	ǀʰ e t a
chutiko	ǀʰ u t i k o
chî	ǀʰ iː
cinambo	ǀ i n a n p o
cutiko	ǀ u t i k o
cî	ǀ iː
dlaggwa	c ʎʼ a k xʷʼ a
dlomako	c ʎʼ o m a k o
dlonkô	c ʎʼ o n kʰ oː
dlozo	c ʎʼ o d z o
dlâe	c ʎʼ aː ʔ e
dongo	d o n k o
dongobee	d o n k o b e ʔ e
dongoko	d o n k o k o
dunduhina	d u n t u ɦ i n a
dunduhinebee	d u n t u ɦ i n e b e ʔ e
dungubii	d u n k u b i ʔ i
epheme	ʔ e pʰ e m e
ethebee	ʔ e tʰ e b e ʔ e
etlhikwa	ʔ e c ʎʰ i kʷ a
exekeke	ʔ e ǁ e k e k e
fa	f a
gewedako	ɡ e w e d a k o
guringuri	ɡ u ɺ i n k u ɺ i k o
habee	ɦ a b e ʔ e
habii	ɦ a b i ʔ i
hadlebee	ɦ a c ʎʼ e b e ʔ e
hajjapitchi	ɦ a t ʃʼ a p i t ʃʰ i
haka	ɦ a k a
hako	ɦ a k o
hama	ɦ a m a
hamana	ɦ a m a n a
hantâ	ɦ a n tʰ aː
haqqako	ɦ a ǃ̃ˀ a k o
hatchâ	ɦ a t ʃʰ aː
hawâ	ɦ a w aː
hayiko	ɦ a i k o
haza	ɦ a d z a
hazabee	ɦ a d z a b e ʔ e
hazane	ɦ a d z a n e
hazzape	ɦ a t sʼ a p e
he	ɦ e
heggwako	ɦ e k xʷʼ a k o ʔ
hengcê	ɦ e n ǀ eː
henqee	ɦ e ǃ̃ e ʔ e
henqê	ɦ e ǃ̃ eː
hephê	ɦ e pʰ eː
himiggê	ɦ i m i k xʼ eː
himiggêbee	ɦ i m i k xʼ eː b e ʔ e
himiggêna	ɦ i m i k xʼ eː n a
himiggîbii	ɦ i m i k xʼ iː b i ʔ i
himiggîko	ɦ i m i k xʼ iː k o
hingcî	ɦ i n ǀ iː
hiyagga	ɦ i a k xʼ a
hizza	ɦ i t sʼ a
hojjo	ɦ o t ʃʼ o
hojjobee	ɦ o t ʃʼ o b e ʔ e
hotcha	ɦ o t ʃʰ a
hozzo	ɦ o t sʼ o
hozzoko	ɦ o t sʼ o k o
hozzokoko	ɦ o t sʼ o k o k o
hubû	ɦ u b uː
hukhû	ɦ u kʰ uː
hukwa	ɦ u kʷ a
hushû	ɦ u ʃ uː
hûbbu	ɦ uː pʼ u
ikha	ʔ i kʰ a
intawe	ʔ i n tʰ a w e
iribabii	ʔ i ɺ i b a b i ʔ i
iribako	ʔ i ɺ i b a k o
isho	ʔ i ʃ o
ishoko	ʔ i ʃ o k o
itchâme	ʔ i t ʃʰ aː m e
ithibii	ʔ i tʰ i b i ʔ i
jjabako	t͡ʃʼ a b a k o
kapurâ	k a p u ɺ aː
keqhena	k e ǃʰ e n a
khaha	kʰ a ɦ a
khaxxe	kʰ a ǁ̃ˀ e
khenangu	kʰ e n a n k u
khenanguko	kʰ e n a n k u k o
khomatiko	kʰ o m a t i k o
konxa	k o ǁ̃ a
kwai	kʷ a ʔ i
kwe	kʷ e
mako	m a k o
mana	m a n a
manabee	m a n a b e ʔ e
manako	m a n a k o
mangora	m a n k o ɺ a
mangoranebee	m a n k o ɺ a n e b e ʔ e
midla	m i c ʎʼ a
minca	m i ǀ̃ a
mura	m u ɺ a
naggomako	n a k xʼ o m a k o
naha	n a ɦ a
nana	n a n a
naxhi	n a ǁʰ i
ncata	ǀ̃ a t a
neeko	n e ʔ e k o
nkoro	n̩ kʰ o ɺ o
nkoroko	n̩ kʰ o ɺ o k o
nqe	ǃ̃ e
nqokhô	ǃ̃ o kʰ oː
ntsako	n̩ t sʰ a k o
nube	n u b e
nxadlanê	ǁ̃ a c ʎʼ a n eː
nxae	ǁ̃ a ʔ e
nxawejjene	ǁ̃ a w e t ʃʼ e n e
nxobako	ǁ̃ o b a k o
nâbee	n aː b e ʔ e
nâbii	n aː b i ʔ i
nâko	n aː k o
ondoshi	ʔ o n t o ʃ i
ondoshi	ʔ u n t u ʃ i
ondoshibii	ʔ o n t o ʃ i b i ʔ i
ondoshibii	ʔ u n t u ʃ i b i ʔ i
onebee	ʔ o n e b e ʔ e
ono	ʔ o n o
onoko	ʔ o n o k o
onê	ʔ o n eː
otcha	ʔ o t ʃʰ a
paana	p a ʔ a n a
pakapaa	p a k a p a ʔ a
pedla	p e c ʎʼ a
penqhenqhe	p e n ǃʰ e n ǃʰ eː
peqeqhe	p e ǃ e ǃʰ e
petena	p e t e n a
phophoko	pʰ o pʰ o k o
phoyâbii	pʰ o j aː b i ʔ i
piye	p i e
pophoko	p o pʰ o k o
puche	p u k͡ǀʰ e
pururu	p u ɺ u ɺ u
qhate	ǃʰ a t e
qozzô	ǃ o t sʼ oː
qqomo	ǃ̃ˀ o m o
qukunju	ǃ u k u n t ʃ u
qukwâ	ǃ u kʷ aː
raqo	ɺ a ǃ o
roo	ɺ o ʔ o
rukutchuko	ɺ u k u t͡ʃʰ u k o
sa	s a
sako	s a k o
samaka	s a m a k a
same	s a m e
seme	s e m e
seseme	s e s e m e
shenqê	ʃ e ǃ̃ eː
shutukukû	ʃ u t u k u k uː
siponga	s i p o n k a
siponganebee	s i p o n k a n e b e ʔ e
slaxxa	ɬ a ǁ̃ˀ a
sleme	ɬ e m e
sêta	s eː t a
tacce	t a ǀ̃ˀ e
tanchê	t a n ǀʰ eː
taxxi	t a ǁ̃ˀ i
tcanjayi	t ʃ a n t ʃ a i
tchee	t ʃʰ e ʔ e
teqqê	t e ǃ̃ˀ eː
tese	t e s e
teslê	t e ɬ eː
tethao	t e tʰ a ʔ o
thakae	tʰ a k a ʔ e
thame	tʰ a m e
thashi	tʰ a ʃ i
thashina	tʰ a ʃ i n a
thashê	tʰ a ʃ eː
thasê	tʰ a s eː
thawo	tʰ a o
the	tʰ e
theko	tʰ e k o
thuma	tʰ u m a
thumeika	tʰ u m e ʔ i k a
thumuusha	tʰ u m u ʔ u ʃ a
thumê	tʰ u m eː
tijji	t i t ʃʼ i
tizzia	t i t sʼ i ʔ a
tlhakate	c ʎʰ a k a t e
tlhasho	c ʎʰ a ʃ o
tlhiika	c ʎʰ i ʔ i k a
tlhiikanebee	c ʎʰ i ʔ i k a n e b e ʔ e
tlhoshô	c ʎʰ o ʃ oː
tsingau	t s i n k a ʔ u
tîngi	t iː n k i
tîtiko	t iː t i k o
ukhuwa	ʔ u kʰ u a
ukhwa	ʔ u kʷʰ a
ukhwako	ʔ u kʷʰ a k o
unibii	ʔ u n i b i ʔ i
unu	ʔ u n u
uphukwa	ʔ u pʰ u kʷ a
usleko	ʔ u ɬ e k o
wai	w a ʔ i
waiko	w a ʔ i k o
waina	w a ʔ i n a
wezzaiko	ʔ u e t sʼ a ʔ i k o
wiri	w i ɺ i
xambabii	ǁ a n p a b i ʔ i
xambako	ǁ a n p a k o
xhaano	ǀʰ a ʔ a n o
xhû	ǁʰ uː
xitî	ǁ i t iː
xuphi	ǁ u pʰ i
xxape	ǁ̃ˀ a p e
xxeko	ǁ̃ˀ e k o
xxo	ǁ̃ˀ o
xxoo	ǁ̃ˀ o ʔ o
xxudleko	ǁ̃ˀ u c ʎʼ e k o
xô	ǁ oː
yamua	ʔ i a m u ʔ a
yamuabee	ʔ i a m u ʔ a b e ʔ e
yamuako	ʔ i a m u ʔ a k o
yekeko	ʔ i e k e k o
za	d z a
zana	d z a n a
zzahi	t sʼ a ɦ i
zzahoko	t sʼ a ɦ o k o
zzapare	t sʼ a p a ɺ e
zzawabee	t sʼ a w a b e ʔ e
zzeraaroko	t sʼ e ɺ a ʔ a ɺ o k o
zzie	t sʼ i ʔ e
zzifa	t sʼ i f a
zzifi	t sʼ i f i
zzifiko	t sʼ i f i k o
zziggo	t sʼ i k xʼ o
zziti	t sʼ i t i
zzoko	t sʼ o k o
zzokwanako	t sʼ o kʷ a n a k o
zzonô	t sʼ o n oː
zzukubii	t sʼ u k u b i ʔ i
zzutche	t sʼ u t ʃʰ e
zzutchibii	t sʼ u t ʃʰ i b i ʔ i
î	ʔ iː
ôbee	ʔ oː b e ʔ e
ûbii	ʔ uː b i ʔ i
