cag	c a ˧˩̤
caug	c a u̯ ˧˩̤
ceg	c e ˧˩̤
ci	c i ˧
ciaj	c i̯ ə ˥˧
ciblaug	c i ˥ l a u̯ ˧˩̤
cuaj	c u̯ ə ˥˧
cw	c ɨ ˧
dab	d a ˥
dag	d a ˧˩̤
daim	d a i̯ ˩̰ˀ
dais	d a i̯ ˩
daus	d a u̯ ˩
dauslas	d a u̯ ˩ l a ˩
dav	d a ˧˦
deb	d e ˥
dej	d e ˥˧
dev	d e ˧˦
diav	d i̯ ə ˧˦
du	d u ˧
duav	d u̯ ə ˧˦
fawm	f a ɨ̯ ˩̰ˀ
foob	f ɒ̃ ˥
hais	h a i̯ ˩
hauv	h a u̯ ˧˦
hinplus	h i ˧ᵐ bˡ u ˩
hlau	ɬ a u̯ ˧
hlob	ɬ ɒ ˥
hlua	ɬ u̯ ə ˧
hluas	ɬ u̯ ə ˩
hlub	ɬ u ˥
hmab	m̥ a ˥
hmo	m̥ ɒ ˧
hmoob	m̥ ɒ̃ ˥
hmos	m̥ ɒ ˩
hmuv	m̥ u ˧˦
hneev	n̥ ẽ ˧˦
hnov	n̥ ɒ ˧˦
hnub	n̥ u ˥
hnyav	ɲ̊ a ˧˦
huablab	h u̯ ə ˥ l a ˥
huabxeeb	h u̯ ə ˥ s ẽ ˥
hub	h u ˥
huv	h u ˧˦
hwj	h ɨ ˥˧
hwvtaus	h ɨ ˧˦ t a u̯ ˩
iab	ʔ i̯ ə ˥
ib	ʔ i ˥
kais	k a i̯ ˩
kaum	k a u̯ ˩̰ˀ
kav	k a ˧˦
kaw	k a ɨ̯ ˧
kawg	k a ɨ̯ ˧˩̤
kev	k e ˧˦
khaus	kʰ a u̯ ˩
khej	kʰ e ˥˧
khw	kʰ ɨ ˧
kim	k i ˩̰ˀ
koj	k ɒ ˥˧
kotaw	k ɒ ˧ t a ɨ̯ ˧
kovyeej	k ɒ ˧˦ ʝ ẽ ˥˧
kub	k u ˥
kuv	k u ˧˦
laus	l a u̯ ˩
lawv	l a ɨ̯ ˧˦
leej	l ẽ ˥˧
liag	l i̯ ə ˧˩̤
loj	l ɒ ˥˧
los	l ɒ ˩
lub	l u ˥
luv	l u ˧˦
lwj	l ɨ ˥˧
me	m e ˧
meej	m ẽ ˥˧
meejpem	m ẽ ˥˧ p e ˩̰ˀ
menyuam	m e ˧ ɲ u̯ ə ˩̰ˀ
mob	m ɒ ˥
mom	m ɒ ˩̰ˀ
mov	m ɒ ˧˦
muag	m u̯ ə ˧˩̤
muaj	m u̯ ə ˥˧
mus	m u ˩
nab	n a ˥
nag	n a ˧˩̤
nalika	n a ˧ l i ˧ k a ˧
nanej	n a ˩ ʔ e ˥˧
ncauj	ᶮɟ a u̯ ˥˧
neb	n e ˥
neeg	n ẽ ˧˩̤
neej	n ẽ ˥˧
nees	n ẽ ˩
nej	n e ˥˧
niam	n i̯ ə ˩̰ˀ
nlom	mˡ ɒ ˩̰ˀ
nloog	mˡ ɒ̃ ˧˩̤
noj	n ɒ ˥˧
noob	n ɒ̃ ˥
noog	n ɒ̃ ˧˩̤
npam	ᵐb a ˩̰ˀ
npe	ᵐb e ˧
npelehees	ᵐb e ˧ l e ˧ h ẽ ˩
nplaig	ᵐbˡ a i̯ ˧˩̤
nplej	ᵐbˡ e ˥˧
nplhaib	ᵐpˡʰ a i̯ ˥
nplooj	ᵐbˡ ɒ̃ ˥˧
npluag	ᵐbˡ u̯ ə ˧˩̤
npua	ᵐb u̯ ə ˧
nqaij	ᶰɢ a i̯ ˥˧
nqaim	ᶰɢ a i̯ ˩̰ˀ
nqos	ᶰɢ ɒ ˩
nqov	ᶰɢ ɒ ˧˦
nquab	ᶰɢ u̯ ə ˥
nquag	ᶰɢ u̯ ə ˧˩̤
nqus	ᶰɢ u ˩
nrau	ᶯɖ a u̯ ˧
nrauj	ᶯɖ a u̯ ˥˧
nruas	ᶯɖ u̯ ə ˩
ntaiv	ⁿd a i̯ ˧˦
ntawv	ⁿd a ɨ̯ ˧˦
ntev	ⁿd e ˧˦
nto	ⁿd ɒ ˧
ntoo	ⁿd ɒ̃ ˧
ntos	ⁿd ɒ ˩
ntse	ᶯd͡ʐ e ˧
ntseeg	ᶯd͡ʐ ẽ ˧˩̤
ntses	ᶯd͡ʐ e ˩
ntshav	ᶯt͡ʂʰ a ˧˦
ntshiab	ᶯt͡ʂʰ i̯ ə ˥
