אבא	a b a
אברהם	a v r ɔ h ɔ m
אדום	ɔ ð eː m
אדוני	a d o n u j
אדוני	a d ɛ ɪ n o j
אדם	ɔ d ɔ m
אויב	ʔ oː j eː v
אות	ʔ oː θ
אחד	e χ u d
אחד	ʔ e ħ aː ð
אחד	ʔ e̞ ħ ä ð
אלוהים	e l o h i m
אנוכי	ɔ n o j x i
אסתר	e s t e j r
אסתר	e s t ə r
אפיקורוס	e p i k o ʁ o s
אקורד	a k o ʁ d
ארכיטקטורה	ʔ ä ʁ x i t e̞ k t u r ä
ארץ	e ɾ e s
ארץ	e ɾ e t͡s
ארץ	e ʁ e t͡s
אשר	a ʃ ɛ ʁ
בית	b aː j i θ
בנימין	b i n j a m i n
ברז	b e ʁ e z
ברזים	b ʁ a z i m
בשר	b a s a ʁ
בשר	b ɔ s ɔ r
ג׳ירף	d ʒ i ʁ a f
ג׳ירפה	d ʒ i ʁ a f a
דבר	d aː β aː r
דברים	d v ɔ r ɪ m
דגש	d ä ɡ e̞ ʃ
דגש	d ɔ ɣ e ʃ
דוד	d eː ð
דוד	d ɔː v ə d
דוד	d̪ u d̪
דולר	d o̞ l ä ʁ
דחליל	d a χ l i l
דמוקרטיה	d e̞ m o̞ k ʁ ä t j ä
דפק	d a f a k
החדיר	h ɛ χ d i ʁ
הלכה	a l a χ a
הלכה	a l χ a
הסביר	h i s b i ʁ
העולם	h a ʕ ɔ l a m
הצטחק	h i t͡s t a χ ɛ k
וריד	v ʁ i d
זהיר	z a h i ʁ
זהיר	z a i ʁ
זונה	z o n a
חבר	ħ aː v eː r
חזיר	χ a z i ʁ
חיים	x a j i m
חיים	x a j ɪ m
חנייה	χ a n a j a
חסד	ħ ɛ s ɛ ð
חפרפרת	x ä f ä ɣ p e̞ ʁ e̞ t
חרת	χ a ʁ a t
חשב	ħ a ʃ a v
חשבון	ħ e ʃ b o n
חשוב	χ ɔ ʃ ə v
חתול	x a θ u l
טוב	tˤ oː β
יד	j ɔː ð
ידע	j a d̪ a ŋ
ידע	j e d̪ a ŋ
יוחנן	j e ħ ɔ n ɔ n
ירושה	j ɛ ʁ u ʃ a
יריחו	j ɛ ʁ i χ o
כאן	k a n
כבוד	k aː β oː ð
כבוד	k ɔ v e ð
כוהן	k u h e n
כותב	k oː θ eː v
להתראות	l e h i t ʁ a ʔ o t
לחייך	l ɛ χ a j ɛ χ
מדפסת	m a t p e s e t
מושג	m u s a ɡ
מושלם	m u ʃ l ä m
מזגן	m a z ɡ a n
מזחלת	m i z χ e l e t
מזרק	m a z ʁ e k
מזרקה	m i z ʁ a k a
מניין	m i n j ə n
מצותיו	m i t s v ɔ t a v
מרגמה	m a ʁ ɡ e m a
משהו	m a ʃ u
משהו	m a ʃ ɛ u
משטרה	m i ʃ t a ʁ a
משיח	m a ʃ i a χ
משיח	m aː ʃ iː a ħ
משיח	m ɔ ʃ i ə χ
משיח	m ɔː ʃ iː a ħ
נהג	n aː h a ɣ
נורא	n o ʁ a
נחש	n a χ a ʃ
סדין	s a d i n
סנדוויץ׳	s e̞ n d v i t͡ʃ
סניף	s n i f
ספריה	s i f ʁ i j ä
עברית	ŋ i v r i t
עברית	ʕ iː β r iː θ
עולם	ŋ o l a m
עור	ʕ o r
עזה	ŋ a z a
עזה	ʔ a z a
עצם	ŋ e t s e m
עשה	ŋ a s a
פיצה	p i t͡s ä
פרדיגמה	p a ʁ a d i ɡ m a
פרה	p a ʁ a
פרחים	p ʁ a χ i m
צבע	t͡s e̞ v ä
צדק	t͡s e d ə k
צדק	t͡s ɛ d ɛ k
צייד	t s a j a d
צריך	sˤ aː r i x
קול	ʔ oː l
קליד	k l i d
קשת	k e ʃ e θ
קשת	ʔ e ʃ e t
רבקה	r i b k aː
רבקה	r i b ʔ a
רבקה	r i f k ɔ
רבקה	r i β k aː
רבקה	ʁ i f k a
רבקה	ʁ i f k ɔ
רוח	r i a χ
רומח	ʁ ɔ m a χ
רעיון	ʁ a a j o n
שבועה	ʃ v u ʔ a
שבת	ʃ a b a t
שומר	ʃ o j m ə r
שומר	ʃ u m e r
שחיטה	ʃ χ i t a
שיהיה	ʃ ɛ ɪ̯ j e
שלג	ʃ e l e ɡ
שלטון	ʃ i l t o n
שלטוני	ʃ i l t o n i
שקר	ʃ e k e ʁ
שקר	ʃ e ʔ e r
תזוזה	d͡z u z a
תזוזה	t z u z a
תחת	t a x ə s
תצליל	t a t͡s l i l
