a	ɑ
aba	ɑ b ɑ
acıq	ɑ d͡z ɯ χ
acıq	ɑ d͡ʒ ɯ χ
adam	ɑ d ɑ m
adi	aː d i
adlanmaq	ɑ d ɫ ɑ n m ɑ χ
aid	ɑ i d
akademiya	ɑ k ɑ d e m i j ɑ
aktivləşdirmək	a k t i v l æ ʃ d i r m æ k
ala	ɑ ɫ ɑ
alma	ɑ ɫ m ɑ
alın	ɑ ɫ ɯ n
amsterdam	ɑ m s t e r d ɑ m
an	ɑ n
ar	ɑ r
armağan	ɑ r m ɑ ɣ ɑ n
arpa	ɑ r p ɑ
arxa	ɑ r χ ɑ
arzu	ɑ r z u
at	ɑ t
axırıncı	ɑ χ ɯ r ɯ n d͡ʒ ɯ
ay	ɑ j
azəri	ɑː z æ ɾ i
b	b
badam	b ɑ d ɑ m
baldır	b ɑ ɫ d ɯ r
batmaq	b ɑ t m ɑ χ
batırmaq	b ɑ t ɯ r m ɑ χ
bayram	b a j r a m
bayğın	b ɑ j ɣ ɯ n
başıörtülü	b ɑ ʃ ɯ œ r t y l y
bel	b e l
beş	b e ʃ
birləşdirmək	b i r l æ ʃ d i r m æ k
birləşmək	b i r l æ ʃ m æ k
birə	b i r æ
bitirmək	b i t i r m æ k
bol	b o ɫ
boy	b o j
boşanmaq	b o ʃ ɑ n m ɑ χ
bulud	b u ɫ u d
bura	b u r ɑ
buğda	b u ɣ d ɑ
bölmək	b œ l m æ k
bürümək	b y r y m æ k
bütöv	b y t œ v
bütün	b y t y n
bığ	b ɯ ɣ
bənək	b æ n æ k
c	d͡ʒ
d	d
daban	d ɑ b ɑ n
dam	d ɑ m
davam	d ɑ v ɑ m
deyil	d e j i l
deşik	d e ʃ i k
dildaş	d i l d ɑ ʃ
dişləmək	d i ʃ l æ m æ k
dörd	d œ ɾ d
düş	d y ʃ
düşünmək	d y ʃ y n m æ k
dəniz	d æ n i z
dərinlik	d æ r i n l i k
dəsmal	d æ s m ɑ ɫ
dəstək	d æ s t æ k
dəstəkləmək	d æ s t æ k l æ m æ k
e	e
el	e l
evlənmək	e v l æ n m æ k
eyi	e j i
f	f
fikir	f i k i r
fikirləşmək	f i k i r l æ ʃ m æ k
funksiya	f u n k s i j ɑ
fərqlənmək	f æ r ɡ l æ n m æ k
g	ɟ
genə	ɡ e n æ
geriləmək	ɡ e r i l æ m æ k
gey	ɡ e j
ginə	ɡ i n æ
gizlətmək	ɡ i z l æ t m ɑ χ
görməmiş	ɡ œ r m æ m i ʃ
gözəl	d͡ʒ œ z æ l
gözəl	ɡ œ z æ l
güc	ɡ y d͡ʒ
güllələmək	ɡ y lː æ l æ m æ k
gündəm	ɡ y n d æ m
güz	k y z
güz	ɡ y z
gəmirici	ɡ æ m i r i d͡ʒ i
gəmirmək	ɡ æ m i r m æ k
gənəşmək	ɡ e i ʃ m ɑ ɣ
gənəşmək	ɡ e ŋ æ ʃ m æ χ
gənəşmək	ɡ i j æ ʃ m æ ɡ
gənəşmək	ɡ æ n æ ʃ m æ j
gənəşmək	ɡ æ n æ ʃ m æ k
gənəşmək	ɡ æ ŋ i ʃ m ɑ χ
gənəşmək	ɡ æ ŋ æ ʃ m æ x
gənəşmək	ɡ æ̃ː ʃ m ɑ χ
gənəşmək	ɡ ɑ ŋ ɑ ʃ m ɑ χ
gənəşmək	ɡ ɑː ʃ m ɑ χ
gərək	ɡ æ r æ k
h	h
hazırda	h ɑː z ɯ r d ɑ
hidrogen	h i d ɾ o ɟ e n
hoppanmaq	h o pː ɑ n m ɑ χ
hürmək	h y r m æ k
həftə	h æ f t æ
hələ	h æ l æ
həncəri	h æ n d͡ʒ æ r i
həncəri	h ɑ n d͡ʒ ɑ r u
həncəri	h ɑ n d͡ʒ ɑ r ɯ
həncəri	h ɑ n ʒ ɑ r ɯ
hərf	h æ ɾ f
həvəs	h æ v æ s
idman	i d m ɑ n
iki	i k i
inadkar	i n ɑ d k ɑ r
inadkarlıq	i n ɑ d k ɑ r l ɯ χ
inanmaq	i n ɑ n m ɑ χ
incimək	i n d͡ʒ i m æ k
incitmək	i n d͡ʒ i t m æ k
iş	i ʃ
işarə	i ʃ aː r æ
j	ʒ
k	c
k	k
k	ç
keçinmək	k e t͡ʃ i n m æ k
kraliça	k r ɑ l i t͡ʃ ɑ
kölə	k œ l æ
l	l
m	m
maaş	m ɑː ʃ
makedoniya	m ɑ k e d o n i j ɑ
mis	m i s
mən	m æ n
məşhur	m æ ʃ h u r
n	n
nar	n a r
nişanlı	n i ʃ ɑ n ɫ ɯ
nə	n æ
nəmənə	n æ m æ n æ
o	ɔ
onlar	o n l a r
oyaq	o j ɑ χ
oğurlamaq	o ɣ u r l ɑ m ɑ χ
p	p
partlamaq	p ɑ r t ɫ ɑ m ɑ χ
partlatmaq	p ɑ r t ɫ ɑ t m ɑ χ
partlayış	p ɑ r t ɫ ɑ j ɯ ʃ
pox	p o χ
pravoslav	p r ɑ v o s l ɑ v
q	ɡ
qart	ɡ ɑ r t
qarı	ɡ ɑ r ɯ
qatmaq	ɡ ɑ t m ɑ χ
qatıqlamaq	ɡ ɑ t ɯ ɣ ɫ ɑ m ɑ χ
qonşu	ɡ o n ʃ u
qoxu	ɡ o χ u
quzu	ɡ u z u
qırx	ɡ ɯ r χ
qırxıncı	q ɯ r x ɯ n d ʒ ɯ
qızdırma	ɡ ɯ z d ɯ r m ɑ
qızıl	ɡ ɯ z ɯ ɫ
qəşəng	ɡ æ ʃ æ ŋ ɡ
r	r
ruh	r u h
rusiya	r u s i j ɑ
s	s
sabun	s a b u n
sakin	s ɑː k i n
sapan	s ɑ p ɑ n
sarp	s ɑ r p
silahlanmaq	s i l ɑ h l ɑ n m ɑ χ
sinif	s i n i f
siz	s i z
soruşmaq	s o r u ʃ m ɑ χ
soyunmaq	s o j u n m ɑ χ
sınmaq	s ɯ n m ɑ χ
sən	s æ n
səngək	s æ ŋ æ k
səpmək	s æ p m æ k
sərinləmək	s æ r i n l æ m æ k
sərvaxt	s æ r v ɑ χ t
t	t
tanımaq	t ɑ n ɯ m ɑ χ
tapşırıq	t ɑ p ʃ ɯ r ɯ χ
tez	t e z
toxunmaq	t o χ u n m a χ
toy	t o j
tozsoran	t o z s o r ɑ n
təbriz	t æ b r i z
tərləmək	t æ r l æ m æ k
tərpənmək	t æ r p æ n m æ k
təsadüf	t æ s ɑː d y f
u	u
utanmaq	u t ɑ n m ɑ χ
v	v
var	v ɑ r
vurmaq	v u r m ɑ χ
vətəndaş	v æ t æ n d ɑ ʃ
x	x
xahiş	χ ɑ i ʃ
xudahafiz	x u d ɑː f i z
xəncər	x æ n d ʒ æ ɾ
y	j
yapışqan	j ɑ p ɯ ʃ ɡ ɑ n
yağmaq	j ɑ ɣ m ɑ χ
yaşıl	j ɑ ʃ ɯ ɫ
yenə	j e n æ
yerləşdirmək	j e r l æ ʃ d i r m æ k
yerləşmək	j e r l æ ʃ m æ k
yoldaş	j ɔ ɫ d ɑ ʃ
yurddaş	j u r dː a ʃ
yük	j y k
yüyən	j y j æ n
yüz	j y z
yəhər	j æ h æ r
z	z
zorlama	z o r ɫ ɑ m ɑ
zorlamaq	z o r ɫ ɑ m ɑ χ
zəbt	z æ p t
zəhmətkeş	z æ h m æ t k e ʃ
zəiflik	z æ i f l i k
ç	t ʃ e
ç	t͡ʃ
çökmək	t͡ʃ œ k m æ k
çürük	t͡ʃ y ɾ y c
ö	œ
ömür	œ m y r
örpək	œ r p æ k
örtük	œ r t y k
örtülü	œ r t y l y
öskürmək	œ s k y r m æ k
ü	y
ünsiyyət	y n s i j æ t
ürək	y r æ k
üzüm	y z y m
üzəngi	y z æ ŋ ɡ i
üç	ʏ t ʃ
üşümək	y ʃ y m æ k
ğ	ɣ
ı	ɯ
ş	ʃ
şin	ʃ i n
şəhvət	ʃ æ h v æ t
şənbə	ʃ æ n b æ
şəxs	ʃ æ χ s
şəxsi	ʃ æ χ s i
ə	æ
əmcək	æ m d͡ʒ æ k
ərik	æ r i k
əslində	æ s l i n d æ
əvəzlik	æ v æ z l i k
əyyam	æ j ɑ m
əyyam	ɑ j ɑ m
əziz	æ z i z
