а	a
аба	a b a
абажур	a b a ʒ u r
абаџија	a b a d͡ʒ i j a
абдал	a b d a ɫ
абдикација	a b d i k a t͡s i j a
аберација	a b ɛ r a t͡s i j a
аблатив	a b ɫ a t i f
аболира	a b ɔ l i ɾ a
аболиција	a b ɔ l i t͡s i j a
абонент	a b ɔ n ɛ n t
авганистан	a v ɡ a n i s t a n
август	a v ɡ u s t
авенија	a v ɛ n i j a
авиоиндустрија	a v i j ɔ i n d u s t r i j a
авиокомпанија	a v i j ɔ k ɔ m p a n i j a
авиолинија	a v i j ɔ l i n i j a
авион	a v i j ɔ n
авиони	a v i j ɔ n i
авионче	a v i j ɔ n t͡ʃ ɛ
авијација	a v i j a t͡s i j a
автархија	a f t a r x i j a
автентикација	a f t ɛ n t i k a t͡s i j a
автобиографија	a f t ɔ b i j ɔ ɡ r a f i j a
автоматизација	a f t ɔ m a t i z a t͡s i j a
автоматски	a f t ɔ m a t s k i
автомобил	a f t ɔ m ɔ b i ɫ
авторизација	a f t ɔ ɾ i z a t͡s i j a
авторка	a f t ɔ r k a
авторов	a f t ɔ ɾ ɔ f
автостоперка	a f t ɔ s t ɔ p ɛ r k a
автостоперски	a f t ɔ s t ɔ p ɛ r s k i
аглест	a ɡ l ɛ s t
агломер	a ɡ ɫ ɔ m ɛ r
агломерација	a ɡ ɫ ɔ m ɛ r a t͡s i j a
аглутинација	a ɡ ɫ u t i n a t͡s i j a
агрономија	a ɡ r ɔ n ɔ m i j a
адаптација	a d a p t a t͡s i j a
администраторка	a d m i n i s t r a t ɔ r k a
адреса	a d r ɛ s a
аеродинамика	a ɛ ɾ ɔ d i n a m i k a
аеронаутика	a ɛ ɾ ɔ n a u t i k a
азбука	a z b u k a
аздисува	a z d i s u v a
азербајџан	a z ɛ r b a j d͡ʒ a n
азотен	a z ɔ t ɛ n
аирлија	a i r l i j a
академија	a k a d ɛ m i j a
акал	a k a ɫ
аквариум	a k v a ɾ i j u m
аклиматизација	a k l i m a t i z a t͡s i j a
ако	a k ɔ
акредитација	a k r ɛ d i t a t͡s i j a
аксиологија	a k s i j ɔ ɫ ɔ ɡ i j a
актерски	a k t ɛ r s k i
актерство	a k t ɛ r s t v ɔ
активација	a k t i v a t͡s i j a
актуализација	a k t u a l i z a t͡s i j a
акумулација	a k u m u ɫ a t͡s i j a
акустика	a k u s t i k a
акцентираност	a k t͡s ɛ n t i ɾ a n ɔ s t
ала	a ɫ a
алат	a ɫ a t
алати	a ɫ a t i
алегорија	a l ɛ ɡ ɔ ɾ i j a
алигатор	a l i ɡ a t ɔ r
алитерација	a l i t ɛ r a t͡s i j a
алкален	a ɫ k a l ɛ n
алкохоличарка	a ɫ k ɔ x ɔ l i t͡ʃ a r k a
алтернација	a ɫ t ɛ r n a t͡s i j a
алхемија	a ɫ x ɛ m i j a
ама	a m a
аман	a m a n
амански	a m a n s k i
амбасадорка	a m b a s a d ɔ r k a
амвон	a ɱ v ɔ n
америка	a m ɛ ɾ i k a
американец	a m ɛ r i k a n ɛ t͡s
американка	a m ɛ r i k a ŋ k a
американски	a m ɛ r i k a n s k i
амерички	a m ɛ ɾ i t͡ʃ k i
амин	a m i n
амнезија	a m n ɛ z i j a
амнестија	a m n ɛ s t i j a
амортизација	a m ɔ r t i z a t͡s i j a
ампутација	a m p u t a t͡s i j a
амстердам	a m s t ɛ r d a m
амстердамски	a m s t ɛ r d a m s k i
аналитичарка	a n a l i t i t͡ʃ a r k a
ананас	a n a n a s
анасон	a n a s ɔ n
анафора	a n a f ɔ ɾ a
ангел	a ŋ ɡ ɛ ɫ
ангелски	a ŋ ɡ ɛ ɫ s k i
ангелче	a ŋ ɡ ɛ ɫ t͡ʃ ɛ
англиски	a ŋ ɡ l i s k i
англија	a ŋ ɡ l i j a
анемија	a n ɛ m i j a
анестетичарка	a n ɛ s t ɛ t i t͡ʃ a r k a
