aman	a m a ŋ
ana	a n a
anda	a ŋ t a
baer	p a ɚ
bagvachou	p a ʁ a t ʂʰ ə u
banbun	p a ŋ p u ŋ
banche	p a ŋ ʈ͡ʂʰ ə
baojien	p a u t͡ɕ i ə n
basi	p a s i
baza	p a t͡s a
bogvoni	p o ʁ o n i
chughu	t ʂʰ u q u
chumegve	t ʂʰ u m ə ʁ ə
chunqien	t ʂ u ŋ t͡ɕʰ i ə n
dan	t a ŋ
darasuchi	t a r a s u t ʂʰ i
darasuda	t a r a s u t a
darasun	t a r a s u ŋ
darasutu	t a r a s u tʰ u
dosi	t o s i
dozohei	t o t s o x ə i
duiwo	t u i w o
dunya	t u ŋ j a
duya	t u j a
egvechi	ə ʁ ə t ʂʰ i
ekie	ə kʰ i ə
ghazha	q a t ʂ a
ghigva	q ɯ ʁ a
ghimusun	q ɯ m u s u ŋ
ghoni	q o n i
ghudan	q u t a ŋ
ghugvan	q u ʁ a ŋ
ghuragvan	q u r a ʁ a ŋ
ghurun	q u r u ŋ
ghuzhen	q u t ʂ ə ŋ
ghuzhun	q u t ʂ u ŋ
gun	k u ŋ
hoye	x o j ə
huai	x u a i
hulasun	x u l a s u ŋ
iman	i m a ŋ
ire	i r ə
iredan	i r ə t a ŋ
iregva	i r ə ʁ a
janji	j a n t͡ɕ i
jian	t͡ɕ i a ŋ
jielien	t͡ɕ i ə l i ə n
jiere	t͡ɕ i ə r ə
jinzi	t͡ɕ i n t͡s i
kafeir	kʰ a f ə i r
khan	qʰ a ŋ
khuru	qʰ u r u
kielien	kʰ i̯ ə l i̯ ə n
laowa	l a u w a
mata	m a tʰ a
mehherei	m ə h ə r ə i̯
mejie	m ə t͡ɕ i ə
migva	m i ʁ a
migvachi	m i ʁ a t͡ʂʰ i
mo	m o
mogvei	m o ʁ ə i
mutun	m u tʰ u ŋ
naran	n a r a ŋ
narun	n a r u ŋ
niere	n i ə r ə
nime	n i m ə
ninji	n i n t͡ɕ i
nudun	n u t u ŋ
nundu	n u ŋ t u
nundun	n u ŋ t u ŋ
odou	o t ə u̯
ogi	o k i
ogidan	o k i t a ŋ
oliechin	o l i ə t͡ʂʰ i n
ongie	o ŋ ɡ i ə
oron	o r o ŋ
orou	o r ə u
orouchi	o r ə u t ʂʰ i
osun	o s u ŋ
pixie	pʰ i ɕ i̯ ə
qida	t͡ɕʰ i t a
qiemu	t͡ɕʰ i ə m u
qirou	t͡ɕʰ i r ə u
qiroujie	t͡ɕʰ i r ə u t͡ɕ i ə
qiroulie	t͡ɕʰ i r ə u l i ə
qiuqien	t͡ɕʰ i u t͡ɕʰ i ə n
samusa	s a m u s a
san	s a ŋ
sara	s a r a
sazhigvei	s a t ʂ i ʁ ə i
sazhigvi	s a t ʂ i ʁ i
shesun	ʂ ə s u ŋ
shidun	ʂ i t u ŋ
shigha	ʂ i q a
shigva	ʂ i ʁ a
shini	ʂ i n i
shire	ʂ i r ə
sugie	s u k i ə
sumu	s u m u
taran	tʰ a r a ŋ
tesibihha	tʰ ə s i p i h a
toula	tʰ ə u̯ l a
tuma	tʰ u m a
tunzhi	tʰ u ŋ t ʂ i
udu	u t u
un	u ŋ
ungie	u ŋ ɡ i ə
usu	u s u
uwun	u w u ŋ
uzhulie	u t ʂ u l i ə
wo	w o
xiaojierun	ɕ i a u t͡ɕ i ə r u ŋ
yazi	j a t͡s i
zhalao	t ʂ a l a u
zhao	t ʂ a u
zhaojin	t ʂ a u t͡ɕ i ŋ
zhin	t ʂ i ŋ
zhunzhagva	t ʂ u ŋ t ʂ a ʁ a
zhuzhan	t ʂ u t ʂ a ŋ
