अं	ʌ̃ m
अकास	ʌ k ä s
अखबार	ʌ k̞ʰ b ä r
अग्नि	ʌ ɡ n ĩ
अङ्गुर	ʌ̃ ŋ ɡ u r
अङ्ग्रेजी	ʌ̃ ŋ ɡ r e d͡z i
अचार	ʌ t͡s ä r
अञ्चल	ʌ̃ n̻ t͡s ʌ l
अट्ठा	ʌ ʈ̚ ʈʰ ä
अट्ठाईस	ʌ ʈ̚ ʈʰ ä i̯ s
अठतीस	ʌ ɽ t̪ i s
अठसट्ठी	ʌ ʈʰ ʌ s ʌ ʈ̚ ʈʰ i
अठहत्तर	ʌ ʈʰ ʌ ɦ ʌ t̪̚ t̪ ʌ r
अठार	ʌ ʈʰ ä ɾ ʌ
अठाह्र	ʌ ʈʰ ä ɾ ʌ
अड्चालीस	ʌ ɽ t͡s ä l i s
अड्तीस	ʌ ɽ t̪ i s
अड्सठ्ठी	ʌ ɽ s ʌ ʈʰ ʈʰ i
अणु	ʌ ɽ̃ u
अण्डा	ʌ̃ ɳ ɖ ä
अथवा	ʌ t̪ʰ ʌ w ä
अधिकार	ʌ d̪ i k ä r
अनावश्यक	ʌ̃ n ä b ʌ sː e k
अनि	ʌ̃ n ĩ
अनुपम	ʌ̃ n ũ p ʌ̃ m
अनुबादक	ʌ̃ n ũ b ä d̪ ʌ k
अनुमति	ʌ̃ n ũ m ʌ t̪ i
अन्ठाउन्न	ʌ̃ ɳ ʈʰ ä u̯ nː ʌ
अन्ठानब्बे	ʌ̃ ɳ ʈʰ ä̃ n ʌ b̚ b e
अन्डा	ʌ̃ ɳ ɖ ä
अन्दाजी	ʌ̃ n̪ d̪ ä d͡z i
अन्य	ʌ̃ nː e
अमिलो	ʌ̃ m ĩ l o
अमेरिका	ʌ̃ m e ɾ i k ä
अरब	ʌ ɾ ʌ b
अर्ध	ʌ r d̪ʱ ʌ̤
अल्छी	ʌ l̻ t͡sʰ i
अस्ट्रेलिया	ʌ s̠ t̠ r e l i j ä
अस्पताल	ʌ s p ʌ t̪ ä l
अस्मान	ʌ s m ä̃ n
अहिले	ʌ i̯ l e
अह्राउनु	ʌ ɾ ä u̯ n ũ
आ	ä
आँखा	ä̃ kʰ ä
आँखीभौं	ä̃ kʰ i β ʌ̃ u̯
आआफ्नो	ä ä ɸ n o
आआफ्नो	ä ʔ ä ɸ n o
आइतबार	ä i̯ t̪ ʌ b ä r
आइस्ड	ä i̯ s̠ d̠
आईतबार	ä i̯ t̪ ʌ b ä r
आउनु	ä u̯ n ũ
आउनुहोस्	ä u̯ n ũ ɦ o s
आकाश	ä k ä s
आकाशे	ä k ä s e
आगो	ä ɡ o
आज	ä d͡z ʌ
आठ	ä ʈʰ
आफ्नो	ä ɸ n o
आमा	ä̃ m ä
आराम	ä ɾ ä̃ m
आलु	ä l u
आवश्यक	ä b ʌ sː e k
आस्मानी	ä s m ä̃ n ĩ
आहा	ä ɦ ä
आहा	äʰ ˨ ɦ ä ˦
इँट्टा	ĩ ʈ̚ ʈ ä
इंडिया	ĩ ɳ ɖ i j ä
इतिहास	i t̪ i j ä s
इन्टरनेट	ĩ ɳ ʈ ʌ r n e ʈ
इन्द्रेनी	ĩ n̪ d̪ r ẽ n ĩ
इस्टोनिया	i s̠ t̠ õ n ĩ j ä
इस्लाम	i s l ä̃ m
ईँट्टा	ĩ ʈ̚ ʈ ä
ईश्वर	i sː o r
उँचाइ	ũ t͡s ä i̯
उखु	u k̞ʰ u
उचाइ	u t͡s ä i̯
उठ्नु	u ʈʰ ɳ ũ
उड्नु	u ɽ ɳ ũ
उत्तर	u t̪̚ t̪ ʌ r
उदजन	u d̪ d͡z ʌ̃ n
उदाहरण	u d̪ ä ɦ ä̆ r ʌ ɽ̃
उनचालीस	ũ n̻ t͡s ä l i s
उनतीस	ũ n ʌ̃ t̪ i s
उनन्चालीस	ũ n ʌ̃ n̻ t͡s ä l i s
उनन्तीस	ũ n ʌ̃ n̪ t̪ i s
उनन्पचास	ũ n ʌ̃ n p ʌ t͡s ä s
उनपचास	ũ n p ʌ t͡s ä s
उनसाठी	ũ n s ä ʈʰ i
उनानब्बे	ũ n ä̃ n ʌ b̚ b e
उनानसय	ũ n ä̃ n s ʌ e̞
उनान्असी	ũ n ä̃ n ʌ̃ s i
उनासी	ũ n ä̃ s i
उनी	ũ n ĩ
उनीहरू	ũ n ĩ ɦ ʌ ɾ u
उन्चालीस	ũ n̻ t͡s ä l i s
उन्तीस	ũ n̪ t̪ i s
उन्नाइस	ũ nː ä i̯ s
उन्सत्तरी	ũ n s ʌ t̪̚ t̪ ʌ ɾ i
उपन्यास	u p ʌ̃ nː j ä s
उपाय	u p ä e̞
उफ्रनु	u ɸ r ʌ̃ n ũ
उभिनु	u β ĩ n ũ
उमेर	ũ m e r
उसमा	u s m ä
उसलाई	u s l ä i̯
उहाँहरूको	u ɦ ä̃ ɦ ʌ ɾ u k o
उहाहरुको	u ɦ ä̃ ɦ ʌ ɾ u k o
ऋ	ɾ i
एउटा	e u̯ ʈ ä
एकचालीस	e k t͡s ä l i s
एकतीस	e k̚ t̪ i s
एकत्तर	e k ʌ t̪̚ t̪ ʌ r
एकत्तीस	e k ʌ t̪̚ t̪ i s
एकदम	e k̚ d̪ ʌ̃ m
एकसट्ठी	e k s ʌ ʈ̚ ʈʰ i
एकहत्तर	e k ʌ ɦ ʌ t̪̚ t̪ ʌ r
एकाउन्न	e k ä u̯ nː ʌ
एकानब्बे	e k ä̃ n ʌ b̚ b e
एकासी	e k ä s i
एक्का	e k̚ k ä
एक्काइस	e k̚ k ä i̯ s
एक्काईस	e k̚ k ä i̯ s
एक्काउन्न	e k̚ k ä u̯ nː ʌ
एक्त्तीस	e k̚ t̪ t̪ i s
एगार	e ɡ ä ɾ ʌ
एघार	e ɡ̞ ä ɾ ʌ
एशिया	e s i j ä
एसिया	e s i j ä
ऐना	ʌ ĩ̯ n ä
ओहायो	o ɦ ä j o
औंठी	ʌ ũ̯ ɳ ʈʰ i
औंला	ʌ̃ u̯ l ä
औषधी	ʌ u̯ s ʌ d̪ i
कन्या	k ʌ̃ n j ä
कन्या	k ʌ̃ nː j ä
कपाल	k ʌ p ä l
कफी	k ʌ ɸ i
कमिज	k ʌ̃ m ĩ d͡z
कमिलो	k ʌ̃ m ĩ l o
कमीज	k ʌ̃ m ĩ d͡z
कम्बल	k ʌ̃ m b ʌ l
कराउनु	k ʌ ɾ ä u̯ n ũ
करोड	k ʌ ɾ o ɽ
कलम	k ʌ l ʌ̃ m
कसमा	k ʌ s m ä
कसरी	k ʌ s ʌ ɾ i
कसलाई	k ʌ s l ä i̯
कहाँ	k ä̃ː
कहाँ	k ä̆ ɦ ä̤̃
कहाँ	k ä̤̃
कहिले	k ʌ i̯ l e
काँच	k ä̃ t͡s
काँध	k ä̃ d̪ʱ
काँसो	k ä̃ s o
कांच	k ä̃ t͡s
काख	k ä k̞ʰ
कागज	k ä ɡ ʌ d͡z
कागत	k ä ɡ ʌ t̪
कागती	k ä ɡ ʌ t̪ i
काजी	k ä d͡z i
काठमाडौँ	k ä ʈʰ m ä ɽ ʌ̃ u̯
काठमाडौँ	k ä ʈʰ m ä̃ ɳ ɖ u
काठमाडौं	k ä ʈʰ m ä ɽ ʌ̃ u̯
काठमाडौं	k ä ʈʰ m ä̃ ɳ ɖ u
कापी	k ä p i
काफल	k ä ɸ ʌ l
काम	k ä̃ m
कामना	k ä̃ m ʌ̃ n ä
कामी	k ä̃ m ĩ
काम्लो	k ä̃ m l o
कार	k ä r
कालो	k ä l o
कालोपाटी	k ä l o p ä ʈ i
किताप	k i t̪ ä p
किताब	k i t̪ ä b
किताबहरू	k i t̪ ä b ɦ ʌ ɾ u
किन	k ĩ n ʌ
किनभने	k ĩ n ʌ β ʌ̃ n e
किन्नु	k ĩ nː ũ
किराना	k i ɾ ä̃ n ä
कुइरे	k u i̯ ɾ e
कुइरो	k u i̯ ɾ o
कुट्नु	k u ʈ ɳ ũ
कुद्नु	k u d̪ n̪ u
कुन	k ũ n
कुनचाहिँ	k ũ n̻ t͡s ä ĩ̯
कुनै	k ũ n ʌ i̯
कुमारी	k ũ m ä ɾ i
कुरा	k u ɾ ä
कुरी	k u ɾ i
कृपया	k ɾ i p ʌ j ä
केटा	k e ʈ ä
केमा	k ẽ m ä
केरा	k e ɾ ä
केलाई	k e l ä i̯
केही	k e i̯
केही	k e ɦ i
कोठा	k o ʈʰ ä
क्ष	t͡sʰʲ ʌ
क्षत्राणी	t͡sʰʲ ʌ t̪ r ä ɽ̃ i
क्षत्रिय	t͡sʰʲ ʌ t̪ r i e̞
क्षमता	t͡sʰʲ ʌ̃ m ʌ t̪ ä
क्षयरोग	t͡sʰʲ ʌ e̞ r o ɡ
क्षेत्र	t͡sʰʲ e t̪ r ʌ
क्षेत्रिनी	t͡sʰʲ e t̪ r ĩ n ĩ
क्षेत्री	t͡sʰʲ e t̪ r i
क्‍लास	k l ä s
खत्रिनी	kʰ ʌ t̪ r ĩ n ĩ
खरब	kʰ ʌ ɾ ʌ b
खरानी	kʰ ʌ ɾ ä̃ n ĩ
खराब	kʰ ʌ ɾ ä b
खरी	kʰ ʌ ɾ i
खरीमट्टी	kʰ ʌ ɾ ĩ m ʌ ʈ̚ ʈ i
खल्ती	kʰ ʌ l̪ t̪ i
खस्नु	kʰ ʌ s n ũ
खा	kʰ ä
खाजा	kʰ ä d͡z ä
खाता	kʰ ä t̪ ä
खाना	kʰ ä̃ n ä
खानु	kʰ ä̃ n ũ
खानेकुरा	kʰ ä̃ n e k u ɾ ä
खुकुरी	kʰ u k u ɾ i
खुवाउनु	kʰ u w ä u̯ n ũ
खेल्नु	kʰ e l n ũ
खैरो	kʰ ʌ i̯ ɾ o
खोज्नु	kʰ o d͡z n ũ
खोर्सानी	kʰ o r s ä̃ n ĩ
खोला	kʰ o l ä
खोल्नु	kʰ o l n ũ
गगन	ɡ ʌ ɡ ʌ̃ n
गणतन्त्र	ɡ ʌ ɽ̃ ʌ t̪ ʌ̃ n̪ t̪ r ʌ
गन्नु	ɡ ʌ̃ nː ũ
गराउनु	ɡ ʌ ɾ ä u̯ n ũ
गरि	ɡ ʌ ɾ i
गरेर	ɡ ʌ ɾ e r ʌ
गर्नु	ɡ ʌ r n ũ
गर्नुहोला	ɡ ʌ r n ũ ɦ o l ä
गर्मी	ɡ ʌ r m ĩ
गह्रुङ्गो	ɡ ʌ ɾ ũ ŋ ɡ o
गह्रौं	ɡ ʌ ɾ ʌ̃ u̯
गा	ɡ ä
गाई	ɡ ä i̯
गाउँ	ɡ ä ũ̯
गाउनु	ɡ ä u̯ n ũ
गाऊ	ɡ ä u̯
गाढा	ɡ ä ɽ ä
गाली	ɡ ä l i
गाह्रो	ɡ ä ɾ o
गुजराती	ɡ u d͡z r ä t̪ i
गुणसूत्र	ɡ u ɽ̃ ʌ s u t̪ r ʌ
गुफा	ɡ u ɸ ä
गुरु	ɡ u ɾ u
गुलाबी	ɡ u l ä b i
गुलाम	ɡ u l ä̃ m
गैँडा	ɡ ʌ̃ i̯ ɽ ä
गैंडा	ɡ ʌ̃ i̯ ɽ ä
गोर्खा	ɡ o r kʰ ä
ग्यार	ɡ j ä ɾ ʌ
ग्रह	ɡ ɾ ʌː
घ	ɡʱ ʌ̤
घंटा	ɡʱ ʌ̤̃ ɳ ʈ ä
घडी	ɡʱ ʌ̤ ɽ i
घर	ɡʱ ʌ̤ r
घाउ	ɡʱ ä̤ u̯
घाम	ɡʱ ä̤̃ m
घूस	ɡʱ ṳ s
घोड़ा	ɡʱ o̤ ɽ ä
घोडा	ɡʱ o̤ ɽ ä
