అ	ɐ
అంకవిద్య	a ŋ k a ʋ i d j a
అంతర్వాహిని	a n t a r ʋ aː h i n i
అంబరీషము	a m b a r iː ʂ a m u
అగ్రహారము	a ɡ r a h aː r a m u
అట్ట	a ʈː a
అతికాయము	a t i k aː j a m u
అనంతం	a n a n t aⁿ
అనంతశక్తి	a n a n t a ʃ a k t i
అనఘము	a n a ɡʱ a m u
అనధికారము	a n a dʱ i k aː r a m u
అనుప్రాసము	a n u p r aː s a m u
అనుబంధము	a n u b a n dʱ a m u
అనుష్ఠానము	a n u ʂ ʈ h aː n a m u
అనూరుడు	a n uː r u ɖ u
అన్వేషణము	a n ʋ eː ʂ a ɳ a m u
అపకారము	a p a k aː r a m u
అభ్రకము	a bʱ r a k a m u
అయోనిజ	a j oː n i d ʒ a
అయోనిజుడు	a j oː n i d ʒ u ɖ u
అశుచి	a ʃ u t͡ʃ i
అశ్రద్ధ	a ʃ r a dːʱ a
అశ్రువు	a ʃ r u ʋ u
అశ్వగంధ	a ʃ ʋ a ɡ a n dʱ a
అశ్వత్థము	a ʃ ʋ a tːʱ a m u
అశ్విని	a ʃ ʋ i n i
అష్ట	a ʃ ʈ a
అసంతుష్టి	a s a n t u ʂ ʈ i
ఆట	aː ʈ a
ఆడంబరము	aː ɖ a m b a r a m u
ఆముదము	aː m u d a m u
ఆమె	aː m e
ఆలము	aː l a m u
ఆలయము	aː l a j a m u
ఆలవాలము	aː l a ʋ aː l a m u
ఆలస్యము	aː l a s j a m u
ఆలాపము	aː l aː p a m u
ఆలు	aː l u
ఆవు	aː ʋ u
ఆశ్వయుజము	aː ʃ ʋ a j u d ʒ a m u
ఆషాఢము	aː ʂ aː ɖʱ a m u
ఆసనము	aː s a n a m u
ఇ	i
ఇతిహాసము	i t i h aː s a m u
ఇత్తడి	i tː a ɖ i
ఈత	iː t a
ఈనె	iː n e
ఈర్ష్య	iː r ʂ j a
ఈశ్వరి	iː ʃ ʋ a r i
ఈశ్వరుడు	iː ʂ ʋ a r u ɖ u
ఉండ	u ɳ ɖ a
ఉండ్రాయి	u ɳ ɖ r aː j i
ఉచితము	u t ʃ i t a m u
ఉచ్చారణ	u t ʃː aː r a ɳ a
ఉదంతము	u d a n t a m u
ఉదకము	u d a k a m u
ఉల్లాసము	u lː aː s a m u
ఎ	e
ఎండ్రకాయ	e ɳ ɖ r a k aː j a
ఎరుపు	e r u p u
ఏకాదశము	eː k aː d a ʃ a m u
ఏడాది	eː ɖ aː d i
ఏనుగు	eː n u ɡ u
ఒంటి	o ɳ ʈ i
ఓ	oː
ఓండ్ర	oː ɳ ɖ r a
ఓర్పు	oː r p u
ఓల	oː l a
ఔచిత్యము	a u t͡ʃ i t j a m u
ఔరసుడు	a u r a s u ɖ u
ఔషధము	a u ʂ a dʱ a m u
కంచి	k a ɲ c i
కందిరీగ	k a n d i r iː ɡ a
కట్ట	k a ʈː a
కమిటీ	k a m i ʈ iː
కరతాళము	k a r a t aː ɭ a m u
కసి	k a s i
కసింద	k a s i n d a
కాకరవత్తి	k aː k a r a ʋ a tː i
కాకి	k aː k i
కామధేనువు	k aː m a dʱ eː n u ʋ u
కామము	k aː m a m u
కామాక్షి	k aː m aː k ʂ i
కామి	k aː m i
కారు	k aː r u
కాలము	k aː l a m u
కాశ్మీరము	k aː ʃ m iː r a m u
కాసు	k aː s u
కీ	k iː
కుంకుడుచెట్టు	k u ɳ k u ɖ u t͡ʃ e ʈː u
కుంకుమ	k u ŋ k u m a
కునుకు	k u n u k u
కృషి	k r i ʂ i
కేరళము	k eː r a ɭ a m u
కేళి	k eː ɭ i
కేశము	k eː ʃ a m u
కై	k a i
కోటి	k oː ʈ i
కోడలు	k oː ɖ a l u
కోడి	k oː ɖ i
కోతి	k oː t i
కోదండము	k oː d a ɳ ɖ a m u
కోనేరు	k oː n eː r u
కోస్తా	k oː s t aː
కౌగిలి	k a u ɡ i l i
కౌముది	k a u m u d i
కౌశికము	k a u ʃ i k a m u
కౌశికుడు	k a u ʃ i k u ɖ u
క్రీస్తు	k r iː s t u
ఖ్యాతి	kʱ j aː t i
గంగమ్మ	ɡ a ŋ ɡ a mː a
గంగరేగు	ɡ a ŋ ɡ a r eː ɡ u
గంగిరెద్దు	ɡ a ŋ ɡ i r e dː u
గంట	ɡ a ɳ ʈ a
గంటము	ɡ a ɳ ʈ a m u
గచ్చ	ɡ a ʈː s a
గచ్చు	ɡ a ʈː s u
గడియ	ɡ a ɖ i j a
గాలి	ɡ aː l i
గిట్ట	ɡ i ʈː a
గిడుగు	ɡ i ɖ u ɡ u
గీరు	ɡ iː r u
గుండము	ɡ u ɳ ɖ a m u
గుండీ	ɡ u ɳ ɖ iː
గుట్ట	ɡ u ʈː a
గుప్తకేళి	ɡ u p t a k eː ɭ i
గుమ్మడి	ɡ u mː a ɖ i
గుసగుస	ɡ u s ʌ ɡ u s ʌ
గూటము	ɡ uː ʈ a m u
గో	ɡ oː
గోకులము	ɡ oː k u l a m u
గోగు	ɡ oː ɡ u
గోపాలుడు	ɡ oː p aː l u ɖ u
గోపురము	ɡ oː p u r a m u
గోము	ɡ oː m u
గోమూత్రము	ɡ oː m aː t r a m u
గోరింక	ɡ oː r i ŋ k a
గోరు	ɡ oː r u
గోవిందుడు	ɡ oː ʋ i n d u ɖ u
గోవు	ɡ oː ʋ u
ఘంట	ɡʱ a ɳ ʈ a
చందనము	t ʃ a n d a n a m u
చంద్రకాంతము	t ʃ a n d r a k aː n t a m u
చంద్రము	t ʃ a n d r a m u
చక్షువు	t ʃ a k ʂ u ʋ u
చటాకు	t ʃ a ʈ aː k u
చట్టము	t͡ʃ a ʈː a m u
చతురము	t ʃ a t u r a m u
చమరము	t ʃ a m a r a m u
చరణము	t ʃ a r a ɳ a m u
చరిత	t ʃ a r i t a
చర్చ	t ʃ a r t ʃ a
చర్మము	t ʃ a r m a m u
