a	aː
aha	a h a
ahiahi	a h i a h i
ako	a k o
ala	a l a
alana	a l a n a
aloha	a l o h a
ane	a n e
ani	a n i
anuhea	a n u h e a
au	a w
awakea	a ʋ a k e a
ea	e a
galatia	k a l a k i a
habakuka	h a p a k u k a
hagai	h a k a j
hailama	h a j l a m a
hailepo	h a j l e p o
haka	h a k a
halaki	h a l a k i
hale	h a l e
halelū	h a l e l uː
haliaka	h a l i a k a
hana	h a n a
hanalei	h a n a l e j
hanalē	h a n a l eː
hau	h a w
haumea	h a w m e a
haunani	h a w n a n i
healani	h e a l a n i
hebera	h e p e l a
hekekia	h e k e k i a
hele	h e l e
helena	h e l e n a
helene	h e l e n e
hema	h e m a
henelē	h e n e l eː
henua	h e n u a
hikina	h i k i n a
hilo	h i l o
hina	h i n a
honolulu	h o n o l u l u
honu	h o n u
honua	h o n u a
hou	h o w
huhu	h u h u
hula	h u l a
huluhulu	h u l u h u l u
hōkū	h oː k uː
hōkūlani	h oː k uː l a n i
iakopa	i a k o p a
iakopo	i a k o p o
ieremia	i e l e m i a
ikaika	i k a j k a
ioane	i o a n e
ioba	i o p a
iokepa	i o k e p a
iona	i o n a
iuda	j u k a
iune	j u n e
kahakō	k a h a k oː
kahalaomāpuana	k a h a l a o̯ m aː p u a n a
kahale	k a h a l e
kahananui	k a h a n a n u i
kahealani	k a h e a l a n i
kahele	k a h e l e
kahiki	k a h i k i
kahu	k a h u
kahue	k a h u e
kahula	k a h u l a
kahuna	k a h u n a
kai	k a j
kaila	k a j l a
kailani	k a j l a n i
kaimana	k a j m a n a
kainalu	k a j n a l u
kainoa	k a j n o a
kaipo	k a j p o
kaiwi	k a j v i
kakahiaka	k a k a h i a k a
kakalia	k a k a l i a
kakalina	k a k a l i n a
kala	k a l a
kalai	k a l a j
kalaina	k a l a j n a
kalalaina	k a l a l a j n a
kalama	k a l a m a
kalani	k a l a n i
kale	k a l e
kalehua	k a l e h u a
kalei	k a l e j
kaleialoha	k a l e j a l o h a
kaleikaumaka	k a l e j k a w m a k a
kaleiokalani	k a l e j o k a l a n i
kalena	k a l e n a
kaleo	k a l e o
kaleolani	k a l e o l a n i
kalia	k a l i a
kalikimaka	k a l i k i m a k a
kaliko	k a l i k o
kalili	k a l i l i
kalolaina	k a l o l a j n a
kalua	k a l u a
kalukalu	k a l u k a l u
kalā	k a l aː
kama	k a m a
kamaile	k a m a j l e
kamaka	k a m a k a
kamaki	k a m a k i
kamala	k a m a l a
kamalani	k a m a l a n i
kamalei	k a m a l e j
kameāloha	k a m e aː l o h a
kamila	k a m i l a
kanaloa	k a n a l o a
kanani	k a n a n i
kanikau	k a n i k a w
kanoa	k a n o a
kanoelani	k a n o e l a n i
kapeka	k a p e k a
kapika	k a p i k a
kapono	k a p o n o
kapua	k a p u a
kapule	k a p u l e
kau	k a w
kauhi	k a w h i
kaulana	k a w l a n a
kawai	k a v a j
kawailani	k a v a j l a n i
kawehi	k a v e h i
kawelo	k a v e l o
kawena	k a v e n a
kea	k e a
keahi	k e a h i
keaka	k e a k a
keala	k e a l a
kealalaina	k e a l a l a j n a
kealani	k e a l a n i
kealoha	k e a l o h a
keanu	k e a n u
keao	k e a o̯
keawe	k e a v e
keikilani	k e j k i l a n i
kekoa	k e k o a
keleka	k e l e k a
kelekia	k e l e k i a
kelekolio	k e l e k o l i o
kelupaina	k e l u p a j n a
keoki	k e o k i
keola	k e o l a
keona	k e o n a
keonaona	k e o n a o̯ n a
keone	k e o n e
kepano	k e p a n o
kepola	k e p o l a
keō	k e oː
kia	k i a
kiana	k i a n a
kiele	k i e l e
kikilia	k i k i l i a
kila	k i l a
kilia	k i l i a
kilikina	k i l i k i n a
kimo	k i m o
kimokeo	k i m o k e o
kimona	k i m o n a
kimu	k i m u
kina	k i n a
kini	k i n i
kinohi	k i n o h i
kio	k i o
kipola	k i p o l a
koa	k o a
koaea	k o a e̯ a
koleka	k o l e k a
kolokea	k o l o k e a
kolomona	k o l o m o n a
kolosa	k o l o k a
koma	k o m a
komohana	k o m o h a n a
kopaea	k o p a e̯ a
korineto	k o l i n e k o
kuene	k u e n e
kuilei	k u i l e j
kukana	k u k a n a
kuleana	k u l e a n a
kulia	k u l i a
kumu	k u m u
kuna	k u n a
kupuna	k u p u n a
kāne	k aː n e
kānāwai	k aː n aː v a j
kāwelu	k aː v e l u
kāwika	k aː v i k a
kēhau	k eː h a w
kēhaulani	k eː h a w l a n i
kīwila	k iː v i l a
kōleka	k oː l e k a
kū	k uː
kūkaepele	k uː k a e̯ p e l e
lahapa	l a h a p a
lakalo	l a k a l o
lanakila	l a n a k i l a
lani	l a n i
lau	l a w
lea	l e a
lehua	l e h u a
lei	l e j
leialoha	l e j a l o h a
leilani	l e j l a n i
leimomi	l e j m o m i
leinani	l e j n a n i
lele	l e l e
leo	l e o
lepeka	l e p e k a
lewi	l e v i
like	l i k e
likeke	l i k e k e
lilia	l i l i a
liliana	l i l i a n a
lilinoe	l i l i n o e
lio	l i o
liona	l i o n a
loa	l o a
loika	l o̯ i k a
loka	l o k a
lokalia	l o k a l i a
loke	l o k e
lokelani	l o k e l a n i
lono	l o n o
lopaka	l o p a k a
luana	l u a n a
lui	l u i
luika	l u i k a
luka	l u k a
lukia	l u k i a
lulia	l u l i a
lā	l aː
lāhela	l aː h e l a
lāhui	l aː h u i
lūkia	l uː k i a
