'n	ə
aag	ɑː χ
aalbessie	ɑː l b ɛ s i
aalfuik	ɑː l f œ i k
aalfuike	ɑː l f œ i k ə
aalfuikie	ɑː l f œ i k i
aalfuikies	ɑː l f œ i k i s
aalmoes	ɑː l m u s
aanbid	ɑː n b ə t
aandete	ɑː n t ɪ ə̯ t ə
aanmatiging	ɑː m ɑː t ə χ ə ŋ
aanveg	ɑː n f ɛ χ
aanvraag	ɑː n f r ɑː χ
aap	ɑː p
aarde	ɑː r d ə
aardes	ɑː r d ə s
aartappel	ɑː r t a p ə l
adder	a d ə r
adel	ɑː d ə l
adelstand	ɑː d ə l s t a n t
adres	a d r ɛ s
advies	a t f i s
afgaan	a f χ ɑː n
afrikaans	a f r ɪ k ɑ̃ː s
afsaag	a f s ɑː χ
afslaandak	a f s l ɑː n d a k
afstand	a f s t a n t
afwesig	a f v ɪ ə̯ s ə x
afwesigheid	a f v ɪ ə̯ s ə x ɦ ə i̯ t
ag	a χ
agt	a χ t
akkerboom	a k ə r b ʊ ə̯ m
akupunktuur	ɑ k ɨ p œ ŋ k t ɨː r
al	a l
altaar	a l t ɑː r
altyd	a l t ə i̯ t
amerika	a m ɪ ə r ə k a
amp	a m p
amper	a m p ə r
andersyds	a n d ə r s ə i̯ t s
anker	a ŋ k ə r
antiek	a n t i k
antwoord	ɐ n t v u ə̯ r t
anys	a n ə i s
ape	ɑː p ə
appel	a p ə l
appelkoos	a p ə l k ʊ ə s
argaïes	a r χ ɑː i s
arriveer	a r i f ɪ ə̯ r
as	a s
asseblief	ɑ s ə b l iː f
assegaai	a s ə χ ɑː i̯
asyn	a s ə i n
awb	aː v i ə b i ə
baadjie	b ɑː ɪ̯ k i
baai	b ɑː i̯
baarmoeder	b ɑː r m u d ə r
baas	b ɑː s
baie	b a j ə
bak	b a k
bakkie	b a k i
ballingskap	b a l ə ŋ s k a p
ballon	b a l ɔ n
bamboes	b a m b u s
bandopnemer	b a n t ɔ p n ɪ ə̯ m ə r
bang	b a ŋ
bank	b a ŋ k
bed	b ɛ t
bedrog	b ə d r ɔ x
bedryf	b ə d r ə i f
beer	b ɪ ə r
bees	b ɪ ə s
beet	b i ə̯ t
begrip	b ə χ r ə p
begripsraamwerk	b ə χ r ə p s r ɑː m v ɛ r k
begroting	b ə χ r ʊ ə̯ t ə ŋ
behoort	b ə ɦ ʊ ə r
bek	b ɛ k
bekostig	b ə k ɔ s t ə χ
bekroon	b ə k r ʊ ə̯ n
belangrik	b ə l a ŋ r ə k
beleefdheid	b ə l ɪ ə̯ f t ɦ ə i̯ t
belofte	b ə l ɔ f t ə
belus	b ə l œ s
belydenis	b ə l ə i̯ d ə n ə s
beperking	b ə p ɛ r k ə ŋ
bergwind	b ɛ r χ v ə n t
beroof	b ə r ʊ ə̯ f
besef	b ə s ɛ f
besig	b ɪ ə s ə χ
besoedel	b ə s u d ə l
besoeker	b ə s u k ə r
bestanddeel	b ə s t a n d ɪ ə̯ l
betekenis	b ə t i ə̯ k ə n ə s
beter	b ɪ ə t ə r
beton	b ə t ɔ n
bid	b ə t
bieg	b i χ
bier	b i r
bietjie	b i k i
biskop	b ə s k ɔ p
blaar	b l ɑː r
blank	b l a ŋ k
bliksem	b l ə k s ə m
bliksemstraal	b l ə k s ə m s t r ɑː l
blind	b l ə n t
bloed	b l u t
bloedbank	b l u t b a ŋ k
bloedgroep	b l u t χ r u p
bloemfontein	b l u m f ɔ n t ə i̯ n
blou	b l œ u̯
bloubok	b l œ u b ɔ k
bly	b l ə i
bo	b ʊ ə
bobbejaan	b ɔ b ə j ɑː n
boei	b u i̯
boek	b u k
boeke	b u k ə
boelie	b u l i
boemelaar	b u m ə l ɑː r
boep	b u p
boepens	b u p ɛ̃ː s
boer	b u r
boereplaas	b u r ə p l ɑː s
bofbal	b ɔ̯ f b a l
bokwiet	b ɔ k v i t
bom	b ɔ m
bome	b ʊ ə m ə
boom	b ʊ ə m
boon	b ʊ ə̯ n
boor	b ʊ ə r
boot	b ʊ ə t
bordeel	b ɔ r d ɪ ə̯ l
bors	b ɔː r s
borsmelk	b ɔ r s m ɛ l k
bos	b ɔ s
bosbedryf	b ɔ s b ə d r ə i f
bosse	b ɔ s ə
boswagter	b ɔ s v a χ t ə r
bot	b ɔ t
bote	b ʊ ə t ə
bou	b œ u̯
bouval	b œ u̯ f a l
braai	b r ɑː i
braaivleis	b r ɑː i f l ə i s
braak	b r ɑː k
brand	b r a n t
branderplank	b r a n d ə r p l a ŋ k
bredie	b r ɪ ə̯ d i
breed	b r ɪ ə̯ t
breekwater	b r eː k ʋ aː t ə r
breekwater	b r ɪ ə̯ k v ɑː t ə r
brekfis	b r ɛ k f ə s
breuk	b r ɪ ø k
brief	b r i f
briefkaart	b r i f k ɑː r t
bril	b r ə l
bring	b r ə ŋ
brode	b r ʊ ə d ə
broek	b r u k
bromponie	b r ɔ m p oː n i
brood	b r ʊ ə t
brug	b r œ χ
buig	b œ i̯ χ
buig	b ə i̯ χ
buis	b œ i s
buit	b œ i̯ t
buitenshuis	b œ i̯ t ə n s ɦ œ i̯ s
buk	b œ k
bundel	b œ n d ə l
burger	b œ r ɡ ə r
burgeroorlog	b œ r χ ə r ʊ ə̯ r l ɔ χ
buur	b y r
buurman	b y r m a n
by	b ə i
byna	b ə i̯ n a
byt	b ɛ i t
byvoorbeeld	b ɛ i̯ f o ə r b e ə l t
chemie	x ɛ m i
daagliks	d ɑː χ l ə k s
daai	d ɑː i̯
daaiman	d ɑː i̯ m ə n
daar	d ɑː r
daardie	d ɑː r d i
daardie	d ɑː r i
dader	d ɑː d ə r
dae	d ɑː ə
dag	d a χ
dagga	d a χ a
daggazol	d a χ a z ɔ l
daglig	d ɑ χ l ə χ
dak	d a k
dakpan	d a k p a n
dalk	d a l k
danig	d ɑː n ə χ
dankie	d a ŋ k i
darem	d ɑː r ə m
dassie	d a s i
dassiepis	d a s i p ə s
deelname	d ɪ ə̯ l n ɑː m ə
deksel	d ɛ k s ə l
deug	d ɪ ø̯ χ
deur	d ɪ ø r
deure	d ɪ ø r ə
deurtrekker	d ɪ̯ ø r t r ɛ k ə r
die	d i
die	‿ i
diensstasie	d i n s t ɑː s i
diep	d i p
digter	d ə χ t ə r
dimensie	d i m ɛ n s i
dink	d ə ŋ k
dinq	d ɪ ŋ k
dis	d ə s
dit	d ɨ t
dié	d i
doek	d u k
doeke	d u k ə
dog	d ɔ χ
dogter	d ɔ χ t ə r
dogtertjie	d ɔ χ t ə r k i
dok	d ɔ k
dokkie	d ɔ k i
dokter	d ɔ k t ə r
dommie	d ɔ m i
donder	d ɔː n ə r
donker	d ɔ ŋ k ə r
donkerte	d ɔ ŋ k ə r t ə
dons	d ɔ n s
dood	d ʊ ə t
doodgegaan	d o ə̯ t x ə x ɑː n
doodstil	d ʊ ə̯ t s t ə l
doof	d ʊ ə f
doofste	d oː f s t ə
doofste	d ʊ ə f s t ə
doringboom	d ʊ ə̯ r n b ʊ ə̯ m
dorp	d ɔ r p
dors	d ɔ r s
dorstig	d ɔ r s t ə χ
dorsvloer	d ɔ r s f l u r
dowe	d ʊ ə v ə
draai	d r ɑː i
draak	d r aː k
drif	d r ə f
drol	d r ɔ l
dronkaard	d r ɔ ŋ k ɑː r d
druk	d r œ k
drukkende	d r œ k ə n d ə
drup	d r œ p
duif	d œ i̯ f
duikweg	d œ i̯ k f ɛ x
duin	d œ i̯ n
duinebesie	d œ i̯ n ə b ɪ ə̯ s i
duisend	d œ i̯ s ə n t
duister	d œ i s t ə r
duisternis	d œ i̯ s t ə r n ə s
duits	d œ i̯ t s
duskant	d œ s k a n t
dwaal	d v ɑː l
eend	ɪ ə̯ n t
eensaam	ɪ ə̯ n s ɑː m
eensaamheid	ɪ ə̯ n s ɑː m ɦ ə i̯ t
eers	ɪ ə̯ r s
eet	ɪ ə t
eeu	i u
egpaar	ɛ χ p ɑː r
eiendomsbelasting	ə i̯ ə n d ɔ m s b ə l a s t ə ŋ
eier	ə i ə r
eik	ə i̯ k
einde	ə i̯ n d ə
ek	ɛ k
ekstase	ɛ k s t ɑː s ə
elf	ɛ l f
en	ə n
en	ɛ n
enersyds	ɪ ə̯ n ə r s ə i̯ t s
engels	ɛ̃ˑ ŋ ə l s
engte	ɛ ŋ t ə
enkel	ɛ ŋ k ə l
ensiklopedie	ɛ n s i k l ʊ ə p ə d i
erfenisgebied	ɛ t f ə n ə s χ ə b i t
erken	ɛ r k ɛ n
ertjie	ɛ r k i
esel	ɪ ə s ə l
ewig	ɪ ə v ə x
fabriek	f a b r i k
fantasie	f a n t a s i
fantasie	f a n t ə s i
feeks	f ɪ ə̯ k s
fel	f ɛ l
fiets	f i t s
fisant	f i s a n t
flamink	f l a m ə ŋ k
fliek	f l i k
foon	f ʊ ə̯ n
foonsnol	f ʊ ə̯ n s n ɔ l
foto	f ʊ ə̯ t ʊ ə̯
fouteer	f œ u t ɪ ə̯ r
gaan	χ ɑː n
gaas	χ ɑː s
galg	χ a l χ
galm	χ a l m
gars	χ a r s
gebaar	χ ə b ɑː r
gebaretaal	χ ə b ɑː r ə t ɑː l
gebed	χ ə b ɛ t
gebergte	χ ə b ɛ r χ t ə
gebeurtenis	χ ə b ɪ ø r t ə n ə s
geboorte	χ ə b ʊ ə̯ r t ə
gebou	χ ə b œ u̯
gedagte	χ ə d ɑ χ t ə
gedig	χ ə d ə χ
gee	χ ɪ ə
geel	χ ɪ ə̯ l
geelperske	χ ɪ ə̯ l p ɛ r s k ə
geelste	ɣ eː l s t ə
geelste	χ ɪ ə l s t ə
gees	χ ɪ ə̯ s
gegaan	χ ə χ ɑː n
gehad	χ ə ɦ a t
geheue	χ ə ɦ ɪ ø ə
geitjie	χ ə i k i
geld	χ ɛ l t
gele	χ ɪ ə l ə
geleë	χ ə l i ə
geleë	χ ə l ɪ ə̯
gelowig	χ ə l ʊ ə̯ v ə χ
gelowige	χ ə l ʊ ə̯ v ə χ ə
geluk	χ ə l œ k
gemeenskap	χ ə m ɪ ə̯ n s k a p
gemeente	χ ə m ɪ ə̯ n t ə
gesig	χ ə s ə χ
gesigsuitdrukking	χ ə s ə χ s œ i̯ t d r œ k ə ŋ
geskiedenis	χ ə s k i d ə n ə s
gesondheid	χ ə s ɔ n t ɦ ə i̯ t
geur	χ ɪ ø r
gevaar	χ ə f ɑː r
gevaarlik	χ ə f ɑː r l ə k
geëet	χ ə ɪ ə t
ghong	ɡ ɔ ŋ
gif	χ ə f
gifte	χ ə f t ə
giwwe	χ ə v ə
glas	χ l a s
gletser	χ l ɛ t s ə r
glimlag	χ l ə m l a χ
glo	χ l ʊ ə
god	χ ɔ t
goed	χ u t
goedkeur	χ u t k ɪ ø r
goedkeuring	χ u t k ɪ ø r ɪ ŋ
gogga	χ ɔ χ a
goiing	χ ɔ i ə ŋ
gom	χ ɔ m
graf	χ r a f
granaat	χ r a n ɑː t
grasieus	χ r a s i ɪ ø s
grens	χ r ɛ n s
groep	χ r u p
groet	χ r u t
grof	χ r ɔ f
