わ゙	b a̠̠
ゑ゙	b e̞̞
を゙	b o̞̞
ゐ゙	bʲ i
れ゚	l e̞
レ゚	l e̞
ろ゚	l o̞
ロ゚	l o̞
プロジェクト	p ɯᵝ ɺ̠ o̞̞ d͡ʑʲ e̞̞ k ɯᵝ t o̞̞
あじ	a̠ ʑ i
サス	s ä s ɯ̥ᵝ
さ゚	t͡s a̠̠
サ゚	t͡s a̠̠
せ゚	t͡ɕ e̞̞
あ	a̠
ア	a̠
あ	a̠
あ	a̠
あ	a̠
ああ	a̠ː
ああいう	a̠ː i ɯ̟ᵝ
アーカイバ	a̠ː k a̠ i b a̠
アーカイバー	a̠ː k a̠ i b a̠ː
アーカイブ	a̠ː k a̠ i b ɯ̟ᵝ
アーカンソー	a̠ː k ã̠ ɰ̃ s o̞ː
アーガイル	a̠ː ɡ a̠ i ɾ ɯ̟ᵝ
アーキビスト	a̠ː kʲ i bʲ i s ɨᵝ t o̞
アーク	a̠ː k ɯ̟ᵝ
アークとう	a̠ː k ɯ̟ᵝ t o̞ː
アークほうでん	a̠ː k ɯ̟ᵝ h o̞ː d ẽ̞ ɴ
アークようせつ	a̠ː k ɯ̟ᵝ j o̞ː s e̞ t͡s ɨᵝ
アークろ	a̠ː k ɯ̟ᵝ ɾ o̞
アーケード	a̠ː k e̞ː d o̞
アーサー	a̠ː s a̠ː
アース	a̠ː s ɨᵝ
アーチ	a̠ː t͡ɕ i
アーティストインレジデンス	a̠ː tʲ i s ɨᵝ t o̞ ĩ n ɾ e̞ ʑ i d ẽ̞ ɰ̃ s ɨᵝ
アーティチョーク	a̠ː tʲ i̥ t͡ɕ o̞ː k ɯ̟ᵝ
アードウルフ	a̠ː d o̞ ɯ̟ᵝ ɾ ɯ̟ᵝ ɸ ɯ̟ᵝ
あーね	a̠ː n e̞
アーモンド	a̠ː m õ̞ n d o̞
アール	a̠ː ɾ ɯ̟ᵝ
アールエヌエー	a̠ː ɾ ɯ̟ᵝ e̞ n ɯ̟ᵝ e̞ː
アールヌーボー	a̠ː ɾ ɯ̟ᵝ n ɯ̟ᵝː b o̞ː
アールピージー	a̠ː ɾ ɯ̟ᵝ pʲ iː ʑ iː
あい	a̠ i
アイ	a̠ i
あい	a̠ i
アイアール	a̠ i a̠ː ɾ ɯ̟ᵝ
アイアイ	a̠ i a̠ i
あいあいがさ	a̠ i a̠ i ɡ a̠ s a̠
アイアン	a̠ i ã̠ ɴ
あいいれない	a̠ iː ɾ e̞ n a̠ i
あいいろ	a̠ iː ɾ o̞
あいいん	a̠ ĩː ɴ
あいえき	a̠ i e̞ kʲ i
アイエスビーエヌ	a̠ i e̞ s ɨᵝ bʲ iː e̞ n ɯ̟ᵝ
あいえんきえん	a̠ i ẽ̞ ŋʲ kʲ i ẽ̞ ɴ
アイオワ	a̠ i o̞ ɰᵝ a̠
あいか	a̠ i k a̠
あいかぎ	a̠ i k a̠ ɡʲ i
あいかた	a̠ i k a̠ t a̠
あいかわらず	a̠ i k a̠ ɰᵝ a̠ ɾ a̠ z ɨᵝ
あいがさ	a̠ i ɡ a̠ s a̠
あいがみ	a̠ i ɡ a̠ mʲ i
あいがめ	a̠ i ɡ a̠ m e̞
あいがん	a̠ i ɡ ã̠ ɴ
あいがん	a̠ i ɡ ã̠ ɴ
あいがんどうぶつ	a̠ i ɡ ã̠ n d o̞ː b ɯ̟ᵝ t͡s ɨᵝ
あいき	a̠ i kʲ i
あいきどう	a̠ i kʲ i d o̞ː
アイキュー	a̠ i kʲ ɨᵝː
あいきょう	a̠ i kʲ o̞ː
あいくち	a̠ i k ɯ̟ᵝ t͡ɕ i
あいくち	a̠ i k ɯ̟ᵝ t͡ɕ i
あいくるしい	a̠ i k ɯ̟ᵝ ɾ ɯ̟ᵝ ɕ iː
あいけん	a̠ i k ẽ̞ ɴ
あいこ	a̠ i k o̞
あいこ	a̠ i k o̞
あいこう	a̠ i k o̞ː
あいこうか	a̠ i k o̞ː k a̠
あいこく	a̠ i k o̞ k ɯ̟ᵝ
あいこく	a̠ i k o̞ k ɯ̟ᵝ
あいこくしゃ	a̠ i k o̞ k ɯ̟ᵝ ɕ a̠
あいこくしゅぎ	a̠ i k o̞ k ɯ̟ᵝ ɕ ɨᵝ ɡʲ i
あいこっか	a̠ i k o̞ k̚ k a̠
あいことば	a̠ i k o̞ t o̞ b a̠
アイコン	a̠ i k õ̞ ɴ
アイコンタクト	a̠ i k õ̞ n t a̠ k ɯ̟ᵝ t o̞
あいご	a̠ i ɡ o̞
あいご	a̠ i ɡ o̞
あいさい	a̠ i s a̠ i
あいさつ	a̠ i s a̠ t͡s ɨᵝ
アイシービーエム	a̠ i ɕ iː bʲ iː e̞ m ɯ̟ᵝ
あいしている	a̠ i ɕ i t e̞ i ɾ ɯ̟ᵝ
あいしゃ	a̠ i ɕ a̠
あいしゃせいしん	a̠ i ɕ a̠ s e̞ː ɕ ĩ ɴ
アイシャドー	a̠ i ɕ a̠ d o̞ː
あいしゅう	a̠ i ɕ ɨᵝː
あいしょう	a̠ i ɕ o̞ː
あいしょう	a̠ i ɕ o̞ː
あいしょうか	a̠ i ɕ o̞ː k a̠
あいしんかくら	a̠ i ɕ ĩ ŋ k a̠ k ɯ̟ᵝ ɾ a̠
アイシング	a̠ i ɕ ĩ ŋ ɡ ɯ̟ᵝ
あいじ	a̠ i ʑ i
あいじょう	a̠ i ʑ o̞ː
あいじょう	a̠ i ʑ o̞ː
あいじん	a̠ i ʑ ĩ ɴ
アイス	a̠ i s ɨᵝ
あいす	a̠ i s ɨᵝ
アイスキャンデー	a̠ i s ɨᵝ ̥ kʲ ã̠ n d e̞ː
アイスクリーム	a̠ i s ɨᵝ ̥ k ɯ̟ᵝ ɾʲ iː m ɯ̟ᵝ
アイスコーヒー	a̠ i s ɨᵝ k o̞ː ç iː
アイスホッケー	a̠ i s ɨᵝ ̥ h o̞ k̚ k e̞ː
アイスランド	a̠ i s ɨᵝ ɾ ã̠ n d o̞
あいする	a̠ i s ɨᵝ ɾ ɯ̟ᵝ
あいず	a̠ i z ɨᵝ
あいせき	a̠ i s e̞ kʲ i
あいそ	a̠ i s o̞
あいぞう	a̠ i z o̞ː
あいぞうばん	a̠ i z o̞ː b ã̠ ɴ
あいぞめ	a̠ i z o̞ m e̞
あいたい	a̠ i t a̠ i
あいだ	a̠ i d a̠
あいだがら	a̠ i d a̠ ɡ a̠ ɾ a̠
あいち	a̠ i t͡ɕ i
あいちけん	a̠ i t͡ɕ i k ẽ̞ ɴ
あいちょう	a̠ i t͡ɕ o̞ː
あいつぐ	a̠ i t͡s ɨᵝ ɡ ɯ̟ᵝ
あいつら	a̠ i t͡s ɨᵝ ɾ a̠
あいて	a̠ i t e̞
アイデンティティ	a̠ i d ẽ̞ n tʲ i tʲ i
アイドル	a̠ i d o̞ ɾ ɯ̟ᵝ
あいな	a̠ i n a̠
アイナメ	a̠ i n a̠ m e̞
あいにく	a̠ i ɲ̟ i k ɯ̟ᵝ
アイヌ	a̠ i n ɯ̟ᵝ
あいのて	a̠ i n o̞ t e̞
アイピーアドレス	a̠ i pʲ iː a̠ d o̞ ɾ e̞ s ɨᵝ
アイフォーン	a̠ i ɸ õ̞ː ɴ
アイフォン	a̠ i ɸ õ̞ ɴ
あいふく	a̠ i ɸ ɯ̟ᵝ k ɯ̟ᵝ
あいぶ	a̠ i b ɯ̟ᵝ
アイホン	a̠ i h õ̞ ɴ
あいぼ	a̠ i b o̞
あいま	a̠ i m a̠
あいまい	a̠ i m a̠ i
アイマス	a̠ i m a̠ s ɨᵝ
アイマスク	a̠ i m a̠ s ɨ̥ᵝ k ɯ̟ᵝ
あいよ	a̠ i j o̞
あいよめ	a̠ i j o̞ m e̞
アイロニー	a̠ i ɾ o̞ ɲ̟ iː
アイロン	a̠ i ɾ õ̞ ɴ
