'n	ə
aag	ɑː χ
aalbessie	ɑː l b ɛ s i
aalfuik	ɑː l f œ i k
aalfuike	ɑː l f œ i k ə
aalfuikie	ɑː l f œ i k i
aalfuikies	ɑː l f œ i k i s
aalmoes	ɑː l m u s
aan	ɑː n
aanbid	ɑː n b ə t
aandete	ɑː n t ɪ ə̯ t ə
aandklok	ɑː n t k l ɔ k
aandrok	ɑː n t r ɔ k
aanmatiging	ɑː m ɑː t ə χ ə ŋ
aanveg	ɑː n f ɛ χ
aanvraag	ɑː n f r ɑː χ
aap	ɑː p
aarde	ɑː r d ə
aardes	ɑː r d ə s
aartappel	ɑː r t a p ə l
abba	a b a
aborsie	a b ɔ r s i
adder	a d ə r
adel	ɑː d ə l
adelstand	ɑː d ə l s t a n t
adres	a d r ɛ s
advies	a t f i s
afgaan	a f χ ɑː n
aflaai	a f l ɑː i̯
afrikaans	a f r ɪ k ɑ̃ː s
afrikaner	a f r i k ɑː n ə r
afsaag	a f s ɑː χ
afslaandak	a f s l ɑː n d a k
afstand	a f s t a n t
aftands	a f t a n t s
afwesig	a f v ɪ ə̯ s ə x
afwesigheid	a f v ɪ ə̯ s ə x ɦ ə i̯ t
ag	a χ
agt	a χ t
akkerboom	a k ə r b ʊ ə̯ m
al	a l
alledaags	a l ə d ɑː χ s
altaar	a l t ɑː r
altyd	a l t ə i̯ t
amerika	a m ɪ ə r ə k a
amerikaner	a m ɪ ə̯ r i k ɑː n ə r
amp	a m p
amper	a m p ə r
andersyds	a n d ə r s ə i̯ t s
anker	a ŋ k ə r
antenne	a n t ɛ n n ə
antiek	a n t i k
antiheld	ɑ n t i ɦ ɛ l d
antwoord	ɐ n t v u ə̯ r t
anys	a n ə i s
apart	a p a r t
ape	ɑː p ə
appel	a p ə l
appelkoos	a p ə l k ʊ ə s
argaïes	a r χ ɑː i s
argitek	a r ʃ i t ɛ k
argitek	a r χ i t ɛ k
arriveer	a r i f ɪ ə̯ r
arts	a r t s
as	a s
asseblief	ɑ s ə b l iː f
assegaai	a s ə χ ɑː i̯
asyn	a s ə i n
avontuur	a f ɔ n t y r
awb	aː v i ə b i ə
baadjie	b ɑː ɪ̯ k i
baai	b ɑː i̯
baarmoeder	b ɑː r m u d ə r
baas	b ɑː s
baie	b a j ə
bak	b a k
bakkie	b a k i
baklei	b ə k l ə i̯
bal	b a l
ballingskap	b a l ə ŋ s k a p
ballon	b a l ɔ n
bamboes	b a m b u s
bandana	b a n d a n a
bandopnemer	b a n t ɔ p n ɪ ə̯ m ə r
bang	b a ŋ
bank	b a ŋ k
bed	b ɛ t
bediende	b ə d i n d ə
bedkussing	b ɛ t k œ s ə ŋ
bedoeling	b ə d u l ə ŋ
bedrog	b ə d r ɔ x
bedryf	b ə d r ə i f
beeldsend	b ɪ ə̯ l t s ɛ n t
beer	b ɪ ə r
bees	b ɪ ə s
beesvleis	b ɪ ə̯ s f l ə i̯ s
beet	b i ə̯ t
begraafplaas	b ə χ r ɑː f p l ɑː s
begrip	b ə χ r ə p
begripsraamwerk	b ə χ r ə p s r ɑː m v ɛ r k
begroting	b ə χ r ʊ ə̯ t ə ŋ
beheersing	b ə ɦ ɪ ə̯ r s ə ŋ
behoort	b ə ɦ ʊ ə r
bejaard	b ə j ɑː r t
bek	b ɛ k
bekostig	b ə k ɔ s t ə χ
bekroon	b ə k r ʊ ə̯ n
belangrik	b ə l a ŋ r ə k
beleefdheid	b ə l ɪ ə̯ f t ɦ ə i̯ t
belofte	b ə l ɔ f t ə
belowe	b ə l ʊ ə̯ v ə
belus	b ə l œ s
belydenis	b ə l ə i̯ d ə n ə s
beperk	b ə p ɛ r k
beperking	b ə p ɛ r k ə ŋ
bergreeks	b ɛ r χ r ɪ ə̯ k s
bergwind	b ɛ r χ v ə n t
beroof	b ə r ʊ ə̯ f
besef	b ə s ɛ f
beset	b ə s ɛ t
besetting	b ə s ɛ t ə ŋ
besig	b ɪ ə s ə χ
beskaaf	b ə s k ɑː f
beskawing	b ə s k ɑː v ə ŋ
beskou	b ə s k œ u̯
besoedel	b ə s u d ə l
besoek	b ə s u k
besoeker	b ə s u k ə r
bestanddeel	b ə s t a n d ɪ ə̯ l
bestialiteit	b ɛ s t i a l i t ə i̯ t
bestuiwing	b ə s t œ i̯ v ə ŋ
betekenis	b ə t i ə̯ k ə n ə s
beter	b ɪ ə t ə r
beton	b ə t ɔ n
betuig	b ə t œ i̯ χ
beweeg	b ə v ɪ ə̯ χ
bid	b ə t
bieg	b i χ
bier	b i r
bietjie	b i k i
biskop	b ə s k ɔ p
blaar	b l ɑː r
bladsy	b l a t s ə i̯
blaker	b l ɑː k ə r
blank	b l a ŋ k
blanke	b l a ŋ k ə
blaps	b l a p s
bliksem	b l ə k s ə m
bliksemstraal	b l ə k s ə m s t r ɑː l
blind	b l ə n t
bloed	b l u t
bloedbank	b l u t b a ŋ k
bloedgroep	b l u t χ r u p
bloedoortapping	b l u t ʊ ə̯ r t a p ə ŋ
bloemfontein	b l u m f ɔ n t ə i̯ n
blom	b l ɔ m
blou	b l œ u̯
bloubok	b l œ u b ɔ k
bly	b l ə i
bo	b ʊ ə
bobbejaan	b ɔ b ə j ɑː n
boei	b u i̯
boek	b u k
boeke	b u k ə
boekery	b u k ə r ə i̯
boelie	b u l i
boemelaar	b u m ə l ɑː r
boep	b u p
boepens	b u p ɛ̃ː s
boer	b u r
boer	b uː r
boereplaas	b u r ə p l ɑː s
bok	b ɔ k
bokwiet	b ɔ k v i t
bom	b ɔ m
bome	b ʊ ə m ə
boogskutter	b ʊ ə̯ χ s k œ t ə r
boom	b ʊ ə m
boon	b ʊ ə̯ n
boor	b ʊ ə r
boot	b ʊ ə t
bordeel	b ɔ r d ɪ ə̯ l
bors	b ɔː r s
borsmelk	b ɔ r s m ɛ l k
bos	b ɔ s
bosbedryf	b ɔ s b ə d r ə i f
bosse	b ɔ s ə
boswagter	b ɔ s v a χ t ə r
boswerker	b ɔ s v ɛ r k ə r
bot	b ɔ t
bote	b ʊ ə t ə
botter	b ɔ t ə r
bou	b œ u̯
bouval	b œ u̯ f a l
braai	b r ɑː i
braaivleis	b r ɑː i f l ə i s
braak	b r ɑː k
brand	b r a n t
branderplank	b r a n d ə r p l a ŋ k
bredie	b r ɪ ə̯ d i
breed	b r ɪ ə̯ t
breek	b r ɪ ə̯ k
breekwater	b r eː k ʋ aː t ə r
breekwater	b r ɪ ə̯ k v ɑː t ə r
brekfis	b r ɛ k f ə s
breuk	b r ɪ ø k
brief	b r i f
briefkaart	b r i f k ɑː r t
bries	b r i s
bril	b r ə l
bring	b r ə ŋ
brode	b r ʊ ə d ə
broederskap	b r u d ə r s k a p
broek	b r u k
bromponie	b r ɔ m p oː n i
brood	b r ʊ ə t
brug	b r œ χ
bruidskat	b r œ i̯ t s k a t
buffel	b œ f ə l
buig	b œ i̯ χ
buig	b ə i̯ χ
buis	b œ i s
buit	b œ i̯ t
buite	b œ i̯ t ə
buitenshuis	b œ i̯ t ə n s ɦ œ i̯ s
buk	b œ k
bundel	b œ n d ə l
burger	b œ r ɡ ə r
burgeroorlog	b œ r χ ə r ʊ ə̯ r l ɔ χ
buro	b y r ʊ ə̯
buur	b y r
buurman	b y r m a n
by	b ə i
bybel	b ə i̯ b ə l
bydra	b ə i̯ d r a
bydraag	b ə i̯ d r ɑː χ
byna	b ə i̯ n a
byt	b ɛ i t
byvoorbeeld	b ə i f ʊ ə r b ɪ ə l t
chemie	x ɛ m i
copie	k oː p i
daagliks	d ɑː χ l ə k s
daai	d ɑː i̯
daaiman	d ɑː i̯ m ə n
daar	d ɑː r
daardie	d ɑː r d i
daardie	d ɑː r i
dader	d ɑː d ə r
dae	d ɑː ə
dag	d a χ
dagboek	d a χ b u k
dagga	d a χ a
daglig	d ɑ χ l ə χ
dak	d a k
dakpan	d a k p a n
dalk	d a l k
danig	d ɑː n ə χ
dankie	d a ŋ k i
darem	d ɑː r ə m
dassie	d a s i
dassiepis	d a s i p ə s
deelname	d ɪ ə̯ l n ɑː m ə
deksel	d ɛ k s ə l
den	d ɛ n
denk	d ɛ ŋ k
denkbeeld	d ɛ ŋ k b ɪ ə̯ l t
denkbeeldig	d ɛ ŋ k b ɪ ə̯ l d ə x
deug	d ɪ ø̯ χ
deur	d ɪ ø r
deure	d ɪ ø r ə
deurtrekker	d ɪ̯ ø r t r ɛ k ə r
dialek	d i a l ɛ k
die	d i
diens	d i n s
diensstasie	d i n s t ɑː s i
diep	d i p
dier	d i r
dierasie	d i r ɑː s i
dig	d ə χ
digter	d ə χ t ə r
digterlik	d ə χ t ə r l ə k
dimensie	d i m ɛ n s i
dink	d ə ŋ k
dinq	d ɪ ŋ k
diplomasie	d i p l oː m a s i
dis	d ə s
dit	d ɨ t
dié	d i
doek	d u k
doeke	d u k ə
doeleinde	d u l ə i̯ n d ə
dog	d ɔ χ
dogter	d ɔ χ t ə r
dogtertjie	d ɔ χ t ə r k i
dok	d ɔ k
dokkie	d ɔ k i
dokter	d ɔ k t ə r
dommie	d ɔ m i
donder	d ɔː n ə r
donker	d ɔ ŋ k ə r
donkerte	d ɔ ŋ k ə r t ə
dons	d ɔ n s
dood	d ʊ ə t
doodgegaan	d o ə̯ t x ə x ɑː n
doodstil	d ʊ ə̯ t s t ə l
doof	d ʊ ə f
doofste	d oː f s t ə
doofste	d ʊ ə f s t ə
dophou	d ɔ p ɦ œ u̯
doringboom	d ʊ ə̯ r n b ʊ ə̯ m
dorp	d ɔ r p
dors	d ɔ r s
dorstig	d ɔ r s t ə χ
dorsvloer	d ɔ r s f l u r
dowe	d ʊ ə v ə
draad	d r ɑː t
draai	d r ɑː i
draak	d r ɑː k
drie	d r i
drif	d r ə f
drol	d r ɔ l
dronkaard	d r ɔ ŋ k ɑː r d
druipeling	d r œ i̯ p ə l ə ŋ
druk	d r œ k
drukkende	d r œ k ə n d ə
drup	d r œ p
duif	d œ i̯ f
duik	d œ i̯ k
duikboot	d œ i̯ k b ʊ ə̯ t
duiker	d œ i̯ k ə r
duikweg	d œ i̯ k f ɛ x
duin	d œ i̯ n
duinebesie	d œ i̯ n ə b ɪ ə̯ s i
duisend	d œ i̯ s ə n t
duister	d œ i s t ə r
duisternis	d œ i̯ s t ə r n ə s
duits	d œ i̯ t s
duskant	d œ s k a n t
dwaal	d v ɑː l
dwarsoor	d v a r s ʊ ə̯ r
eend	ɪ ə̯ n t
eensaam	ɪ ə̯ n s ɑː m
eensaamheid	ɪ ə̯ n s ɑː m ɦ ə i̯ t
eenvoudig	ɪ ə̯ n f œ u̯ d ə χ
eers	ɪ ə̯ r s
eet	ɪ ə t
eeu	i u
egpaar	ɛ χ p ɑː r
eie	ə i̯ ə
eiendomsbelasting	ə i̯ ə n d ɔ m s b ə l a s t ə ŋ
eier	ə i ə r
eierstok	ə i̯ ə r s t ɔ k
eik	ə i̯ k
eiland	ə i̯ l a n t
eina	ə i̯ n a
einde	ə i̯ n d ə
ek	ɛ k
ekstase	ɛ k s t ɑː s ə
elf	ɛ l f
