abl	a b l̩
acen ddisgynedig	a k ɛ n ð ɪ s k ə n eː d ɪ ɡ
acen ddisgynedig	a k ɛ n ð ɪ s k ə n ɛ d ɪ ɡ
addysg	a ð ɪ s k
addysg	aː ð ɪ s k
addysgu	a ð ə s k i
adwaenost	a d w e i̯ n ɔ s t
aethost	e i̯ θ ɔ s t
aillt	a i̯ ɬ t
allt	a ɬ t
alltud	a ɬ t ɪ d
amethyst	a m ɛ θ ɪ s t
amobr	a m ɔ b r̩
anabl	a n a b l̩
anabl	aː n a b l̩
anawsterau	a n a u̯ s t eː r a i̯
anawsterau	a n a u̯ s t eː r ɛ
anawsterau	a n a u̯ s t ɛ r a i̯
anawsterau	a n a u̯ s t ɛ r ɛ
anghofuster	a ŋ h ɔ v ɪ s t ɛ r
anhawster	a n h a u̯ s t ɛ r
aradr	a r a d r̩
asgell	a s k ɛ ɬ
asgell fraith	a s k ɛ ɬ v r a i̯ θ
asgellog	a s k ɛ ɬ ɔ ɡ
asgwrn	a s k ʊ r n
astrus	a s t r ɪ s
astrusi	a s t r ɪ s i
awdl	a u̯ d l̩
awst	a u̯ s t
awstralia	a u̯ s t r a l j a
awtistiaeth	a u̯ tʰ ɪ s t j a i̯ θ
awtistiaeth	a u̯ tʰ ɪ s t j ɛ θ
awtistig	a u̯ tʰ ɪ s t ɪ ɡ
basged	b a s k ɛ d
basta	b a s t a
bastai	b a s t a i̯
bathdai	b a θ t a i̯
bathdy	b a θ t i
bedr	b ɛ d r̩
beidr	b e i̯ d r̩
belffast	b ɛ l f a s t
bobl	b ɔ b l̩
braster	b r a s d ɛ r
brasterog	b r a s t eː r ɔ ɡ
brasterog	b r a s t ɛ r ɔ ɡ
brwmstan	b r ʊ m s t a n
brwydr	b r ʊ i̯ d r̩
cachgi bwm	kʰ a χ k i b ʊ m
cachgwn bwm	kʰ a χ k ʊ m b ʊ m
caerwysg	kʰ a i̯ r w ɪ s k
caerwysg	kʰ a i̯ r ʊ i̯ s k
carest	kʰ a r ɛ s t
carest	kʰ aː r ɛ s t
casgen	kʰ a s k ɛ n
casglu	kʰ a s k l i
castanwydd	kʰ a s t a n w ɪ ð
castanwydd	kʰ a s t a n ʊ i̯ ð
castanwydden	k a s t a n w iː ð ɛ n
castanwydden	k a s t a n w ɪ ð ɛ n
castell	kʰ a s t ɛ ɬ
cefn	kʰ ɛ v n̩
cenedl	kʰ eː n ɛ d l̩
cenedl	kʰ ɛ n ɛ d l̩
cenhinen bedr	kʰ ɛ n h iː n ɛ m b ɛ d r̩
cenhinen bedr	kʰ ɛ n h ɪ n ɛ m b ɛ d r̩
cennin pedr	kʰ ɛ n ɪ m pʰ ɛ d r̩
cest	kʰ eː s t
cest	kʰ ɛ s t
cestyll	kʰ ɛ s t ɪ ɬ
chastell	χ a s t ɛ ɬ
chdi	χ t iː
chefn	χ ɛ v n̩
chestyll	χ ɛ s t ɪ ɬ
chwedl	χ w ɛ d l̩
chwestiwn	χ w̥ʰ ɛ s t j ʊ n
cic gosb	kʰ ɪ kʰ ɡ ɔ s p
ciciau cosb	kʰ ɪ k j̊ʰ a i̯ kʰ ɔ s p
ciciau cosb	kʰ ɪ k j̊ʰ ɛ kʰ ɔ s p
cist	kʰ ɪ s t
ciwcymbr	kʰ ɪ u̯ kʰ ə m b r̩
cledr	k lʰ ɛ d r̩
clustdlws	k lʰ ɪ s t l ʊ s
cod post	kʰ oː d pʰ ɔ s t
cosb	kʰ ɔ s p
cosbau	kʰ ɔ s p a i̯
cosbau	kʰ ɔ s p ɛ
cristion	k r̥ʰ ɪ s t j ɔ n
cristionogion	k r̥ʰ ɪ s t j ɔ n ɔ ɡ j ɔ n
cristnogaeth	k r̥ʰ ɪ s t n oː ɡ a i̯ θ
cristnogaeth	k r̥ʰ ɪ s t n oː ɡ ɛ θ
cristnogaeth	k r̥ʰ ɪ s t n ɔ ɡ a i̯ θ
cristnogaeth	k r̥ʰ ɪ s t n ɔ ɡ ɛ θ
cristnogion	k r̥ʰ ɪ s t n ɔ ɡ j ɔ n
cristnogol	k r̥ʰ ɪ s t n oː ɡ ɔ l
cristnogol	k r̥ʰ ɪ s t n ɔ ɡ ɔ l
croesgad	k r ɔ i̯ s k a d
croestorri	k r ɔ i̯ s t ɔ r i
crwst	k rʰ ʊ s t
crwydr	k rʰ ʊ i̯ d r̩
cwbl	kʰ ʊ b l̩
cwblhau	kʰ ʊ b l̩ h a i̯
cwest	k w̥ʰ ɛ s t
cwestau	k w̥ʰ ɛ s t a i̯
cwestau	k w̥ʰ ɛ s t ɛ
cwestiwn	k w̥ʰ ɛ s t j ʊ n
cwestiynau	k w̥ʰ ɛ s t j uː n ɛ
cwestiynau	k w̥ʰ ɛ s t j ə n a i̯
cwestiynau	k w̥ʰ ɛ s t j ə n ɛ
cwestiynau	k w̥ʰ ɛ s t j ʊ n ɛ
cwestiynau	k w̥ʰ ɛ s t ə n ɛ
cwsg	kʰ ʊ s k
cwstard	kʰ ʊ s t a r d
cwstardiau	kʰ ʊ s t a r d j a i̯
cwstardiau	kʰ ʊ s t a r d j ɛ
cyfrwngddarostyngedigaeth	k ə v r ʊ ŋ ð a r ɔ s t ə ŋ ɛ d iː ɡ a i̯ θ
cyfrwngddarostyngedigaeth	k ə v r ʊ ŋ ð a r ɔ s t ə ŋ ɛ d iː ɡ ɛ θ
cyfrwngddarostyngedigaeth	k ə v r ʊ ŋ ð a r ɔ s t ə ŋ ɛ d ɪ ɡ a i̯ θ
cyfrwngddarostyngedigaeth	k ə v r ʊ ŋ ð a r ɔ s t ə ŋ ɛ d ɪ ɡ ɛ θ
cymedr	kʰ ə m ɛ d r̩
cymhleth	k ə m ɬʰ ɛ θ
cymhlethdod	kʰ ə m l̥ʰ ɛ θ t ɔ d
cymhlethdodau	kʰ ə m l ɛ θ t oː d ɛ
