Adar	ɑː d ɑː ɾ
Amerîka	ɑː m ɛ ɾ iː k ɑː
Aram	ɑː ɾ ɑː m
Ardî	ɑː ɾ d iː
Arjîn	ɑː ɾ ʒ iː n
Armanc	ɑː ɾ m ɑː n d͡ʒ
Arêz	ɑː ɾ eː z
Asya	ɑː s j ɑː
Avdar	ɑː v d ɑː ɾ
Awaz	ɑː w ɑː z
Azad	ɑː z ɑː d
Badîn	b ɑː d iː n
Bager	b ɑː ɡ ɛ ɾ
Bahoz	b ɑː h oː z
Barnas	b ɑː ɾ n ɑː s
Bawer	b ɑː w ɛ ɾ
Bedirxan	b ɛ d ɪ ɾ x ɑː n
Bengî	b ɛ n ɡ iː
Berfîn	b ɛ ɾ f iː n
Berxwedan	b ɛ ɾ x w ɛ d ɑː n
Berzan	b ɛ ɾ z ɑː n
Bextewar	b ɛ x t ɛ w ɑː ɾ
Biryar	b ɪ ɾ j ɑː ɾ
Bêrîvan	b eː ɾ iː v ɑː n
Delal	d ɛ l ɑː l
Diyar	d ɪ j ɑː ɾ
Dîcle	d iː d͡ʒ l ɛ
Dîno	d iː n oː
Evdê	ɛ v d eː
Evîn	ɛ v iː n
Fadil	f ɑː d ɪ l
Gulistan	ɡ ʊ l ɪ s t ɑː n
Hawa	h ɑː w ɑ
Helsinkî	h ɛ l s ɪ n k iː
Hêlîn	h eː l iː n
Jiyan	ʒ ɪ j ɑː n
Kawa	k ɑː w ɑː
Kurdistan	k ʊ ɾ d ɪ s t ɑː n
Kurmancî	k ʊ ɾ m ɑː n d͡ʒ iː
Lezgîn	l ɛ z ɡ iː n
Mêrxas	m eː ɾ x ɑː s
Rastî	r ɑː s t iː
Rizgar	r ɪ z ɡ ɑː ɾ
Rojda	r oː ʒ d ɑː
Rojîn	r oː ʒ iː n
Ronî	r oː n iː
Rênas	r eː n ɑː s
Rêzan	r eː z ɑː n
Sarya	s ɑː ɾ j ɑː
Simko	s ɪ m k oː
Siyabend	s ɪ j ɑː b ɛ n d
Soro	s oː ɾ oː
Sûriya	s uː ɾ ɪ j ɑː
Sûriye	s uː ɾ ɪ j ɛ
Xeter	x ɛ t ɛ ɾ
Xezal	x ɛ z ɑː l
Xwedê	xʷ ɛ d eː
Zanyar	z ɑː n j ɑː ɾ
Zelal	z ɛ l ɑː l
Zozan	z oː z ɑː n
abone	ɑː b oː n ɛ
aborî	ɑː b oː ɾ iː
aborînas	ɑː b oː ɾ iː n ɑː s
aborînasî	ɑː b oː ɾ iː n ɑː s iː
absans	ɑː b s ɑː n s
adaptasyon	ɑː d ɑː p t ɑː s j oː n
ade	ɑː d ɛ
