abair	a p ɪ ɾʲ
ad	a t̪
adharc	ɤ ə ɾ k
agh	ɤ ɣ
aois	ɯː ʃ
aran	a ɾ a n
bambù	p a m b uː
bata	p a h t ə
bean	b̥ ɛ n
beò	p ɛ̯ ɔː
bochd	p ɔ x k
bog	b̊ o ɡ̊
bròn	b̊ ɾ ɔː n
bàta	b̥ aːʰ t̪ ə
bòrd	b̊ ɔː ɹ ʃ d̪̊
bùth	b̊ uː
caora	kʰ ɯː ɾ ə
ceist	kʰʲ e ʃ tʲ
chan	x a nʲ
cheist	ç e ʃ tʲ
cill	kʲ iː ʎ
coltach	k ɔ ɫ̪ ə x
creid	kʲʰ ɾʲ ɛ tʲ
cèile	kʰʲ eː l ɪ
cò	kʰ oː
còig	k oː ɡ̊ʲ
còrd	k ɔː ɹ d̪̊
còta	kʰ ɔːʰ t̪ ə
cùis	kʰ uː ʃ
daor	t̪ ɯː ɾ
datha	t a h ə
dealbh	tʲ a ɫ̪ a v
dlùth	d ɫ̪ uː
dragh	d̪̊ ɾ ɤ ɣ
dàil	d̪̊ aː l
dè	d̊ʲ eː
dìreach	dʲ iː ɾʲ ə x
dùghlas	t̪ uː l̪ˠ ə s̪
dùil	d̪̊ uː l
fada	f a d̪̊ ə
falamh	f a ɫ̪ ə v
fhèin	h eː n
fosgailte	f o s k ə lʲ tʲ ə
fèidh	f eː j
gnè	ɡ̊ ɾ ɛ̃
hearadh	n ə h ɛ ɾ ə ɣ
iad	i ə t̪
iad	ə t̪
ladhar	ɫ̪ ɤ ə ɾ
latha	l̪ˠ aː
leis	l e ʃ
leth	ʎ e h
leum	ʎ eː m
lios	l i s
loch	ɫ̪ ɔ x
loisg	ɫ̪ ɔ ʃ kʲ
làmh	ɫ̪ ãː v
làr	ɫ̪ aː ɾ
mac	m a x k
mac	m aʰ k
mi	m i
mic	m iʰ kʲ
màthair	m ãː h ɪ ɾʲ
mòr	m oː r
mòr	m oː ɾ
mòran	m oː ɾ a n
mór	m oː ɾ
nuadh	n u ə ɣ
ogha	o ə
pàipear	pʰ ã iːʰ p ə ɾʲ
pàipear	pʰ ɛːʰ p ə ɾʲ
pàirteachas	p aː rˠ ʃ d ə x ə s
reòiteag	rʲ o t͡ʃʲ a k
ri	ɾʲ i
ris	ɾʲ i ʃ
seòl	ʃ ɔː ɫ̪
sibh	ʃ i v
sin	ʃ ɪ n
siud	ʃʲ u d
slànaighear	s ɫ̪ aː n ɪ j ɛ ɾ
socair	s ɔʰ k ɪ ɾʲ
sona	s ɔ n ə
speach	ʃ pʲ a x
spèis	s p ɛː ʃ
stiùir	ʃ d̊ʲ uː ɾʲ
sèimh	ʃ ɛ̃ː v
sìoda	ʃ iː d̪̊ ə
sìos	ʃ iː s
tarbh	t̪ʰ a ɾ a v
teòclaid	t ʃʰ ɔː x k l̪ˠ ɪ tʲ
thug	h u ɡ̊
toit	t̪ ɔʰ tʲ
tosd	t̪ʰ ɔ s̪ t̪
tost	t̪ʰ ɔ s̪ t̪
tric	t̪ r iʰ kʲ
tuit	t̪ uʰ tʲ
uiseag	ɯ ʃ a ɡ̊
ungair	u ŋ ɡ ɪ ɾʲ
ungairis	u ŋ ɡ ɪ ɾʲ ɪ ʃ
àite	aːʰ tʲ ɪ
àlainn	aː ɫ̪ ɪ ɲ
ìm	iː m
òg	ɔː ɡ̊
òl	ɔː ɫ̪
òrd	ɔː ɹ ʃ d̪̊
ùr	uː ɾ
ùrlar	uː ɹ ɫ̪ ə ɾ
