akut	a k ʉ̟ː t̪
andetag	a nː d e t aː ɡ
arrangemang	ɑ r ɑ ŋ ɧ ɛ m ɑ ŋ
bakbord	b aː k b uʷː ɖ
bara	b ɑː r a
barn	b ɑː ɳ
barnmorska	² b ɑː ɳ m ʊ ʂ k a
björn	b j œ̞ː ɳ
blad	¹ b l̪ ɑː d̪
blatte	b l à tː ɛ
blogg	b l̪ ɔ ɡː
bo	b uː
bordsbön	b ɯ̂ᵝː ɖ̥ ʂ b̥ ø̂ʷː n
brun	¹ b r ʉ̟ː n̪
burdus	b ɵ r d ʉː s
burdus	b ɵ r ɖ ʉː s
bus	b ʉ͍ː s
bärs	b æ ʂ
bärs	b æː ʂ
bärsa	² b æ ʂ a
californium	k a l̪ ɪ f oː ɳ ɪ ɵ m
carl	k ɑː l
carl	k ɑː ɭ
det	ɾ ɛ
du	d̪ ʉː
dubbelgångare	d ɵ̞̌ bː ɛ̠ l̪ ɡ ɔ̂ ŋː a̠ ɹ ɛ̠
dunge	d ɵ ŋ ə
dödsruna	d œ́ t s r ʉ̟́ː n a
eller	ɛ lː æ r
errata	æ r ɑː t a
ett	ɛ tː
fader	f ɑː d æ r
fars	f ɑː ʂ
fattig	f a tː ɪ ɡ
fiktiv	f ɪ k t iː v
fingers	f ɪ ŋ ɛ ʂ
finland	f ɪ nː l̪ a n d
fjord	f j oː ɖ
fjord	f j uː ɖ
fjäll	f j ɛ lː
fosterland	f ʊ sː t ə ɭ a n d
furnera	f ɵ ɳ eː r a
färsk	f æ ʂː kʲ
färskvatten	f æ ʂː k v̥ a t̪ː ɛ n̪
före	² f œ̞ː r ɛ
förhoppning	f œ r h ɔ́ pː n ɪ ŋ
förlåt	f œ̞ ɭ oː t
förstå	f œ̞ ʂ t oː
försöka	f œ ʂ øː k a
förälder	f œ̞ ɾ ¹ ɛ̝ l̪ː d ə r
gagn	ɡ a ŋ n
gatukök	² ɡ ɑː t ɵ ɕ øː k
ge	j eː ə
gevär	ʝ ɛ̠ v æː ɾ
giraff	ɧ ɪ r a fː
gångjärn	ɡ ɔ ŋ j æː ɳ
göra	j œː
göra	² j œː ɾ a
herr	h æ rː
hertz	h æ ʈ ʂ
hertz	h ɛ ʈ ʂ
hjärta	j æ ʈː a
homofili	h ʊ m ʊ f ɪ l iː
hoppa	h ɔ p a
hoppa	h ɔ pː a
huve	h ɵ vː ɛ
huve	h ʉː v ɛ
hård	h oː ɖ
höna	² h ø ə̯ n̪ a
illa	ɪ l l a
jacka	j a kʲː a
jan	j ɑː n
jansson	j ɑː n s ɔ n
järn	j æː ɳ
kajsa	² k a͜ɪ s a
kalifornien	kʰ a l̪ ɪ f uː ɳ ɪ ə n̪
kam	kʰ a m
kanske	² k a n ɧ ɛ
kanske	² k a n ʂ ɛ
karl	k ɑː l
karl	k ɑː ɭ
karta	kʰ ɑː ʈ a
kebnekaise	k ɛ b n ɛ k a j s ɛ
kimitoön	t̠ ʃ i m i t o øː n
kinders	ɕ ɪ n d ə ʂ
klinga	² k l̪ ɪ ŋː a
komma	² kʰ ɔ mː a
kommer	kʰ ɔ m ɛ r
korn	kʰ uː ɳ
kräkning	² k r ɛː k n i ŋ
kudde	kʰ ɵ d d ɛ
kugga	k ʉ̟̀ ɡː á
kvälja	k v ɛ̂ lː j â
kär	ɕ æː r
kärl	ɕ æː ɭ
kärlek	ɕ æː ɭ eː k
kåt	kʰ oː t
könshår	ɕ øː n s h oː r
legend	l ə ɡ ɛ n d
lek	l̪ i e̯ kʰ
lian	l ɪ ɑː n
livsfarlig	l ɪ f s f ɑː ɭ ɪ ɡ
livsfarliga	l ɪ f s f ɑː ɭ ɪ ɡ a
lumpen	l ɵ́ m p ɛ̀ n
lundgren	² l ɵ ŋ ɡ ɾ eː n
lundgren	¹ l ɵ ŋ ɡ ɾ eː n
läggning	² l e ɡː n i n ɡ
långsam	² l̪ ɔ ŋː s̪ a m
lördag	l øː ɖ a
lördag	l øː ɖ ɑː ɡ
malen	m ɑː l ə n
malen	m ɑː l ɛ n
mamma	² m a mː a
manen	m ɑː n ə n
medtrafikant	m eː d t r a f i k a n t
moll	m ɔ lː
mumie	m ʉ̟ː m ɪ ə
mun	m ɵ nː
musik	m ɵ s iː k
musik	m ʉ s iː k
norrman	n ɔ rː m a nː
nörd	n œ̞ː ɖ
oflyt	úː f l ýː t
oflyt	úː f ɽ ýː t
ord	uː ɖ
ordbok	uː ɖ b uː k
ordning	oː ɖ n ɪ ŋ
pappa	² p a pː a
personal	p ɛ ʂ ʊ n ɑː l
picka	² pʰ ɪ kː a
planta	p l̪ a n̪ː t̪ a
plocka	² p l̪ ɔ kː a
pojken	p ɔ j k ə n
poäng	p o ɛ ŋ
poäng	p o̯ ɛ ŋ
pratshow	p rː ɑ́ t ɧ ɔ́ v
primitiv	p r i m ɪ t iː v
rep	r e ə̯ p
rock	¹ r ɔ kː
rygg	r ʏ ɡ
rysa	r yː s a
räven	r ɛː v ɛ n
röv	r øː v
samhälle	s a m h ɛ lː ɛ
skjorta	ɧ ʊ ʈ a
skog	s k uː ɡ
skärp	ɧ æ rː p
skölja	ɧ œ̝ l̪ː j a
slockna	² s l ɔ kː n a
smörgåsbord	s m œ̞ ɹː ɡ ɔ s b uː ɖ
socker	s ɔ kː ə r
sovjet	s̪ ʊ v ¹ j e ə̯ t̪
sovjet	s̪ ʊ v ¹ j ɛ̝ t̪ː
spasm	s p a sː m
spegel	s̪ p e ə̯ ɡ ɛ l̪
spenat	s̪ p ə n̪ ɑː t̪
spjut	s̪ p j ʉ̟ː t̪
spärrnät	² s p æ rː n ɛː t
stavelse	s t ɑː v ə l s ɛ
stjälk	¹ ɧ ɛ l̪ː k
stjärna	² ɧ æː ɳ a
strömming	s t r œ̝ mː ɪ ŋ
studio	s̪ t ʉ̟ː d̪ ɪ ʊ
stød	s t øː d
stød	s t œ dː
succé	s ɵ k s eː
surströmming	s ʉ̟ː ʂ ʈ r œ̝ mː ɪ ŋ
svart	¹ s v̥ a ʈː
svartis	² s v a ʈ iː s
svartis	¹ s v a ʈ ɪ s
