aba	âː ɓ a
abo	âː ɓ o
amafutha	á m á f ûː tʰ a
amandla	á m áːⁿ d̥ ɮ a̤
amanzi	á m âːⁿ d̥ z i̤
amarhewu	á m á x éː w u
amathe	á m aː tʰ é
amendu	á m eːⁿ d̥ ṳ̌
amkela	a m̩ k eː l a
apha	áː pʰ a
apho	áː pʰ o
bona	ɓ oː n á
caca	k ǀ aː k ǀ a
chunuba	k ǀʰ ú n úː ɓ a
cwaka	k ǀʷ aː k a
eli	êː l i
elo	êː l o
esi	êː s i
eso	êː s o
ewe	eː w é
ezi	êː z̥ i̤
ezo	êː z̥ o̤
fa	f á
funa	f ûː n a
fuya	f úː j a
gcoba	ɡ̊ ǀ ǒ̤ː ɓ a
gcweka	ɡ̊ ǀʷ e̤ː k a
gqi	ɡ̊ ǃ i̤
gqiba	ɡ̊ ǃ i̤ː ɓ a
gqitha	ɡ̊ ǃ ǐ̤ː tʰ á
gqobhoka	ɡ̊ ǃ ǒ̤ b̥ o̤ː k a
gqusha	ɡ̊ ǃ ṳː ʃ a
gxaleka	ɡ̊ ǁ ǎ̤ l eː k a
gxotha	ɡ̊ ǁ o̤ː tʰ a
hayi	ɦ ǎ̤ː j i
hlanza	ɬ áːⁿ d̥ z a̤
hleka	ɬ eː k a
hlonipha	ɬ o n iː pʰ a
ibala	í ɓ âː l a
ibandla	í ɓ âːⁿ d̥ ɮ a̤
ibele	í ɓ éː l e
ibhari	í b̥ ǎ̤ː r i
ibhasi	í b̥ ǎ̤ː s i
ibhatyi	í b̥ ǎ̤ː c i
ibhayisikile	í b̥ a̤ j i s í k iː l e
ibhekile	í b̥ ě̤ k iː l e
ibhokhwe	í b̥ ǒ̤ː kʰʷ e
ibhokisi	í b̥ ǒ̤ k iː s i
ibhola	í b̥ ǒ̤ː l a
ibhotile	í b̥ ǒ̤ t iː l e
ibhotolo	í b̥ ǒ̤ t oː l o
ibhulukhwe	í b̥ ṳ l úː kʰʷ e
ibomvu	í ɓ oːᶬ b̪̊ v ṳ̌
icala	í k ǀ âː l a
icebo	í k ǀ êː ɓ o
icephe	í k ǀ eː pʰ é
icesina	í k ǀ é s iː n a
ichibi	í k ǀʰ iː ɓ í
icici	í k ǀ íː k ǀ í
idada	í d̥ a̤ː d̥ a̤
idinala	í d̥ ǐ̤ n aː l a
idolo	í d̥ o̤ː l o
idolophu	í d̥ ǒ̤ l oː pʰ u
idyasi	í ɟ a̤ː s i
idzedze	í d̥ z e̤ː d̥ z e̤
ifama	í f áː m a
ifestile	í f é s t iː l e
ifolokhwe	í f ó l óː kʰʷ e
igaba	í ɡ̊ a̤᷈ː ɓ a
igadi	í ɡ̊ ǎ̤ː d̥ i̤
igama	í ɡ̊ a̤᷈ː m a
igaraji	í ɡ̊ a̤ r áː d̥ ʒ i̤
igazi	í ɡ̊ a̤ː z̥ i̤
igogogo	í ɡ̊ o̤ ɡ̊ ǒ̤ː ɡ̊ o̤
igolide	í ɡ̊ o̤ l íː d̥ e̤
igorha	í ɡ̊ ǒ̤ː x a
igqabi	í ɡ̊ ǃ a̤ː ɓ i
igqirha	í ɡ̊ ǃ i̤ː x a
igqwetha	í ɡ̊ ǃʷ e̤ː tʰ á
igqwirha	í ɡ̊ ǃʷ ǐ̤ː x a
igqwirhakazi	í ɡ̊ ǃʷ ǐ̤ x á k aː z̥ i̤
igumbi	í ɡ̊ ṳːᵐ b̥ ǐ̤
igunya	í ɡ̊ ṳ᷈ː ɲ a
igusha	í ɡ̊ ṳː ʃ a
igwala	í ɡ̊ʷ a̤ː l á
