'bout	b a ʊ t
'cause	k ʌ z
'dswounds	d z w u n d z
'em	m̩
'em	ə m
'em	ɛ m
'em	ɪ m
'emselves	ə m s ɛ l v z
'fraid	f ɹ e ɪ d
'ho	h o ʊ
'kay	k e ɪ
'll	ə l
'm	m
'm	m̩
'm	ə m
'mater	m e ɪ t ɚ
'mong	m ʌ ŋ
'murica	m ɝ ɪ k ə
'n'	n̩
'n'	ə n
'nough	n ʌ f
'nuff	n ʌ f
's	ə z
's	ɪ z
'sblood	z b l ʌ d
'scuse	s k j uː s
'scuse	s k j uː z
'sdeath	z d ɛ θ
'sfar	s f ɑː ɹ
'sup	s ʌ p
'swounds	z w u n d z
'tis	t ɪ z
'tshall	t͡ʃ ə l
'tude	t u d
'twas	t w ʌ z
'twill	t w ɪ l
'twixt	t w ɪ k s t
'ud	uː d
'ud	ə d
'un	ʌ n
a	e ɪ
a	e ɪ̯
a	æ
a	ɑː
a	ə
a'n't	æ n t
aa	ɑ ɑ
aaad	e ɪ e ɪ e ɪ d iː
aaaee	e ɪ e ɪ e ɪ iː iː
aaarg	e ɪ e ɪ e ɪ ɑː ɹ d ʒ iː
aaav	e ɪ e ɪ e ɪ v iː
aaawesome	ɔː s ə m
aabh	e ɪ e ɪ b iː e ɪ t ʃ
aabomycin	æ b o ʊ m a ɪ s ɪ n
aacap	e ɪ e ɪ k æ p
aacb	e ɪ e ɪ s iː b iː
aacbc	e ɪ e ɪ s iː b iː s iː
aacbp	e ɪ e ɪ s iː b iː p iː
aacd	e ɪ e ɪ s iː d iː
aacdp	e ɪ e ɪ s iː d iː p iː
aace	e ɪ e ɪ s iː iː
aach	æ k
aach	ɑː k
aachen	ɑ k ə n
aachen	ɑ x ə n
aachs	e ɪ e ɪ s iː e ɪ t ʃ ɛ s
aacjc	e ɪ e ɪ s iː d ʒ e ɪ s iː
aacl	e ɪ e ɪ s iː ɛ l
aacm	e ɪ e ɪ s iː ɛ m
aacpa	e ɪ e ɪ s iː p iː e ɪ
aacu	e ɪ e ɪ k e ɪ j ʊ
aacu	æ k ʊ
aakp	e ɪ e ɪ k e ɪ p iː
aalborg	ɔ l b ɔ ɹ ɡ
aalii	ɑ l i i
aalst	ɑ l s t
aam	ɑ m
aam	ɔ m
aandblom	ɑ n t b l ɑ m
aar	ɑ ɹ
aarau	aː ɹ a u
aardvark	ɑ ɹ d v ɑ ɹ k
aardwolf	ɑ ɹ d w ʊ l f
aardwolves	ɑ ɹ d w ʊ l v z
aare	ɑ ɹ ə
aarhus	ɔ ɹ h u s
aaron	æ ɹ ə n
aaron	ɛ ɹ ə n
aaronic	æ ɹ ɑ n ɪ k
aaronic	ɛ ɹ ɑ n ɪ k
aaronical	æ ɹ ɑ n ɪ k ə l
aaronical	ɛ ɹ ɑ n ɪ k ə l
aaronite	æ ɹ ə n a ɪ t
aaronite	ɛ ɹ ə n a ɪ t
aarp	e ɪ e ɪ ɑ ɹ p i
aasvoel	ɑ s f o ʊ ə l
aasvogel	ɑ s f o ʊ ɡ ə l
aatheist	e ɪ e ɪ θ i ɪ s t
ab	æ b
ab	ɑ b
aba	æ b ə
aba	ə b ɑ
ababda	ə b æ b d ə
ababdeh	ə b æ b d ɛ
abaca	æ b ə k ɑ
abacate	æ b ə k ɑ t i
abacavir	ə b æ k ə v ɪ ɹ
abacaxi	æ b ə k ə ʃ i
abaci	æ b ə k a ɪ
abacisci	æ b ə k ɪ s k a ɪ
abacisci	æ b ə k ɪ s k i
abacisci	æ b ə s ɪ s a ɪ
abaciscus	æ b ə s ɪ s k ə s
abaciscus	æ b ə s ɪ s k ɪ s
abacist	æ b ə k ə s t
abacist	æ b ə s ə s t
abacist	æ b ə s ɪ s t
abacist	ə b æ k ə s t
abacist	ə b ɑ k ə s t
aback	ə b æ k
abackward	ə b æ k w ə d
abaco	æ b æ k o ʊ
abaco	æ b ə k o ʊ
abacost	æ b ə k ɑ s t
abacterial	e ɪ b æ k t ɪ ɹ i ə l
abactinal	æ b æ k t a ɪ n l̩
abactinal	æ b æ k t ə n l̩
abactinally	æ b æ k t ə n l̩ i
abactor	æ b æ k t ɚ
abaculi	ə b æ k j ə l a ɪ
abaculi	ə b æ k j ə l i
abaculus	ə b æ k j ə l ə s
abacus	æ b ə k a ɪ
abacus	æ b ə k ə s
abadan	æ b ə d æ n
abadan	ɑ b ɑ d ɑ n
abadan	ɑ b ə d ɑ n
abaddon	ə b æ d n̩
abaft	ə b æ f t
abaft	ə b ɑ f t
abaht	ə b ɑ t
abaisance	ə b e ɪ z ə n s
abaiser	ə b e ɪ s ɚ
abaisse	ə b e ɪ s
abaissé	ə b e ɪ s e ɪ
abakan	ɑ b ə k ɑ n
abalienate	æ b e ɪ l i ə n e ɪ t
abalienate	æ b e ɪ l j ə n e ɪ t
abalienation	æ b e ɪ l i ə n e ɪ ʃ ə n
abalienation	æ b e ɪ l j ə n e ɪ ʃ ə n
abalone	æ b ə l o ʊ n i
abamp	æ b æ m p
abampere	æ b æ m p ɪ ɹ
aband	ə b æ n d
