agul	a ɣ u l
ahngal	a h ŋ a l
ayul	a j u l
aĝal	a ʁ a l
chidaĝa	t ʃ i ð a ʁ a
chis	t ʃ i s
chuhnil	t ʃ u h n i l
chuulkix	t ʃ uː l k i x
diikal	d iː k a l
gul	ɣ u l
halal	h a l a l
hangal	h a ŋ a l
hilal	h i l a l
hinus	h i n u s
hizax	h i z a x
hmachil	h m a t ʃ i l
hnul	h n u l
hudal	h u ð a l
huudal	h uː ð a l
hyal	ç a l
hyul	ç u l
kahngil	k a h ŋ i l
kigil	k i ɣ i l
kiin	k iː n
kixs	k i x s
lal	l a l
lil	l i l
lul	l u l
mal	m a l
niiĝuĝis	n iː ʁ u ʁ i s
qaadas	q aː ð a s
qahngus	q a h ŋ u s
qangul	q a ŋ u l
qanul	q a n u l
waya	w a j a
yas	j a s
ĝ	ʁ
