abo	a b o
abog	ɐ b u ɡ
abot	a b ʊ t̪
adlawan	ʔ ɐ d l a w ɐ n
agas	a ɡ ɐ s
agay	a ɡ a ɪ
aguas	a ɡ w ɐ s
alimpulo	a j i m p u j o
alimpulo	a l̪ i m p o
alimpulo	a l̪ i m p u d ʒ o
alimpulo	a l̪ i m p u l̪ o
alimpulos	a j i m p u j o s̪
alimpulos	a l̪ i m p o s̪
alimpulos	a l̪ i m p u d ʒ o s̪
alimpulos	a l̪ i m p u l̪ o s̪
alingagngag	a l i ŋ a ɡ ŋ a ɡ
amba	a m b a ʔ
anak	a n a k
anay	a n̪ a ɪ
ari	ʔ ɐ ɾ i
atop	a t ʊ p
ba	b a
ba	b aː
baba	b a b a
baba	b a ʔ b a ʔ
baga	b a ɡ a
baga	b a ɡ a ʔ
bagsak	b a ɡ s a k
bahad	b a h a d
baho	b a h o
baho	b a h o ʔ
balay	b a j a ɪ
balay	b a l̪ a ɪ
balay	b a ɪ
balaya	b a j a
balaya	b a j a j a
balaya	b a j a ɪ ə
balaya	b a l̪ a d ʒ a
balaya	b a l̪ a j a
balaya	b a l̪ a ɪ ə
balaya	b a ɪ ə
bali	b a l̪ i
bali	b a l̪ i ʔ
balon	b a j o n̪
balon	b a l̪ o n̪
balon	b a ʊ̯ n̪
balungbong	b a l̪ u ŋ b o ŋ
banawa	b a n aˑ w a ʔ
bangka	b a ŋ k a ʔ
banog	b a n o ɡ
banog	b aː n o ɡ
banta	b a n t̺ a ʔ
bantayan	b ɐ n t aː j a n
bao	b a ʔ o ʔ
baog	b a ʔ o ɡ
barangay	b a r a ŋ ɡ a j
basi	b a s i
batya	b a t j a ʔ
bawon	b a w o n̪
bawon	b a ʊ̯ n̪
bayaw	b a j a ʊ
berdin	b ɛ r d i n
bibihan	b i b i h a n̪
bildo	b i l̪ d̪ o
binali	b i n̪ a l̪ i
binali	b i n̪ a l̪ i ʔ
bisaya	b i s a j ɐ ʔ
bitoon	b i t uˑ ʔ u n
bohol	b ɔ h ɔ l
bohol	b ɔ ʔ ɔ l
bombay	b u m b a ɪ
botelya	b o t ɛ l j a
bugoy	b u ɡ ɔ ɪ
bukbok	b u k b u k
bulod	b u d̪
bulod	b u j o d̪
bulod	b u l̪ o d̪
bunot	b u n̪ o t̪
busog	b u s̪ ɡ o ɡ
busog	b u s̪ ɡ o ʔ ɡ
butbot	b u t b u t
chiongbian	t͡ʃ ɔ ŋ b j a n
da	d æ
da	d ɑ
dagan	d̪ a ɡ a n
dalag	d̪ a j a ɡ
dalag	d̪ a l̪ a ɡ
dalag	d̪ a ɡ
day	d̪ a ɪ
duganganan	d̪ u ɡ ʌ ŋ a n a n
duha	d̪ u h a
dulon	d̪ u j o n̪
dulon	d̪ u l̪ o n̪
dulon	d̪ u n̪
duruha	d u r u h a
duruha	d ʊ r u h a
enad	ɛː n a d
exag	ɪ k s ɑ d ʒ
exag	ɪ ɡ z ɑ d ʒ
foreigner	f ɔ ɾ i n ə ɹ
galay	ɡ a j a ɪ
galay	ɡ a l̪ a ɪ
galay	ɡ a ɪ
gikalag	ɡ i k a j a ɡ
gikalag	ɡ i k a l̪ a ɡ
gikalag	ɡ i k a ɡ
gisa	ɡ i s a
gisa	ɡ i s a ʔ
