aha	ɐ h ə
ako	ɐ k o
ala	ɐ l ə
alana	ə l ɐ n ə
aloha	ə l o h ə
ane	ɐ n e
ani	ɐ n i
anuhea	ə n u h ɛ j ə
au	ɐ w
au	ɔ w
ea	ɛ j ə
galatia	k ə l ə t i j ə
habakuka	h ə p ə k u k ə
hagai	h ə k ɐ j
hagai	h ə k ɛ j
hailama	h ɐ j l ɐ m ə
hailama	h ɛ j l ɐ m ə
hailepo	h ɐ j l ɛ p o
hailepo	h ɛ j l ɛ p o
haka	h ɐ k ə
halaki	h ə l ɐ t i
hale	h ɐ l e
halelū	h ə l e l uː
haliaka	h ə l i j ɐ k ə
hana	h ɐ n ə
hanalei	h ə n ə l ɛ j
hanalē	h ə n ə l eː
hau	h ɐ w
hau	h ɔ w
haumea	h ɐ w m ɛ j ə
haumea	h ɔ w m ɛ j ə
haunani	h ɐ w n ɐ n i
haunani	h ɔ w n ɐ n i
healani	h e j ə l ɐ n i
hebera	h ɛ p ɛ l ə
hekekia	h e k e t i j ə
hele	h ɛ l ɛ
helena	h ɛ l ɛ n ə
helene	h ɛ l ɛ n ɛ
hema	h ɛ m ə
henelē	h e n e l eː
henua	h e n u w ə
hikina	h i t i n ə
hilo	h i l o
hina	h i n ə
honolulu	h o n o l u l u
honu	h o n u
honua	h o n u w ə
huhu	h u h u
hula	h u l ə
huluhulu	h u l u h u l u
humuhumu	h u m u h u m u
hōkūlani	h oː k uː l ɐ n i
iakopa	i j ə k o p ə
iakopo	i j ə k o p o
ieremia	i e l e m i j ə
ikaika	i k ɐ j k ə
ikaika	i k ɛ j k ə
imu	i m u
ioane	i j o w ɐ n e
ioba	i j o p ə
iokepa	i j o k ɛ p ə
iona	i j o n ə
iuda	j u k ə
iune	j u n e
kahalaomāpuana	k ə h ə l ɐ o̯ m aː p u w ɐ n ə
kahale	k ə h ɐ l e
kahananui	k ə h ə n ə n u w i
kahealani	k ə h e j ə l ɐ n i
kahele	k ə h ɛ l ɛ
kahiki	k ə h i t i
kahu	k ɐ h u
kahue	k ə h u w e
kahula	k ə h u l ə
kahuna	k ə h u n ə
kai	k ɐ j
kai	k ɛ j
kaila	k ɐ j l ə
kaila	k ɛ j l ə
kailani	k ɐ j l ɐ n i
kailani	k ɛ j l ɐ n i
kaimana	k ɐ j m ɐ n ə
kaimana	k ɛ j m ɐ n ə
kainalu	k ɐ j n ɐ l u
kainalu	k ɛ j n ɐ l u
kainoa	k ɐ j n o w ə
kainoa	k ɛ j n o w ə
kaipo	k ɐ j p o
