cadrega	k a̠ d̪ r eː ɡ a̠
cadregh	k a̠ d̪ r eː k
cito	t͡ʃ i t u
cito	s i t o
cüna	k y n a
d'acòrdi	d a k ɔ r d i
d'acòrdi	d a k o r d e
jald	d͡ʒ aː l t
jald	z aː l t
jalda	d͡ʒ aː l d ɑ
jalda	z aː l d ɑ
jalde	d͡ʒ aː l t
jalde	z aː l d e
jalde	d͡ʒ aː l d i
jovedí	d͡ʒ o v e d̪ i
jovedí	d͡ʒ u ä d̪ i
jovedí	d͡ʒ u e d̪ i
jovedí	d͡ʒ o e d̪ e
jovedí	d͡ʒ u e d̪ e
jâld	d͡ʒ aː l t
jâld	z aː l t͡ʃ
jâld	z aː j l t
jâld	d͡ʒ ɛː l t
jâld	d͡ʒ iː l t
jœbia	d͡ʒ øː b j ɑ
jœbia	ʒ øː b j ɑ
jœbia	z øː b j ɑ
jœbia	z ɔ b j a
lunedí	l̺ y n̺ e d̪ i
lunedí	l̺ ø n̺ e d̪ e
manjar	m ã n d͡ʒ a
manjar	m a n z a
manjar	m a n ʒ a
manjar	m ã n d͡ʒ a
manjar	m a n z a
manjar	m a n ʒ a
manjar	m ã j a
manjar	m a j a
manjar	m a j a
manjar	m ã j a
manjar	m a j a
manjar	m a j a
manjar	m a ɲ a
manjar	m ã ɲ a
manjar	m a ɲ a
manjar	m ã ɲ a
martedí	m̺ a r t e d̪ i
martedí	m̺ a r t e d̪ e
mercoldí	m̺ ɛ r k u l d̪ i
mercoldí	m̺ ä r k u l d̪ i
mercoldí	m̺ ɛ r k u r d̪ i
mercoldí	m̺ ɛ r k o l d̪ e
mercoldí	m̺ ɛ r k u l d̪ e
mercoldí	m̺ ɛ r k u r d̪ e
nò	n ɔ
pass	p a s
querella	k w e r e l ɑ
venerdí	v e n̺ ɛ r d̪ i
venerdí	v ɛ n̺ ä r d i
venerdí	v ɛ r n̺ ä d̪ i
venerdí	v e r n̺ ä d i
venerdí	v e n̺ d ɛ r d̪ i
venerdí	v ɛ n̺ d ä r d i
venerdí	v ɛ n̺ ɛ r d̪ e
venerdí	v ɛ n̺ ä r d̪ e
