а	ɑ
аб'юрація	ɐ b j ʊ r ɑ t͡sʲ i j ɐ
абажур	ɐ b ɐ ʒ u r
абажурчик	ɐ b ɐ ʒ u r t͡ʃ e k
абаз	ɐ b ɑ z
абазин	ɐ b ɐ z ɪ n
абазинець	ɐ b ɐ z ɪ n e t͡sʲ
абазинка	ɐ b ɐ z ɪ n k ɐ
абазія	ɐ b ɑ zʲ i j ɐ
абак	ɐ b ɑ k
абака	ɐ b ɑ k ɐ
абандон	ɐ b ɐ n d ɔ n
абат	ɐ b ɑ t
абатиса	ɐ b ɐ t ɪ s ɐ
абатство	ɐ b ɑ t͡s t w ɔ
абвер	ɑ b ʋ e r
абдикація	ɐ b d e k ɑ t͡sʲ i j ɐ
абдомінопластика	ɐ b d ɔ mʲ i n ɔ p ɫ ɑ s t e k ɐ
аберація	ɐ b e r ɑ t͡sʲ i j ɐ
абетка	ɐ b ɛ t k ɐ
абеткування	ɐ b e t k ʊ ʋ ɑ nʲː ɐ
абзац	ɐ b z ɑ t͡s
аби	ɐ b ɪ
абиде	ɐ b ɪ d e
абиколи	ɐ b ɪ k ɔ ɫ e
абикуди	ɐ b ɪ k ʊ d e
абихто	ɐ b ɪ x t ɔ
абичого	ɐ b ɪ t͡ʃ ɔ ɦ ɔ
абищиця	ɐ b ɪ ʃ t͡ʃ e t͡sʲ ɐ
абищо	ɐ b ɪ ʃ t͡ʃ ɔ
абияк	ɐ b ɪ j ɐ k
аблактування	ɐ b ɫ ɐ k t ʊ ʋ ɑ nʲː ɐ
абластика	ɐ b ɫ ɑ s t e k ɐ
аблатив	ɐ b ɫ ɐ t ɪ u̯
абляція	ɐ b lʲ ɑ t͡sʲ i j ɐ
або	ɐ b ɔ
аболіціонізм	ɐ b ɔ lʲ i t͡sʲ i o nʲ i z m
аболіціоніст	ɐ b ɔ lʲ i t͡sʲ i o nʲ i s t
аболіція	ɐ b o lʲ i t͡sʲ i j ɐ
абонемент	ɐ b ɔ n e m ɛ n t
абонент	ɐ b ɔ n ɛ n t
абонентка	ɐ b ɔ n ɛ n t k ɐ
абонування	ɐ b ɔ n ʊ ʋ ɑ nʲː ɐ
абордаж	ɐ b ɔ r d ɑ ʒ
абориген	ɐ b ɔ r e ɦ ɛ n
аборигенка	ɐ b ɔ r e ɦ ɛ n k ɐ
аборт	ɐ b ɔ r t
абортування	ɐ b ɔ r t ʊ ʋ ɑ nʲː ɐ
абортувати	ɐ b ɔ r t ʊ ʋ ɑ t e
абразив	ɐ b r ɐ z ɪ u̯
абразивність	ɐ b r ɐ z ɪ u̯ nʲ i sʲ tʲ
абразія	ɐ b r ɑ zʲ i j ɐ
абракадабра	ɐ b r ɐ k ɐ d ɑ b r ɐ
абракадабризм	ɐ b r ɐ k ɐ d ɐ b r ɪ z m
абревіатура	ɐ b r e ʋʲ i ɐ t u r ɐ
абревіація	ɐ b r e ʋʲ i ɑ t͡sʲ i j ɐ
абреже	ɐ b r e ʒ ɛ
абрек	ɐ b r ɛ k
абрикос	ɐ b r e k ɔ s
абрикоса	ɐ b r e k ɔ s ɐ
абрикосник	ɐ b r e k ɔ s n e k
абрикосівка	ɐ b r e k ɔ sʲ i u̯ k ɐ
абрикотин	ɐ b r e k ɔ t ɪ n
абрис	ɑ b r e s
аброгація	ɐ b r ɔ ɦ ɑ t͡sʲ i j ɐ
абруптив	ɐ b r ʊ p t ɪ u̯
абсанс	ɐ b s ɑ n s
абсент	ɐ b s ɛ n t
абсентеїзм	ɐ b s e n t e j i z m
абсида	ɐ b s ɪ d ɐ
абсолют	ɐ b s o lʲ u t
абсолютизація	ɐ b s ɔ lʲ ʊ t e z ɑ t͡sʲ i j ɐ
абсолютизм	ɐ b s ɔ lʲ ʊ t ɪ z m
абсолютизування	ɐ b s ɔ lʲ ʊ t e z ʊ ʋ ɑ nʲː ɐ
абсолютист	ɐ b s ɔ lʲ ʊ t ɪ s t
абсолютистка	ɐ b s ɔ lʲ ʊ t ɪ s t k ɐ
абсолютний	ɐ b s o lʲ u t n e i̯
абсолютно	ɐ b s o lʲ u t n ɔ
абсолютність	ɐ b s o lʲ u tʲ nʲ i sʲ tʲ
абсолюція	ɐ b s o lʲ u t͡sʲ i j ɐ
абсорбент	ɐ b s ɔ r b ɛ n t
абсорбер	ɐ b s ɔ r b e r
абсорбування	ɐ b s ɔ r b ʊ ʋ ɑ nʲː ɐ
абсорбціометр	ɐ b s ɔ r b t͡sʲ i ɔ m e t r
абсорбція	ɐ b s ɔ r b t͡sʲ i j ɐ
абстинент	ɐ b s t e n ɛ n t
абстинентка	ɐ b s t e n ɛ n t k ɐ
абстиненція	ɐ b s t e n ɛ nʲ t͡sʲ i j ɐ
абстрагованість	ɐ b s t r ɐ ɦ ɔ ʋ ɐ nʲ i sʲ tʲ
абстрагування	ɐ b s t r ɐ ɦ ʊ ʋ ɑ nʲː ɐ
абстракт	ɐ b s t r ɑ k t
абстрактний	ɐ b s t r ɑ k t n e i̯
абстрактність	ɐ b s t r ɑ k tʲ nʲ i sʲ tʲ
абстракціонізм	ɐ b s t r ɐ k t͡sʲ i o nʲ i z m
абстракціоніст	ɐ b s t r ɐ k t͡sʲ i o nʲ i s t
абстракціоністка	ɐ b s t r ɐ k t͡sʲ i o nʲ i s t k ɐ
абстракція	ɐ b s t r ɑ k t͡sʲ i j ɐ
абсурд	ɐ b s u r d
абсурдизм	ɐ b s ʊ r d ɪ z m
абсурдист	ɐ b s ʊ r d ɪ s t
абсурдистка	ɐ b s ʊ r d ɪ s t k ɐ
абсурдний	ɐ b s u r d n e i̯
абсурдно	ɐ b s u r d n ɔ
абсурдність	ɐ b s u r dʲ nʲ i sʲ tʲ
абсцес	ɐ b s t͡s ɛ s
абсциса	ɐ b s t͡s ɪ s ɐ
абузус	ɐ b u z ʊ s
абулія	ɐ b ʊ lʲ i j ɐ
абхаз	ɐ b x ɑ z
абхазець	ɐ b x ɑ z e t͡sʲ
абхазка	ɐ b x ɑ z k ɐ
абшит	ɐ b ʃ ɪ t
абіогенез	ɐ bʲ i ɔ ɦ e n ɛ z
абісаль	ɐ bʲ i s ɑ lʲ
абіссінець	ɐ bʲ i sʲː i n e t͡sʲ
абіссінка	ɐ bʲ i sʲː i n k ɐ
абітурієнт	ɐ bʲ i t ʊ rʲ i j ɛ n t
абітурієнтка	ɐ bʲ i t ʊ rʲ i j ɛ n t k ɐ
аваль	ɐ ʋ ɑ lʲ
аваліст	ɐ ʋ ɐ lʲ i s t
авангард	ɐ ʋ ɐ n ɦ ɑ r d
авангардизм	ɐ ʋ ɐ n ɦ ɐ r d ɪ z m
авангардист	ɐ ʋ ɐ n ɦ ɐ r d ɪ s t
аванзал	ɐ ʋ ɐ n z ɑ ɫ
аванкамера	ɐ ʋ ɐ n k ɑ m e r ɐ
аванложа	ɐ ʋ ɐ n ɫ ɔ ʒ ɐ
аванпорт	ɐ ʋ ɐ n p ɔ r t
аванпост	ɐ ʋ ɐ n p ɔ s t
аванс	ɐ ʋ ɑ n s
авансик	ɐ ʋ ɑ n s e k
авансодавець	ɐ ʋ ɐ n s ɔ d ɑ ʋ e t͡sʲ
авансотримач	ɐ ʋ ɐ n s ɔ t r e m ɑ t͡ʃ
авансоутримувач	ɐ ʋ ɐ n s ɔ ʊ t r ɪ m ʊ ʋ ɐ t͡ʃ
авансування	ɐ ʋ ɐ n s ʊ ʋ ɑ nʲː ɐ
авансцена	ɐ ʋ ɐ n s t͡s ɛ n ɐ
авантитул	ɐ ʋ ɐ n t ɪ t ʊ ɫ
авантура	ɐ ʋ ɐ n t u r ɐ
авантурник	ɐ ʋ ɐ n t u r n e k
авантурниця	ɐ ʋ ɐ n t u r n e t͡sʲ ɐ
авантюра	ɐ ʋ ɐ nʲ tʲ u r ɐ
авантюризм	ɐ ʋ ɐ nʲ tʲ ʊ r ɪ z m
авантюрин	ɐ ʋ ɐ nʲ tʲ ʊ r ɪ n
авантюрист	ɐ ʋ ɐ nʲ tʲ ʊ r ɪ s t
авантюристка	ɐ ʋ ɐ nʲ tʲ ʊ r ɪ s t k ɐ
авантюрник	ɐ ʋ ɐ nʲ tʲ u r n e k
авантюрниця	ɐ ʋ ɐ nʲ tʲ u r n e t͡sʲ ɐ
авантюрність	ɐ ʋ ɐ nʲ tʲ u r nʲ i sʲ tʲ
авар	ɐ ʋ ɑ r
аварець	ɐ ʋ ɑ r e t͡sʲ
аварка	ɐ ʋ ɑ r k ɐ
аварійник	ɐ ʋ ɐ rʲ i i̯ n e k
аварійність	ɐ ʋ ɐ rʲ i i̯ nʲ i sʲ tʲ
аварія	ɐ ʋ ɑ rʲ i j ɐ
авгур	ɐ u̯ ɦ u r
август	ɑ u̯ ɦ ʊ s t
августа	ɐ u̯ ɦ u s t ɐ
авгіт	ɐ u̯ ɦʲ i t
авдитор	ɐ u̯ d ɪ t ɔ r
авдиторія	ɐ u̯ d e t ɔ rʲ i j ɐ
авеню	ɐ ʋ e nʲ u
аверс	ɑ ʋ e r s
авлос	ɐ u̯ ɫ ɔ s
аво	ɑ w ɔ
авокадо	ɐ w ɔ k ɑ d ɔ
аврал	ɐ u̯ r ɑ ɫ
авран	ɐ u̯ r ɑ n
аврикула	ɐ u̯ r ɪ k ʊ ɫ ɐ
аврора	ɐ u̯ r ɔ r ɐ
австралопітек	ɐ u̯ s t r ɐ ɫ ɔ pʲ i t ɛ k
австралоїд	ɐ u̯ s t r ɐ ɫ ɔ j i d
австралійка	ɐ u̯ s t r ɐ lʲ i i̯ k ɐ
австралійський	ɐ u̯ s t r ɐ lʲ i i̯ sʲ k e i̯
австралійці	ɐ u̯ s t r ɐ lʲ i i̯ t͡sʲ i
австралія	ɐ u̯ s t r ɑ lʲ i j ɐ
австралієць	ɐ u̯ s t r ɐ lʲ i j e t͡sʲ
австромарксист	ɐ u̯ s t r ɔ m ɐ r k s ɪ s t
австрофіл	ɐ u̯ s t r o fʲ i ɫ
австрійка	ɐ u̯ s tʲ rʲ i i̯ k ɐ
австрійський	ɐ u̯ s tʲ rʲ i i̯ sʲ k e i̯
австрія	ɑ u̯ s tʲ rʲ i j ɐ
австріяк	ɐ u̯ s tʲ rʲ i j ɑ k
австріячка	ɐ u̯ s tʲ rʲ i j ɑ t͡ʃ k ɐ
австрієць	ɐ u̯ s tʲ rʲ i j e t͡sʲ
автаркізм	ɐ u̯ t ɐ r kʲ i z m
автаркія	ɐ u̯ t ɑ r kʲ i j ɐ
автентика	ɐ u̯ t ɛ n t e k ɐ
автентифікація	ɐ u̯ t e n t e fʲ i k ɑ t͡sʲ i j ɐ
автентичність	ɐ u̯ t e n t ɪ t͡ʃ nʲ i sʲ tʲ
авто	ɐ u̯ t ɔ
автоаерозапчастина	ɐ u̯ t ɔ ɐ e r ɔ z ɐ p t͡ʃ ɐ s t ɪ n ɐ
автоалієнація	ɐ u̯ t ɔ ɐ lʲ i j e n ɑ t͡sʲ i j ɐ
автоаматор	ɐ u̯ t ɔ ɐ m ɑ t ɔ r
автоаматорка	ɐ u̯ t ɔ ɐ m ɑ t ɔ r k ɐ
автоамфібія	ɐ u̯ t ɔ ɐ m fʲ i bʲ i j ɐ
автоапологія	ɐ u̯ t ɔ ɐ p ɔ ɫ ɔ ɦʲ i j ɐ
автобаза	ɐ u̯ t ɔ b ɑ z ɐ
автобальзам	ɐ u̯ t ɔ b ɐ lʲ z ɑ m
автобан	ɐ u̯ t ɔ b ɑ n
автобатальйон	ɐ u̯ t ɔ b ɐ t ɐ lʲ j ɔ n
автобензовоз	ɐ u̯ t ɔ b e n z ɔ w ɔ z
автобензоцистерна	ɐ u̯ t ɔ b e n z ɔ t͡s e s t ɛ r n ɐ
автобетономішалка	ɐ u̯ t ɔ b e t ɔ n ɔ mʲ i ʃ ɑ ɫ k ɐ
автоблокування	ɐ u̯ t ɔ b ɫ ɔ k ʊ ʋ ɑ nʲː ɐ
автобудування	ɐ u̯ t ɔ b ʊ d ʊ ʋ ɑ nʲː ɐ
автобудівник	ɐ u̯ t ɔ b ʊ dʲ i u̯ n ɪ k
автобус	ɐ u̯ t ɔ b ʊ s
автобусик	ɐ u̯ t ɔ b ʊ s e k
автобусна	ɐ u̯ t ɔ b ʊ s n ɐ
автобусний	ɐ u̯ t ɔ b ʊ s n e i̯
автобіограф	ɐ u̯ t ɔ bʲ i ɔ ɦ r ɐ f
автобіографічність	ɐ u̯ t ɔ bʲ i ɔ ɦ r ɐ fʲ i t͡ʃ nʲ i sʲ tʲ
автобіографія	ɐ u̯ t ɔ bʲ i ɔ ɦ r ɑ fʲ i j ɐ
автовага	ɐ u̯ t ɔ ʋ ɐ ɦ ɑ
автовагон	ɐ u̯ t ɔ ʋ ɐ ɦ ɔ n
автовакцина	ɐ u̯ t ɔ ʋ ɐ k t͡s ɪ n ɐ
автовантажник	ɐ u̯ t ɔ ʋ ɐ n t ɑ ʒ n e k
автовеломотогонки	ɑ u̯ t ɔ ʋ ɛ ɫ ɔ m ɔ t ɔ ɦ ɔ n k e
автовиробник	ɐ u̯ t ɔ ʋ e r ɔ b n ɪ k
автовласник	ɐ u̯ t ɔ u̯ ɫ ɑ s n e k
автоводоцистерна	ɐ u̯ t ɔ w ɔ d ɔ t͡s e s t ɛ r n ɐ
автоводій	ɐ u̯ t ɔ w o dʲ i i̯
автовокзал	ɐ u̯ t ɔ w ɔ ɡ z ɑ ɫ
автовідповідач	ɐ u̯ t ɔ ʋʲ i d p ɔ ʋʲ i d ɑ t͡ʃ
автовізок	ɐ u̯ t ɔ ʋʲ i z ɔ k
автогальмо	ɐ u̯ t ɔ ɦ ɐ lʲ m ɔ
автогараж	ɐ u̯ t ɔ ɦ ɐ r ɑ ʒ
автогемотерапія	ɐ u̯ t ɔ ɦ e m ɔ t e r ɐ pʲ i j ɐ
автоген	ɐ u̯ t ɔ ɦ ɛ n
автогенез	ɐ u̯ t ɔ ɦ e n ɛ z
автогенник	ɐ u̯ t ɔ ɦ ɛ nː e k
автоматизація	ɐ u̯ t ɔ m ɐ t e z ɑ t͡sʲ i j ɐ
автоматична	ɐ u̯ t ɔ m ɐ t ɪ t͡ʃ n ɐ
автоматичний	ɐ u̯ t ɔ m ɐ t ɪ t͡ʃ n e i̯
автоматично	ɐ u̯ t ɔ m ɐ t ɪ t͡ʃ n ɔ
автомобіль	ɐ u̯ t ɔ m o bʲ i lʲ
автор	ɑ u̯ t ɔ r
автореференція	ɑ u̯ t ɔ r e f e r ɛ nʲ t͡sʲ i j ɐ
авіабаза	ɐ ʋʲ i ɐ b ɑ z ɐ
авіабензин	ɐ ʋʲ i ɐ b e n z ɪ n
авіабомба	ɐ ʋʲ i ɐ b ɔ m b ɐ
авіабудування	ɐ ʋʲ i ɐ b ʊ d ʊ ʋ ɑ nʲː ɐ
авіабудівник	ɐ ʋʲ i ɐ b ʊ dʲ i u̯ n ɪ k
авіабудівництво	ɐ ʋʲ i ɐ b ʊ dʲ i u̯ n ɪ t͡s t w ɔ
авіабілет	ɐ ʋʲ i ɐ bʲ i ɫ ɛ t
авіавдар	ɐ ʋʲ i ɐ u̯ d ɑ r
авіавиставка	ɐ ʋʲ i ɐ ʋ ɪ s t ɐ u̯ k ɐ
авіагармата	ɐ ʋʲ i ɐ ɦ ɐ r m ɑ t ɐ
авіагоризонт	ɐ ʋʲ i ɐ ɦ ɔ r e z ɔ n t
авіагосподарство	ɐ ʋʲ i ɐ ɦ ɔ s p ɔ d ɑ r s t w ɔ
авіадвигун	ɐ ʋʲ i ɐ d ʋ e ɦ u n
авіадесант	ɐ ʋʲ i ɐ d e s ɑ n t
авіадесантник	ɐ ʋʲ i ɐ d e s ɑ n t n e k
авіадесантування	ɐ ʋʲ i ɐ d e s ɐ n t ʊ ʋ ɑ nʲː ɐ
авіадивізія	ɐ ʋʲ i ɐ d e ʋʲ i zʲ i j ɐ
авіадиспетчер	ɐ ʋʲ i ɐ d e s p ɛ t͡ʃː e r
авіаекспрес	ɐ ʋʲ i ɐ e k s p r ɛ s
авіаескадрилья	ɐ ʋʲ i ɐ e s k ɐ d r ɪ lʲ j ɐ
авіаз'єднання	ɐ ʋʲ i ɐ z j ɛ d n ɐ nʲː ɐ
авіазавод	ɐ ʋʲ i ɐ z ɐ w ɔ d
авіазагін	ɐ ʋʲ i ɐ z ɐ ɦʲ i n
авіазасіб	ɐ ʋʲ i ɐ z ɑ sʲ i b
авіазв'язок	ɐ ʋʲ i ɐ z ʋ j ɐ z ɔ k
авіакаса	ɐ ʋʲ i ɐ k ɑ s ɐ
авіакатастрофа	ɐ ʋʲ i ɐ k ɐ t ɐ s t r ɔ f ɐ
авіаквиток	ɐ ʋʲ i ɐ k ʋ e t ɔ k
авіаклуб	ɐ ʋʲ i ɐ k ɫ u b
авіаколедж	ɐ ʋʲ i ɐ k ɔ ɫ e d͡ʒ
авіакомпанія	ɐ ʋʲ i ɐ k ɔ m p ɑ nʲ i j ɐ
авіакомплекс	ɐ ʋʲ i ɐ k ɔ m p ɫ e k s
авіаконструктор	ɐ ʋʲ i ɐ k o n s t r u k t ɔ r
авіаконструювання	ɐ ʋʲ i ɐ k ɔ n s t r ʊ j ʊ ʋ ɑ nʲː ɐ
авіалайнер	ɐ ʋʲ i ɐ ɫ ɑ i̯ n e r
авіаль	ɐ ʋʲ i ɑ lʲ
авіалінія	ɐ ʋʲ i ɐ lʲ i nʲ i j ɐ
авіамайстерня	ɐ ʋʲ i ɐ m ɐ i̯ s t ɛ r nʲ ɐ
авіаматка	ɐ ʋʲ i ɐ m ɑ t k ɐ
авіамаяк	ɐ ʋʲ i ɐ m ɐ j ɑ k
авіаметеослужба	ɐ ʋʲ i ɐ m e t e o s ɫ u ʒ b ɐ
авіаметеостанція	ɐ ʋʲ i ɐ m e t e ɔ s t ɑ nʲ t͡sʲ i j ɐ
авіамеханік	ɐ ʋʲ i ɐ m e x ɑ nʲ i k
авіамодель	ɐ ʋʲ i ɐ m ɔ d ɛ lʲ
авіамоделізм	ɐ ʋʲ i ɐ m ɔ d e lʲ i z m
авіамоделіст	ɐ ʋʲ i ɐ m ɔ d e lʲ i s t
авіамотор	ɐ ʋʲ i ɐ m ɔ t ɔ r
авіамоторобудування	ɐ ʋʲ i ɐ m ɔ t ɔ r ɔ b ʊ d ʊ ʋ ɑ nʲː ɐ
