aman	ɑ m ɑ̃ ŋ
ana	ɑ n ɑ
anda	ɑ̃ ŋ t ɑ
baer	p ɑ ɚ
bagvachou	p ɑ ʁ ɑ t ʂʰ ɤ u̯
basi	p ɑ s ɪ
baza	p ɑ t͡s ɑ
bi	p i
bogvoni	pʷ o ʁʷ o n i
dan	t ɑ̃ ŋ
darasuchi	t ɑ ɾ ɑ s u t ʂʰ ɨ
darasuda	t ɑ ɾ ɑ s u t ɑ
darasun	t ɑ ɾ ɑ s ũ ŋ
dosi	tʷ o s ɪ
duya	t u j ɑ
ekie	ə kʰ i̯ ɛ
ghazha	q ɑ t ʂ ɑ
ghimusun	q ɯ m u s ũ ŋ
ghoni	qʷ o n i
ghudan	q u t ɑ̃ ŋ
ghuragvan	q u r a ʁ ɑ̃ ŋ
ghurun	q u r ũ ŋ
ghuzhen	q u t ʂ ɤ̃ ŋ
ghuzhun	q u t ʂ ũ ŋ
gun	k ũ ŋ
iman	i m ɑ̃ ŋ
ire	i ɾ ɛ
iredan	i ɾ ə t ɑ̃ ŋ
iregva	i ɾ ə ʁ ɑ
janji	j a n t͡ɕ i
jian	t͡ɕ i ɑ̃ ŋ
khan	qʰ ɑ̃ ŋ
khuru	q χʰ u ɾ u
kielien	kʰ i̯ ɛ l i̯ ɛ̃ n
mejie	m ə t͡ɕ i ɛ
migva	m i ʁ ɑ
migvachi	m i ʁ ɑ t͡ʂʰ ɨ
mo	mʷ o
mogvei	mʷ o ʁ ɘ i
mutun	m u tʰ ũ ŋ
naran	n ɑ ɾ ɑ̃ ŋ
narun	n ɑ ɾ ũ ŋ
niere	n i ɛ ɾ ɛ
nime	n i m ɛ
ninji	n i n t͡ɕ i
nudun	n u t ũ ŋ
odou	ʷo t ɤ u̯
ogi	ʷo k i
ogidan	ʷo k i t ɑ̃ ŋ
oliechin	ʷo l i ɛ t͡ʂʰ ɨ n
ongie	ʷo ŋ ɡ i ɛ
oron	ʷo ɾʷ õ ŋ
orou	ʷo ɾ ɤ u
orouchi	ʷo ɾ ɤ u t ʂʰ ɨ
osun	ʷo s ũ ŋ
pixie	p ɸ i̥ ɕ i̯ ɛ
qida	t͡ɕʰ i t ɑ
qirou	t͡ɕʰ i ɾ ɤ u
qiroujie	t͡ɕʰ i ɾ ɤ u t͡ɕ i ɛ
qiroulie	t͡ɕʰ i ɾ ɤ u l i ɛ
samusa	s ɑ m u s ɑ
sara	s ɑ r ɑ
sazhigvei	s ɑ t ʂ ɨ ʁ ɘ i
sazhigvi	s ɑ t ʂ ɨ ʁ i
shesun	ʂ ə s ũ ŋ
shidun	ʂ ɨ t ũ ŋ
shigha	ʂ ɨ q ɑ
shigva	ʂ ɨ ʁ ɑ
shini	ʂ ɨ n i
shire	ʂ ɨ r ɛ
sumu	s u m u
taran	tʰ ɑ ɾ ɑ̃ ŋ
toula	tʰ ɤ u̯ l ɑ
tuma	tʰ u m ɑ
udu	u t u
ungie	u ŋ ɡ i ɛ
usu	u s u
uzhulie	u t ʂ u l i ɛ
wo	w o
yazi	j ɑ t͡s ɪ
zhalao	t ʂ a l ɑ̝ u
zhao	t ʂ ɑ̝ u
zhaojin	t ʂ ɑ̝ u t͡ɕ ĩ ŋ
zhin	t ʂ ɨ̃ ŋ
