reconstruction:gothic/𐌲𐌿𐍄𐌰	ɡ u t a
reconstruction:gothic/𐌵𐌹𐍃𐍃	kʷ i s s
reconstruction:gothic/𐌷𐌻𐌰𐌸𐌰𐌽	h l a θ a n
reconstruction:gothic/𐌻𐌴𐌹𐌸𐌰𐌽	l iː θ a n
reconstruction:gothic/𐍅𐌿𐌻𐍆𐌹𐌻𐌰	w u l f i l a
𐌰𐌲𐌲𐌹𐌻𐌿𐍃	a ŋ ɡ i l u s
𐌰𐌲𐌲𐍅𐌹𐌸𐌰	a ŋ ɡ w i θ a
𐌰𐌲𐌻𐌹𐌸𐌰	a ɣ l i θ a
𐌰𐌲𐌻𐍉	a ɣ l oː
𐌰𐌶𐌲𐍉	a z ɡ oː
𐌰𐌶𐍅𐌼𐌴	a z y m eː
𐌰𐌶𐍅𐌼𐌿𐍃	a z y m u s
𐌰𐌸𐌸𐌰𐌽	a θː a n
𐌰𐌹𐌱𐍂	ɛː β r
𐌰𐌹𐌲𐌰𐌽	ɛː ɣ a n
𐌰𐌹𐌸𐌴𐌹	ɛː θ iː
𐌰𐌹𐍅𐌹𐍃𐌺𐍉𐌽	ɛː w i s k oː n
𐌰𐌻𐌸𐌴𐌹𐍃	a l θ iː s
𐌰𐌻𐌾𐌰𐌸	a l j a θ
𐌰𐌽𐌰𐌵𐌰𐌻	a n a kʷ a l
𐌰𐌽𐌰𐌵𐌰𐌼	a n a kʷ a m
𐌰𐌽𐌰𐌵𐌹𐌼𐌰𐌽	a n a kʷ i m a n
𐌰𐌽𐌰𐌵𐌹𐍃𐍃	a n a kʷ i s s
𐌰𐌽𐌰𐌵𐌹𐍃𐍃𐌴𐌹𐍃	a n a kʷ i s s iː s
𐌰𐌽𐌰𐌼𐌹𐌽𐌳𐌴𐌹𐍃	a n a m i n d iː s
𐌰𐌽𐌰𐌼𐌹𐌽𐌳𐍃	a n a m i n d s
𐌰𐌽𐌰𐌽𐌰𐌽𐌸𐌴𐌹𐌸	a n a n a n θ iː θ
𐌰𐌽𐌰𐌽𐌰𐌽𐌸𐌹𐌳𐌴𐌳𐌿𐌽	a n a n a n θ i d eː d u n
𐌰𐌽𐌰𐌽𐌰𐌽𐌸𐌾𐌰𐌽	a n a n a n θ j a n
𐌰𐌽𐌰𐌽𐌰𐌽𐌸𐌾𐌰𐌽𐌳𐍃	a n a n a n θ j a n d s
𐌰𐌽𐌰𐌽𐌹𐍅𐌹𐌳𐌹𐌽	a n a n i w i d i n
𐌰𐌽𐌰𐌽𐌹𐍅𐌹𐌸𐍃	a n a n i w i θ s
𐌰𐌽𐌰𐍀𐍂𐌰𐌲𐌲𐌰𐌽	a n a p r a ŋ ɡ a n
𐌰𐌽𐌰𐍀𐍂𐌰𐌲𐌲𐌰𐌽𐌰𐌹	a n a p r a ŋ ɡ a n ɛː
𐌰𐌽𐌰𐍀𐍂𐌰𐌲𐌲𐌰𐌽𐍃	a n a p r a ŋ ɡ a n s
𐌰𐌽𐌰𐍃𐌹𐌻𐌰𐌹𐌳𐌰	a n a s i l ɛː ð a
𐌰𐌽𐌰𐍃𐌹𐌻𐌰𐌽	a n a s i l aː n
𐌰𐌽𐌰𐍃𐌹𐌿𐌽	a n a s i u̯ n
𐌰𐌽𐌰𐍃𐌹𐌿𐌽𐌾𐍉	a n a s i u̯ n j oː
𐌰𐌽𐌰𐍃𐌹𐌿𐌽𐍃	a n a s i u̯ n s
𐌰𐌽𐌳𐌰𐌿𐌲𐌹	a n d ɔː ɣ i
𐌰𐌽𐌳𐌱𐌰𐌷𐍄𐌾𐌰𐌽	a n d b a h t i j a n
𐌰𐌽𐌳𐌷𐌰𐌿𐍃𐌾𐌰𐌽	a n d h ɔː s j a n
𐌰𐌽𐌳𐌸𐌰𐌲𐌺𐌾𐌰𐌽	a n d θ a ŋ k j a n
𐌰𐌽𐌳𐌸𐌰𐌲𐌺𐌾𐌰𐌽𐌳𐌹𐌽𐍃	a n d θ a ŋ k j a n d i n s
𐌰𐌽𐌳𐌸𐌰𐌲𐌺𐌾𐌰𐌽𐌳𐍃	a n d θ a ŋ k j a n d s
𐌰𐌽𐌳𐌸𐌰𐌷𐍄𐌰	a n d θ aː h t a
𐌰𐌽𐌳𐍅𐌰𐍃𐌾𐌰𐌽	a n d w a s j a n
𐌰𐌿𐌳𐌰𐌷𐌰𐍆𐍄𐍃	ɔː ð a h a ɸ t s
𐌰𐌿𐌶𐌰𐌽𐌳𐌹𐌻	ɔː z a n d i l
𐌰𐌿𐌸𐌹𐌳𐌰	ɔː θ i ð a
𐌰𐌿𐌺𐌰𐌽	ɔː k a n
𐌰𐌿𐍂𐌰𐌷𐌾𐍉𐌼	ɔː r a h j oː m
𐌰𐌿𐍂𐌰𐌻𐌹	ɔː r aː l i
𐌰𐍀𐌰𐌿𐍃𐍄𐌰𐌿𐌻𐌿𐍃	a p ɔ s t ɔ l u s
𐌰𐍂𐌺𐌰𐌲𐌲𐌹𐌻𐌿𐍃	a r k a ŋ ɡ i l u s
𐌰𐍂𐍉𐌼𐌰𐍄𐌰	a r oː m a t a
𐌰𐍃𐍄𐌰𐌸	a s t a θ
𐌰𐍃𐍄𐌰𐌸𐍃	a s t a θ s
𐌰𐍄𐌲𐌰𐍂𐌰𐌹𐌷𐍄𐌾𐌰𐌹𐍃	a t ɡ a r ɛ h t j ɛː s
𐌰𐍄𐌲𐌰𐍂𐌰𐌹𐌷𐍄𐌾𐌰𐌽	a t ɡ a r ɛ h t j a n
𐌰𐍄𐌳𐍂𐌹𐌿𐍃𐌰𐌽	a t d r i u̯ s a n
𐌰𐍄𐌷𐌰𐌱𐌰𐌹𐌳𐌴𐌳𐌿𐌽	a t h a b ɛː d eː d u n
𐌰𐍄𐌷𐌰𐌱𐌰𐌽	a t h a b aː n
𐌰𐍄𐌷𐌰𐌷𐌰𐌽	a t h aː h a n
𐌰𐍄𐌷𐌰𐌷𐌰𐌽𐍃	a t h aː h a n s
𐌰𐍄𐌷𐌰𐌷𐌹𐌸	a t h aː h i θ
𐌰𐍄𐌽𐌴𐍈𐌹𐌳𐌰	a t n eː ʍ i d a
𐌰𐍄𐌽𐌴𐍈𐌾𐌰𐌽	a t n eː ʍ j a n
𐌰𐍄𐍃𐌽𐌰𐍂𐍀𐌾𐌰𐌹𐍃	a t s n a r p j ɛː s
𐌰𐍄𐍃𐌽𐌰𐍂𐍀𐌾𐌰𐌽	a t s n a r p j a n
𐌰𐍄𐍅𐌰𐌻𐍅𐌹𐌳𐌰	a t w a l w i d a
𐌰𐍄𐍅𐌰𐌻𐍅𐌾𐌰𐌽	a t w a l w j a n
𐌰𐍄𐍅𐌰𐌽𐌳𐌹𐌳𐌰	a t w a n d i d a
𐌰𐍄𐍅𐌰𐌽𐌳𐌾𐌰𐌽	a t w a n d j a n
𐌰𐍄𐍅𐌹𐍄𐌰𐌹𐌽𐌰𐌹	a t w i t ɛː n ɛː
𐌰𐍄𐍅𐌹𐍄𐌰𐌹𐌽𐍃	a t w i t ɛː n s
𐌰𐍄𐍆𐌰𐍂𐌹𐌳𐌴𐌳𐌿𐌽	a t f a r i d eː d u n
𐌰𐍄𐍆𐌰𐍂𐌾𐌰𐌽	a t f a r j a n
𐌰𐍆	a ɸ
𐌰𐍆𐌳𐌰𐌹𐌻𐌾𐌰𐌽	a f d ɛː l j a n
𐌰𐍆𐌳𐌰𐌿𐌱𐌽𐌰𐌽	a f d ɔː b n a n
𐌰𐍆𐌷𐌻𐌰𐌸𐌰𐌽	a f h l a θ a n
𐌰𐍆𐍅𐌰𐌻𐍅𐌾𐌰𐌽	a f w a l w j a n
