a	aː
aachtel	aː χ t ə l
aalbes	aː l b ə s
aangel	aː ŋ ə l
aarbecht	aː ʀ b ə ɕ t
aarbechter	aː ʀ b ə ɕ t ɐ
aarbechtsamt	aː ʀ b ə ʑ d z ɑ m p t
aarbechtslos	aː b ə ɕ t s l oː s
aarmséileg	aː ʀ m z ɜ ɪ̯ l ə ɕ
aart	aː t
aart	aː χ t
aartlech	aː t l ə ɕ
aaschbak	aː ʒ b aː k
abeezen	ɑ b eː t͡s ə n
abenteuerlech	aː b e n t o ɪ̯ ɐ l ə ɕ
aberuffen	ɑ b ə ʀ u f ə n
aberuffung	ɑ b ə ʀ u f u ŋ
abezuelen	ɑ b ə t͡s u ə̯ l ə n
abgascht	aː b ɡ ɑ ʃ t
abilden	ɑ b i l d ə n
abiméieren	ɑ b i m ɜ ɪ̯ ə ʀ ə n
ablécklech	ɑ b l e k l ə ɕ
abonnement	ɑ b o n ə m ɑ̃ː
abrëll	ɑ b ʀ ə l
abseits	ɑ b z ɑ ɪ̯ t͡s
absence	ɑ p s ɑ̃ː s
absichtlech	ɑ b z i ɕ t l ə ɕ
absurd	ɑ b z u χ t
abuddelen	ɑ b u d ə l ə n
abus	ɑ b yː
abéissen	ɑ b ɜ ɪ̯ s ə n
accabléiert	ɑ k ɑ b l ɜ ɪ̯ ɐ t
acceleratioun	ɑ k s ə l ə ʀ ɑ t s j ə ʊ̯ n
achs	ɑ k s
achzeg	ɑ χ t͡s ə ɕ
adder	ɑ d ɐ
adjektiv	ɑ d ʒ æ k t iː f
adler	aː d l ɐ
administrativ	ɑ d m i n i s t ʀ ɑ t iː f
adresse	ɑ d ʀ æ s
advent	ɑ d v æ n t
adverb	ɑ t v æ χ p
aen	aː ə n
aendeckel	aː ə n d æ k ə l
aenzeien	aː ə n t͡s ɑ ɪ̯ ə n
afaassen	ɑ f aː s ə n
afalen	ɑ f aː l ə n
afen	aː f ə n
afennoss	aː f ə n o s
afetten	ɑ f æ t ə n
affekot	ɑ f ə k oː t
affer	ɑ f ɐ
afferen	ɑ f ə ʀ ə n
afferstack	ɑ f ɐ ʃ t ɑ k
affiche	ɑ f i ʃ
affront	ɑ f ʀ õː
afloss	ɑ f l o s
agang	ɑ ɡ ɑ ŋ
agank	ɑ ɡ ɑ ŋ k
agemaachtes	ɑ ɡ ə m aː χ t ə s
ageriicht	ɑ ɡ ə ʀ iː ɕ t
aggressiv	ɑ ɡ ʀ æ s iː f
agäng	aː ɡ æ ŋ
ahnen	aː n ə n
akademie	ɑ k ɑ d ə m iː
akaul	aː k ɑ ʊ̯ l
aker	aː k ɐ
akerbau	aː k ɐ b ɑ ʊ̯
akribesch	ɑ k ʁ iː b ə ʃ
akrobatik	ɑ k ʀ o b aː t i k
akt	ɑ k t
aktuell	ɑ k t u æ l
akupunktur	ɑ k u p u ŋ k t uː ɐ
albanien	ɑ l b aː n j ə n
aleeën	ɑ l eː ə n
alkohol	ɑ l k o h oː l
alkoholismus	ɑ l k o h o l i z m u s
all	ɑ l
alldag	ɑ l d aː χ
allee	ɑ l eː
allerhellegen	ɑ l ɐ h æ l ə j ə n
allerséilen	ɑ l ɐ z ɜ ɪ̯ l ə n
alles	ɑ l ə s
allmächteg	ɑ l m æ ɕ t ə ɕ
aloggen	ɑ l o ɡ ə n
alpdram	ɑ l b d ʀ aː m
als	ɑ l t s
also	ɑ l z o
alt	ɑ l t
alter	ɑ l t ɐ
alzem	ɑ l t͡s ə m
ameis	aː m ɑ ɪ̯ s
amplaz	ɑ m p l aː t͡s
an	ɑ n
ananas	ɑ n ɑ n ɑ s
anchecken	ɑ n t ʃ æ k ə n
anchois	ɑ̃ ʃ w aː
andecken	ɑ n d æ k ə n
andeelen	ɑ n d eː l ə n
andeelung	ɑ n d eː l u ŋ
andeems	ɑ n d eː m p s
andreiwen	ɑ n d ʀ ɑ ɪ̯ v ə n
androen	ɑ n d ʀ oː ə n
andéif	ɑ n d ɜ ɪ̯ f
aner	aː n ɐ
anescht	aː n ə ʃ t
angscht	ɑ ŋ k ʃ t
animatioun	ɑ n i m ɑ t s j ə ʊ̯ n
antigel	ɑ n t i ʒ æ l
apaart	ɑ p aː t
apaart	ɑ p aː χ t
apdikt	ɑ b d i k t
apel	aː p ə l
apelbatz	aː p ə l b ɑ t͡s
aper	aː p ɐ
aperhoer	aː p ɐ h oː ɐ
aplaz	ɑ p l aː t͡s
apostroph	a p o s t ʀ o f
appartement	ɑ p aː χ t ə m ɑ̃ː
appartement	ɑ p ɑ χ t ə m ɑ̃ː
appell	ɑ p æ l
aprikos	ɑ p ʀ i k oː s
ar	aː χ
arithmetik	ɑ ʀ i d m eː t i k
arroganz	ɑ ʀ o ɡ ɑ n t s
artichaut	ɑ χ t i ʃ oː
artillerie	ɑ χ t i l ə ʀ iː
aschléissen	ɑ ʃ l ɜ ɪ̯ s ə n
aschätzen	ɑ ʃ æ t͡s ə n
asetzen	ɑ z æ t͡s ə n
assurance	ɑ s y ʀ ɑ̃ː s
astrologie	ɑ s t ʀ o l o ʒ iː
aubergine	o b æ ʀ ʒ i n
aubergine	o b ɐ ʒ i n
auder	ɑ ʊ̯ d ɐ
auer	ɑ ʊ̯ ɐ
auermécher	ɑ ʊ̯ ɐ m ə ɕ ɐ
august	ɑ ʊ̯ ɡ u s t
aus	æˑ ʊ̯ s
ausbriechen	æˑ ʊ̯ s b ʀ i ə̯ ɕ ə n
ausdoen	æˑ ʊ̯ s d oː e n
ausdroen	æˑ ʊ̯ s d ʀ oː ə n
ausgab	æˑ ʊ̯ s ɡ aː p
ausginn	æˑ ʊ̯ s ɡ i n
auskommen	æˑ ʊ s k o m ə n
ausleeën	æˑ ʊ̯ s l eː ə n
ausloggen	æˑ ʊ̯ s l o ɡ ə n
ausmaachen	æˑ ʊ̯ s m aː χ ə n
ausruffzeechen	æˑ ʊ̯ z ʀ u f t͡s eː ɕ ə n
ausschléissen	æˑ ʊ̯ s ʃ l ɜ ɪ̯ s ə n
ausschwätzen	æˑ ʊ̯ s ʃ w æ t͡s ə n
aussetzen	æˑ ʊ̯ s z æ t͡s ə n
aussetzen	æˑ ʊ̯ s æ t͡s ə n
auteur	o t øː ɐ
auto	ɑ ʊ̯ t o
autorisatioun	o t o ʀ i z ɑ t͡s j ə ʊ̯ n
autoscourse	ɑ ʊ̯ t o s k u χ s
aviatioun	ɑ v j ɑ t s j ə ʊ̯ n
avion	ɑ v j o ŋ
avion	ɑ v j õː
awanderen	ɑ v ɑ n d ə ʀ ə n
awanderung	ɑ v ɑ n d ə ʀ u ŋ
awar	ɑ v aː
awar	ɑ v aː χ
awer	aː v ɐ
awunner	ɑ v u n ɐ
baachnénga	b aː ʁ n e ŋ a
baarf	b aː f
baarf	b aː χ f
baarmhäerzegkeet	b aː ʀ m h ɛ ə̯ t͡s ə ɕ k eː t
baart	b aː t
baart	b aː χ t
baatsch	b aː t͡ʃ
badminton	b æ d m i n t ə n
baken	b aː k ə n
ball	b ɑ l
bampiipsert	b aː m p iː p s ɐ t
banann	b ɑ n ɑ n
band	b ɑ n t
bandscheif	b ɑ n t͡ʃ ɑ ɪ̯ f
bank	b ɑ ŋ k
bankrott	b ɑ ŋ k ʀ o t
bann	b ɑ n
bannen	b ɑ n ə n
bascht	b ɑ ʃ t
basketball	b aː s k ə d b ɑ l
bass	b ɑ s
batter	b ɑ t ɐ
batz	b ɑ t͡s
bau	b æˑ ʊ̯
bauch	b æˑ ʊ̯ χ
bauchspeicheldrüs	b æˑ ʊ̯ χ ʃ p ɑ ɪ̯ ɕ ə l d ʀ yː s
bauen	b ɑ ʊ̯ ə n
bauer	b ɑ ʊ̯ ɐ
bauerenhaff	b ɑ ʊ̯ ə ʀ ə n h ɑ f
baussen	b æˑ ʊ̯ s ə n
baussent	b æˑ ʊ̯ s ə n t
beamten	b ə ɑ m t ə n
becher	b æ ɕ ɐ
bedeckt	b ə d æ k t
bedeelegung	b ə d eː l ə ʑ u ŋ
bedeiten	b ə d ɑ ɪ̯ t ə n
bedeitung	b ə d ɑ ɪ̯ t u ŋ
bedruch	b ə d ʀ u χ
bedrécken	b ə d ʀ e k ə n
beezen	b eː t͡s ə n
befielen	b ə f i ə̯ l ə n
begieren	b ə ɡ i ə̯ ʀ ə n
begierlech	b ə ɡ iː ɐ l ə ɕ
begierlechkeet	b ə ɡ iː ɐ l ə ɕ k eː t
begleeden	b ə ɡ l eː d ə n
begräifen	b ə ɡ ʀ æˑ ɪ̯ f ə n
begréissen	b ə ɡ ʀ ɜ ɪ̯ s ə n
begrëff	b ə ɡ ʀ ə f
begrënnen	b ə ɡ ʀ ə n ə n
begéinen	b ə ɡ ɜ ɪ̯ n ə n
