.f	ʔ ɛ f
.fj	ʔ ɛ f i
.j	a j
.j	t
.j	ɾ
.j	ʔ
.j	ʔ i
.jn	ʔ i n
.k	k
.k	ʔ ɛ k
.kj	ʔ k i
.kj	ʔ ɛ k i
.kw	k u
.kw	ʔ k uː
.kꜣ	ʔ k ɑ
.n	ʔ ɛ n
.nj	ʔ ɛ n i
.nw	ʔ n uː
.s	ʔ ɛ s
.sj	ʔ ɛ s i
.sn	ʔ s ɛ n
.snj	ʔ s ɛ n i
.st	ʔ s ɛ t
.sw	ʔ s uː
.t	ʔ ɛ t
.tj	ʔ t i
.tjwn	ʔ t i uː n
.tjwnj	ʔ t i uː n i
.tn	ʔ t ɛ n
.tnj	ʔ t ɛ n i
.tw	ʔ t uː
.twn	ʔ t uː n
.ty	ʔ t iː
.w	ʔ uː
.wj	ʔ uː i
.wjn	ʔ uː i n
.wn	ʔ uː n
.wy	ʔ uː iː
.y	ʔ iː
.ḫr	ʔ x ɛ r
.ṯ	c
.ṯ	t
.ṯ	ʔ
.ṯ	ʔ ɛ t͡ʃ
.ṯn	ʔ t͡ʃ ɛ n
.ṯnj	ʔ t͡ʃ ɛ n i
bbr	b ɛ b ɛ r
bbwt	b ɛ b uː t
bdt	b ɛ d ɛ t
bdš	b ɛ d ɛ ʃ
bgs	b ɛ ɡ ɛ s
bjk	b i k
bjn	b aː j i n
bjn	b aː ʔ ə n
bjn	b i n
bjn	β oː ʔ ə n
bjnt	b a j n V t
bjnt	b a j n V ʔ
bjnt	b i n ɛ t
bjnt	β a j n ə
bjrwnygꜣt	b i r uː n iː ɡ ɑ t
bjrwnygꜣt	β ə ɾ ə n iː k ə
bjt	b i j a t
bjt	b i j a ʔ
bjt	b i t
bjt	β ə j a ʔ
bjtj	b i j a t V j
bjtj	b i t i
bjtj	β ə j a t ə
bjꜣ	b i ɑ
bjꜣt	b i ɑ t
bjꜣyt	b i ɑ iː t
bkꜣ	b ɛ k ɑ
bn	b ɛ n
bnbnt	b ɛ n b ɛ n ɛ t
bnr	b i n i j
bnr	b i n i ɾ
bnr	b ɛ n ɛ r
bnr	β ə n e ʔ
bntj	b ɛ n t i
bntwt	b ɛ n t uː t
bnw	b ɛ n uː
bnš	b ɛ n ɛ ʃ
bs	b ɛ s
btj	b ɛ t i
btꜣ	b ɛ t ɑ
bw	b uː
bwt	b uː t
bwtj	b uː t i
bzj	b ɛ z i
bšj	b ɛ ʃ i
bšṯ	b ɛ ʃ ɛ t͡ʃ
bḥdt	b ɛ ħ d ɛ t
bḥn	b ɛ ħ ɛ n
bḥs	b ɛ ħ ɛ s
bḥz	b ɛ ħ ɛ z
bḫnt	b ɛ x n ɛ t
bṯ	b ɛ t͡ʃ
bẖbẖ	b ɛ ç b ɛ ç
bꜣ	b ɑ
bꜣbꜣrw	b ɑ b ɑ r uː
bꜣgj	b i ʀ kʼ i t
bꜣgj	b i ʀ kʼ i ʔ
bꜣgj	b iː kʼ a ʔ
bꜣgj	b ɑ ɡ i
bꜣgj	β iː kʼ ə
bꜣgsw	b ɑ ɡ s uː
bꜣj	b ɑ i
bꜣjr	b ɑ i r
bꜣjr	β ø ʔ ɾ ə
bꜣk	b aː ʀ a k
bꜣk	b aː ʔ ə k
bꜣk	b ɑ k
bꜣk	β oː ʔ ə k
bꜣkt	b a ʀ k a t
bꜣkt	b a ʀ k a ʔ
bꜣkt	b aː k a ʔ
bꜣkt	b ɑ k ɛ t
bꜣkt	β oː k ə
bꜣkw	b a ʀ k a w
bꜣkw	b aː k ə ʔ
bꜣkw	b ɑ k uː
bꜣkw	β oː k
bꜣkꜣ	b ɑ k ɑ
bꜣs	b ɑ s
bꜣst	b ɑ s ɛ t
bꜣstt	b u ʀ i s t i t
bꜣstt	b u ʀ i s t i ʔ
bꜣstt	b ɑ s t ɛ t
bꜣstt	ʔ u β e s t ə
bꜣt	b aː ʀ a t
bꜣt	b aː ʀ a ʔ
bꜣt	b ɑ t
bꜣt	β oː ʔ ə
bꜣw	b ɑ uː
bꜣḥ	b ɑ ħ
bꜣẖ	b ɑ ç
bꜣẖw	b a ʀ ç a w
bꜣẖw	b aː ç ə ʔ
bꜣẖw	b ɑ ç uː
bꜣẖw	β oː ç
bꜥr	b ɑː r
bꜥḥ	b ɑː ħ
bꜥḥj	b i ʕ ħ i t
bꜥḥj	b i ʕ ħ i ʔ
bꜥḥj	b ɑː ħ i
bꜥḥj	β e ʕ ħ ə
db	d ɛ b
db	tʼ e p
db	tʼ i b
dbn	d ɛ b ɛ n
dbn	tʼ iː b a n
dbn	tʼ iː β ə n
dbnt	d ɛ b n ɛ t
dbḥ	d ɛ b ɛ ħ
ddw	d ɛ d uː
dgj	d ɛ ɡ i
dgm	d ɛ ɡ ɛ m
dgm	tʼ eː kʼ ə m
dgm	tʼ uː kʼ V m
dgꜣj	d ɛ ɡ ɑ i
dhnt	d ɛ h n ɛ t
dj	d i
djnw	d i n uː
djw	d i uː
djw	tʼ iː j a w
djw	tʼ iː w
djw	tʼ iː w ə ʔ
dm	d ɛ m
dmj	d ɛ m i
dmj	tʼ iː m i j
dmj	tʼ iː m i ʔ
dmj	tʼ iː m ə
dmḏ	d ɛ m ɛ d͡ʒ
dmḏj	d ɛ m ɛ d͡ʒ i
dmḏj	tʼ aː m a cʼ
dmḏj	tʼ aː m a tʼ
dmḏj	tʼ e m tʼ ə
dmḏj	tʼ i m cʼ i t
dmḏj	tʼ i m tʼ i ʔ
dmḏj	tʼ oː m ə tʼ
dmꜣt	d ɛ m ɑ t
dn	d ɛ n
dnd	d ɛ n ɛ d
dng	d ɛ n ɛ ɡ
dnjt	d ɛ n i t
dnjt	tʼ a n j u t
dnjt	tʼ a n j u ʔ
dnjt	tʼ a n ʔ ə
dns	d ɛ n ɛ s
dp	d ɛ p
dpt	d ɛ p ɛ t
dpt	tʼ Vː p u t
dpt	tʼ Vː p u ʔ
dpt	tʼ Vː p ə
dpt	tʼ iː p V t
dpt	tʼ iː p V ʔ
dpt	tʼ iː p ə
dpy	d ɛ p iː
dqr	d ɛ k ɛ r
dr	d ɛ r
drp	d ɛ r ɛ p
ds	d ɛ s
dsj	d ɛ s i
dwn	d uː n
dwn	tʼ aː w a n
dwn	tʼ oː w ə n
dwꜣ	d uː ɑ
dwꜣt	d uː ɑ t
dwꜣt	tʼ eː ʔ ə
dwꜣt	tʼ u w ʀ a t
dwꜣt	tʼ u w ʀ a ʔ
dwꜣt	tʼ uː ʔ a
dwꜣtj	d uː ɑ t i
dwꜣw	d uː ɑ uː
dyw	d iː uː
dyw	tʼ i j j a w
dšr	d ɛ ʃ ɛ r
dšr	tʼ aː ɾ i ʃ
dšr	tʼ aː ʃ i ɾ
dšr	tʼ eː ʃ ə
dšr	tʼ oː ɾ ə ʃ
dšr	tʼ uː ʃ V ɾ
dšr	tʼ uː ʃ V ʔ
dšrt	d ɛ ʃ r ɛ t
dšrt	tʼ a ʃ ɾ a t
