あ	a̠
ああ	a̠ː
ああいう	a̠ː i ɯ̟ᵝ
あい	a̠ i
あいあいがさ	a̠ i a̠ i ɡ a̠ s a̠
あいいれない	a̠ iː ɾ e̞ n a̠ i
あいいろ	a̠ iː ɾ o̞
あいいん	a̠ ĩː ɴ
あいえき	a̠ i e̞ kʲ i
あいえんきえん	a̠ i ẽ̞ ŋʲ kʲ i ẽ̞ ɴ
あいか	a̠ i k a̠
あいかぎ	a̠ i k a̠ ɡʲ i
あいかた	a̠ i k a̠ t a̠
あいかわらず	a̠ i k a̠ ɰᵝ a̠ ɾ a̠ z ɨᵝ
あいがさ	a̠ i ɡ a̠ s a̠
あいがみ	a̠ i ɡ a̠ mʲ i
あいがめ	a̠ i ɡ a̠ m e̞
あいがん	a̠ i ɡ ã̠ ɴ
あいがんどうぶつ	a̠ i ɡ ã̠ n d o̞ː b ɯ̟ᵝ t͡s ɨᵝ
あいき	a̠ i kʲ i
あいきどう	a̠ i kʲ i d o̞ː
あいきょう	a̠ i kʲ o̞ː
あいくち	a̠ i k ɯ̟ᵝ t͡ɕ i
あいくるしい	a̠ i k ɯ̟ᵝ ɾ ɯ̟ᵝ ɕ iː
あいけん	a̠ i k ẽ̞ ɴ
あいこ	a̠ i k o̞
あいこう	a̠ i k o̞ː
あいこうか	a̠ i k o̞ː k a̠
あいこく	a̠ i k o̞ k ɯ̟ᵝ
あいこくしゃ	a̠ i k o̞ k ɯ̟ᵝ ɕ a̠
あいこくしゅぎ	a̠ i k o̞ k ɯ̟ᵝ ɕ ɨᵝ ɡʲ i
あいこっか	a̠ i k o̞ k̚ k a̠
あいことば	a̠ i k o̞ t o̞ b a̠
あいご	a̠ i ɡ o̞
あいさい	a̠ i s a̠ i
あいさつ	a̠ i s a̠ t͡s ɨᵝ
あいしている	a̠ i ɕ i t e̞ i ɾ ɯ̟ᵝ
あいしてる	a̠ i ɕ i̥ t e̞ ɾ̠ ɯᵝ
あいしゃ	a̠ i ɕ a̠
あいしゃせいしん	a̠ i ɕ a̠ s e̞ː ɕ ĩ ɴ
あいしゅう	a̠ i ɕ ɨᵝː
あいしょう	a̠ i ɕ o̞ː
あいしょうか	a̠ i ɕ o̞ː k a̠
あいしんかくら	a̠ i ɕ ĩ ŋ k a̠ k ɯ̟ᵝ ɾ a̠
あいじ	a̠ i ʑ i
あいじょう	a̠ i ʑ o̞ː
あいじん	a̠ i ʑ ĩ ɴ
あいす	a̠ i s ɨᵝ
あいする	a̠ i s ɨᵝ ɾ ɯ̟ᵝ
あいず	a̠ i z ɨᵝ
あいせき	a̠ i s e̞ kʲ i
あいそ	a̠ i s o̞
あいぞう	a̠ i z o̞ː
あいぞうばん	a̠ i z o̞ː b ã̠ ɴ
あいぞめ	a̠ i z o̞ m e̞
あいたい	a̠ i t a̠ i
あいだ	a̠ i d a̠
あいだがら	a̠ i d a̠ ɡ a̠ ɾ a̠
あいち	a̠ i t͡ɕ i
あいちけん	a̠ i t͡ɕ i k ẽ̞ ɴ
あいちょう	a̠ i t͡ɕ o̞ː
あいつ	a̠ i t͡s ɨᵝ
あいつぐ	a̠ i t͡s ɨᵝ ɡ ɯ̟ᵝ
あいつら	a̠ i t͡s ɨᵝ ɾ a̠
あいて	a̠ i t e̞
あいな	a̠ i n a̠
あいにく	a̠ i ɲ̟ i k ɯ̟ᵝ
あいのて	a̠ i n o̞ t e̞
あいふく	a̠ i ɸ ɯ̟ᵝ k ɯ̟ᵝ
あいぶ	a̠ i b ɯ̟ᵝ
あいぼ	a̠ i b o̞
あいま	a̠ i m a̠
あいまい	a̠ i m a̠ i
あいよ	a̠ i j o̞
あいよめ	a̠ i j o̞ m e̞
あう	a̠ ɯ̟ᵝ
あうん	a̠ ɯ̟̃ᵝ ɴ
あえぎごえ	a̠ e̞ ɡʲ i ɡ o̞ e̞
あえぐ	a̠ e̞ ɡ ɯ̟ᵝ
あえる	a̠ e̞ ɾ ɯ̟ᵝ
あえん	a̠ ẽ̞ ɴ
あお	a̠ o̞
あおい	a̠ o̞ i
あおいろ	a̠ o̞ i ɾ o̞
あおうなばら	a̠ o̞ ɯ̟ᵝ n a̠ b a̠ ɾ a̠
あおうみがめ	a̠ o̞ ɯ̟ᵝ mʲ i ɡ a̠ m e̞
あおうめ	a̠ o̞ ɯ̟ᵝ m e̞
あおかん	a̠ o̞ k ã̠ ɴ
あおき	a̠ o̞ kʲ i
あおぎみる	a̠ o̞ ɡʲ i mʲ i ɾ ɯ̟ᵝ
あおぎり	a̠ o̞ ɡʲ i ɾʲ i
あおぐ	a̠ o̞ ɡ ɯ̟ᵝ
あおげいとう	a̠ o̞ ɡ e̞ː t o̞ː
あおさ	a̠ o̞ s a̠
あおざめ	a̠ o̞ z a̠ m e̞
あおじゃしん	a̠ o̞ ʑ a̠ ɕ ĩ ɴ
あおじろい	a̠ o̞ ʑ i ɾ o̞ i
あおすじ	a̠ o̞ s ɨᵝ ʑ i
あおせん	a̠ o̞ s ẽ̞ ɴ
あおぞら	a̠ o̞ z o̞ ɾ a̠
あおた	a̠ o̞ t a̠
あおだいしょう	a̠ o̞ d a̠ i ɕ o̞ː
あおてんじょう	a̠ o̞ t ẽ̞ ɲ̟ d͡ʑ o̞ː
あおな	a̠ o̞ n a̠
あおば	a̠ o̞ b a̠
あおめ	a̠ o̞ m e̞
あおもの	a̠ o̞ m o̞ n o̞
あおもり	a̠ o̞ m o̞ ɾʲ i
あおもりけん	a̠ o̞ m o̞ ɾʲ i k ẽ̞ ɴ
あおやま	a̠ o̞ j a̠ m a̠
あおる	a̠ o̞ ɾ ɯ̟ᵝ
あか	a̠ k a̠
あかい	a̠ k a̠ i
あかうみがめ	a̠ k a̠ ɯ̟ᵝ mʲ i ɡ a̠ m e̞
あかがみ	a̠ k a̠ ɡ a̠ mʲ i
あかぎつね	a̠ k a̠ ɡʲ i t͡s ɨᵝ n e̞
あかぐろい	a̠ k a̠ ɡ ɯ̟ᵝ ɾ o̞ i
あかげざる	a̠ k a̠ ɡ e̞ z a̠ ɾ ɯ̟ᵝ
あかざ	a̠ k a̠ z a̠
あかし	a̠ k a̠ ɕ i
あかしか	a̠ k a̠ ɕ i̥ k a̠
あかじ	a̠ k a̠ ʑ i
あかす	a̠ k a̠ s ɨᵝ
あかずきん	a̠ k a̠ z ɨᵝ kʲ ĩ ɴ
あかせん	a̠ k a̠ s ẽ̞ ɴ
あかたては	a̠ k a̠ t a̠ t e̞ h a̠
あかちゃける	a̠ k a̠ t͡ɕ a̠ k e̞ ɾ ɯ̟ᵝ
あかちゃん	a̠ k a̠ t͡ɕ ã̠ ɴ
あかちょうちん	a̠ k a̠ t͡ɕ o̞ː t͡ɕ ĩ ɴ
あかつき	a̠ k a̠ t͡s ɨ̥ᵝ kʲ i
あかつめくさ	a̠ k a̠ t͡s ɨᵝ m e̞ k ɯ̟̊ᵝ s a̠
あかてん	a̠ k a̠ t ẽ̞ ɴ
あかとんぼ	a̠ k a̠ t õ̞ m b o̞
あかなす	a̠ k a̠ n a̠ s ɨᵝ
あかぬけ	a̠ k a̠ n ɯ̟ᵝ k e̞
あかぬける	a̠ k a̠ n ɯ̟ᵝ k e̞ ɾ ɯ̟ᵝ
あかね	a̠ k a̠ n e̞
あかねさす	a̠ k a̠ n e̞ s a̠ s ɨᵝ
あかねずみ	a̠ k a̠ n e̞ z ɨᵝ mʲ i
あかはい	a̠ k a̠ h a̠ i
あかはた	a̠ k a̠ h a̠ t a̠
あかはな	a̠ k a̠ h a̠ n a̠
あかはら	a̠ k a̠ h a̠ ɾ a̠
あかはらいもり	a̠ k a̠ h a̠ ɾ a̠ i m o̞ ɾʲ i
あかふじ	a̠ k a̠ ɸ ɯ̟ᵝ ʑ i
あかぶどうしゅ	a̠ k a̠ b ɯ̟ᵝ d o̞ː ɕ ɨᵝ
あかべこ	a̠ k a̠ b e̞ k o̞
あかぼうくじら	a̠ k a̠ b o̞ː k ɯ̟ᵝ ʑ i ɾ a̠
あかぼし	a̠ k a̠ b o̞ ɕ i
あかまつ	a̠ k a̠ m a̠ t͡s ɨᵝ
あかみ	a̠ k a̠ mʲ i
あかむつ	a̠ k a̠ m ɯ̟ᵝ t͡s ɨᵝ
あからむ	a̠ k a̠ ɾ a̠ m ɯ̟ᵝ
あからめる	a̠ k a̠ ɾ a̠ m e̞ ɾ ɯ̟ᵝ
あかり	a̠ k a̠ ɾʲ i
あかるい	a̠ k a̠ ɾ ɯ̟ᵝ i
あかるむ	a̠ k a̠ ɾ ɯ̟ᵝ m ɯ̟ᵝ
あかれんが	a̠ k a̠ ɾ ẽ̞ ŋ ɡ a̠
あかん	a̠ k ã̠ ɴ
あかんべえ	a̠ k ã̠ m b e̞ː
あかんぼう	a̠ k ã̠ m b o̞ː
あがき	a̠ ɡ a̠ kʲ i
あがく	a̠ ɡ a̠ k ɯ̟ᵝ
あがめる	a̠ ɡ a̠ m e̞ ɾ ɯ̟ᵝ
あがりおり	a̠ ɡ a̠ ɾʲ i o̞ ɾʲ i
あがる	a̠ ɡ a̠ ɾ ɯ̟ᵝ
あき	a̠ kʲ i
あきかぜ	a̠ kʲ i k a̠ z e̞
あきさめ	a̠ kʲ i s a̠ m e̞
あきす	a̠ kʲ i s ɨᵝ
あきぞら	a̠ kʲ i z o̞ ɾ a̠
あきた	a̠ kʲ i t a̠
あきたいぬ	a̠ kʲ i̥ t a̠ i n ɯ̟ᵝ
あきたけん	a̠ kʲ i t a̠ k ẽ̞ ɴ
あきち	a̠ kʲ i t͡ɕ i
あきない	a̠ kʲ i n a̠ i
あきなう	a̠ kʲ i n a̠ ɯ̟ᵝ
