آب	a w
آبادان	ʔ ɒː b ɒː d̪ ɒ n
آبادان	ʔ ɒː b ɒː d̪ ɒː n
آباژور	ʔ ɒ b ɒ ʒ uː ɾ
آبتنی	ɒː b t̪ʰ æ n iː
آبرو	ɒː b e ɾ uː
آبروی	ɒː b e ɾ uː j
آبزن	ʔ ɒː b z æ n
آبشار	ɑː b ʃ ɒː ɾ
آبچین	ʔ ɒː b t͡ʃʰ i n
آب‌راه	ʔ ɒː b ɾ ɒː h
آب‌گوشت	ɒː b ɡ uː ʃ t̪ʰ
آتش‌بس	ʔ ɒː tʰ æ ʃ b æ s
آتش‌فشان	ɒː tʰ æ ʃ f e ʃ ɒː n
آدمکش	ɒː d̪ æ m kʰ o ʃ
آرامش	ɒː ɾ uː m e ʃ
آرامش	ɒː ɾ ɒː m e ʃ
آرزومند	ɒː ɾ e z uː m æː n d̪
آرش	ʔ ɒː ɾ æ ʃ
آرشام	ɒː ɾ ʃ ɒː m
آرمان	ʔ ɒː ɾ m ɒː n
آرنج	ɒː ɾ æ n d ʒ
آرنج‌ها	ɒː ɾ æ n ʒ ɒː
آره	ɑː ɾ e
آزمودن	ɒː z m uː d æ n
آسمون	ɒː s e m uː n
آسودن	ɒː s uː d æ n
آشامیدن	ʔ ɒː ʃ ɒː m iː d̪ æ n
آشور	ʔ ɒː ʃ uː ɾ
آغشتن	ɒː ɣ e ʃ t æ n
آغشتن	ɒː ɣ o ʃ t æ n
آفتابی	ɒː f t̪ʰ ɒː b iː
آلش	ɒː l æ ʃ
آلمان	ɑ l m ɒ n
آلودگی	ɒː l uː d e ɡʲ iː
آلودگی	ɒː l uː d æ ɡ iː
آمادن	ɒː m ɒː d æ n
آمارگر	ʔ ɒː m ɒː ɾ ɡʲ æ ɾ
آماسیدن	ɒː m ɒː s iː d æ n
آمریکا	ɑ m ɾ iː k ɒ
آمریکا	ɑ m ɾ iː k ɒː
آمریکایی	ɒː m ɾ iː kʰ ɒː j iː
آمیریان	ɒː m iː ɾ j ɒː n
آمین	ʔ ɒː m i n
آناهیتا	ʔ ɒ n ɒ h i tʰ ɒ
آنقدر	oː q a
آنقدر	u ŋ ɣ æ d̪
آنچه	o n t ʃʰ e
آنچه	ɒː n t ʃʰ e
آنگولا	ɒː ŋ ɡ uː l ɒː
آن‌ها	o n ɒː
آن‌ها	u n ɒː
آن‌ها	ɒː n h ɒː
آهنگین	ɒː h æ ŋ ɡʲ i n
آهنگین	ɒː h æ ŋ ɡʲ iː n
آهوپای	ʔ ɒː h uː pʰ ɒː i̯
آوام	ɒː v ɒ m
آوردن	o v o ɾ d̪ æ n
آوردن	ɒː v o ɾ d̪ æ n
آوردن	ɒː v æ ɾ d̪ æ n
آپارتمان	ɒː pʰ ɒː ɾ t̪ʰ e m ɒ n
آیدین	ʔ ɒ j d i n
ا	æ l e f
ابجد	æ b d͡ʒ æ d
ابد	ʔ æ b æ d̪
اتازونی	e tʰ ɒː z uː n iː
اتریش	o t̪ ɾ i ʃ
اتیوپی	e t j uː p iː
اجتماعی	e ʒ t̪ʰ e m ɒː ʔ iː
احترام	e h t̪ʰ e ɾ ɒː m
احتلام	e h t̪ʰ e l ɒː m
احسان	ʔ e h s ɒ n
احسان	ʔ eː s ɒ n
احمقان	æ h m æ ɣ ɒː n
احمق‌تر	æ h m æ x t̪ʰ æ ɾ
احمق‌ترین	æ h m æ x t̪ʰ æ ɾ iː n
احمق‌ها	æ h m æ ɣ h ɒː
احمق‌ها	æ h m æ ɣ ɒː
اخلاقی	æ x l ɒː ɣ iː
اردشیر	æ ɾ d̪ e ʃ iː ɾ
اردشیر	æ ɾ d̪ æ ʃ eː ɾ
اردشیر	æ ɾ d̪ æ ʃ iː ɾ
اردن	ʔ o ɾ d̪ o n
ارزش	ʔ æ ɾ z e ʃ
ارغمچین	æ ɾ ɣ æ m t͡ʃʰ i n
ارمنستان	æ ɾ m æ n e s t̪ʰ ɒː n
ارمنی	æ ɾ m æ n iː
ارمنیان	æ ɾ m æ n iː j ɒː n
اروپا	o ɾ uː p ɒː
اریتره	e ɾ iː t ɾ e
اساس	ʔ æ s ɒː s
استادان	ʔ o s tʰ ɒː d̪ ɒ n
استادها	ʔ o s tʰ ɒː d̪ h ɒː
استانبول	e s t ɒ m b o l
استحمار	e s tʰ e h m ɒː r
استرالیا	ʔ o s t̪ ɾ ɑː l i j ɒː
استرالیا	ʔ o s t̪ʰ o ɾ ɑː l i j ɒː
استصواب	e s t e s v ɑː b
استفاده	e s tʰ e f ɒː d e
استوانه	o s tʰ o v ɒː n e
استوانه	o s tʰ o w ɒː n æ
اسحاق	e s h ɒː ɢ
اسرائیل	ʔ e s ɾ ɒː ʔ iː l
اسفناج	ɛ s f e n ɒː d͡ʒ
اسفند	i s f a n d̪
اسفندیار	e s f æ n d̪ i j ɒː ɾ
اسلاو	e s l ɒː v
اسلاوی	e s l ɒː v iː
اسماء	æ s m ɒː
اسپانیا	ʔ e s pʰ ɒ n i j ɒ
اسپانیا	ʔ e s pʰ ɒː n i j ɒː
اسپریس	e s p æ ɾ iː s
اسپریس	æ s p æ ɾ iː s
اسپریس	æ s p ɾ iː s
اسپین	e s pʰ iː n
اشتباه	e ʃ t̪ʰ e b ɒː h
اشکان	ʔ æ ʃ kʰ ɒ n
اشکان	ʔ æ ʃ kʰ ɒː n
اصول‌گرا	o s uː l ɡʲ æ ɾ ɒː
اظهار	e z h ɒː ɾ
اعتبار	e ʔ t̪ʰ e b ɒː ɾ
اعتماد	e t̪ʰ e m ɒː d̪
اعتماد	e ʔ t̪ʰ e m ɒː d̪
اعضا	æ ʔ z ɒː
اعضا	æː z ɒː
اعظم	æ z æ m
اعظم	æ ʔ z æ m
اعلام	eː l ɒː m
افراختن	æ f ɾ ɒː x t̪ʰ æ n
افراشتن	æ f ɾ ɒː ʃ t̪ʰ æ n
افروختن	æ f r uː x t æ n
افکار	æ f kʰ ɒː ɾ
افکندن	ʔ æ f kʲ æ n d̪ æ n
افیون	ʔ æ f j uː n
افیون	ʔ æ f j ʊ n
اقامت	e ɣ ɒː m æ t̪ʰ
اقتصاد	e x tʰ e s ɒː d
الاغ	o l ɒː ɣ
البته	ʔ æ l b æ tʰ e
الجزایر	ʔ æ l d͡ʒ æ z ɒː e ɾ
الگو	ʔ o l ɡ uː
الگو	ʔ u l ɡ uː
الیکا	ʔ e l i kʰ ɒ
اما	æ mː ɒː
امامزاده	e m ɒː m z ɒː d̪ e
امر	ʔ æ m r
امر	ʔ æː m r
امروز	e m ɾ u
امروز	e m ɾ uː z
امروزه	e m ɾ uː z e
امکان	e m kʰ ɒː n
امیدوار	o m iː d̪ v ɒː ɾ
امیدوار	o mː iː d̪ v ɒː ɾ
امین‌تر	æ m iː n tʰ æ ɾ
امین‌ترین	æ m iː n tʰ æ ɾ iː n
انباشتن	æ m b ɒː ʃ t æ n
انبه	æ m b e
انبوییدن	æ m b uː j iː d̪ æ n
انتظار	ʔ e n t e z ɒː ɾ
انتظار	ʔ ɪ n t ə z ɒː ɾ
انجامیدن	æ n d ʒ ɒː m iː d æ n
انداختن	æ n d ɒː x t æ n
اندودن	ʔ æ n d uː d æ n
انعام	æ n ʔ ɒː m
انوشه	a n oː ʃ a
انوشه	æ n uː ʃ e
انوشه	ʔ a n oː ʃ a
انوشه	ʔ æ n uː ʃ e
انوشیروان	ʔ æ n uː ʃ iː r v ɒː n
انوشیروان	ʔ æ n uː ʃ iː r æ v ɒː n
انکیدو	ʔ e ŋ kʲ i d u
انگشت	æ ŋ ɡ o ʃ t̪ʰ
انگشت	æ ŋ ɡʲ e ʃ t̪ʰ
انگلیس	ʔ ɪ ŋ ɡʲ ɪ l i s
انگلیس	ʔ ɪ ŋ ɡʲ ɪ l iː s
انگلیسی	ʔ e ŋ ɡ e l iː s iː
