અં	ə̃ː
અંગૂઠો	ə ŋ ɡ u ʈʰ ɔ
અંગ્રેજ	ə ŋ ɡ ɾ eː d͡ʒ
અઃ	ə ɨ
અગિયાર	ə ɡ i j ɑ ɾ
અઢાર	ə ɖʱ ɑ ɾ
અતંત્રતા	ə t̪ ə n t̪ ɾ ə t̪ ɑ
અર્થ	ə ɾ t̪ʰ
અહીં	ə ɦ ĩ
અહીંતહીં	ə ɦ ĩ t̪ ə ɦ ĩ
આ	ɑ̈
આઠ	ɑ ʈʰ ə
ઇ	ɪ
ઈ	iː
ઉ	u
ઊ	uː
ઋ	ɾ u
એ	e
એક	e k ə
એકવીસ	e k ə ʋ i s
ઐ	ə j
ઓ	o
ઓગણીસ	o ɡ ə ɳ i s
ઔ	ə ʋ
ક	k ə
ક્ષ	k ʃ ə
ખ	kʰ ə
ગ	ɡ ə
ગુજરાતી	ɡ u d ʒ ə ɾ ɑː t̪ i
ઘ	ɡʱ ə
ઘર	ɡʰ ə r
ઘોડું	ɡʱ o ɖ ũ
ઘોડો	ɡʱ o ɽ o
ઙ	ŋ ə
ચ	t͡ʃ ə
ચા	t͡ʃ ɑ
ચાર	t͡ʃ ə ɾ
ચૌદ	t͡ʃ ə ʋ d
છ	t ʃʰ ə
છોકરમત	t ʃʰ o k ə r m ə t
છોકરી	t ʃʰ o k r i
છોકરું	t ʃʰ o k r ũ
છોકરો	t ʃʰ o k r o
જ	d͡ʒ ə
જાત	d͡ʒ ɑ t̪
જ્ઞ	ɡ n ə
ઝ	d͡ʒʱ ə
ઞ	ɲ ə
ટ	ʈ ə
ઠ	ʈʰ ə
ડ	ɖ ə
ઢ	ɖʱ ə
ણ	ɳ ə
ત	t ə
તડકો	t̪ ə ɖ k o
તેર	t e ɾ
ત્રણ	t̪ ɾ ɔ ɳ
થ	tʰ ə
દ	d ə
દશ	d ə ʃ
દસ	d ə s
ધ	dʱ ə
ન	n ə
નવ	n ə ʋ
પ	p ə
પંદર	p ə n d ə ɾ
પાંચ	p ɑ̃ː t͡ʃ
ફ	pʰ ə
ફ્રાંસીસી	pʰ ɾ ɑ̃ː s i s i
બ	b ə
બાર	b ɑ ɾ
બે	b e
ભ	bʱ ə
ભારત	bʱ ɑ̈ ɾ ə t
મ	m ə
માટે	m ɑ ʈ e
ય	j ə
ર	ɾ ə
લ	l ə
ળ	ɭ ə
વ	v ə
વધારે	ʋ ə d̪ʱ ɑ ɾ e
વસ્તુ	ʋ ə s t̪ u
વિક્ષનરી	ʋ i k ʃ ə n ə ɾ i
વિહોણું	ʋ ɪ ɦ o ɳ ũ
વીસ	ʋ iː s
શ	ʃ ə
શૂન્ય	ʃ u n j ə
શેકવું	ʃ e k v ũ
ષ	ʂ ə
સ	s ə
સત્તર	s ə t t ə r
સાત	s ɑ t
સિંહ	s ĩ ɦ
સિંહ	ʃ ĩ ɦ
સોળ	s ɔ ɭ
હ	ɦ ə
ඏ	l i
