ali	a l i
amerika	a m ɛ́ː r i k a
ameriški	a m ɛ́ː r i ʃ k i
amper	a m p ɛ́ː r
andrej	a n d r ɛ̀ː j
arterija	a r t ɛ̀ː r i j a
b	b ə́
bedro	b ɛ̀ː d r ɔ
belejši	b ɛ l ɛ́ː j ʃ i
bezeg	b ə z ə́ k
bezeg	b ə̀ z ə k
blesti	b l ɛ̀ː s t i
bober	b ɔ̀ː b ə r
bogat	b ɔ̀ː ɡ a t
bogatejši	b ɔ ɡ a t ɛ́ː j ʃ i
bolha	b ɔ̀ː ʋ x a
bolj	b ɔ́ l
bor	b ɔ́ r
bos	b ɔ́ s
bosti	b ɔ̀ː s t i
božič	b ɔ̀ː ʒ i t͡ʃ
brca	b ə́ r t͡s a
brcniti	b ə̀ r t͡s n i t i
brdo	b ə̀ r d ɔ
brest	b r ɛ́ s t
bresti	b r ɛ̀ː s t i
brez	b r ɛ s
brki	b ə́ r k i
brlog	b ə r l ɔ́ k
brom	b r ɔ́ m
bron	b r ɔ́ n
brskati	b ə r s k a t i
brv	b ə́ r ʋ
celota	t͡s ɛ l ɔ̀ː t a
cerij	t͡s ɛ̀ː r i j
cesar	t͡s ɛ̀ː s a r
cvek	t͡s ʋ ɛ́ k
cvesti	t͡s ʋ ə̀ s t i
cvesti	t͡s ʋ ɛ̀ː s t i
cvrček	t͡s ʋ ə́ r t͡ʃ ə k
debel	d ɛ̀ː b ɛ ʋ
debelejši	d ɛ b ɛ l ɛ́ː j ʃ i
deber	d ə b ə́ r
deblo	d ɛ̀ː b l ɔ
december	d ɛ t͡s ɛ̀ː m b ə r
ded	d ɛ́ t
dekle	d ɛ k l ɛ́
deska	d ə̀ s k a
dež	d ə́ ʃ
dežela	d ɛ ʒ ɛ̀ː l a
dirigent	d i r i ɡ ɛ́ n t
dno	d n ɔ́
do	d ɔ
doba	d ɔ̀ː b a
dobro	d ɔ̀ː b r ɔ
dobrodošel	d ɔ b r ɔ d ɔ̀ː ʃ ə ʋ
dogovor	d ɔ ɡ ɔ́ː ʋ ɔ r
dojenček	d ɔ j ɛ̀ː n t͡ʃ ə k
dokler	d ɔ k l ɛ́ r
dokler	d ɔ́ k l ɛ r
dol	d ɔ̀ː l
dol	d ɔ́ː ʋ
dolg	d ɔ́ː ʋ k
dolgovaloven	d ɔ ʋ ɡ ɔ ʋ a l ɔ́ː ʋ ə n
domov	d ɔ m ɔ̀ː ʋ
domov	d ɔ m ɔ́ː ʋ
dopoldan	d ɔ p ɔ́ː ʋ d a n
dovolj	d ɔ ʋ ɔ́ l
dovoljenje	d ɔ ʋ ɔ l j ɛ̀ː n j ɛ
dovršen	d ɔ ʋ ə́ r ʃ ə n
drek	d r ɛ́ k
dren	d r ɛ́ n
drka	d ə́ r k a
drkaj	d ə́ r k a j
drkajmo	d ə́ r k a j m ɔ
drkajo	d ə́ r k a j ɔ
drkajta	d ə́ r k a j t a
drkajte	d ə́ r k a j t ɛ
drkajva	d ə́ r k a j ʋ a
drkam	d ə́ r k a m
drkamo	d ə́ r k a m ɔ
drkanje	d ə́ r k a n j ɛ
drkata	d ə́ r k a t a
drkate	d ə́ r k a t ɛ
drkati	d ə́ r k a t i
drkava	d ə́ r k a ʋ a
drkaš	d ə́ r k a ʃ
droben	d r ɔ̀ː b ə n
drugoten	d r u ɡ ɔ̀ː t ə n
drva	d ə̀ r ʋ a
dvom	d ʋ ɔ́ m
eden	ɛ̀ː d ə n
en	ɛ́ n
ena	ɛ̀ː n a
enkrat	ɛ̀ː n k r a t
enota	ɛ n ɔ̀ː t a
epicenter	ɛ p i t͡s ɛ̀ː n t ə r
epicenter	ɛ p i t͡s ɛ́ː n t ə r
erbij	ɛ̀ː r b i j
erik	ɛ́ː r i k
eritreja	ɛ r i t r ɛ́ː j a
esej	ɛ s ɛ́ː j
eto	ɛ́ t ɔ
evo	ɛ́ ʋ ɔ
fermij	f ɛ̀ː r m i j
fižol	f i ʒ ɔ́ ʋ
geslo	ɡ ɛ̀ː s l ɔ
glasnejši	ɡ l a s n ɛ́ː j ʃ i
glasoslovje	ɡ l a s ɔ s l ɔ́ː ʋ j ɛ
globok	ɡ l ɔ b ɔ́ k
glog	ɡ l ɔ́ k
gnesti	ɡ n ɛ̀ː s t i
gol	ɡ ɔ́ ʋ
gol	ɡ ɔ́ː ʋ
golt	ɡ ɔ́ː ʋ t
gonoreja	ɡ ɔ n ɔ r ɛ́ː j a
gor	ɡ ɔ̀ː r
gora	ɡ ɔ̀ː r a
gost	ɡ ɔ́ s t
govno	ɡ ɔ̀ː ʋ n ɔ
govor	ɡ ɔ́ː ʋ ɔ r
gozd	ɡ ɔ́ s t
grb	ɡ ə́ r p
grba	ɡ ə̀ r b a
grd	ɡ ə́ r t
grebsti	ɡ r ɛ̀ː p s t i
grenek	ɡ r ɛ̀ː n ə k
grji	ɡ ə́ r j i
grk	ɡ ə́ r k
grkinja	ɡ ə́ r k i n j a
grlica	ɡ ə̀ r l i t͡s a
grlo	ɡ ə̀ r l ɔ
grm	ɡ ə́ r m
grob	ɡ r ɔ́ p
grof	ɡ r ɔ́ f
grom	ɡ r ɔ́ m
grča	ɡ ə̀ r t͡ʃ a
grčija	ɡ ə́ r t͡ʃ i j a
grši	ɡ ə́ r ʃ i
grški	ɡ ə́ r ʃ k i
grško	ɡ ə́ r ʃ k ɔ
grščina	ɡ ə́ r ʃ t͡ʃ i n a
gvineja	ɡ ʋ i n ɛ́ː j a
hitreje	x i t r ɛ̀ː j ɛ
hitrejše	x i t r ɛ̀ː j ʃ ɛ
hleb	x l ɛ́ p
hmelj	x m ɛ́ l
horvat	x ɔ́ː r ʋ a t
hrbet	x ə r b ə́ t
hrbet	x ə̀ r b ə t
hren	x r ɛ́ n
hropsti	x r ɔ̀ː p s t i
hrošč	x r ɔ́ ʃ t͡ʃ
hrček	x ə́ r t͡ʃ ə k
in	i n
iterbij	i t ɛ̀ː r b i j
iz	i s
izmena	i z m ɛ́ː n a
izmolsti	i z m ɔ̀ː ʋ s t i
janšizem	j a n ʃ i z ɛ m
jasnejši	j a s n ɛ́ː j ʃ i
je	j ɛ́
jebati	j ɛ́ː b a t i
jeklo	j ɛ̀ː k l ɔ
jelen	j ɛ̀ː l ɛ n
jesen	j ɛ̀ː s ɛ n
jezik	j ɛ̀ː z i k
jezikoslovec	j ɛ z i k ɔ s l ɔ́ː ʋ ə t͡s
jezikoslovje	j ɛ z i k ɔ s l ɔ́ː ʋ j ɛ
ječmen	j ɛ̀ː t͡ʃ m ɛ n
južnoameriški	j u ʒ n ɔ a m ɛ́ː r i ʃ k i
kakovost	k a k ɔ̀ː ʋ ɔ s t
kdor	ɡ d ɔ́ r
ker	k ɛ r
kern	k ɛ́ː r n
ki	k i
klepec	k l ɛ̀ː p ə t͡s
klop	k l ɔ́ p
klovn	k l ɔ̀ː ʋ n
klošč	k l ɔ́ ʃ t͡ʃ
kmet	k m ɛ́ t
ko	k ɔ
kola	k ɔ̀ː l a
konec	k ɔ̀ː n ə t͡s
konj	k ɔ́ n
kontinent	k ɔ n t i n ɛ́ n t
končen	k ɔ̀ː n t͡ʃ ə n
končno	k ɔ̀ː n t͡ʃ n ɔ
koper	k ɔ̀ː p ə r
kopno	k ɔ̀ː p n ɔ
kopno	k ɔ́ː p n ɔ
koreja	k ɔ r ɛ́ː j a
korenje	k ɔ r ɛ̀ː n j ɛ
kostanj	k ɔ̀ː s t a n
kot	k ɔ t
kovnica	k ɔ́ː ʋ n i t͡s a
koza	k ɔ̀ː z a
kozel	k ɔ̀ː z ə ʋ
koš	k ɔ́ ʃ
kratkovaloven	k r a t k ɔ ʋ a l ɔ́ː ʋ ə n
krma	k ə̀ r m a
krog	k r ɔ k
krom	k r ɔ́ m
krst	k ə́ r s t
krsta	k ə̀ r s t a
krt	k ə́ r t
krzno	k ə́ r z n ɔ
krč	k ə̀ r t͡ʃ
krč	k ə́ r t͡ʃ
le	l ɛ́
lemež	l ɛ̀ː m ɛ ʃ
len	l ɛ́ n
lepota	l ɛ p ɔ̀ː t a
let	l ɛ́ t
lev	l ɛ́ ʋ
levinja	l ɛ̀ː ʋ i n j a
levinja	l ɛ́ː ʋ i n j a
liberija	l i b ɛ̀ː r i j a
ljubeč	l j u b ɛ́ t͡ʃ
lom	l ɔ́ m
lonec	l ɔ̀ː n ə t͡s
lopov	l ɔ́ː p ɔ ʋ
lovec	l ɔ̀ː ʋ ə t͡s
lovka	l ɔ́ː ʋ k a
m	ɛ m
macesen	m a t͡s ɛ̀ː s ə n
maklen	m a k l ɛ́ n
matej	m a t ɛ́ː j
med	m ɛ t
medved	m ɛ̀ː d ʋ ɛ t
megla	m ə̀ ɡ l a
mehek	m ɛ̀ː x ə k
meja	m ɛ̀ː j a
