besh	p ɛ́ ʃ
bichan	p i t ʃʰ a n
bichizh	p i t ʃʰ ɪ ʒ
biditlid	p ɪ t ɪ tʰ l ɪ t
big	p ɪ̀ k
bigad	p ɪ k a tʰ
bimaa	p i m aː
bąą	p ãː
cha	t ʃ a
chizh	t ʃʰ ɪ ʒ
daha	t a x a
dahnídah	d à d ì d ɑ̀ ʔ
dasáhndi	d ɑ ˨ s ɑ̃ː n ˦ ɾ ĩ ˨
deyaa	t e j aː
dikos	d ì kʰ ò̤ː s
dił	t i ɬ
diłhił	d ɪ̀ ɬ h ɪ̀ ɬ
dleesh	d̥ l ɛ̀ː ʃ
dził	t s ɪ ɬ
gad	k à t
goodé	k oː t é
gosnih	k o s n ɪ x
gowąh	k o w ã x
góshé	k ó t ʃ ɛ́
hashbidí	x a t ʃ p ɪ t ɪ́
hidląąnhí	h ɪ ˨ d̥ l ɑ̃ ˦ n ĩ ˦
hilwozh	h ì ɫ w óː ʒ
hishtłish	h ɪ̀ ʃ t l̥ ɪ̀ ʃ
ibann	i p a nː
ighaa	ʔ ɪ̀ ɣ àː
ikał	ɪ kʰ a ɬ
inná	ɪ nː á
ishkiin	ɪ ʃ ˨ k ĩː n ˨
ishkiinhn	ɪ ʃ kʰ ɪː n x n
isáłigai	ɪ s á ɬ ɪ k a ɪ
itsáłigai	ɪ̀ t sʰ á ɬ ɪ̀ k à ɪ̀
iwoo	ɪ w oː
jaa	d͡ʒ àː
jaadi	d ʒ ɑ́ː d í
jaage	t ʃʰ aː k e
kaz	kʰ à z
maghashi	m a k x a ʃ ɪ
mbá	m p á
múh	m ú x
nadzeeł	n ɑ̀ d z ɛ̀ː ɬ
nalbiil	n ɑ̀ l b íː l
nawołkaadi	n a w o ɬ kʰ aː t ɪ
nchaa	ǹ̩ t ʃ ɑ̀ː
ndołkah	n t o ɬ kʰ a x
nohwíí	n õ ˨ w ĩː ˦
non	n ò n
nos	n ò s
ooro	oː r o
piishi	pʰ ɪː t ʃ ɪ
pish	pʰ ɪ̀ ʃ
shash	ʃ a ʃ
shid	ʃ ɪ̀ t
shiyí	ʃ i ˨ j ĩ ˦
sid	s ɪ̀ t
sig	s ɪ̀ k
silaada	s ɪ l aː t a
sis	s ɪ̀ s
tséé	t s eː ˦˩˥
tubąąyú	t ʊ ˦˩˥ b a ɪ ˦ j o ˦
tudiłhiłi	t ʊ ˨˩˥ d̪ i ˨˩˥ ɬ h ɪ ˨˥˩ ɬ i ˦
táwosh	tʰ á w ò ʃ
tłád	t ɬʰ á t
yiyąą	j ɪ j ã ã
yoo	j òː
yáá	j áː
yídiłig	j í d ɪ́ ɬ ɪ́ kʰ
zas	z à s
zhááli	ʒ ɑ́ː l í
áho	á x o
łibaa	ɬ i ˨˩˥ b ɑ̃ː ˦
łichíí	ɬ ɪ t ʃʰ ɪ́ ɪ́
łigai	ɬ ɪ́ k à i
łitsog	ɬ ɪ tʰ s o k
łóg	ɬ ó k
